ABA	n+f.aba
Agassi	n+m.agassi
Agee	n+m.agee
Aggie	n+f.aggie
Agnew	n+m.agnew
Agni	n+m.agni
Agra	n+f.agra
Agripa	n+m.agrippa
Agrícola	n+m.agricola
Aguilar	n+m.aguilar
Aguirre	n+m.aguirre
Agustín	n+m.agustin@n+m.augustine
Ahab	n+m.ahab
Ahmad	n+m.ahmad
Ahmadineyad	n+m.ahmadinejad
Ahmed	n+m.ahmed
Aida	n+f.aida
Aiken	n+m.aiken
Aileen	n+f.aileen
Aimee	n+f.aimee
Airbus	n+m.airbus
Airdrie	n+m.airdrie
Aires	n+m.aires
Aisha	n+f.aisha
Aitken	n+m.aitken
Ajax	n+m.ajax
Ajmer	n+m.ajmer
Akbar	n+m.akbar
Akron	n+m.akron
Alabama	n+f.alabama
Aladino	n+m.aladdin
Alameda	n+f.alameda
Alamogordo	n+m.alamogordo
Alan	n+m.alan
Alana	n+f.alana
Alaska	n+f.alaska
Alba	n+f.alba
Albania	n+f.albania
Albany	n+m.albany
Albee	n+m.albee
Albemarle	n+m.albemarle
Albert	n+m.albert
Alberta	n+f.alberta
Alberto	n+m.alberto
Albión	n+m.albion
Albright	n+m.albright
Albuquerque	n+m.albuquerque
Albán	n+m.alban
Alcatraz	n+m.alcatraz
Alcoa	n+m.alcoa
Alcott	n+m.alcott
Alden	n+m.alden
Aldershot	n+m.aldershot
Aldo	n+m.aldo
Alec	n+m.alec
Alejandro	n+m.alejandro@n+m.alexander
Alejandría	n+f.alexandria
Alemania	n+m.deutschland@n+m.ger@n+f.germany
Alexandra	n+f.alexandra
Alexei	n+m.alexei
Alexia	n+f.alexia
Alexis	n+m.alexis@n+f.alexis
Alfonso	n+m.alfonso@n+m.alphonse
Alford	n+m.alford
Alfred	n+m.alfred
Alfredo	n+m.alfredo
Alger	n+m.alger
Alhambra	n+f.alhambra
Ali	n+m.ali
Alicante	n+m.alicante
Alicia	n+f.alice@n+f.alicia
Aline	n+f.aline
Alisa	n+f.alisa
Alisha	n+f.alisha
Alison	n+f.alison
Alissa	n+f.alissa
Alistair	n+m.alistair
Allahabad	n+m.allahabad
Allan	n+m.allan
Allegheny	n+m.allegheny
Allegra	n+f.allegra
Allen	n+m.allen
Allende	n+m.allende
Allentown	n+m.allentown
Allie	n+f.allie
Allison	n+f.allison
Allstate	n+m.allstate
Allyn	n+m.allyn
Allyson	n+f.allyson
Almaty	n+f.almaty
Alonzo	n+m.alonzo
Alpert	n+m.alpert
Alpes	n+m+pl.alps
Alsacia	n+f.alsace
Alston	n+m.alston
Alta	n+f.alta
Altair	n+m.altair
Altman	n+m.altman
Alton	n+m.alton
Altona	n+f.altona
Altoona	n+m.altoona
Alva	n+m.alva
Alvarado	n+m.alvarado
Alvin	n+m.alvin
Alyson	n+f.alyson
Alyssa	n+f.alyssa
Alzheimer	n+m.alzheimer
Alá	n+m.allah
Amadeus	n+m.amadeus
Amanda	n+f.amanda
Amarillo	n+m.amarillo
Amazon	n+m.amazon
Amber	n+f.amber
Amberes	n+m.antwerp
Ambler	n+m.ambler
Ambrosio	n+m.ambrose
Amelia	n+f.amelia
Amer	n+m.amer
Amherst	n+m.amherst
Ami	n+m.ami
Amie	n+f.amie
Amiga	n+f.amiga
Amir	n+m.amir
Amis	n+m.amis
Ammán	n+m.amman
Amoco	n+m.amoco
Amritsar	n+m.amritsar
Amtrak	n+m.amtrak
Amway	n+m.amway
Amy	n+f.amy
América	n+f.america
Américas	n+f.americas
Amín	n+m.amin
Amón	n+m.ammon@n+m.amon
Amós	n+m.amos
Ana	n+f.ana@n+f.ann@n+f.anna@n+f.anne
Anaheim	n+m.anaheim
Anas	n+m.anas
Anastasia	n+f.anastasia
Anatole	n+m.anatole
Anatolia	n+f.anatolia
Anchorage	n+m.anchorage
Ancona	n+f.ancona
Andalucía	n+f.andalusia
Andamán	n+m.andaman
Andersen	n+m.andersen
Anderson	n+m.anderson
Andes	n+m+pl.andes
Andorra	n+f.andorra
Andrea	n+f.andrea
Andrei	n+m.andrei
Andretti	n+m.andretti
Andrews	n+m.andrews
Andros	n+m.andros
André	n+m.andre
Andrés	n+m.andres@n+m.andrew
Andrómeda	n+f.andromeda
Andy	n+m.andy
Angela	n+f.angela
Angelina	n+f.angelina
Angeline	n+f.angeline
Angell	n+m.angell
Angelo	n+m.angelo
Angelou	n+f.angelou
Angers	n+m.angers
Angie	n+f.angie
Angkor	n+m.angkor
Anglesey	n+m.anglesey
Anglia	n+f.anglia
Angola	n+f.angola
Anguila	n+f.anguilla
Angus	n+m.angus
Angélica	n+f.angelica@n+f.angelique
Anita	n+f.anita
Anjou	n+m.anjou
Ankara	n+f.ankara
Annabel	n+f.annabel
Annabelle	n+f.annabelle
Annapolis	n+f.annapolis
Annecy	n+m.annecy
Annenberg	n+m.annenberg
Annette	n+f.annette
Annie	n+f.annie
Anselmo	n+m.anselm@n+m.anselmo
Antalya	n+f.antalya
Antares	n+m.antares
Antibes	n+f.antibes
Antigua	n+f.antigua
Antillas	n+f+pl.antilles
Antioquía	n+f.antioch
Antoine	n+m.antoine
Antonia	n+f.antonia
Antonieta	n+f.antoinette
Antonio	n+m.anthony@n+m.antonio@n+m.antony
Antrim	n+m.antrim
Antártida	n+f.antarctica
Antígona	n+f.antigone
Antón	n+m.anton
Anu	n+m.anu
Anubis	n+m.anubis
Anunciación	n+f.annunciation
Aníbal	n+m.hannibal
Apache	n+m.apache
Apalaches	n+m+pl.appalachian
Apolo	n+m.apollo
Appalachia	n+f.appalachia
Appel	n+m.appel
Apple	n+m.apple
Appleseed	n+m.appleseed
Appleton	n+m.appleton
Apulia	n+f.puglia
Aquila	n+f.aquila
Aquiles	n+m.achilles
Aquino	n+m.aquinas@n+m.aquino
Aquisgrán	n+m.aachen
Aquitania	n+f.aquitaine
Ara	n+m.ara
Arabella	n+f.arabella
Arabia	n+f.arabia
Aracne	n+f.arachne
Arad	n+m.arad
Arafat	n+m.arafat
Aragón	n+m.aragon
Aram	n+m.aram
Ararat	n+m.ararat
Arcadia	n+f.arcadia
Archibald	n+m.archibald
Archie	n+m.archie
Arden	n+m.arden
Ards	n+m.ards
Arequipa	n+f.arequipa
Ares	n+m.ares
Arezzo	n+m.arezzo
Argel	n+m.algiers
Argelia	n+f.algeria
Argentina	n+f.argentina
Argo	n+m.argo
Argonne	n+m.argonne
Argos	n+m.argos@n+m.argus
Argyll	n+m.argyll
Ariadna	n+f.ariadne
Ariel	n+m.ariel
Aries	n+m.aries
Aristóteles	n+m.aristotle
Ariz.	n+m.ariz
Arizona	n+f.arizona
Arjuna	n+m.arjuna
Arkansas	n+m.arkansas
Arlen	n+m.arlen
Arlene	n+f.arlene
Arlington	n+m.arlington
Arlo	n+m.arlo
Arlés	n+m.arles
Armagedón	n+m.armageddon
Armagh	n+m.armagh
Armand	n+m.armand
Armando	n+m.armando
Armani	n+m.armani
Armenia	n+f.armenia
Armstrong	n+m.armstrong
Arne	n+m.arne
Arnhem	n+m.arnhem
Arno	n+m.arno
Arnold	n+m.arnold
Aron	n+m.aron
Arquímedes	n+m.archimedes
Arran	n+m.arran
Artemisa	n+f.artemis
Artie	n+m.artie
Arturo	n+m.arthur@n+m.arturo
Aruba	n+f.aruba
Arundel	n+m.arundel
Ascot	n+m.ascot
Aser	n+m.asher
Ashanti	n+m.ashanti
Ashcroft	n+m.ashcroft
Ashe	n+m.ashe
Ashford	n+m.ashford
Ashlee	n+f.ashlee
Ashley	n+f.ashley
Ashton	n+m.ashton
Asia	n+f.asia
Asimov	n+m.asimov
Asiria	n+f.assyria
Aspell	n+m.aspell
Asperger	n+m.asperger
Assad	n+m.assad
Assam	n+m.assam
Astaire	n+m.astaire
Asti	n+m.asti
Aston	n+m.aston
Astor	n+m.astor
Astoria	n+f.astoria
Astrid	n+f.astrid
Asturias	n+f.asturias
Asuán	n+m.aswan
Asís	n+m.assisi
Atacama	n+m.atacama
Atari	n+m.atari
Atenas	n+f.athens
Atenea	n+f.athena
Athabasca	n+m.athabasca
Atila	n+m.attila
Atkins	n+m.atkins
Atkinson	n+m.atkinson
Atlanta	n+f.atlanta
Atlántico	n+m.atlantic
Atlántida	n+f.atlantis
Atwood	n+m.atwood
Atón	n+m.aten
Aubrey	n+m.aubrey
Auckland	n+m.auckland
Audi	n+m.audi
Audra	n+f.audra
Audrey	n+f.audrey
Audubon	n+m.audubon
Augsburgo	n+m.augsburg
Augusta	n+f.augusta
Augusto	n+m.augustus
Aurangabad	n+m.aurangabad
Aurelia	n+f.aurelia
Aurelio	n+m.aurelius
Auschwitz	n+m.auschwitz
Austen	n+f.austen
Austin	n+m.austin
Australasia	n+f.australasia
Australia	n+f.aus@n+f.aust@n+f.australia
Austria	n+f.austria
Auvernia	n+f.auvergne
Ava	n+f.ava
Avalón	n+m.avalon
Avery	n+m.avery
Avis	n+m.avis
Aviñón	n+m.avignon
Avon	n+m.avon
Avs	n+m+pl.avs
Ayala	n+m.ayala
Ayer	n+m.ayer
Ayers	n+m.ayers
Aylesbury	n+m.aylesbury
Ayr	n+m.ayr
Ayrshire	n+m.ayrshire
Azerbaiyán	n+m.azerbaijan
Azores	n+f+pl.azores
BEng	n+m.beng
BIM	n+m.bim
BIOS	n+m.bios
BTU	n+m.btu
Baal	n+m.baal
Babbitt	n+m.babbitt
Babel	n+m.babel
Babilonia	n+f.babylon
Bacardi	n+m.bacardi
Bach	n+m.bach
Backus	n+m.backus
Baco	n+m.bacchus
Baden	n+m.baden
Baffin	n+m.baffin
Bagdad	n+m.baghdad
Bahama	n+f.bahama
Bahamas	n+f.bahamas
Bahía	n+f.bahia
Baikal	n+m.baikal
Bailey	n+m.bailey
Baileys	n+m.baileys
Baird	n+m.baird
Baja Sajonia	n+f.niedersachsen
Bakersfield	n+m.bakersfield
Bakú	n+m.baku
Bal	n+m.bal
Bala	n+f.bala
Balboa	n+m.balboa
Balcanes	n+m+pl.balkans
Baldwin	n+m.baldwin
Bale	n+m.bale
Balenciaga	n+m.balenciaga
Balfour	n+m.balfour
Bali	n+m.bali
Ballarat	n+m.ballarat
Ballard	n+m.ballard
Ballymena	n+m.ballymena
Balmoral	n+m.balmoral
Baltimore	n+m.baltimore
Balzac	n+m.balzac
Bamako	n+m.bamako
Bamberg	n+m.bamberg
Bambi	n+m.bambi
Banach	n+m.banach
Banbury	n+m.banbury
Bancroft	n+m.bancroft
Banda	n+f.banda
Bandung	n+m.bandung
Banff	n+m.banff
Bangalore	n+m.bangalore
Bangkok	n+m.bangkok
Bangladés	n+m.bangladesh
Bangor	n+m.bangor
Banning	n+m.banning
Bannister	n+m.bannister
Baptiste	n+m.baptiste
Barack	n+m.barack
Barb	n+f.barb
Barbados	n+m.barbados
Barbie	n+f.barbie
Barbour	n+m.barbour
Barbra	n+f.barbra
Barbuda	n+f.barbuda
Barcelona	n+f.barcelona
Barclay	n+m.barclay
Barclays	n+m.barclays
Bareilly	n+m.bareilly
Barents	n+m.barents
Bari	n+m.bari
Barker	n+m.barker
Barking	n+m.barking
Barkley	n+m.barkley
Barlow	n+m.barlow
Barnaby	n+m.barnaby
Barnard	n+m.barnard
Barnes	n+m.barnes
Barnet	n+m.barnet
Barnett	n+m.barnett
Barney	n+m.barney
Barnsley	n+m.barnsley
Barnum	n+m.barnum
Baroda	n+f.baroda
Barr	n+m.barr
Barre	n+m.barre
Barrera	n+f.barrera
Barrett	n+m.barrett
Barrie	n+m.barrie
Barron	n+m.barron
Barros	n+m.barros
Barrow	n+m.barrow
Barry	n+m.barry
Barrymore	n+m.barrymore
Bart	n+m.bart
Barth	n+m.barth
Bartlett	n+m.bartlett
Bartolomé	n+m.bartholomew
Barton	n+m.barton
Baruch	n+m.baruch
Barça	n+m.barca
Baréin	n+m.bahrain
Basie	n+m.basie
Basildon	n+m.basildon
Basilea	n+f.basel
Basilio	n+m.basil
Baskerville	n+m.baskerville
Basora	n+f.basra
Bastilla	n+f.bastille
Batavia	n+f.batavia
Bates	n+m.bates
Bathurst	n+m.bathurst
Batista	n+m.batista
Batman	n+m.batman
Batt	n+m.batt
Baudelaire	n+m.baudelaire
Bauer	n+m.bauer
Bauhaus	n+f.bauhaus
Baum	n+m.baum
Baviera	n+f.bavaria
Bax	n+m.bax
Baxter	n+m.baxter
Bayard	n+m.bayard
Bayer	n+m.bayer
Bayern	n+m.bayern
Bayes	n+m.bayes
Baylor	n+m.baylor
Bayona	n+f.bayonne
Baywatch	n+m.baywatch
Beaconsfield	n+m.beaconsfield
Beardsley	n+m.beardsley
Beasley	n+m.beasley
Beatles	n+m.beatles
Beatriz	n+f.beatrice@n+f.beatrix@n+f.beatriz
Beatty	n+m.beatty
Beaufort	n+m.beaufort
Beaumont	n+m.beaumont
Beauregard	n+m.beauregard
Beaverton	n+m.beaverton
Bechtel	n+m.bechtel
Beck	n+m.beck
Becker	n+m.becker
Becket	n+m.becket
Beckett	n+m.beckett
Becky	n+f.becky
Beda	n+m.bede
Bedford	n+m.bedford
Bedfordshire	n+m.bedfordshire
Beebe	n+m.beebe
Beecher	n+m.beecher
Beethoven	n+m.beethoven
Beirut	n+m.beirut
Belfast	n+m.belfast
Belgrado	n+m.belgrade
Belgravia	n+m.belgravia
Belice	n+m.belize
Belinda	n+f.belinda
Bella	n+f.bella
Bellamy	n+m.bellamy
Bellevue	n+m.bellevue
Belling	n+m.belling
Bellini	n+m.bellini
Belmont	n+m.belmont
Belushi	n+m.belushi
Belén	n+m.bethlehem
Ben	n+m.ben
Benarés	n+f.varanasi
Bender	n+m.bender
Bendigo	n+m.bendigo
Bendix	n+m.bendix
Benedicto	n+m.benedict
Benelux	n+m.benelux
Benet	n+m.benet
Benetton	n+m.benetton
Bengala	n+m.bengal
Bengals	n+m+pl.bengals
Beni	n+m.beni
Benito	n+m.benito
Benjamin	n+m.benjamin
Benjamines	n+m+pl.benjamins
Bennet	n+m.bennet
Bennett	n+m.bennett
Bennie	n+m.bennie
Bennington	n+m.bennington
Benny	n+m.benny
Bens	n+m+pl.bens
Benson	n+m.benson
Bentley	n+m.bentley
Benton	n+m.benton
Benz	n+m.benz
Benín	n+m.benin
Beowulf	n+m.beowulf
Berbería	n+f.barbary
Berchtesgaden	n+m.berchtesgaden
Beretta	n+f.beretta
Berg	n+m.berg
Bergen	n+m.bergen
Berger	n+m.berger
Bergerac	n+m.bergerac
Bergman	n+m.bergman
Bering	n+m.bering
Berkeley	n+m.berkeley
Berks	n+m.berks
Berkshire	n+m.berkshire
Berkshires	n+m+pl.berkshires
Berlioz	n+m.berlioz
Berlitz	n+m.berlitz
Berlín	n+m.berlin
Bermuda	n+f.bermuda
Berna	n+f.bern
Bernabé	n+m.barnabas
Bernadette	n+f.bernadette
Bernanke	n+m.bernanke
Bernard	n+m.bernard
Bernardo	n+m.bernardo
Bernhard	n+m.bernhard
Bernhardt	n+f.bernhardt
Bernice	n+f.bernice
Bernie	n+m.bernie
Bernoulli	n+m.bernoulli
Bernstein	n+m.bernstein
Berra	n+m.berra
Bert	n+m.bert
Berta	n+f.bertha
Bertie	n+m.bertie
Bertram	n+m.bertram
Bertrand	n+m.bertrand
Berwick	n+m.berwick
Beryl	n+f.beryl
Bes	n+m.bes
Bess	n+f.bess
Bessel	n+m.bessel
Bessemer	n+m.bessemer
Bessie	n+f.bessie
Betania	n+f.bethany
Betel	n+m.bethel
Beth	n+f.beth
Bethesda	n+f.bethesda
Bethune	n+m.bethune
Betsey	n+f.betsey
Betsy	n+f.betsy
Bette	n+f.bette
Bettie	n+f.bettie
Betty	n+f.betty
Beulah	n+f.beulah
Bevan	n+m.bevan
Beveridge	n+m.beveridge
Beverley	n+f.beverley
Beverly	n+f.beverly
Bexley	n+m.bexley
Bharat	n+m.bharat
Bhopal	n+m.bhopal
Biafra	n+f.biafra
Bianca	n+f.bianca
Biarritz	n+m.biarritz
Bibb	n+m.bibb
Biblia	n+f.bible
Biblos	n+m.byblos
Bic	n+m.bic
Biddle	n+m.biddle
Biden	n+m.biden
Biel	n+m.biel
Bielefeld	n+m.bielefeld
Bielorrusia	n+f.belarus
Bigfoot	n+m.bigfoot
Bihar	n+m.bihar
Bikaner	n+m.bikaner
Bilbao	n+m.bilbao
Bilbo	n+m.bilbo
Billie	n+f.billie
Billings	n+m.billings
Billiton	n+m.billiton
Billy	n+m.billy
Biloxi	n+m.biloxi
Bimini	n+m.bimini
Bingham	n+m.bingham
Birkenhead	n+m.birkenhead
Birkenstock	n+m.birkenstock
Birmania	n+f.burma
Birmingham	n+m.birmingham
Biscayne	n+m.biscayne
Biskek	n+m.bishkek
Bismarck	n+m.bismarck
Bisáu	n+m.bissau
BitTorrent	n+m.bittorrent
Bizancio	n+m.byzantium
Bizet	n+m.bizet
Björk	n+f.bjork
BlackBerry	n+m.blackberry
Blackburn	n+m.blackburn
Blackpool	n+m.blackpool
Blackstone	n+m.blackstone
Blackwell	n+m.blackwell
Blackwood	n+m.blackwood
Blaine	n+m.blaine
Blair	n+m.blair
Blake	n+m.blake
Blanca	n+f.blanca
Blanchard	n+m.blanchard
Blanche	n+f.blanche
Blankenship	n+m.blankenship
Blenheim	n+m.blenheim
Blevins	n+m.blevins
Bligh	n+m.bligh
Bloch	n+m.bloch
Bloemfontein	n+m.bloemfontein
Blok	n+m.blok
Blondie	n+f.blondie
Bloomfield	n+m.bloomfield
Bloomingdale	n+m.bloomingdale
Bloomington	n+m.bloomington
Bloomsbury	n+m.bloomsbury
Blu	n+m.blu
Bluetooth	n+m.bluetooth
Blum	n+m.blum
Blythe	n+f.blythe
Boaz	n+m.boaz
Bob	n+m.bob
Bobbi	n+f.bobbi
Bobbie	n+f.bobbie
Bobby	n+m.bobby
Bochum	n+m.bochum
Bock	n+m.bock
Bodoni	n+m.bodoni
Boeing	n+m.boeing
Bogart	n+m.bogart
Bogle	n+m.bogle
Bogotá	n+f.bogota
Bohemia	n+f.bohemia
Bohr	n+m.bohr
Boise	n+m.boise
Bolivia	n+f.bolivia
Boll	n+m.boll
Bollywood	n+m.bollywood
Bolonia	n+f.bologna@n+f.boulogne
Bolton	n+m.bolton
Boltzmann	n+m.boltzmann
Bolzano	n+m.bolzano
Bolívar	n+m.bolivar
Bombay	n+m.bombay@n+m.mumbai
Bona	n+f.bona
Bonaire	n+m.bonaire
Bonaparte	n+m.bonaparte
Bonifacio	n+m.boniface
Bonita	n+f.bonita
Bonn	n+f.bonn
Bonne	n+f.bonne
Bonner	n+m.bonner
Bonneville	n+m.bonneville
Bonnie	n+f.bonnie
Bono	n+m.bono
Booker	n+m.booker
Boone	n+m.boone
Borden	n+m.borden
Borg	n+m.borg
Borges	n+m.borges
Borghese	n+m.borghese
Borgoña	n+f.bourgogne@n+f.burgundy
Boris	n+m.boris
Bork	n+m.bork
Borneo	n+m.borneo
Bosch	n+m.bosch
Bose	n+m.bose
Bosnia	n+f.bosnia
Bossier	n+m.bossier
Boston	n+m.boston
Boswell	n+m.boswell
Botha	n+m.botha
Botsuana	n+m.botswana
Bott	n+m.bott
Boucher	n+m.boucher
Boulder	n+m.boulder
Bourne	n+m.bourne
Bournemouth	n+m.bournemouth
Bowen	n+m.bowen
Bowers	n+m.bowers
Bowery	n+m.bowery
Bowie	n+m.bowie
Bowman	n+m.bowman
Boyd	n+m.boyd
Boyer	n+m.boyer
Boyle	n+m.boyle
Boyne	n+m.boyne
Boz	n+m.boz
Brabante	n+m.brabant
Bracknell	n+m.bracknell
Brad	n+m.brad
Bradbury	n+m.bradbury
Braddock	n+m.braddock
Bradford	n+m.bradford
Bradley	n+m.bradley
Bradshaw	n+m.bradshaw
Bradstreet	n+m.bradstreet
Brady	n+m.brady
Braga	n+f.braga
Bragg	n+m.bragg
Brahma	n+m.brahma
Brahms	n+m.brahms
Brampton	n+m.brampton
Brandeburgo	n+m.brandenburg
Brandeis	n+m.brandeis
Branden	n+m.branden
Brandi	n+f.brandi
Brando	n+m.brando
Brandon	n+m.brandon
Brandt	n+m.brandt
Brant	n+m.brant
Brantford	n+m.brantford
Brasil	n+m.brasil@n+m.brazil
Brasilia	n+f.brasilia
Bratislava	n+f.bratislava
Braun	n+m.braun
Braunschweig	n+m.braunschweig
Bray	n+m.bray
Brazos	n+m.brazos
Brazzaville	n+m.brazzaville
Brecht	n+m.brecht
Breckenridge	n+m.breckenridge
Breda	n+f.breda
Bree	n+f.bree
Bremen	n+f.bremen
Brenda	n+f.brenda
Brendan	n+m.brendan
Brennan	n+m.brennan
Brenner	n+m.brenner
Brent	n+m.brent
Brenton	n+m.brenton
Brentwood	n+m.brentwood
Brescia	n+f.brescia
Breslavia	n+m.wroclaw
Brest	n+m.brest
Bret	n+m.bret
Bretaña	n+f.bretagne@n+f.brittany
Brett	n+m.brett
Breuer	n+m.breuer
Brewster	n+m.brewster
Breyer	n+m.breyer
Brian	n+m.brian
Briana	n+f.briana
Brianna	n+f.brianna
Brice	n+m.brice
Bridgeport	n+m.bridgeport
Bridger	n+m.bridger
Bridgetown	n+m.bridgetown
Bridgette	n+f.bridgette
Briggs	n+m.briggs
Brigham	n+m.brigham
Brighton	n+m.brighton
Brigitte	n+f.brigitte
Brinkley	n+m.brinkley
Brisbane	n+m.brisbane
Bristol	n+m.bristol
Britania	n+f.britannia
Britney	n+f.britney
Britt	n+f.britt
Britten	n+m.britten
Brittney	n+f.brittney
Británica	n+f.britannica
Brno	n+m.brno
Broadway	n+m.broadway
Brock	n+m.brock
Brockton	n+m.brockton
Brodsky	n+m.brodsky
Brogan	n+m.brogan
Brokaw	n+m.brokaw
Bromley	n+m.bromley
Bronson	n+m.bronson
Brontë	n+f.bronte
Bronx	n+m.bronx
Brooke	n+f.brooke
Brookes	n+m.brookes
Brooklyn	n+m.brooklyn
Brooks	n+m.brooks
Browne	n+m.browne
Browning	n+m.browning
Brownsville	n+m.brownsville
Brubeck	n+m.brubeck
Bruce	n+m.bruce
Bruckner	n+m.bruckner
Bruins	n+m+pl.bruins
Brujas	n+m.bruges
Brunel	n+m.brunel
Bruno	n+m.bruno
Brunswick	n+m.brunswick
Brunéi	n+m.brunei
Bruselas	n+f.brussels@n+f.bruxelles
Bruto	n+m.brutus
Bryan	n+m.bryan
Bryant	n+m.bryant
Bryce	n+m.bryce
Brígida	n+f.bridget@n+f.brigid
Bubba	n+m.bubba
Bucarest	n+m.bucharest
Buchan	n+m.buchan
Buchanan	n+m.buchanan
Buckingham	n+m.buckingham
Buckinghamshire	n+m.buckinghamshire
Buckley	n+m.buckley
Buckner	n+m.buckner
Buda	n+m.buddha
Budapest	n+m.budapest
Budweiser	n+m.budweiser
Buenaventura	n+m.bonaventure
Buffy	n+f.buffy
Buford	n+m.buford
Bugatti	n+m.bugatti
Bugzilla	n+m.bugzilla
Buhl	n+m.buhl
Buick	n+m.buick
Bulfinch	n+m.bulfinch
Bulgari	n+m.bulgari
Bulgaria	n+f.bulgaria
Bullock	n+m.bullock
Bunyan	n+m.bunyan
Burbank	n+m.burbank
Burberry	n+m.burberry
Burch	n+m.burch
Burdeos	n+m.bordeaux
Burgas	n+m.burgas
Burgess	n+m.burgess
Burgos	n+m.burgos
Burke	n+m.burke
Burks	n+m.burks
Burleigh	n+m.burleigh
Burley	n+m.burley
Burlington	n+m.burlington
Burnaby	n+m.burnaby
Burnet	n+m.burnet
Burnett	n+m.burnett
Burney	n+m.burney
Burnley	n+m.burnley
Burnside	n+m.burnside
Burr	n+m.burr
Burris	n+m.burris
Burroughs	n+m.burroughs
Bursa	n+f.bursa
Burt	n+m.burt
Burton	n+m.burton
Burundi	n+m.burundi
Busby	n+m.busby
Busch	n+m.busch
Bushnell	n+m.bushnell
Butch	n+m.butch
Bute	n+m.bute
Butters	n+m.butters
Bután	n+m.bhutan
Byers	n+m.byers
Byrd	n+m.byrd
Byron	n+m.byron
Báez	n+m.baez
Bárbara	n+f.barbara
Béla	n+m.bela
Bélgica	n+f.belgium
Bérgamo	n+f.bergamo
CAD	n+m.cad
CD	n+m.cd
CDR	n+m.cdr
CEN	n+m.cen
CID	n+m.cid
COBOL	n+m.cobol
COV	n+m.voc
CPD	n+m.cpd
CPS	n+m.cps
CSC	n+m.csc
Cablevision	n+f.cablevision
Cabot	n+m.cabot
Cabrera	n+m.cabrera
Cachemira	n+m.kashmir
Cade	n+m.cade
Cadillac	n+m.cadillac
Caen	n+f.caen
Caerphilly	n+m.caerphilly
Cagliari	n+m.cagliari
Cagney	n+m.cagney
Caimán	n+m.cayman
Caine	n+m.caine
Cairns	n+m.cairns
Caithness	n+m.caithness
Caitlin	n+f.caitlin
Calabria	n+f.calabria
Calais	n+m.calais
Calcuta	n+f.calcutta
Calder	n+m.calder
Calderón	n+m.calderon
Caldwell	n+m.caldwell
Caleb	n+m.caleb
Caledonia	n+f.caledonia
Calgary	n+m.calgary
Calhoun	n+m.calhoun
Cali	n+m.cali
Calicut	n+m.calicut
California	n+f.california
Calisto	n+f.callisto
Callaghan	n+m.callaghan
Callahan	n+m.callahan
Callas	n+f.callas
Callie	n+f.callie
Calvario	n+m.calvary
Calvert	n+m.calvert
Calvin	n+m.calvin
Calígula	n+m.caligula
Calíope	n+f.calliope
Camacho	n+m.camacho
Camboya	n+f.cambodia
Cambria	n+f.cambria
Cambridge	n+m.cambridge
Cambridgeshire	n+m.cambridgeshire
Camden	n+m.camden
Camelot	n+m.camelot
Cameron	n+m.cameron
Camerún	n+m.cameroon
Camila	n+f.camilla
Camille	n+f.camille
Campania	n+f.campania
Campanita	n+f.tinkerbell
Campbell	n+m.campbell
Campion	n+m.campion
Campos	n+m.campos
Camry	n+m.camry
Camus	n+m.camus
Canadá	n+m.canada
Canarias	n+f+pl.canary
Canaán	n+m.canaan
