a	art+m.एक@art+f.एक@art+n.एक
acknowledged	v.मान्य केले@a.स्वीकारलेला
acknowledgement	n+f.पोचपावती
acknowledgements	n+f.कृतज्ञता
acknowledges	vt.मान्य करतो
acknowledging	vt.मान्य करणे
acme	n+f.शिखर
acne	n+f.मुरुम@n+n.पुटकुळ्या
acorn	n+m.ओक फळ
acorns	n+m.ओक फळे
acosta	n.अकोस्टा
acoustic	a.ध्वनिक@a.अकॉस्टिक
acoustical	a.ध्वनिविषयक
acoustics	n+f.ध्वनिशास्त्र
acquaint	v.परिचित करणे@v.माहिती देणे
acquaintance	n+m.ओळखीचा
acquaintances	n.ओळखीचे
acquainted	a.परिचित
acquire	v.मिळवणे@v.प्राप्त करणे
acquired	v.मिळवले@a.प्राप्त केलेला
acquirer	n+m.संपादक
acquires	vt.प्राप्त करतो
acquiring	vt.मिळवणे
acquisition	n+f.अधिग्रहण
acquisitions	n+f.अधिग्रहण@n+n.संपादन
acquittal	n+f.निर्दोष मुक्तता
acquitted	v.निर्दोष सोडले@a.मुक्त
acre	n+m.एकर
acreage	n+f.क्षेत्रफळ
acres	n+m.एकर
acrobat	n+m.कसरतपटू@n+m.अॅक्रोबॅट
acrobatic	a.कसरतीचा
acronym	n+m.परिवर्णी शब्द
acronyms	n+m.परिवर्णी शब्द
acropolis	n+m.अॅक्रोपोलिस
across	prep.पलीकडे@ad.ओलांडून
acrylamide	n+m.अॅक्रिलामाइड
acrylic	n+n.ॲक्रिलिक@a.ॲक्रिलिक
acrylics	n+m+pl.अॅक्रेलिक
act	n+m.कायदा@n+n.कृत्य@vi.अभिनय करणे
acted	v.वागले@v.अभिनय केला
actin	n+m.अ‍ॅक्टिन
acting	v.अभिनय करत@n+m.अभिनय
action	n+f.कृती@n+n.कार्य
actionable	a.कृतीयोग्य
actions	n+f.कृती
activate	vt.सक्रिय करणे
activated	v.सक्रिय केले@a.सक्रिय केलेला
activates	vt.सक्रिय करणे
activating	vt.सक्रिय करणे
activation	n+f.सक्रियता@n+n.कार्यान्वयन
activator	n+m.सक्रियक
activators	n+m.सक्रियक
active	a.सक्रिय
actively	ad.सक्रियपणे
actives	n+m.सक्रिय घटक
activism	n+m.कार्यकर्तृत्व@n+n.सक्रियता
activist	n+m.कार्यकर्ता
activists	n+m.कार्यकर्ते
activities	n+f.क्रियाकलाप
activity	n+f.क्रियाकलाप
acton	n.अ‍ॅक्टन
actor	n+m.अभिनेता
actors	n+m.अभिनेते
actress	n+f.अभिनेत्री
actresses	n+f.अभिनेत्री
acts	n+f.कृती@v.कृती करतो
actual	a.वास्तविक
actuality	n+f.वास्तविकता
actually	ad.खरोखर@ad.प्रत्यक्षात
actuarial	a.विमालेखकीय
actuaries	n.विमागणितज्ञ
actuary	n+m.विमागणितज्ञ
actuate	vt.चालू करणे
actuated	v.कार्यान्वित केले@a.कार्यान्वित
actuation	n+f.कार्यान्वयन
actuator	n+m.अॅक्चुएटर
actuators	n.अॅक्चुएटर
acuity	n+f.तीव्रता
acumen	n+f.चतुरता
acupressure	n+f.अॅक्युप्रेशर
acupuncture	n+f.एक्यूपंक्चर
acute	a.तीव्र@a.तीक्ष्ण
acutely	ad.तीव्रतेने
acyclic	a.अचक्रीय
acyclovir	n+m.असायक्लोव्हिर
acyl	n+m.अॅसिल
ada	n+f.एडा
adage	n+m.म्हण
adagio	ad.संथपणे@n+m.अदाजियो
adam	n+m.अॅडम
adamant	a.अटल
adams	n+m.अॅडम्स
adapt	vt.जुळवून घेणे@vt.रूपांतरित करणे
adaptability	n+f.अनुकूलता
adaptable	a.अनुकूलनीय
adaptation	n+f.अनुकूलन@n+n.रूपांतर
adaptations	n+f.रूपांतरे
adapted	a.जुळवून घेतलेला@v.जुळवून घेतले
adapter	n+m.अडॅप्टर
adapters	n+m.अॅडॅप्टर
adapting	vt.रुपांतरित करणे
adaptive	a.अनुकूलनशील
adaptor	n+m.अडॅप्टर@n+n.जोडणी साधन
adaptors	n+m.अडॅप्टर
adapts	v.जुळवून घेतो
add	vt.जोडणे@vt.मिळवणे
addams	n.अॅडम्स
added	v.जोडले
addenda	n.परिशिष्टे
addendum	n+m.परिशिष्ट
adder	n+m.साप
addict	n+m.व्यसनी@vt.व्यसन लावणे
addicted	a.व्यसनाधीन
addicting	a.व्यसनाधीन करणारा
addiction	n+f.व्यसन
addictions	n.व्यसने
addictive	a.व्यसनकारक
addicts	n+m.व्यसनी
addie	n+f.अॅडी
adding	v.जोडत
addington	n+m.अॅडिंग्टन
addison	n+m.अॅडिसन
addition	n+f.भर@n+f.बेरीज
additional	a.अतिरिक्त
additionally	ad.याव्यतिरिक्त@ad.शिवाय
additions	n+f.भर@n+m.जोडणी
additive	n+m.मिश्रक@a.योगात्मक
additives	n+m.मिश्रके
address	n+m.पत्ता@vt.संबोधित करणे
addressable	a.संबोधनीय
addressed	v.संबोधित केले
addressee	n+m.प्राप्तकर्ता
addresses	n+m.पत्ते
addressing	v.संबोधित करणे@n+n.पत्ता देणे
adds	v.जोडतो@v.भर घालतो
adelaide	n+n.अॅडलेड
adele	n.अॅडेल
adeline	n+f.अडेलाइन
aden	n.एडन
adenine	n+f.अॅडेनिन
adenocarcinoma	n+m.ग्रंथी कर्करोग
adenoma	n+m.ग्रंथिअर्बुद
adenosine	n+m.अॅडेनोसिन
adenovirus	n+m.अॅडेनोव्हायरस
adept	a.निपुण@n+m.तज्ञ
adequacy	n+f.पर्याप्तता
adequate	a.पुरेसा@a.योग्य
adequately	ad.पुरेसे@ad.पर्याप्तपणे
adhere	vi.चिकटणे
adhered	vi.चिकटलेला
adherence	n+n.पालन
adherent	n+m.अनुयायी@a.चिकटलेला
adherents	n.अनुयायी
adheres	v.चिकटतो@v.पालन करतो
adhering	v.चिकटत आहे@v.पालन करत आहे
adhesion	n+n.आसंजन
adhesive	n+m.चिकट पदार्थ@a.चिकट
adhesives	n+m.चिकटवणारे
adiabatic	a.समोष्ण@a.अॅडियाबॅटिक
adidas	n+m.अडिडास
adieu	int.निरोप@n+m.विदाई
adige	n+f.अदिगे नदी
adios	int.अलविदा
adipose	a.मेदयुक्त@n+n.चरबीयुक्त ऊती
adirondack	n.अ‍ॅडिरॉंडॅक
adirondacks	n+m.अॅडिरोंडॅक्स
adj	a.विशेषण
adjacency	n+f.समीपता@n+n.लगतपणा
adjacent	a.लगतचा@a.शेजारील
adjective	n+n.विशेषण
adjectives	n.विशेषणे
adjoining	a.लगतचा
adjoint	n+m.सहायक@a.सहायक
adjourn	vt.स्थगित करणे
adjourned	vt.तहकूब केले
adjournment	n+n.तहकुबी
adjudged	v.निर्णय दिला@a.निर्णयित
adjudicated	v.न्यायनिवाडा केला@a.न्यायनिर्णित
adjudication	n+f.न्यायनिर्णय
adjudicator	n+m.निर्णायक
adjunct	n+m.जोड@a.जोडलेला
adjust	v.समायोजित करणे@v.जुळवणे
adjustable	a.समायोज्य@a.बदलता येणारा
adjusted	a.समायोजित@v.समायोजित केले
adjuster	n+m.समायोजक
adjusters	n.समायोजक
adjusting	vt.समायोजित करणे
adjustment	n+m.समायोजन@n+f.व्यवस्था
adjustments	n+f.समायोजन@n+m.दुरुस्ती
adjusts	vt.समायोजित करतो
adjutant	n+m.सहाय्यक@n+m.अॅडजुटंट
adjuvant	n+m.सहायक@a.सहायक
adkins	n.अॅडकिन्स
adler	n+m.अॅडलर
adm	n+m.अॅडमिरल
admin	n+m.प्रशासक
administer	vt.प्रशासन करणे@vt.देणे
administered	v.प्रशासित केले@a.प्रशासित
administering	vt.प्रशासन करणे
administers	vt.प्रशासन करणे
administration	n+f.प्रशासन
administrations	n+f.प्रशासन
administrative	a.प्रशासकीय
administratively	ad.प्रशासकीयदृष्ट्या
administrator	n+m.प्रशासक
administrators	n+m.प्रशासक
admins	n+m.प्रशासक
admirable	a.प्रशंसनीय
admirably	ad.प्रशंसनीयपणे
admiral	n+m.अॅडमिरल
admirals	n+m.pl.अॅडमिरल
admiralty	n+f.नौदल प्रशासन
admiration	n+f.प्रशंसा
admire	vt.प्रशंसा करणे
admired	vt.प्रशंसा केली
admirer	n+m.प्रशंसक@n+m.चाहता
admirers	n+m+pl.प्रशंसक
admiring	v.कौतुक करत आहे@a.कौतुककारी
admissibility	n+f.ग्राह्यता
admissible	a.स्वीकार्य
admission	n+f.प्रवेश
admissions	n+f.प्रवेश@n+m.कबुलीजबाब
admit	v.कबूल करणे@v.प्रवेश देणे
admits	vt.कबूल करतो
admittance	n+f.प्रवेश
admitted	v.कबूल केले@a.प्रवेश घेतलेला
admittedly	ad.मान्यतेने
admitting	vt.कबूल करणे
admixture	n+n.मिश्रण
admixtures	n+f.मिश्रणे
admonished	v.समज दिली@v.इशारा दिला
admonition	n+f.समज@n+m.इशारा
ado	n+f.गडबड
adobe	n+m.अडोब
adolescence	n+f.पौगंडावस्था
adolescent	n+m.किशोर@a.किशोरवयीन
adolescents	n+m.किशोरवयीन
adolf	n.अॅडॉल्फ
adolfo	n.अडॉल्फो
adolph	n.अॅडॉल्फ
adonis	n+m.अॅडोनिस@n+m.देखणा पुरुष
adopt	v.दत्तक घेणे@v.स्वीकारणे
adopted	a.दत्तक@v.दत्तक घेतले
adoptee	n+m.दत्तक घेतलेला
adopter	n+m.दत्तक घेणारा
adopters	n.दत्तक घेणारे
adopting	v.दत्तक घेणे@v.स्वीकारणे
adoption	n+f.दत्तक
adoptions	n.दत्तक
adoptive	a.दत्तक
adopts	vt.दत्तक घेतो
adorable	a.आकर्षक
adoration	n+f.पूजा
adore	vt.उपासना करणे
adored	v.पूजले@a.प्रेमळ
adorn	vt.सजवणे
adorned	a.सजवलेला@v.सजवला
adrenal	a.अधिवृक्क
adrenalin	n+n.अॅड्रेनालिन
adrenaline	n+n.अ‍ॅड्रेनालाइन
adrenergic	a.अॅड्रेनर्जिक
adrian	n+m.एड्रियन
adriana	n.अॅड्रियाना
adriatic	a.अॅड्रियाटिक
adrienne	n.अ‍ॅड्रियन
adrift	a.वाहत जाणारा@ad.वाहत
ads	n+f.जाहिराती
adsorbed	v.अधिशोषित केले@a.शोषलेला
adsorption	n+f.शोषण
adult	n+m.प्रौढ@a.प्रौढ
adultery	n+m.व्यभिचार
adulthood	n+n.प्रौढत्व
adults	n+m.प्रौढ
adv	n+f.जाहिरात@ad.क्रियाविशेषण
advance	n+f.प्रगती@vi.पुढे जाणे@a.आगाऊ
advanced	a.प्रगत
advancement	n+f.प्रगती@n+n.उन्नती
advancements	n.प्रगती
advances	n+f.प्रगती@v.पुढे जातो
advancing	vt.प्रगती करणे
advantage	n+m.फायदा
advantageous	a.फायदेशीर
advantages	n+m.फायदे@n+f.अनुकूलता
advection	n+f.संवहन
advent	n+n.आगमन@n+f.सुरुवात
adventist	n+m.अॅडव्हेंटिस्ट
adventure	n+n.साहस
adventurer	n+m.साहसी
adventurers	n.साहसी
adventures	n+f.साहस@n+m.धाडस
adventurous	a.साहसी
adverb	n+m.क्रियाविशेषण
adverbs	n+m.क्रियाविशेषण
adversarial	a.प्रतिकूल
adversaries	n.विरोधक
adversary	n+m.शत्रू
adverse	a.प्रतिकूल@a.विपरीत
adversely	ad.प्रतिकूलपणे
adversity	n+f.संकट
advert	n+f.जाहिरात
advertise	vt.जाहिरात करणे
advertised	v.जाहिरात केली@a.प्रसिद्ध केलेला
advertisement	n+f.जाहिरात
advertisements	n+f.जाहिराती
advertiser	n+m.जाहिरातदार
advertisers	n+m.जाहिरातदार
advertises	v.जाहिरात करतो
advertising	n+f.जाहिरात
adverts	n+f.जाहिराती
advice	n+m.सल्ला
advices	n+m.pl.सल्ले@n+f.pl.सूचना
advil	n+m.अॅडव्हिल
advisable	a.सल्ला देण्यायोग्य
advise	v.सल्ला देणे@v.सूचित करणे
advised	v.सल्ला दिला@a.सल्ला दिलेला
advisement	n+n.विचार
adviser	n+m.सल्लागार
advisers	n+m.सल्लागार
advises	vt.सल्ला देतो
advising	v.सल्ला देणे
advisor	n+m.सल्लागार
advisories	n+f.सल्लापत्रके
advisors	n+m.सल्लागार
advisory	a.सल्लागार@n+f.सल्ला
advocacy	n+f.वकिली@n+m.समर्थन
advocate	n+m.वकील@v.समर्थन करणे
advocated	vt.समर्थन केलेले
advocates	n+m.वकील@vt.समर्थन करणे
advocating	vt.समर्थन करणे
adware	n+n.अॅडवेअर
aegean	a.एजियन@n+n.एजियन समुद्र
aegis	n+m.आश्रय
aeon	n+m.युग
aeration	n+f.वातन
aerial	a.हवाई@n+f.अँटेना
aerials	n.अँटेना
aero	a.हवाई
aerobic	a.एरोबिक
aerobics	n+n.एरोबिक्स
aerodrome	n+m.विमानतळ
aerodynamic	a.वायुगतिकी
aerodynamics	n+f.वायुगतिशास्त्र
aeronautical	a.वैमानिकी
aeronautics	n+n.वैमानिकी
aeroplane	n+n.विमान
aeroplanes	n+m.विमाने
aerosol	n+m.एरोसोल
aerosols	n.एरोसोल
aerospace	n+m.एरोस्पेस@a.अंतराळ
aesop	n.इसप
aesthetic	a.सौंदर्यशास्त्रीय
aesthetically	ad.सौंदर्यदृष्ट्या
aesthetics	n+n.सौंदर्यशास्त्र
aet	n+m.अॅट
aetna	n.एटना
afar	ad.दुरून
affair	n+m.प्रकरण@n+f.घटना@n+n.प्रेमप्रकरण
affaires	n.व्यवहार
affairs	n+m.व्यवहार
affect	vt.प्रभाव पाडणे
affected	a.प्रभावित@v.प्रभावित झाले
affecting	v.प्रभावित करणे@a.प्रभावित करणारा
affection	n+f.प्रेम
affectionate	a.प्रेमळ
affectionately	ad.प्रेमाने@ad.आपुलकीने
affections	n.प्रेम@n.आपुलकी
affective	a.भावनात्मक
affects	v.प्रभावित करतो
afferent	a.अभिवाही
affiche	n+f.पोस्टर
affidavit	n+m.प्रतिज्ञापत्र
affidavits	n.प्रतिज्ञापत्रे
affiliate	n+m.संलग्न@vt.संलग्न करणे
affiliated	a.संलग्न@v.संलग्न केले
affiliates	n+m.संलग्न
affiliation	n+f.संलग्नता@n+m.संबंध
affiliations	n+f.संलग्नता
affine	a.सजातीय
affinities	n+f.pl.आत्मीयता@n+m.pl.साम्य
affinity	n+f.आत्मीयता
affirm	vt.पुष्टी करणे
affirmation	n+f.पुष्टी
affirmations	n+f+pl.पुष्टीकरणे
affirmative	a.होकारार्थी@n+f.होकार
affirmatively	ad.होकारार्थी
affirmed	a.पुष्टी केलेला
affirming	v.पुष्टी करत आहे@a.पुष्टीकारी
affirms	vt.पुष्टी करतो
affix	n+m.प्रत्यय@v.जोडणे
affixed	v.चिकटवले@a.जोडलेला
afflicted	a.पीडित
affliction	n+f.दुःख
afflictions	n+f.दुःखे@n+f.संकटे
affluence	n+f.समृद्धी@n+m.ऐश्वर्य
affluent	a.समृद्ध
afford	v.परवडणे@v.देणे
affordability	n+f.परवडणारी किंमत
affordable	a.परवडणारा
affordably	ad.परवडणाऱ्या किमतीत
afforded	vt.परवडले
affording	v.परवडत आहे
affords	vt.परवडणे
affront	n+m.अपमान@v.अपमान करणे
afghan	a.अफगाण@n+m.अफगाण व्यक्ती
afghani	n+m.अफगाणी@a.अफगाणी
afghanistan	n+n.अफगाणिस्तान
afghans	n.अफगाण लोक@n.अफगाण ब्लँकेट
aficionado	n+m.रसिक@n+m.चाहता
aficionados	n+m.शौकीन
afield	ad.दूर
afloat	a.तरंगणारा@ad.तरंगत
afoot	ad.पायी@a.चालू
aforementioned	a.वरील उल्लेखित
aforesaid	a.पूर्वोक्त
afr	n.आफ्रिका
afraid	a.घाबरलेला@a.भयभीत
africa	n+m.आफ्रिका
african	a.आफ्रिकन@n+m.आफ्रिकन
africana	n+f.आफ्रिकाना
africans	n+m.आफ्रिकन
afrikaans	n+m.आफ्रिकान्स
afro	a.आफ्रो@n+m.आफ्रो
aft	ad.मागे
after	prep.नंतर@conj.नंतर
aftercare	n+f.पश्चात काळजी
afterglow	n+f.सांजसंध्या@n+m.प्रभाव
afterlife	n+n.मरणोत्तर जीवन
aftermarket	n+m.दुय्यम बाजार
aftermath	n+m.परिणाम
afternoon	n+f.दुपार
afternoons	n.दुपार
afterschool	a.शाळेनंतरचा
aftershave	n+m.आफ्टरशेव्ह
aftershaves	n.आफ्टरशेव्ह
aftershock	n+m.उत्तरकंप
afterthought	n+f.उशिरा सुचलेली कल्पना
afterwards	ad.नंतर@ad.मागाहून
aga	n.आगा
agadir	n+n.अगादीर
again	ad.पुन्हा
against	prep.विरुद्ध
agape	a.तोंड उघडे@n+f.दैवी प्रेम
agar	n+m.आगर
agassi	n.अगासी
agate	n+m.अकीक
agatha	n.अगाथा
agave	n+f.अगावे
age	n+n.वय@n+m.युग
aged	a.वृद्ध@a.वयाचा
agee	n+m.एगी
ageing	n+n.वृद्धत्व@a.वृद्ध होणारा
ageless	a.शाश्वत
agencies	n+f.एजन्सी
agency	n+f.एजन्सी
agenda	n+f.कार्यसूची
agendas	n+f.कार्यसूची
agent	n+m.एजंट
agents	n+m.एजंट
ages	n+n.वय
aggie	n.अॅगी
