52	num.lii
Cagliari	n+m.cagliari
Cagney	n+m.cagney
Calderon	n+m.calderon
Caligula	n+m.caligula
Callas	n+f.callas
Callie	n+f.callie
Calliope	n+f.calliope
Callisto	n+m.callisto
Camacho	n+m.camacho
Candler	n+m.candler
Canuck	n+m.canuck
Cappadoce	n+f.cappadocia
Capra	n+m.capra
Caraïbe	n+m.carib
Cardenas	n+m.cardenas
Carew	n+m.carew
Carman	n+m.carman
Carmarthen	n+m.carmarthen
Carmelo	n+m.carmelo
Carnarvon	n+m.carnarvon
Carrare	n+m.carrara
Carreras	n+m.carreras
Carrillo	n+m.carrillo
Carteret	n+m.carteret
Caspar	n+m.caspar
Cassel	n+m.cassel
Cassius	n+m.cassius
Castille	n+f.castile
Cathie	n+f.cathie
Catskill	n+m.catskill
Catskills	n+m.catskills
Cauchy	n+m.cauchy
Cecelia	n+f.cecelia
Celina	n+f.celina
Cellini	n+m.cellini
Celte	n+m.celt
Cerf	n+m.cerf
Chagall	n+m.chagall
Charlemagne	n+m.charlemagne
Charleroi	n+m.charleroi
Charmaine	n+f.charmaine
Charon	n+m.charon
Chartres	n+f.chartres
Chattahoochee	n+f.chattahoochee
Chauncey	n+m.chauncey
Cherbourg	n+m.cherbourg
Chickasaw	n+m.chickasaw
Chippendale	n+m.chippendale
Chippewas	n+m.chippewas
Chittagong	n+f.chittagong
Chivas	n+m.chivas
Chostakovitch	n+m.shostakovich
Chrétien	n+m.chretien
Chypriotes	n+m.cypriots
Cinghalais	n+m.sinhalese
Clarice	n+f.clarice
Claudette	n+f.claudette
Claudine	n+f.claudine
Clemons	n+m.clemons
Clwyd	n+m.clwyd
Clydesdale	n+m.clydesdale
Cobham	n+m.cobham
Cobourg	n+m.coburg
Cochise	n+m.cochise
Cocteau	n+m.cocteau
Coimbra	n+f.coimbra
Coire	n+f.chur
Columba	n+f.columba
Congolais	n+m.congolese
Connaught	n+m.connaught
Constantia	n+f.constantia
Contreras	n+m.contreras
Copland	n+m.copland
Copperfield	n+m.copperfield
Corelli	n+m.corelli
Corinthien	n+m.corinthian
Corse	n+f.corse@n+m.corsican
Costner	n+m.costner
Cotswolds	n+m.cotswolds
Cour suprême des États-Unis	n+f.scotus
Cousteau	n+m.cousteau
Cracovie	n+m.cracow
Craigavon	n+f.craigavon
Crick	n+m.crick
Criméen	n+m.crimean
Croate	n+m.croat
Croce	n+m.croce
Crompton	n+m.crompton
Crouse	n+m.crouse
Crump	n+m.crump
Crusoé	n+m.crusoe
Cuenca	n+f.cuenca
Culbertson	n+m.culbertson
Curitiba	n+m.curitiba
Currier	n+m.currier
Curtiss	n+m.curtiss
Curzon	n+m.curzon
Cuzco	n+m.cuzco
Cyclades	n+f.cyclades
Cythérée	n+f.cytherea
Cécile	n+f.cecile
Cézanne	n+m.cezanne
Dacie	n+f.dacia
Darnell	n+m.darnell
Darrel	n+m.darrel
Darrin	n+m.darrin
Darrow	n+m.darrow
Dartmoor	n+m.dartmoor
Dato	n+m.dato
Daugherty	n+m.daugherty
Davao	n+m.davao
Debby	n+f.debby
Deccan	n+m.deccan
Defoe	n+m.defoe
Delbert	n+m.delbert
Delores	n+f.delores
Delorme	n+m.delorme
Demetrius	n+m.demetrius
Dempster	n+m.dempster
Dena	n+f.dena
Dene	n+m.dene
Derick	n+m.derick
Dermot	n+m.dermot
Deutéronome	n+m.deut
Devereux	n+m.devereux
DiMaggio	n+m.dimaggio
Dianna	n+f.dianna
Dijkstra	n+m.dijkstra
Dillinger	n+m.dillinger
Dionysos	n+m.dionysus
Dirichlet	n+m.dirichlet
Dobbins	n+m.dobbins
Doctorow	n+m.doctorow
Dominick	n+m.dominick
Donal	n+m.donal
Donn	n+m.donn
Donnas	n+f.donnas
Donnell	n+m.donnell
Dorking	n+m.dorking
Doré	n+m.dore
Dostoïevski	n+m.dostoevsky
Dotson	n+m.dotson
Dottie	n+f.dottie
Dou	n+m.dou
Dowland	n+m.dowland
Drakensberg	n+m.drakensberg
Duchamp	n+m.duchamp
Duisbourg	n+m.duisburg
Dumbarton	n+m.dumbarton
Dumbo	n+m.dumbo
Dundalk	n+m.dundalk
Dungannon	n+f.dungannon
Dunkerque	n+m.dunkirk
Dunstable	n+m.dunstable
Dunstan	n+m.dunstan
Dyfed	n+m.dyfed
Dédale	n+m.daedalus
Délos	n+f.delos
Déméter	n+f.demeter
Earhart	n+m.earhart
Earp	n+m.earp
Eben	n+m.eben
Ebola	n+m.ebola
Eck	n+m.eck
Eckhart	n+m.eckhart
Edda	n+f.edda
Ede	n+m.ede
Edsel	n+m.edsel
Effie	n+f.effie
Eggers	n+m.eggers
Egmont	n+m.egmont
Elbe	n+f.elbe
Elia	n+m.elia
Elinor	n+f.elinor
Eliz	n+f.eliz
Ellesmere	n+m.ellesmere
Ellyn	n+f.ellyn
Elma	n+f.elma
Eloy	n+m.eloy
Elseneur	n+m.elsinore
Elvin	n+m.elvin
Embarcadero	n+m.embarcadero
Enesco	n+m.enesco
Enniskillen	n+f.enniskillen
Enos	n+m.enos
Epcot	n+m.epcot
Erfurt	n+f.erfurt
Ericson	n+m.ericson
Erma	n+f.erma
Esmeralda	n+f.esmeralda
Espagnol	n+m.spaniard
Esperance	n+f.esperance
Espoo	n+f.espoo
Esquimaux	n+m.eskimos
Estella	n+f.estella
Eugenio	n+m.eugenio
Euphrate	n+m.euphrates
Euripide	n+m.euripides
Eurythmics	n+m.eurythmics
Evita	n+f.evita
Fabergé	n+m.faberge
Falstaff	n+m.falstaff
Falwell	n+m.falwell
Farrow	n+m.farrow
Fauré	n+m.faure
Fawkes	n+m.fawkes
Fayçal	n+m.faisal
Felice	n+f.felice
Fellini	n+m.fellini
Fianna	n+f.fianna
Fibonacci	n+m.fibonacci
Fidjien	n+m.fijian
Fiedler	n+m.fiedler
Finnegan	n+m.finnegan
Fleury	n+m.fleury
Floridien	n+m.floridian
Florsheim	n+m.florsheim
Fokker	n+m.fokker
Fontainebleau	n+m.fontainebleau
Fortaleza	n+f.fortaleza
Fostoria	n+f.fostoria
Franconie	n+f.franconia
Françoise	n+f.francoise
Freda	n+f.freda
Freetown	n+m.freetown
Fresnel	n+m.fresnel
Freya	n+f.freya
Fribourg	n+f.fribourg
Frieda	n+f.frieda
Frisch	n+m.frisch
Frison	n+m.frisian
Frito	n+m.frito
Fromm	n+m.fromm
Frontenac	n+m.frontenac
Fujiwara	n+m.fujiwara
Funchal	n+m.funchal
Fundy	n+m.fundy
GTD	n+m.gtd
Gaborone	n+m.gaborone
Galle	n+f.galle
Gallegos	n+m.gallegos
Galois	n+m.galois
Gama	n+m.gama
Gambien	n+m.gambian
Gambier	n+m.gambier
Ganesh	n+m.ganesha
Gange	n+m.ganges
Ganymède	n+m.ganymede
Garbo	n+m.garbo
Garrick	n+m.garrick
Gaspar	n+m.gaspar
Gatorade	n+m.gatorade
Gauguin	n+m.gauguin
Gautier	n+m.gautier
Gaya	n+f.gaya
Gdansk	n+m.gdansk
Gehrig	n+m.gehrig
Gena	n+f.gena
Gengis	n+m.genghis
Gerardo	n+m.gerardo
Gestapo	n+f.gestapo
Gibraltar	n+m.gib
Gigli	n+m.gigli
Gilda	n+f.gilda
Gilgamesh	n+m.gilgamesh
Gillies	n+m.gillies
Gilson	n+m.gilson
Giselle	n+f.giselle
Gish	n+m.gish
Gizeh	n+f.giza
Glassman	n+m.glassman
Glaxo	n+m.glaxo
Glazer	n+m.glazer
Glenna	n+f.glenna
Gluck	n+m.gluck
Godard	n+m.godard
Golan	n+m.golan
Goldstone	n+m.goldstone
Goldwater	n+m.goldwater
Goldwyn	n+m.goldwyn
Gonzalo	n+m.gonzalo
Gorey	n+m.gorey
Gorton	n+m.gorton
Gosling	n+m.gosling
Gosport	n+m.gosport
Goths	n+m.goths
Graceland	n+m.graceland
Grahame	n+m.grahame
Gravesend	n+m.gravesend
Greenock	n+m.greenock
Gregorio	n+m.gregorio
Grendel	n+m.grendel
Grenville	n+m.grenville
Gretel	n+f.gretel
Grieg	n+m.grieg
Grote	n+m.grote
Guanajuato	n+m.guanajuato
Guayaquil	n+f.guayaquil
Guin	n+m.guin
Gulliver	n+m.gulliver
Guyanien	n+m.guyanese
Gwalior	n+m.gwalior
Gwendolyn	n+f.gwendolyn
Gwyn	n+f.gwyn
Haarlem	n+f.haarlem
Hackman	n+m.hackman
Hadrien	n+m.hadrian
Haig	n+m.haig
Hainan	n+m.hainan
Hales	n+m.hales
Hamill	n+m.hamill
Hammerstein	n+m.hammerstein
Hammett	n+m.hammett
Hansel	n+m.hansel
Harbin	n+m.harbin
Haring	n+m.haring
Harland	n+m.harland
Havel	n+m.havel
Havelock	n+m.havelock
Havering	n+m.havering
Hawaïens	n+m.hawaiians
Heaney	n+m.heaney
Heep	n+m.heep
Hefner	n+m.hefner
Heidegger	n+m.heidegger
Heine	n+m.heine
Heisenberg	n+m.heisenberg
Helga	n+f.helga
Helmholtz	n+m.helmholtz
Heriot	n+m.heriot
Hermon	n+m.hermon
Herne	n+m.herne
Herzégovine	n+f.hercegovina
Hessien	n+m.hessian
Hezbollah	n+m.hezbollah
Hiawatha	n+m.hiawatha
Hibernie	n+f.hibernia
Hibernien	n+m.hibernian
Hildebrand	n+m.hildebrand
Hmong	n+m.mong
Hod	n+m.hod
Hogarth	n+m.hogarth
Hogue	n+m.hogue
Hoke	n+m.hoke
Hollandais	n+m.dutchman
Holst	n+m.holst
Hondo	n+m.hondo
Hornblower	n+m.hornblower
Horus	n+m.horus
Hotspur	n+m.hotspur
Houdini	n+m.houdini
Howrah	n+m.howrah
Huelva	n+f.huelva
Humberto	n+m.humberto
Humvee	n+m.humvee
Huygens	n+m.huygens
Hébrides	n+f.hebrides
Hérodote	n+m.herodotus
Ibo	n+m.ibo
Ibsen	n+m.ibsen
Iliade	n+f.iliad
Imogen	n+f.imogen
Indira	n+f.indira
Indochine	n+f.indochina
Indra	n+m.indra
Inez	n+f.inez
Ingle	n+m.ingle
Ingleside	n+m.ingleside
Ingres	n+m.ingres
Intelsat	n+m.intelsat
Invercargill	n+f.invercargill
Ionie	n+f.ionia
Ionien	n+m.ionian
Irlandais	n+m.irishman
Ischia	n+f.ischia
Ismaël	n+m.ismael
Israélite	n+m.israelite
Issac	n+m.issac
Iwo	n+m.iwo
Jacky	n+m.jacky
Jaclyn	n+f.jaclyn
Jacobus	n+m.jacobus
Jacques	n+m.jacque
Jaffa	n+f.jaffa
Jakes	n+m.jakes
Jalisco	n+m.jalisco
Jami	n+m.jami
Jamshedpur	n+m.jamshedpur
Janette	n+f.janette
Jarrod	n+m.jarrod
Jarrow	n+m.jarrow
Javanais	n+m.javanese
Jeanine	n+f.jeanine
Jeffreys	n+m.jeffreys
Jemima	n+f.jemima
Jenner	n+m.jenner
Jerez	n+m.jerez
Jhansi	n+m.jhansi
Jilin	n+m.jilin
Johnathan	n+m.johnathan
Jonson	n+m.jonson
Josephs	n+m.josephs
Josephson	n+m.josephson
Josèphe	n+m.josephus
Juana	n+f.juana
Jud	n+m.jud
Judée	n+f.judea
Juilliard	n+m.julliard
Jupiter	n+m.jove
Jutland	n+m.jutland
Jésus	n+m.jesu
Jézabel	n+f.jezebel
Kaiserslautern	n+f.kaiserslautern
Kalb	n+m.kalb
Kalgoorlie	n+m.kalgoorlie
Kalimantan	n+m.kalimantan
Kaliningrad	n+m.kaliningrad
Kamehameha	n+m.kamehameha
Kamtchatka	n+f.kamchatka
Kanazawa	n+f.kanazawa
Kandahar	n+m.kandahar
Kandinsky	n+m.kandinsky
Kandy	n+m.kandy
Kaohsiung	n+m.kaohsiung
Kareem	n+m.kareem
Karol	n+m.karol
Karyn	n+f.karyn
Kasparov	n+m.kasparov
Kathie	n+f.kathie
Katowice	n+f.katowice
Kaunas	n+f.kaunas
Keillor	n+m.keillor
Keitel	n+m.keitel
Keogh	n+m.keogh
Kerman	n+m.kerman
Kerouac	n+m.kerouac
Kharkiv	n+f.kharkov
Khomeiny	n+m.khomeini
Kidder	n+m.kidder
Kierkegaard	n+m.kierkegaard
Kilroy	n+m.kilroy
Kinabalu	n+m.kinabalu
Kingstown	n+m.kingstown
Kiowa	n+m.kiowa
Kirchner	n+f.kirchner
Kirkcaldy	n+m.kirkcaldy
Kirkouk	n+f.kirkuk
Kish	n+m.kish
Klee	n+m.klee
Klimt	n+m.klimt
Klondike	n+m.klondike
Knesset	n+f.knesset
Knudsen	n+m.knudsen
Knuth	n+m.knuth
Kootenay	n+m.kootenay
Koppel	n+m.koppel
Koursk	n+f.kursk
Kristie	n+f.kristie
Kuching	n+f.kuching
Kunming	n+m.kunming
Kurosawa	n+m.kurosawa
Kurtis	n+m.kurtis
Kyd	n+m.kyd
Kyushu	n+m.kyushu
La Valette	n+f.valletta
Laban	n+m.laban
Laconie	n+f.laconia
Ladysmith	n+m.ladysmith
Lakshmi	n+f.lakshmi
Lamaze	n+m.lamaze
Landes	n+f.landes
Langmuir	n+m.langmuir
Langton	n+m.langton
Lanny	n+m.lanny
Laotien	n+m.laotian
Laponie	n+f.lapland
Larne	n+f.larne
Laski	n+m.laski
Lassie	n+f.lassie
Latins	n+m.latins
Laverne	n+f.laverne
Lavinia	n+f.lavinia
Lazar	n+m.lazar
Le Cap	n+m.capetown
Le Pirée	n+m.piraeus
Lecce	n+f.lecce
Lech	n+m.lech
Lenore	n+f.lenore
Leonora	n+f.leonora
Leto	n+m.leto
Levant	n+m.levant
Levesque	n+m.levesque
Levittown	n+m.levittown
Leyde	n+f.leyden
Liaoning	n+m.liaoning
Lichtenstein	n+m.lichtenstein
Lidia	n+f.lidia
Ligurie	n+f.liguria
Lilliput	n+m.lilliput
Limassol	n+m.limassol
Limbourg	n+m.limburg
Limousin	n+m.limousin
Linné	n+m.linnaeus
Lipscomb	n+m.lipscomb
Lisburn	n+m.lisburn
Liston	n+m.liston
Litton	n+m.litton
Livia	n+f.livia
Livourne	n+f.livorno
Lockyer	n+m.lockyer
Lomax	n+m.lomax
Lombok	n+m.lombok
Londoniens	n+m.londoners
Londres	n+m.lond
Longfellow	n+m.longfellow
Lorca	n+m.lorca
Lorelei	n+f.lorelei
Lorena	n+f.lorena
Lorie	n+f.lorie
Lorrie	n+f.lorrie
Lothians	n+m.lothians
Lottie	n+f.lottie
Louvain	n+m.louvain
Lovecraft	n+m.lovecraft
Lowestoft	n+m.lowestoft
Loyd	n+m.loyd
Lucien	n+m.lucian
Lucile	n+f.lucile
Lucio	n+m.lucio
Lucrèce	n+f.lucretia
Luftwaffe	n+f.luftwaffe
Luger	n+m.luger
Lugo	n+m.lugo
Lupe	n+f.lupe
Lusaka	n+f.lusaka
Luçon	n+m.luzon
Lviv	n+f.lviv
Lytton	n+m.lytton
Léda	n+f.leda
Léonidas	n+m.leonidas
Macc	n+m.macc
Machiavel	n+m.machiavelli
Macédoine	n+f.macedon
Madge	n+f.madge
Madura	n+f.madura
Maduro	n+m.maduro
Magdalen	n+f.magdalen
Magdebourg	n+m.magdeburg
Majeur	n+m.maggiore
Malabar	n+m.malabar
Malacca	n+m.malacca
Malaisie	n+f.malaya
Maldivien	n+m.maldive
Maldon	n+m.maldon
Maldonado	n+m.maldonado
Malmö	n+m.malmo
Malouines	n+f.falklands
Mamie	n+f.mamie
Managua	n+f.managua
Mandchou	n+m.manchu@n+m.manchurian
Mandchourie	n+f.manchuria
Manet	n+m.manet
Manipur	n+m.manipur
Mantoue	n+f.mantua
Manuela	n+f.manuela
Maputo	n+m.maputo
Marceau	n+m.marceau
Marcella	n+f.marcella
Marcellus	n+m.marcellus
Marci	n+f.marci
Marcie	n+f.marcie
Mardochée	n+m.mordecai
Marengo	n+m.marengo
Margery	n+f.margery
Margherita	n+f.margherita
Margret	n+f.margret
Mariannes	n+f.marianas
Marple	n+f.marple
Marrakech	n+f.marrakesh
Martiens	n+m.martians
Marvell	n+m.marvell
Maryann	n+f.maryann
Matts	n+m.matts
Mauricio	n+m.mauricio
Mauritanien	n+m.mauritanian
Maximilien	n+m.maximilian
McNaughton	n+m.mcnaughton
McVeigh	n+m.mcveigh
Meagan	n+f.meagan
Meerut	n+m.meerut
Meiji	n+m.meiji
Melba	n+f.melba
Mendel	n+m.mendel
Menominee	n+m.menominee
Mensa	n+m.mensa
Mercator	n+m.mercator
Mersey	n+f.mersey
Mervyn	n+m.mervyn
Mexicali	n+m.mexicali
Mgr	n+m.msgr
Micky	n+m.micky
Midgard	n+m.midgard
Milken	n+m.milken
Milos	n+m.milos
Mingus	n+m.mingus
Minna	n+f.minna
Minos	n+m.minos
Minter	n+m.minter
Mitchel	n+m.mitchel
Mitzi	n+f.mitzi
Modigliani	n+m.modigliani
Moghol	n+m.mughal
Mohave	n+m.mohave
Mohegan	n+m.mohegan
Moldavie	n+f.moldavia
Molnar	n+m.molnar
Molotov	n+m.molotov
Mombasa	n+m.mombasa
Mongol	n+m.mongol
Montagu	n+m.montagu
Montaigne	n+m.montaigne
Montfort	n+m.montfort
Montmartre	n+m.montmartre
Montparnasse	n+m.montparnasse
Moravie	n+f.moravia
Morita	n+m.morita
Motrin	n+m.motrin
Mout	n+m.mut
Moët	n+m.moet
Mumford	n+m.mumford
Murat	n+m.murat
Murchison	n+m.murchison
Murrow	n+m.murrow
Muskogee	n+m.muskogee
Mussolini	n+m.mussolini
Myrna	n+f.myrna
Mésopotamien	n+m.mesopotamian
Nabisco	n+m.nabisco
Nabokov	n+m.nabokov
Nagaland	n+m.nagaland
Nagano	n+m.nagano
Nairn	n+m.nairn
Nama	n+m.nama
Nanette	n+f.nanette
Naplouse	n+f.nablus
Napolitain	n+m.neapolitan
Narragansett	n+m.narragansett
Nebo	n+m.nebo
Nettie	n+f.nettie
Nev	n+m.nev
Neva	n+f.neva
Nevin	n+m.nevin
Nichole	n+f.nichole
Nicobar	n+m.nicobar
Nicolai	n+m.nicolai
Nicolson	n+m.nicolson
Nigérians	n+m.nigerians
Niigata	n+f.niigata
Nimrod	n+m.nimrod
Nita	n+f.nita
Nivea	n+f.nivea
Noddy	n+m.noddy
Nona	n+f.nona
Noreen	n+f.noreen
Normand	n+m.norseman
Northumbrie	n+f.northumbria
Nosferatu	n+m.nosferatu
Nostradamus	n+m.nostradamus
Novgorod	n+m.novgorod
Noyes	n+m.noyes
Noëlle	n+f.noelle
Nubien	n+m.nubian
Occam	n+m.occam
Ochoa	n+m.ochoa
Octavie	n+f.octavia
Odell	n+m.odell
Odense	n+f.odense
Offenbach	n+m.offenbach
Ogilvy	n+m.ogilvy
Oglethorpe	n+m.oglethorpe
Okie	n+m.okie
Okla	n+m.okla
Oktoberfest	n+f.oktoberfest
Olav	n+m.olav
Oldenburg	n+m.oldenburg
Oliphant	n+m.oliphant
Olivet	n+m.olivet
Olympiens	n+m.olympians
Omagh	n+m.omagh
Omanais	n+m.omani
Omer	n+m.omer
Oran	n+m.oran
Orangistes	n+m.orangemen
Oreo	n+m.oreo
Oriente	n+m.oriente
Origène	n+m.origen
Orly	n+m.orly
Osgood	n+m.osgood
Ottomans	n+m.ottomans
Ouachita	n+m.ouachita
Oufa	n+f.ufa
Ougandais	n+m.ugandan
Oulu	n+m.oulu
Oural	n+m.ural
Ouse	n+f.ouse
Oxbridge	n+m.oxbridge
PPR	n+m.ppr
Padoue	n+f.padua
Paganini	n+m.paganini
Pakistanais	n+m.pakistanis
Paley	n+m.paley
Pallas	n+f.pallas
Pampelune	n+f.pamplona
Pampers	n+m.pampers
Parkin	n+m.parkin
Paros	n+m.paros
Parthénon	n+m.parthenon
Pasquale	n+m.pasquale
Paton	n+m.paton
Patras	n+f.patras
Paulette	n+f.paulette
Pauli	n+m.pauli
Pauling	n+m.pauling
Pavarotti	n+m.pavarotti
Pawnee	n+m.pawnee
Peirce	n+m.peirce
Pella	n+f.pella
Pelé	n+m.pele
Pendragon	n+m.pendragon
Penna	n+f.penna
Penobscot	n+m.penobscot
Pentecôte	n+f.whitsunday
Pepys	n+m.pepys
Pequot	n+m.pequot
Pera	n+f.pera
Perdido	n+m.perdido
Perrier	n+m.perrier
Persans	n+m.persians
Peshawar	n+m.peshawar
Petter	n+m.petter
Philippa	n+f.philippa
Philistins	n+m.philistines
Phébé	n+f.phebe
Phénicien	n+m.phoenician
Piaget	n+m.piaget
Pickwick	n+m.pickwick
Piet	n+m.piet
Pilsen	n+f.pilsen
Pinckney	n+m.pinckney
Pinkerton	n+m.pinkerton
Pinter	n+m.pinter
Piémont	n+m.piemonte
Plath	n+f.plath
Pliocène	n+m.pliocene
Plovdiv	n+m.plovdiv
Plutarque	n+m.plutarch
Poincaré	n+m.poincare
Poirot	n+m.poirot
Poitiers	n+m.poitiers
Pola	n+f.pola
Polanski	n+m.polanski
Pompée	n+m.pompey
Poppins	n+f.poppins
Portia	n+f.portia
Posen	n+f.posen
Pouilles	n+f.puglia
Pourim	n+m.purim
Powhatan	n+m.powhatan
Poznań	n+m.poznan
Prater	n+m.prater
Prato	n+m.prato
Pravda	n+f.pravda
Priestley	n+m.priestley
Prinz	n+m.prinz
Pristina	n+f.pristina
Prokofiev	n+m.prokofiev
Proust	n+m.proust
Provençal	n+m.provencal
Pruitt	n+m.pruitt
Ptolémée	n+m.ptolemy
Puckett	n+m.puckett
Pye	n+m.pye
Pythagore	n+m.pythagoras
Pékin	n+m.pekin
Pépin	n+m.pepin
Qatarien	n+m.qatari
Quayle	n+m.quayle
Quezon	n+m.quezon
Quin	n+m.quin
Rabat	n+m.rabat
Rachelle	n+f.rachelle
Raff	n+m.raff
Rall	n+m.rall
Ramsgate	n+f.ramsgate
Rangoun	n+m.rangoon
Rath	n+m.rath
Ratisbonne	n+m.regensburg
