reside	vi.cư trú
accessing	v.truy cập@v.tiếp cận
accesses	v.truy cập@n.truy cập
accessed	v.truy cập@a.được truy cập
slip	v.trượt@v.tuột@n.sự trượt@n.phiếu
slipped	v.trượt@v.đã trượt
skid	v.trượt@n.trượt
sliding	v.trượt@a.trượt
skate	v.trượt băng@n.giày trượt
slid	v.trượt
slipping	v.trượt
slither	v.trườn
punished	v.trừng phạt@a.bị trừng phạt
punish	v.trừng phạt
sanctioned	v.trừng phạt
coincide	v.trùng hợp
averaging	v.trung bình@n.việc tính trung bình
averaged	v.trung bình@a.trung bình
showcases	v.trưng bày@n.tủ trưng bày
banish	v.trục xuất
deport	v.trục xuất
oust	v.truất phế
subtract	v.trừ
looks	v.trông@n.vẻ ngoài
planted	v.trồng@a.được trồng
cultivated	v.trồng trọt
refereed	v.trọng tài
mixing	v.trộn@n.trộn
mix	v.trộn@n.hỗn hợp
mixes	v.trộn@n.hỗn hợp
escape	v.trốn thoát@v.thoát@n.sự trốn thoát
escaped	v.trốn thoát@a.đã trốn thoát
escapes	v.trốn thoát
escaping	v.trốn thoát
bind	v.trói@v.ràng buộc
hogtied	v.trói@a.bị trói
elapsed	v.trôi qua
drift	v.trôi dạt@n.sự trôi dạt
drifting	v.trôi dạt
returning	v.trở về@v.trả lại
return	v.trở về@n.sự trở về
become	v.trở thành
becomes	v.trở thành
gawk	v.trố mắt
revert	v.trở lại
chat	v.trò chuyện@n.trò chuyện
converse	v.trò chuyện@n.điều ngược lại@a.ngược lại
chatting	v.trò chuyện
subsidized	v.trợ cấp
presenting	v.trình bày@v.giới thiệu
misrepresent	v.trình bày sai
convened	v.triệu tập
exhibited	v.triển lãm@a.được triển lãm
exhibiting	v.triển lãm
deploying	v.triển khai@n.việc triển khai
deployed	v.triển khai@a.được triển khai
deploy	v.triển khai
extract	v.trích xuất@n.chiết xuất
extracted	v.trích xuất@a.được trích xuất
extracting	v.trích xuất
cite	v.trích dẫn@v.viện dẫn
cited	v.trích dẫn@v.dẫn chứng
quoted	v.trích dẫn@a.được trích dẫn
cites	v.trích dẫn
citing	v.trích dẫn
quoting	v.trích dẫn
delayed	v.trì hoãn@a.bị trì hoãn
tease	v.trêu chọc
teasing	v.trêu chọc
hang	v.treo@v.mắc
hangs	v.treo@v.lủng lẳng
hanging	v.treo@a.treo
hung	v.treo@a.được treo
scratches	v.trầy@n.trầy
derail	v.trật đường ray
awarded	v.trao@v.thưởng
handed	v.trao@a.có tay
empowering	v.trao quyền@a.trao quyền
empower	v.trao quyền
empowered	v.trao quyền
swap	v.trao đổi@n.sự trao đổi
exchanged	v.trao đổi@a.đã trao đổi
bandy	v.trao đổi
exchanging	v.trao đổi
awarding	v.trao
confer	v.trao
conferred	v.trao
handing	v.trao
avoided	v.tránh@a.được tránh
argue	v.tranh luận@v.lập luận
argued	v.tranh luận@v.lập luận
argues	v.tranh luận
arguing	v.tranh luận
debated	v.tranh luận
debating	v.tranh luận
vie	v.tranh giành@v.cạnh tranh
contend	v.tranh giành
contends	v.tranh giành
contested	v.tranh chấp
disputed	v.tranh chấp
avoid	v.tránh
avoiding	v.tránh
avoids	v.tránh
decorating	v.trang trí@n.trang trí
decorated	v.trang trí@a.được trang trí
decorate	v.trang trí
furnish	v.trang bị@v.cung cấp
equipped	v.trang bị@a.được trang bị
equip	v.trang bị
overflow	v.tràn@n.tràn
cherished	v.trân trọng
ceil	v.trần
spills	v.tràn
aggravated	v.trầm trọng hơn
undergoing	v.trải qua@v.đang trải qua
undergo	v.trải qua@v.chịu đựng
experiencing	v.trải qua
undergone	v.trải qua
underwent	v.trải qua
pays	v.trả@v.thanh toán
pay	v.trả@n.lương
tortured	v.tra tấn@a.bị tra tấn
responded	v.trả lời@v.phản ứng
responding	v.trả lời@v.phản ứng
answered	v.trả lời@v.giải đáp
replied	v.trả lời@v.đáp
reply	v.trả lời@n.trả lời
answering	v.trả lời
replying	v.trả lời
respond	v.trả lời
responds	v.trả lời
repay	v.trả lại
retaliate	v.trả đũa
graduating	v.tốt nghiệp@n.việc tốt nghiệp
graduated	v.tốt nghiệp@a.theo cấp độ
generalized	v.tổng quát hóa@a.tổng quát
aggregated	v.tổng hợp
synthesized	v.tổng hợp
respecting	v.tôn trọng@prep.liên quan đến
respects	v.tôn trọng@n.sự tôn trọng
existed	v.tồn tại@a.đã tồn tại
exist	v.tồn tại
exists	v.tồn tại
summarize	v.tóm tắt@v.tổng kết
recap	v.tóm tắt@n.tóm tắt
summarized	v.tóm tắt@a.được tóm tắt
summarizes	v.tóm tắt
optimized	v.tối ưu hóa@a.được tối ưu
optimise	v.tối ưu hóa
optimize	v.tối ưu hóa
optimizing	v.tối ưu hóa
methinks	v.tôi nghĩ
maximizing	v.tối đa hóa@n.việc tối đa hóa
maximise	v.tối đa hóa
maximize	v.tối đa hóa
darken	v.tối
shine	v.tỏa sáng@n.sự tỏa sáng
shining	v.tỏa sáng@a.sáng
shines	v.tỏa sáng
radiate	v.tỏa ra
organise	v.tổ chức@v.sắp xếp
organize	v.tổ chức@v.sắp xếp
organising	v.tổ chức@n.việc tổ chức
organised	v.tổ chức@a.có tổ chức
organizing	v.tổ chức
tally	v.tính toán@n.tính toán
calculating	v.tính toán@a.tính toán
computed	v.tính toán@a.được tính toán
calculate	v.tính toán
calculates	v.tính toán
compute	v.tính toán
figuring	v.tính toán
volunteering	v.tình nguyện@n.tình nguyện
volunteered	v.tình nguyện
timed	v.tính giờ@a.được tính giờ
costing	v.tính giá@n.việc tính giá
refine	v.tinh chế@v.cải thiện
purified	v.tinh chế@a.đã tinh chế
refining	v.tinh chế
believed	v.tin@v.tin tưởng
believes	v.tin@v.tin tưởng
believing	v.tin@n.niềm tin
believe	v.tin
finds	v.tìm thấy@n.phát hiện
seeks	v.tìm kiếm@v.tìm
sought	v.tìm kiếm@v.tìm
searched	v.tìm kiếm@v.khám xét
search	v.tìm kiếm@n.tìm kiếm
seek	v.tìm kiếm
find	v.tìm
expend	v.tiêu tốn
consuming	v.tiêu thụ@a.tốn nhiều
consumed	v.tiêu thụ@a.được tiêu thụ
consume	v.tiêu thụ
reveals	v.tiết lộ@v.bộc lộ
reveal	v.tiết lộ@v.bày tỏ
revealed	v.tiết lộ@v.bày tỏ
revealing	v.tiết lộ@a.hở hang
disclosed	v.tiết lộ@a.được tiết lộ
disclose	v.tiết lộ
resumes	v.tiếp tục@n.sơ yếu lý lịch
continue	v.tiếp tục
continues	v.tiếp tục
resumed	v.tiếp tục
marketed	v.tiếp thị@a.được tiếp thị
approaching	v.tiếp cận@a.sắp tới
approached	v.tiếp cận@a.được tiếp cận
prophesy	v.tiên tri
advancing	v.tiến lên@a.tiến bộ
evolved	v.tiến hóa@a.phát triển
evolving	v.tiến hóa@a.đang phát triển
evolve	v.tiến hóa
proceed	v.tiến hành@v.tiếp tục
proceeded	v.tiến hành@v.đã tiến hành
conducting	v.tiến hành@v.chỉ huy
conducts	v.tiến hành@v.chỉ huy
conduct	v.tiến hành@n.hành vi
progressed	v.tiến bộ
progresses	v.tiến bộ
injected	v.tiêm@a.đã tiêm
accumulated	v.tích lũy@a.được tích lũy
accrued	v.tích lũy@a.đã tích lũy
accumulate	v.tích lũy
integrate	v.tích hợp@v.hòa nhập
integrates	v.tích hợp
integrating	v.tích hợp
convinced	v.thuyết phục@a.tin tưởng
convince	v.thuyết phục
persuade	v.thuyết phục
persuaded	v.thuyết phục
preaching	v.thuyết giáo@n.việc thuyết giáo
preach	v.thuyết giáo
indent	v.thụt đầu dòng@n.thụt đầu dòng
enjoying	v.thưởng thức@v.tận hưởng
commercialize	v.thương mại hóa
rewarded	v.thưởng
belong	v.thuộc về@v.là của
belonging	v.thuộc về@n.tài sản
belonged	v.thuộc về
belongs	v.thuộc về
hiring	v.thuê@n.tuyển dụng
rent	v.thuê@n.tiền thuê
rents	v.thuê@n.tiền thuê
renting	v.thuê@n.cho thuê
hired	v.thuê@a.được thuê
leased	v.thuê@a.được thuê
rented	v.thuê@a.được thuê
chartered	v.thuê@a.được cấp phép
outsource	v.thuê ngoài
outsourced	v.thuê ngoài
employs	v.thuê
hire	v.thuê
hires	v.thuê
wake	v.thức@v.đánh thức@n.sự thức giấc
awakening	v.thức tỉnh@n.thức tỉnh
execute	v.thực thi@v.xử tử
executed	v.thực thi@v.xử tử
executes	v.thực thi
executing	v.thực thi
implementing	v.thực hiện@v.triển khai
undertaken	v.thực hiện@v.đảm nhận
undertake	v.thực hiện@v.cam kết
performs	v.thực hiện@v.biểu diễn
implements	v.thực hiện@n.công cụ
effected	v.thực hiện
implement	v.thực hiện
perform	v.thực hiện
practise	v.thực hành
urge	v.thúc giục@n.thôi thúc
urges	v.thúc giục@n.thôi thúc
prod	v.thúc giục@n.sự thúc giục
urged	v.thúc giục@a.được thúc giục
urging	v.thúc giục
promoting	v.thúc đẩy@v.quảng bá
boosts	v.thúc đẩy@n.tăng cường
waking	v.thức dậy@a.thức
woke	v.thức dậy@a.nhận thức
boosting	v.thúc đẩy
motivate	v.thúc đẩy
promote	v.thúc đẩy
losing	v.thua@v.mất
admitted	v.thừa nhận@v.nhận vào
acknowledge	v.thừa nhận@v.ghi nhận
acknowledges	v.thừa nhận@v.công nhận
admit	v.thừa nhận@v.cho phép vào
acknowledged	v.thừa nhận@a.được công nhận
acknowledging	v.thừa nhận
admits	v.thừa nhận
admitting	v.thừa nhận
inherited	v.thừa kế@a.di truyền
inherit	v.thừa kế
gather	v.thu thập@v.tập hợp
collect	v.thu thập@v.sưu tầm@v.thu
collecting	v.thu thập@v.sưu tầm
garner	v.thu thập@n.Garner
collects	v.thu thập
conceived	v.thụ thai@a.được hình thành
scaled	v.thu nhỏ@a.có tỷ lệ
confess	v.thú nhận
attract	v.thu hút@v.hấp dẫn
attracting	v.thu hút@n.việc thu hút
attracted	v.thu hút@a.bị thu hút
attracts	v.thu hút
recalled	v.thu hồi@v.nhớ lại
recalls	v.thu hồi@n.thu hồi
revoke	v.thu hồi
revoked	v.thu hồi
harvested	v.thu hoạch
narrowed	v.thu hẹp
relax	v.thư giãn@v.nghỉ ngơi
relaxing	v.thư giãn@a.thư giãn
acquires	v.thu được@v.mua lại
masturbate	v.thủ dâm
masturbating	v.thủ dâm
try	v.thử
dominated	v.thống trị@a.bị thống trị
dominate	v.thống trị
dominates	v.thống trị
sympathize	v.thông cảm
announce	v.thông báo@v.tuyên bố
announces	v.thông báo@v.công bố
inform	v.thông báo@v.cho biết
notified	v.thông báo@a.được thông báo
announcing	v.thông báo
informing	v.thông báo
informs	v.thông báo
notify	v.thông báo
taper	v.thon dần@n.nến
blew	v.thổi@v.đã thổi
rot	v.thối@n.thối rữa
puff	v.thổi@n.thổi
blow	v.thổi@n.cú đánh
blown	v.thổi@a.bị thổi
blowing	v.thổi
exiting	v.thoát ra
drain	v.thoát nước@n.cống
drains	v.thoát nước@n.cống
rid	v.thoát khỏi@v.loại bỏ
divest	v.thoái vốn
satisfy	v.thỏa mãn@v.đáp ứng
sate	v.thỏa mãn
satisfies	v.thỏa mãn
compromised	v.thỏa hiệp@a.bị xâm phạm
exhale	v.thở ra
worship	v.thờ phượng@v.thờ cúng@n.sự thờ phượng
pant	v.thở hổn hển@n.quần
sigh	v.thở dài@n.tiếng thở dài
breathe	v.thở
lacking	v.thiếu@a.thiếu
lacked	v.thiếu
lacks	v.thiếu
reestablish	v.thiết lập lại
establishes	v.thiết lập
instituted	v.thiết lập
designing	v.thiết kế@n.thiết kế
engineered	v.thiết kế@a.được thiết kế
redesign	v.thiết kế lại@n.việc thiết kế lại
redesigned	v.thiết kế lại
damaged	v.thiệt hại@a.bị hư hại
enjoyed	v.thích@v.tận hưởng
like	v.thích@prep.như
liking	v.thích@n.thích
likes	v.thích@n.sở thích
liked	v.thích@a.được yêu thích
adapted	v.thích nghi@a.được điều chỉnh
adapt	v.thích nghi
adapting	v.thích nghi
prefer	v.thích hơn@v.ưa thích
prefers	v.thích hơn
enjoy	v.thích
enjoys	v.thích
whisper	v.thì thầm@n.tiếng thì thầm
whispered	v.thì thầm
enforced	v.thi hành@a.được thi hành
enforce	v.thi hành
enforcing	v.thi hành
trailing	v.theo sau@a.theo sau
pursue	v.theo đuổi@v.tiếp tục
pursued	v.theo đuổi@a.bị theo đuổi
pursuing	v.theo đuổi
track	v.theo dõi@n.đường
tracked	v.theo dõi@a.có đường ray
follow	v.theo dõi
traced	v.theo dõi
follows	v.theo
adds	v.thêm@v.cộng
append	v.thêm vào@v.phụ lục
add	v.thêm
express	v.thể hiện@a.nhanh
embodied	v.thể hiện
expresses	v.thể hiện
expressing	v.thể hiện
remortgage	v.thế chấp lại
swear	v.thề
see	v.thấy@v.nhìn
substitutes	v.thay thế@n.thay thế
substituted	v.thay thế@a.được thay thế
replaced	v.thay thế
replaces	v.thay thế
replacing	v.thay thế
substituting	v.thay thế
supersede	v.thay thế
superseded	v.thay thế
supplant	v.thay thế
alter	v.thay đổi@v.sửa đổi
change	v.thay đổi@n.thay đổi
varying	v.thay đổi@a.khác nhau
altered	v.thay đổi@a.được thay đổi
resize	v.thay đổi kích thước
altering	v.thay đổi
varies	v.thay đổi
tighten	v.thắt chặt
fails	v.thất bại@v.hỏng
failing	v.thất bại@a.yếu đi@prep.nếu không có
fail	v.thất bại
lit	v.thắp sáng@a.được chiếu sáng
lighted	v.thắp sáng
manipulate	v.thao túng@v.vận dụng
manipulated	v.thao túng
manipulating	v.thao túng
disassemble	v.tháo rời
discuss	v.thảo luận
discusses	v.thảo luận
discussing	v.thảo luận
purge	v.thanh trừng
mastering	v.thành thạo@n.việc làm chủ
liquidate	v.thanh lý
establishing	v.thành lập@v.thiết lập
founded	v.thành lập@v.sáng lập
founding	v.thành lập@a.sáng lập
establish	v.thành lập
succeed	v.thành công@v.kế thừa
succeeded	v.thành công@a.đã thành công
succeeds	v.thành công
trump	v.thắng@n.Trump
win	v.thắng@n.chiến thắng
wins	v.thắng@n.chiến thắng
promotes	v.thăng chức@v.quảng bá
promoted	v.thăng chức@a.được thăng chức
visited	v.thăm@v.viếng
visit	v.thăm@n.chuyến thăm
questioning	v.thẩm vấn@n.thẩm vấn
questioned	v.thẩm vấn@a.bị nghi ngờ
interrogate	v.thẩm vấn
refer	v.tham khảo
engage	v.tham gia@v.thu hút
joining	v.tham gia@v.nối
engaged	v.tham gia@a.đính hôn@a.bận
rejoin	v.tham gia lại
engages	v.tham gia
join	v.tham gia
joins	v.tham gia
participate	v.tham gia
participated	v.tham gia
participates	v.tham gia
participating	v.tham gia
attended	v.tham dự@v.tham gia
attending	v.tham dự@v.chăm sóc
attends	v.tham dự
probing	v.thăm dò@n.thăm dò
referenced	v.tham chiếu@a.được tham chiếu
referencing	v.tham chiếu
permeate	v.thấm
seep	v.thấm
conceive	v.thai nghén
sliced	v.thái lát@a.được thái lát
challenged	v.thách thức@a.bị thách thức
dropping	v.thả@v.giảm
drop	v.thả@n.giọt
pardon	v.tha thứ@n.tha thứ
forgive	v.tha thứ
unleashed	v.thả ra
boycott	v.tẩy chay@n.cuộc tẩy chay
slap	v.tát@n.tát
splash	v.tạt nước@n.vết nước
focusing	v.tập trung@v.lấy nét
focuses	v.tập trung@n.tâm điểm
concentrates	v.tập trung@n.cô đặc
concentrate	v.tập trung@n.chất cô đặc
concentrated	v.tập trung@a.cô đặc
refocus	v.tập trung lại
centralized	v.tập trung hóa@a.tập trung
centred	v.tập trung
concentrating	v.tập trung
exercising	v.tập thể dục@v.thực hiện
exercised	v.tập thể dục@a.được thực hiện
gathered	v.tập hợp@v.thu thập
rallies	v.tập hợp@n.cuộc biểu tình
rehearse	v.tập dượt
instantiate	v.tạo thể hiện
creates	v.tạo ra@v.tạo
generating	v.tạo ra@v.phát ra
generate	v.tạo ra
generates	v.tạo ra
fashioned	v.tạo nên@a.được tạo nên
styled	v.tạo kiểu
facilitate	v.tạo điều kiện@v.hỗ trợ
facilitates	v.tạo điều kiện@v.hỗ trợ
facilitated	v.tạo điều kiện@a.được tạo điều kiện
facilitating	v.tạo điều kiện
posing	v.tạo dáng@v.đặt ra
create	v.tạo
boost	v.tăng@v.thúc đẩy@n.sự tăng
rising	v.tăng@v.lên@a.đang tăng
rises	v.tăng@n.tăng
increase	v.tăng@n.sự tăng
rise	v.tăng@n.sự tăng
accelerated	v.tăng tốc@a.được tăng tốc
accelerate	v.tăng tốc
accelerating	v.tăng tốc
speeding	v.tăng tốc
proliferate	v.tăng sinh
supersize	v.tăng kích thước
doubled	v.tăng gấp đôi@a.gấp đôi
doubling	v.tăng gấp đôi
reinforce	v.tăng cường@v.củng cố
strengthen	v.tăng cường@v.củng cố
strengthened	v.tăng cường@a.được tăng cường
augmented	v.tăng cường
enhances	v.tăng cường
enhancing	v.tăng cường
intensify	v.tăng cường
reconditioned	v.tân trang@a.được tân trang
refurbish	v.tân trang
flirt	v.tán tỉnh
woo	v.tán tỉnh
chatter	v.tán gẫu@n.tán gẫu
avail	v.tận dụng@n.ích lợi
leveraging	v.tận dụng
attacked	v.tấn công@a.bị tấn công
attacking	v.tấn công
melting	v.tan chảy@a.tan
melt	v.tan chảy
melted	v.tan chảy
bathing	v.tắm@n.tắm
pause	v.tạm dừng@n.khoảng nghỉ
paused	v.tạm dừng
seconded	v.tạm biệt phái@a.được ủng hộ
loaded	v.tải@v.chất@a.có đạn
download	v.tải xuống@n.tải xuống
downloading	v.tải xuống@n.tải xuống
downloaded	v.tải xuống@a.được tải xuống
financed	v.tài trợ@a.được tài trợ
funded	v.tài trợ@a.được tài trợ
sponsoring	v.tài trợ
reproduce	v.tái tạo@v.sinh sản
reproduced	v.tái tạo@v.sao chép
regenerate	v.tái tạo
reuse	v.tái sử dụng@n.tái sử dụng
relaunch	v.tái phát hành
recur	v.tái phát
upload	v.tải lên@n.tải lên
uploads	v.tải lên@n.tải lên
uploaded	v.tải lên@a.được tải lên
uploading	v.tải lên
reload	v.tải lại@v.nạp đạn
recycle	v.tái chế@n.việc tái chế
recycled	v.tái chế@a.được tái chế
refinance	v.tái cấp vốn@n.tái cấp vốn
reissue	v.tái bản@n.tái bản
reprint	v.tái bản@n.bản tái bản
reprinted	v.tái bản@a.được tái bản
separating	v.tách@n.việc tách
