the	art.—
top	n+m.শীর্ষ@a+m.শীর্ষ@a+f.শীর্ষ
people	n+m.মানুষ@n+m.জনগণ@n+m.লোক
had	v.ছিল@v.করেছিল
list	n+f.তালিকা@v.তালিকাভুক্ত করা
name	n+m.নাম@v.নাম দেওয়া
just	ad.শুধু@ad.মাত্র@a.ন্যায্য
over	prep.উপর@ad.শেষ@a.অতিরিক্ত
state	n+m.রাজ্য@n+f.অবস্থা@v.বলা
year	n+m.বছর@n+m.সাল
day	n+m.দিন@n+m.দিবস
into	prep.মধ্যে@prep.ভিতরে
email	n+m.ইমেইল@v.ইমেইল করা
two	n+m.দুই@a.দুটি
health	n+f.স্বাস্থ্য
world	n+m.বিশ্ব@n+m.পৃথিবী@n+m.জগৎ
re	prep.বিষয়ে@n+m.রে
next	a+m.পরবর্তী@a+f.পরবর্তী@ad.পরে
used	a+m.ব্যবহৃত@a+f.ব্যবহৃত@v.ব্যবহার করেছিল
go	v.যাওয়া
work	n+m.কাজ@v.কাজ করা
last	a+m.শেষ@a+f.শেষ@ad.সবশেষে@v.টিকে থাকা
most	ad.সবচেয়ে@a.অধিকাংশ
products	n+m.পণ্য@n+m.উৎপাদন
music	n+f.সঙ্গীত@n+f.গান
buy	v.কেনা@v.ক্রয় করা
data	n+m.তথ্য@n+m.ডাটা
make	v.তৈরি করা@v.বানানো
them	pron.তাদের@pron.তাদেরকে
should	v.উচিত@v.করা উচিত
product	n+m.পণ্য@n+m.উৎপাদ
system	n+m.ব্যবস্থা@n+m.সিস্টেম@n+m.পদ্ধতি
post	n+m.পোস্ট@v.পোস্ট করা@n+m.ডাক
her	pron+f.তার@pron+f.তাকে
city	n+m.শহর@n+f.নগর
add	v.যোগ করা@v.যুক্ত করা
policy	n+f.নীতি@n+f.পলিসি
number	n+m.সংখ্যা@n+m.নম্বর
such	a.এমন@a.এরকম
please	v.দয়া করে@v.অনুগ্রহ করে@int.প্লিজ
available	a+m.উপলব্ধ@a+f.উপলব্ধ@a.পাওয়া যায়
copyright	n+m.কপিরাইট@n+m.স্বত্বাধিকার
support	n+m.সমর্থন@v.সমর্থন করা@n+f.সাহায্য
message	n+m.বার্তা@n+m.সংবাদ
after	prep.পরে@conj.পরে
best	a+m.সেরা@a+f.সেরা@ad.সবচেয়ে ভালো
software	n+m.সফটওয়্যার
then	ad.তখন@ad.তারপর@conj.তাহলে
jan	n+m.জানুয়ারি
good	a+m.ভালো@a+f.ভালো@n+m.মঙ্গল
video	n+m.ভিডিও
well	ad.ভালোভাবে@a+m.সুস্থ@n+m.কূপ@int.ঠিক আছে
where	ad.কোথায়@conj.যেখানে
info	n+f.তথ্য
rights	n+m.অধিকার
public	a+m.সার্বজনীন@a+f.সার্বজনীন@n+m.জনসাধারণ
books	n+m.বই
high	a+m.উচ্চ@a+f.উচ্চ@a.উঁচু
school	n+m.স্কুল@n+f.বিদ্যালয়
through	prep.মাধ্যমে@prep.দিয়ে
each	a.প্রতিটি@pron.প্রত্যেক
links	n+m.লিঙ্ক@n+f.সংযোগ
she	pron+f.সে@pron+f.তিনি
review	n+m.পর্যালোচনা@v.পর্যালোচনা করা@n+f.সমীক্ষা
years	n+m.বছর
order	n+m.আদেশ@n+f.অর্ডার@v.অর্ডার করা@n+m.ক্রম
very	ad.খুব@ad.অত্যন্ত
privacy	n+f.গোপনীয়তা@n+f.প্রাইভেসি
book	n+m.বই@v.বুক করা
items	n+m.আইটেম@n+m.জিনিস
company	n+f.কোম্পানি@n+f.সংস্থা
read	v.পড়া@v.পাঠ করা
group	n+m.দল@n+m.গ্রুপ@n+m.গোষ্ঠী
sex	n+m.যৌন@n+m.লিঙ্গ
need	n+f.প্রয়োজন@v.প্রয়োজন হওয়া
many	a.অনেক@a.বহু
user	n+m.ব্যবহারকারী
said	v.বলেছিল@v.বলল
de	prep.দে
does	v.করে
set	n+m.সেট@v.স্থাপন করা@v.সেট করা
under	prep.নিচে@prep.অধীনে
general	a+m.সাধারণ@a+f.সাধারণ@n+m.জেনারেল
research	n+f.গবেষণা@v.গবেষণা করা
university	n+f.বিশ্ববিদ্যালয়
january	n+m.জানুয়ারি
mail	n+m.ডাক@n+m.মেইল@v.মেইল করা
full	a+m.পূর্ণ@a+f.পূর্ণ@a.ভরা
map	n+m.মানচিত্র@n+m.ম্যাপ
reviews	n+f.পর্যালোচনা@n+f.সমীক্ষা
program	n+m.প্রোগ্রাম@n+m.কর্মসূচি
life	n+f.জীবন@n+m.প্রাণ
know	v.জানা@v.চেনা
games	n+m.খেলা@n+m.গেম
way	n+m.পথ@n+m.উপায়@n+f.রীতি
days	n+m.দিন
management	n+m.ব্যবস্থাপনা@n+f.পরিচালনা
part	n+m.অংশ@n+m.ভাগ
could	v.পারত@v.পারতো
great	a+m.মহান@a+f.মহান@a.দারুণ
united	a+m.সংযুক্ত@a+f.সংযুক্ত@a.ঐক্যবদ্ধ
hotel	n+m.হোটেল
real	a+m.বাস্তব@a+f.বাস্তব@a.আসল
item	n+m.আইটেম@n+m.জিনিস@n+f.বস্তু
international	a+m.আন্তর্জাতিক@a+f.আন্তর্জাতিক
ebay	n+m.ইবে
must	v.অবশ্যই@v.করতে হবে
store	n+m.দোকান@v.সংরক্ষণ করা@n+m.স্টোর
travel	n+m.ভ্রমণ@v.ভ্রমণ করা
comments	n+m.মন্তব্য@n+f.টীকা
made	v.তৈরি করেছিল@a+m.তৈরি@a+f.তৈরি
development	n+m.উন্নয়ন@n+f.উন্নতি
report	n+m.রিপোর্ট@n+f.প্রতিবেদন@v.রিপোর্ট করা
off	ad.বন্ধ@prep.থেকে@a.বন্ধ
member	n+m.সদস্য
details	n+m.বিবরণ@n+f.বিস্তারিত
line	n+f.লাইন@n+f.রেখা@n+m.সারি
terms	n+m.শর্ত@n+m.পদ
before	prep.আগে@conj.পূর্বে
hotels	n+m.হোটেল
did	v.করেছিল@v.করল
send	v.পাঠানো@v.প্রেরণ করা
right	a+m.সঠিক@a+f.সঠিক@n+m.অধিকার@a.ডান
type	n+m.ধরন@n+m.প্রকার@v.টাইপ করা
because	conj.কারণ@conj.যেহেতু
local	a+m.স্থানীয়@a+f.স্থানীয়
those	pron.সেগুলো@a.ঐ
using	v.ব্যবহার করে
results	n+m.ফলাফল
office	n+m.অফিস@n+m.কার্যালয়
education	n+f.শিক্ষা
national	a+m.জাতীয়@a+f.জাতীয়
car	n+f.গাড়ি@n+m.কার
design	n+m.ডিজাইন@n+f.নকশা@v.নকশা করা
take	v.নেওয়া@v.গ্রহণ করা
posted	v.পোস্ট করেছিল@a+m.প্রকাশিত@a+f.প্রকাশিত
internet	n+m.ইন্টারনেট
address	n+m.ঠিকানা@v.সম্বোধন করা
community	n+f.সম্প্রদায়@n+m.সমাজ
within	prep.মধ্যে@prep.ভিতরে
states	n+m.রাজ্য@n+f.অবস্থা
area	n+f.এলাকা@n+m.অঞ্চল@n+f.ক্ষেত্রফল
want	v.চাওয়া@v.ইচ্ছা করা
phone	n+m.ফোন@v.ফোন করা
shipping	n+m.শিপিং@n+f.চালান
reserved	a+m.সংরক্ষিত@a+f.সংরক্ষিত
subject	n+m.বিষয়@a+m.অধীন@a+f.অধীন
between	prep.মধ্যে@prep.মাঝে
forum	n+m.ফোরাম@n+m.আলোচনাসভা
family	n+f.পরিবার
long	a+m.দীর্ঘ@a+f.দীর্ঘ@a.লম্বা
based	a+m.ভিত্তিক@a+f.ভিত্তিক
code	n+m.কোড@n+m.সংকেত
show	v.দেখানো@n+m.অনুষ্ঠান@n+m.শো
even	ad.এমনকি@a+m.সমান@a+f.সমান
black	a+m.কালো@a+f.কালো@n+m.কালো রঙ
check	v.পরীক্ষা করা@n+m.চেক@n+f.যাচাই
special	a+m.বিশেষ@a+f.বিশেষ
prices	n+m.মূল্য@n+m.দাম
website	n+m.ওয়েবসাইট
index	n+m.সূচক@n+m.সূচী@v.সূচীভুক্ত করা
being	n+m.সত্তা@v.হচ্ছে
women	n+f.মহিলা@n+f.নারী
much	ad.অনেক@a.বেশি
sign	n+m.চিহ্ন@v.সাইন করা@n+f.সংকেত
file	n+m.ফাইল@v.ফাইল করা
link	n+m.লিঙ্ক@n+f.সংযোগ@v.সংযুক্ত করা
open	a+m.খোলা@a+f.খোলা@v.খোলা
today	ad.আজ@n+m.আজকের দিন
technology	n+f.প্রযুক্তি
south	n+m.দক্ষিণ@a+m.দক্ষিণ@a+f.দক্ষিণ
case	n+m.মামলা@n+f.ক্ষেত্রে@n+m.কেস
project	n+m.প্রকল্প@n+m.প্রজেক্ট@v.প্রক্ষেপণ করা
same	a.একই@a.সমান
pages	n+f.পৃষ্ঠা
version	n+m.সংস্করণ@n+f.ভার্সন
section	n+m.অংশ@n+f.বিভাগ
own	a.নিজের@v.মালিকানা করা
found	v.পাওয়া গেল@v.প্রতিষ্ঠা করা
sports	n+m.খেলাধুলা@n+m.ক্রীড়া
house	n+m.বাড়ি@n+m.ঘর
related	a+m.সম্পর্কিত@a+f.সম্পর্কিত
security	n+f.নিরাপত্তা
both	a.উভয়@pron.দুইজনই
county	n+m.কাউন্টি@n+m.জেলা
american	a+m.আমেরিকান@a+f.আমেরিকান@n+m.আমেরিকান
photo	n+f.ছবি@n+m.ফটো
game	n+m.খেলা@n+m.গেম
members	n+m.সদস্য
power	n+f.শক্তি@n+m.ক্ষমতা
while	conj.যখন@n+m.সময়
care	n+f.যত্ন@v.যত্ন নেওয়া@n+f.পরিচর্যা
network	n+m.নেটওয়ার্ক@n+f.জাল
down	ad.নিচে@prep.নিচে@a+m.নিম্নগামী@a+f.নিম্নগামী
computer	n+m.কম্পিউটার
systems	n+m.সিস্টেম@n+f.ব্যবস্থা
three	n+m.তিন@a.তিনটি
total	a+m.মোট@a+f.মোট@n+m.মোট
place	n+m.স্থান@n+f.জায়গা@v.রাখা
end	n+m.শেষ@v.শেষ করা@n+m.প্রান্ত
following	a+m.নিম্নলিখিত@a+f.নিম্নলিখিত@prep.পরবর্তী
download	n+m.ডাউনলোড@v.ডাউনলোড করা
him	pron+m.তাকে@pron+m.তাঁকে
without	prep.ছাড়া@prep.বিনা
per	prep.প্রতি
access	n+m.প্রবেশাধিকার@v.প্রবেশ করা@n+m.অ্যাক্সেস
think	v.চিন্তা করা@v.মনে করা
north	n+m.উত্তর@a+m.উত্তর@a+f.উত্তর
resources	n+m.সম্পদ@n+f.সংস্থান
current	a+m.বর্তমান@a+f.বর্তমান@n+m.স্রোত
posts	n+m.পোস্ট
big	a+m.বড়@a+f.বড়
media	n+f.মিডিয়া@n+f.গণমাধ্যম
law	n+m.আইন@n+f.বিধি
control	n+m.নিয়ন্ত্রণ@v.নিয়ন্ত্রণ করা
water	n+m.জল@n+m.পানি
history	n+f.ইতিহাস
pictures	n+f.ছবি
size	n+m.আকার@n+f.মাপ
art	n+f.শিল্প@n+f.কলা
personal	a+m.ব্যক্তিগত@a+f.ব্যক্তিগত
since	prep.থেকে@conj.যেহেতু
including	prep.সহ@prep.সমেত
guide	n+m.গাইড@n+f.নির্দেশিকা@v.পথ দেখানো
shop	n+m.দোকান@v.কেনাকাটা করা
directory	n+m.ডিরেক্টরি@n+f.নির্দেশিকা
board	n+m.বোর্ড@n+f.পরিষদ
location	n+f.অবস্থান@n+m.স্থান
change	n+m.পরিবর্তন@v.পরিবর্তন করা
white	a+m.সাদা@a+f.সাদা@n+m.সাদা রঙ
text	n+m.টেক্সট@n+m.পাঠ্য
small	a+m.ছোট@a+f.ছোট
rating	n+m.রেটিং@n+f.মূল্যায়ন
rate	n+m.হার@v.মূল্যায়ন করা
government	n+m.সরকার
children	n+m.শিশু@n+m.সন্তান
during	prep.সময়ে@prep.চলাকালে
return	v.ফেরত দেওয়া@n+m.ফেরত@v.ফিরে আসা
students	n+m.শিক্ষার্থী@n+m.ছাত্র
shopping	n+m.শপিং@n+f.কেনাকাটা
account	n+m.অ্যাকাউন্ট@n+m.হিসাব
times	n+m.সময়@n+f.বার
sites	n+m.সাইট@n+m.স্থান
level	n+m.স্তর@n+m.লেভেল
digital	a+m.ডিজিটাল@a+f.ডিজিটাল
profile	n+m.প্রোফাইল@n+m.পরিচয়
previous	a+m.পূর্ববর্তী@a+f.পূর্ববর্তী
form	n+m.ফর্ম@n+f.রূপ@v.গঠন করা
events	n+m.ইভেন্ট@n+f.ঘটনা
love	n+f.ভালোবাসা@v.ভালোবাসা@n+m.প্রেম
old	a+m.পুরানো@a+f.পুরানো@a.বৃদ্ধ
john	n+m.জন
main	a+m.প্রধান@a+f.প্রধান@a.মূল
call	v.ডাকা@n+m.কল@n+f.ফোন কল
hours	n+m.ঘণ্টা
image	n+f.ছবি@n+m.ইমেজ@n+f.প্রতিমূর্তি
department	n+m.বিভাগ@n+m.ডিপার্টমেন্ট
title	n+m.শিরোনাম@n+m.উপাধি
description	n+f.বর্ণনা@n+f.বিবরণ
non	a.অ@prep.না
insurance	n+f.বীমা
another	a.আরেকটি@pron.অন্য
why	ad.কেন@conj.কারণ
shall	v.হবে@v.করব
property	n+f.সম্পত্তি@n+m.বৈশিষ্ট্য
class	n+f.শ্রেণি@n+m.ক্লাস
cd	n+m.সিডি
still	ad.এখনও@a+m.স্থির@a+f.স্থির
money	n+m.টাকা@n+f.অর্থ
quality	n+f.গুণমান@n+f.মান
every	a.প্রতিটি@a.প্রত্যেক
listing	n+f.তালিকা@n+m.তালিকাভুক্তি
content	n+m.বিষয়বস্তু@a+m.সন্তুষ্ট@a+f.সন্তুষ্ট
country	n+m.দেশ@n+f.গ্রাম
private	a+m.ব্যক্তিগত@a+f.ব্যক্তিগত@a.গোপনীয়
little	a+m.ছোট@a+f.ছোট@ad.সামান্য
visit	n+m.ভ্রমণ@v.পরিদর্শন করা
save	v.সংরক্ষণ করা@v.বাঁচানো
tools	n+m.সরঞ্জাম@n+m.যন্ত্র
low	a+m.নিম্ন@a+f.নিম্ন@a.কম
reply	n+m.উত্তর@v.উত্তর দেওয়া
customer	n+m.গ্রাহক@n+m.ক্রেতা
december	n+m.ডিসেম্বর
compare	v.তুলনা করা
movies	n+m.মুভি@n+m.চলচ্চিত্র
include	v.অন্তর্ভুক্ত করা
college	n+m.কলেজ@n+f.মহাবিদ্যালয়
value	n+m.মূল্য@n+f.মান@v.মূল্যায়ন করা
article	n+m.নিবন্ধ@n+m.প্রবন্ধ
york	n+m.ইয়র্ক
man	n+m.মানুষ@n+m.পুরুষ
card	n+m.কার্ড
jobs	n+m.চাকরি@n+m.কাজ
provide	v.প্রদান করা@v.সরবরাহ করা
food	n+m.খাবার@n+m.খাদ্য
source	n+m.উৎস@n+f.সূত্র
author	n+m.লেখক@n+f.লেখিকা
different	a+m.ভিন্ন@a+f.ভিন্ন@a.আলাদা
press	n+f.প্রেস@v.চাপা@n+f.সংবাদপত্র
learn	v.শেখা@v.শিখতে
sale	n+m.বিক্রয়@n+f.বিক্রি
around	prep.চারপাশে@ad.প্রায়
print	v.মুদ্রণ করা@n+m.মুদ্রণ
course	n+m.কোর্স@n+m.পথ@n+f.ধারা
job	n+m.চাকরি@n+m.কাজ
canada	n+m.কানাডা
process	n+m.প্রক্রিয়া@v.প্রক্রিয়াজাত করা
teen	n+m.কিশোর@n+f.কিশোরী
room	n+m.ঘর@n+m.কক্ষ
stock	n+m.স্টক@n+m.মজুদ@n+f.সরবরাহ
training	n+m.প্রশিক্ষণ
too	ad.খুব@ad.অতিরিক্ত@ad.ও
credit	n+m.ক্রেডিট@n+m.ঋণ@n+f.স্বীকৃতি
point	n+m.পয়েন্ট@n+f.বিন্দু@v.নির্দেশ করা
join	v.যোগ দেওয়া@v.যুক্ত হওয়া
science	n+f.বিজ্ঞান
men	n+m.পুরুষ@n+m.মানুষ
categories	n+f.বিভাগ@n+f.শ্রেণি
advanced	a+m.উন্নত@a+f.উন্নত@a.অগ্রসর
west	n+m.পশ্চিম@a+m.পশ্চিম@a+f.পশ্চিম
sales	n+m.বিক্রয়@n+f.বিক্রি
look	v.দেখা@n+m.চেহারা@n+m.দৃষ্টি
english	n+m.ইংরেজি@a+m.ইংরেজ@a+f.ইংরেজ
left	a+m.বাম@a+f.বাম@v.চলে গেল@n+m.বামদিক
team	n+m.দল@n+m.টিম
estate	n+f.সম্পত্তি@n+m.এস্টেট
box	n+m.বাক্স@n+m.বক্স
conditions	n+f.শর্ত@n+f.অবস্থা
select	v.নির্বাচন করা@a+m.নির্বাচিত@a+f.নির্বাচিত
windows	n+f.জানালা@n+m.উইন্ডোজ
photos	n+f.ছবি@n+m.ফটো
gay	a+m.সমকামী@a+f.সমকামী@n+m.সমকামী
thread	n+m.থ্রেড@n+m.সুতা@n+f.ধারা
week	n+m.সপ্তাহ
category	n+f.বিভাগ@n+f.শ্রেণি
note	n+m.নোট@n+f.টীকা@v.লক্ষ্য করা
live	v.বাস করা@a+m.জীবিত@a+f.জীবিত@a.সরাসরি
large	a+m.বড়@a+f.বড়@a.বিশাল
gallery	n+f.গ্যালারি@n+f.চিত্রশালা
table	n+m.টেবিল@n+f.সারণি
register	v.নিবন্ধন করা@n+m.রেজিস্টার
however	ad.তবে@conj.যাইহোক
june	n+m.জুন
october	n+m.অক্টোবর
november	n+m.নভেম্বর
market	n+m.বাজার@v.বিপণন করা
library	n+f.লাইব্রেরি@n+f.গ্রন্থাগার
really	ad.সত্যিই@ad.আসলে
action	n+m.কাজ@n+f.ক্রিয়া@n+m.অ্যাকশন
start	v.শুরু করা@n+m.শুরু
series	n+f.সিরিজ@n+f.ধারাবাহিক
model	n+m.মডেল@n+f.আদর্শ
features	n+m.বৈশিষ্ট্য@n+f.বিশেষত্ব
air	n+m.বায়ু@n+m.বাতাস
industry	n+f.শিল্প@n+m.শিল্পকারখানা
plan	n+m.পরিকল্পনা@v.পরিকল্পনা করা
human	n+m.মানুষ@a+m.মানবিক@a+f.মানবিক
provided	v.প্রদান করেছিল@conj.যদি
yes	ad.হ্যাঁ@int.হ্যাঁ
required	a+m.প্রয়োজনীয়@a+f.প্রয়োজনীয়@v.প্রয়োজন ছিল
second	a+m.দ্বিতীয়@a+f.দ্বিতীয়@n+m.সেকেন্ড
hot	a+m.গরম@a+f.গরম@a.তীব্র
accessories	n+m.আনুষঙ্গিক@n+m.এক্সেসরিজ
cost	n+m.খরচ@v.খরচ হওয়া@n+m.মূল্য
movie	n+m.চলচ্চিত্র@n+m.মুভি
forums	n+m.ফোরাম
march	n+m.মার্চ@v.মার্চ করা@n+f.যাত্রা
la	n+m.লস এঞ্জেলেস
september	n+m.সেপ্টেম্বর
better	a+m.ভালো@a+f.ভালো@ad.আরো ভালো
say	v.বলা
questions	n+m.প্রশ্ন
july	n+m.জুলাই
yahoo	n+m.ইয়াহু
going	v.যাচ্ছে@a+m.চলমান@a+f.চলমান
medical	a+m.চিকিৎসা@a+f.চিকিৎসা@a.মেডিকেল
test	n+m.পরীক্ষা@v.পরীক্ষা করা
friend	n+m.বন্ধু@n+f.বন্ধু
come	v.আসা
dec	n+m.ডিসেম্বর
server	n+m.সার্ভার
pc	n+m.পিসি@n+m.ব্যক্তিগত কম্পিউটার
study	n+f.অধ্যয়ন@v.পড়াশোনা করা@n+m.গবেষণা
application	n+f.আবেদন@n+m.অ্যাপ্লিকেশন
cart	n+m.কার্ট@n+f.গাড়ি
staff	n+m.কর্মচারী@n+m.স্টাফ
articles	n+m.নিবন্ধ@n+m.প্রবন্ধ
san	n+m.সান
feedback	n+m.প্রতিক্রিয়া@n+m.ফিডব্যাক
again	ad.আবার@ad.পুনরায়
play	v.খেলা@n+m.নাটক@n+m.খেলা
looking	v.দেখছে@v.খুঁজছে
issues	n+m.সমস্যা@n+f.ইস্যু
april	n+m.এপ্রিল
never	ad.কখনো না@ad.কখনোই নয়
users	n+m.ব্যবহারকারী
complete	a+m.সম্পূর্ণ@a+f.সম্পূর্ণ@v.সম্পন্ন করা
street	n+f.রাস্তা@n+m.সড়ক
topic	n+m.বিষয়@n+m.টপিক
comment	n+m.মন্তব্য@v.মন্তব্য করা
financial	a+m.আর্থিক@a+f.আর্থিক
things	n+m.জিনিস@n+f.বস্তু
working	a+m.কর্মরত@a+f.কর্মরত@v.কাজ করছে
against	prep.বিরুদ্ধে
standard	n+m.মান@a+m.মানক@a+f.মানক
tax	n+m.কর@v.কর আরোপ করা
person	n+m.ব্যক্তি@n+m.মানুষ
below	prep.নিচে@ad.নীচে
mobile	a+m.মোবাইল@a+f.মোবাইল@n+m.মোবাইল
less	a.কম@ad.কম
got	v.পেয়েছিল@v.পেলাম
blog	n+m.ব্লগ
party	n+f.পার্টি@n+m.দল@n+f.অনুষ্ঠান
payment	n+m.পেমেন্ট@n+f.অর্থপ্রদান
equipment	n+m.সরঞ্জাম@n+m.যন্ত্রপাতি
login	n+m.লগইন@v.লগইন করা
student	n+m.ছাত্র@n+f.ছাত্রী@n+m.শিক্ষার্থী
let	v.দেওয়া@v.অনুমতি দেওয়া
programs	n+m.প্রোগ্রাম@n+m.কর্মসূচি
offers	n+f.অফার@v.প্রস্তাব দেয়
legal	a+m.আইনি@a+f.আইনি@a.বৈধ
above	prep.উপরে@ad.উপরে
recent	a+m.সাম্প্রতিক@a+f.সাম্প্রতিক
park	n+m.পার্ক@n+m.উদ্যান@v.পার্ক করা
stores	n+m.দোকান@n+m.স্টোর
side	n+m.পাশ@n+f.দিক
act	n+m.আইন@v.কাজ করা@n+m.অভিনয়
problem	n+m.সমস্যা
red	a+m.লাল@a+f.লাল@n+m.লাল রঙ
give	v.দেওয়া@v.প্রদান করা
memory	n+f.স্মৃতি@n+m.মেমরি
performance	n+f.পারফরম্যান্স@n+f.কর্মক্ষমতা
social	a+m.সামাজিক@a+f.সামাজিক
august	n+m.আগস্ট
quote	n+m.উদ্ধৃতি@v.উদ্ধৃত করা
language	n+f.ভাষা
story	n+f.গল্প@n+f.কাহিনী
sell	v.বিক্রি করা
options	n+f.বিকল্প@n+m.অপশন
experience	n+f.অভিজ্ঞতা@v.অভিজ্ঞতা লাভ করা
rates	n+m.হার@n+m.রেট
create	v.তৈরি করা@v.সৃষ্টি করা
key	n+f.চাবি@n+m.কী@a+m.মূল@a+f.মূল
body	n+m.শরীর@n+m.দেহ
young	a+m.তরুণ@a+f.তরুণ@a.যুবক
america	n+f.আমেরিকা
important	a+m.গুরুত্বপূর্ণ@a+f.গুরুত্বপূর্ণ
field	n+m.ক্ষেত্র@n+m.মাঠ
few	a.কম@a.কিছু
east	n+m.পূর্ব@a+m.পূর্ব@a+f.পূর্ব
paper	n+m.কাগজ@n+m.পেপার
single	a+m.একক@a+f.একক@a.অবিবাহিত
ii	n+m.দুই
age	n+m.বয়স@n+f.যুগ
activities	n+f.কার্যকলাপ@n+f.কর্মকাণ্ড
club	n+m.ক্লাব
example	n+m.উদাহরণ
girls	n+f.মেয়ে
additional	a+m.অতিরিক্ত@a+f.অতিরিক্ত
password	n+m.পাসওয়ার্ড
latest	a+m.সর্বশেষ@a+f.সর্বশেষ
something	pron.কিছু
road	n+f.রাস্তা@n+m.সড়ক
gift	n+m.উপহার
question	n+m.প্রশ্ন@v.প্রশ্ন করা
changes	n+m.পরিবর্তন
night	n+f.রাত@n+m.রাত্রি
hard	a+m.কঠিন@a+f.কঠিন@ad.কঠোরভাবে
texas	n+m.টেক্সাস
oct	n+m.অক্টোবর
pay	v.দিতে@n+m.বেতন@v.পরিশোধ করা
four	n+m.চার@a.চারটি
poker	n+m.পোকার
status	n+m.স্থিতি@n+f.অবস্থা
browse	v.ব্রাউজ করা@v.দেখা
issue	n+m.ইস্যু@n+f.সমস্যা@v.প্রকাশ করা
range	n+m.পরিসর@n+f.সীমা@v.বিস্তৃত হওয়া
building	n+m.ভবন@n+f.বিল্ডিং
seller	n+m.বিক্রেতা
court	n+m.আদালত@n+m.কোর্ট
february	n+m.ফেব্রুয়ারি
always	ad.সবসময়@ad.সর্বদা
result	n+m.ফলাফল@v.ফলাফল হওয়া
audio	n+m.অডিও@a+m.শ্রবণ@a+f.শ্রবণ
light	n+m.আলো@a+m.হালকা@a+f.হালকা@v.জ্বালানো
write	v.লেখা
war	n+m.যুদ্ধ
nov	n+m.নভেম্বর
offer	n+f.অফার@v.প্রস্তাব দেওয়া
