a	art+m.un@art+f.una
adversaries	n+m+pl.adversarios@n+f+pl.adversarias
adversary	n+m.adversario@n+f.adversaria
adverse	a+m.adverso@a+f.adversa
adversely	ad.adversamente
adversity	n+f.adversidad
advert	n+m.anuncio
advertise	v.anunciar
advertised	a+m.anunciado@a+f.anunciada
advertisement	n+m.anuncio
advertisements	n+m.anuncios
advertiser	n+m.anunciante@n+f.anunciante
advertisers	n+m.anunciantes@n+f.anunciantes
advertises	vt.anuncia@vt.publicita
advertising	n+f.publicidad
adverts	n+m+pl.anuncios
advice	n+m.consejo
advices	n+m+pl.consejos@n+m+pl.avisos
advil	n+m.Advil
advisable	a.aconsejable
advise	vt.aconsejar
advised	a+m.aconsejado@a+f.aconsejada
advisement	n+m.asesoramiento@n+f.consideración
adviser	n+m.asesor@n+f.asesora
advisers	n+m+pl.asesores@n+f+pl.asesoras
advises	vt.aconseja@vt.asesora
advising	v.asesorando
advisor	n+m.asesor@n+f.asesora
advisories	n+m+pl.avisos
advisors	n+m.asesores@n+f.asesoras
advisory	n+m.aviso@a+m.asesor@a+f.asesora
advocacy	n+f.defensa@n+f.promoción
advocate	n+m.defensor@n+f.defensora@vt.abogar
advocated	vt.abogó por@a+m.defendido@a+f.defendida
advocates	n+m.defensores@n+f.defensoras@vt.aboga
advocating	vt.abogando por@vt.defendiendo
adware	n+m.adware
aegean	a+m.egeo@a+f.egea@n+m.Egeo
aegis	n+f.égida
aeon	n+m.eón
aeration	n+f.aireación
aerial	a+m.aéreo@a+f.aérea@n+f.antena
aerials	n+f+pl.antenas@a+m+pl.aéreos
aero	a+m.aéreo@a+f.aérea
aerobic	a+m.aeróbico@a+f.aeróbica
aerobics	n+m.aeróbic
aerodrome	n+m.aeródromo
aerodynamic	a+m.aerodinámico@a+f.aerodinámica
aerodynamics	n+f.aerodinámica
aeronautical	a+m.aeronáutico@a+f.aeronáutica
aeronautics	n+f.aeronáutica
aeroplane	n+m.avión
aeroplanes	n+m+pl.aviones@n+m+pl.aeroplanos
aerosol	n+m.aerosol
aerosols	n+m+pl.aerosoles
aerospace	n+f.industria aeroespacial@a+m.aeroespacial@a+f.aeroespacial
aesop	n+m.Esopo
aesthetic	a+m.estético@a+f.estética
aesthetically	ad.estéticamente
aesthetics	n+f.estética
aet	n+m.aet
aetna	n+f.Aetna
afar	ad.lejos@ad.a lo lejos
affair	n+m.asunto@n+f.aventura
affaires	n+f+pl.asuntos
affairs	n+m.asuntos
affect	v.afectar
affected	a+m.afectado@a+f.afectada@v.afectó
affecting	v.afectando
affection	n+m.afecto
affectionate	a+m.afectuoso@a+f.afectuosa@a.cariñoso
affectionately	ad.afectuosamente
affections	n+f+pl.afectos@n+m+pl.cariños
affective	a+m.afectivo@a+f.afectiva
affects	vt.afecta
afferent	a+m.aferente@a+f.aferente
affiche	n+m.afiche@n+m.cartel
affidavit	n+f.declaración jurada
affidavits	n+f+pl.declaraciones juradas
affiliate	n+m.afiliado@n+f.afiliada@v.afiliar
affiliated	a+m.afiliado@a+f.afiliada
affiliates	n+m.afiliados
affiliation	n+f.afiliación
affiliations	n+f+pl.afiliaciones
affine	a.afín
affinities	n+f+pl.afinidades
affinity	n+f.afinidad
affirm	vt.afirmar
affirmation	n+f.afirmación
affirmations	n+f+pl.afirmaciones
affirmative	a+m.afirmativo@a+f.afirmativa
affirmatively	ad.afirmativamente
affirmed	vt.afirmó@a+m.afirmado@a+f.afirmada
affirming	vt.afirmando
affirms	vt.afirma@vt.confirma
affix	vt.fijar@n+m.afijo
affixed	vt.pegó@vt.fijó
afflicted	a+m.afligido@a+f.afligida@a+m.aquejado@a+f.aquejada
affliction	n+f.aflicción@n+f.dolencia
afflictions	n+f+pl.aflicciones
affluence	n+f.opulencia@n+f.riqueza
affluent	a.adinerado@a+f.adinerada@a.afluente
afford	vt.permitirse
affordability	n+f.asequibilidad
affordable	a+m.asequible@a+f.asequible
affordably	ad.asequiblemente
afforded	vt.proporcionó@vt.permitió
affording	vt.proporcionando
affords	vt.proporciona@vt.permite
affront	n+f.afrenta@vt.afrentar
afghan	a+m.afgano@a+f.afgana@n+m.afgano@n+f.afgana
afghani	n+m.afgani@a+m.afgano@a+f.afgana
afghanistan	n+m.Afganistán
afghans	n+m+pl.afganos@n+f+pl.afganas
aficionado	n+m.aficionado
aficionados	n+m+pl.aficionados
afield	ad.lejos@ad.al campo
afloat	ad.a flote@a.a flote
afoot	ad.en marcha@a.a pie
aforementioned	a.antes mencionado@a.antedicho
aforesaid	a+m.antedicho@a+f.antedicha@a+m.susodicho@a+f.susodicha
afr	n+f.África
afraid	a+m.asustado@a+f.asustada@a.con miedo
africa	n+f.África
african	a+m.africano@a+f.africana
africana	n+f.africana
africans	n+m+pl.africanos
afrikaans	n+m.afrikáans
afro	n+m.afro@a.afro
aft	ad.a popa@a.de popa
after	prep.después de@ad.después
aftercare	n+m.cuidado posterior
afterglow	n+m.resplandor crepuscular
afterlife	n+f.vida después de la muerte
aftermarket	n+m.mercado secundario
aftermath	n+f.secuela@n+m.período posterior
afternoon	n+f.tarde
afternoons	n+f+pl.tardes
afterschool	a.extraescolar@a.después del colegio
aftershave	n+m.aftershave@n+f.loción para después del afeitado
aftershaves	n+m+pl.aftershaves
aftershock	n+f.réplica
afterthought	n+f.ocurrencia tardía
afterwards	ad.después
aga	n+m.Aga
agadir	n+m.Agadir
again	ad.otra vez@ad.de nuevo
against	prep.contra
agape	a+m.boquiabierto@a+f.boquiabierta@n+m.ágape
agar	n+m.agar
agassi	n+m.Agassi
agate	n+f.ágata
agatha	n+f.Ágata
agave	n+m.agave@n+f.pita
age	n+f.edad
aged	a+m.envejecido@a+f.envejecida
agee	n+m.Agee
ageing	n+m.envejecimiento@a.envejeciendo
ageless	a.sin edad@a.eterno
agencies	n+f.agencias
agency	n+f.agencia
agenda	n+f.agenda
agendas	n+f+pl.agendas
agent	n+m.agente@n+f.agente
agents	n+m.agentes
ages	n+f.edades
aggie	n+f.Aggie
agglomeration	n+f.aglomeración
aggravate	vt.agravar@vt.irritar
aggravated	a+m.agravado@a+f.agravada@vt.agravó
aggravating	a.agravante@vt.agravando
aggravation	n+f.agravamiento@n+f.irritación
aggregate	n+m.agregado@a+m.agregado@a+f.agregada
aggregated	a+m.agregado@a+f.agregada@vt.agregó
aggregates	n+m+pl.agregados@vt.agrega
aggregating	vt.agregando
aggregation	n+f.agregación
aggression	n+f.agresión
aggressive	a+m.agresivo@a+f.agresiva
aggressively	ad.agresivamente
aggressiveness	n+f.agresividad
aggressor	n+m.agresor
aggrieved	a+m.agraviado@a+f.agraviada
agile	a.ágil
agility	n+f.agilidad
aging	n+m.envejecimiento@a+m.envejeciente@a+f.envejeciente
agios	n+m+pl.intereses
agitated	a+m.agitado@a+f.agitada@vt.agitó
agitation	n+f.agitación
agitator	n+m.agitador@n+f.agitadora
agnes	n+f.Inés
agnew	n+m.Agnew
agni	n+m.Agni
agnostic	n+m.agnóstico@n+f.agnóstica@a+m.agnóstico
agnosticism	n+m.agnosticismo
ago	ad.hace
agonist	n+m.agonista
agonists	n+m+pl.agonistas
agonizing	a.angustioso@a.agónico@vt.agonizando
agony	n+f.agonía
agora	n+f.ágora
agr	n+f.agr
agra	n+f.Agra
agrarian	a+m.agrario@a+f.agraria
agree	v.estar de acuerdo
agreeable	a.agradable@a.conforme
agreed	v.acordó@a+m.acordado@a+f.acordada
agreeing	v.acordando
agreement	n+m.acuerdo
agreements	n+m.acuerdos
agrees	vi.está de acuerdo
agribusiness	n+m.agroindustria
agric	a.agrícola
agricola	n+m.Agrícola
agricultural	a+m.agrícola@a+f.agrícola
agriculture	n+f.agricultura
agrippa	n+m.Agripa
agronomic	a+m.agronómico@a+f.agronómica
