the	art.—
who	pron.कौन@pron.जो
web	n+m.जाल@n+f.वेब
also	ad.भी
now	ad.अब
help	n+f.मदद@n+f.सहायता@v.मदद करना
get	v.पाना@v.प्राप्त करना@v.मिलना
pm	n+m.अपराह्न
view	n+m.दृश्य@n+f.राय@v.देखना
online	a.ऑनलाइन@ad.ऑनलाइन
first	a+m.पहला@a+f.पहली@ad.पहले
am	v.हूँ
been	v.रहा@v.गया
would	v.होगा
how	ad.कैसे@ad.कितना
were	v.थे@v.थीं
me	pron.मुझे@pron.मुझको
services	n+f.सेवाएँ
some	a.कुछ@pron.कुछ
these	pron+m.ये@pron+f.ये@a+m.ये@a+f.ये
click	v.क्लिक करना@n+m.क्लिक
its	pron+m.इसका@pron+f.इसकी
like	prep.जैसा@v.पसंद करना@a.समान
service	n+f.सेवा
than	conj.से@prep.की अपेक्षा
find	v.खोजना@v.पाना
price	n+m.मूल्य@n+f.कीमत
date	n+f.तारीख@n+m.दिनांक
back	n+f.पीठ@ad.वापस@a.पिछला
top	n+m.शीर्ष@n+f.चोटी@a.शीर्ष
people	n+m.लोग@n+f.जनता
had	v.था@v.थी@v.रखा था
list	n+f.सूची@v.सूचीबद्ध करना
name	n+m.नाम@v.नाम देना
just	ad.बस@ad.अभी@a.न्यायसंगत
over	prep.ऊपर@ad.खत्म@a.समाप्त
state	n+m.राज्य@n+f.स्थिति@v.बताना
year	n+m.वर्ष@n+m.साल
day	n+m.दिन
into	prep.में@prep.के अंदर
email	n+m.ईमेल@v.ईमेल करना
two	n+m.दो@a.दो
health	n+m.स्वास्थ्य@n+f.सेहत
world	n+m.विश्व@n+f.दुनिया
re	prep.के बारे में
next	a+m.अगला@a+f.अगली@ad.फिर
used	a.प्रयुक्त@v.इस्तेमाल किया
go	v.जाना
work	n+m.काम@n+m.कार्य@v.काम करना
last	a+m.अंतिम@a+f.अंतिम@a+m.पिछला@a+f.पिछली@v.टिकना
most	a.सबसे अधिक@ad.सबसे
products	n+m.उत्पाद
music	n+m.संगीत
buy	v.खरीदना
data	n+m.डेटा@n+f.जानकारी
make	v.बनाना@v.करना
them	pron.उन्हें@pron.उनको
should	v.चाहिए
product	n+m.उत्पाद
system	n+m.प्रणाली@n+f.व्यवस्था
post	n+m.पद@n+f.डाक@v.भेजना@v.पोस्ट करना
her	pron+f.उसकी@pron+f.उसे
city	n+m.शहर@n+f.नगरी
add	v.जोड़ना
policy	n+f.नीति
number	n+m.संख्या@n+m.नंबर@n+m.अंक
such	a.ऐसा@a.इतना
please	ad.कृपया@v.खुश करना
available	a.उपलब्ध
copyright	n+m.कॉपीराइट@n+m.प्रतिलिप्याधिकार
support	n+m.समर्थन@n+f.सहायता@v.समर्थन करना
message	n+m.संदेश
after	prep.के बाद@conj.बाद में
best	a.सबसे अच्छा@ad.सबसे अच्छी तरह
software	n+m.सॉफ्टवेयर
then	ad.तब@ad.फिर@conj.तो
jan	n+m.जनवरी
good	a+m.अच्छा@a+f.अच्छी
video	n+m.वीडियो
well	ad.अच्छी तरह@n+m.कुआँ@int.खैर
where	ad.कहाँ@conj.जहाँ
info	n+f.जानकारी
rights	n+m.अधिकार
public	a.सार्वजनिक@n+f.जनता
books	n+f.किताबें@n+m.पुस्तकें
high	a.ऊँचा@a.उच्च
school	n+m.विद्यालय@n+m.स्कूल
through	prep.के माध्यम से@prep.द्वारा
each	a.प्रत्येक@pron.हर एक
links	n+m.लिंक@n+m.कड़ियाँ
she	pron+f.वह
review	n+f.समीक्षा@v.समीक्षा करना
years	n+m.वर्ष@n+m.साल
order	n+m.क्रम@n+m.आदेश@v.आदेश देना
very	ad.बहुत
privacy	n+f.गोपनीयता@n+f.निजता
book	n+f.किताब@n+m.पुस्तक@v.बुक करना
items	n+f.वस्तुएँ@n+m.आइटम
company	n+f.कंपनी
read	v.पढ़ना
group	n+m.समूह@n+m.ग्रुप
sex	n+m.लिंग@n+m.सेक्स
need	n+f.जरूरत@n+f.आवश्यकता@v.चाहिए
many	a.बहुत@a.अनेक@pron.बहुत से
user	n+m.उपयोगकर्ता
said	v.कहा@a.उक्त
de	prep.का
does	v.करता है@v.करती है
set	n+m.सेट@n+m.समूह@v.सेट करना@v.रखना
under	prep.के नीचे@prep.के अंतर्गत
general	a.सामान्य@n+m.जनरल
research	n+m.अनुसंधान@n+f.शोध@v.शोध करना
university	n+m.विश्वविद्यालय
january	n+m.जनवरी
mail	n+f.डाक@n+m.मेल@v.भेजना
full	a.पूर्ण@a.भरा हुआ
map	n+m.नक्शा@n+m.मानचित्र
reviews	n+f.समीक्षाएँ
program	n+m.कार्यक्रम@n+m.प्रोग्राम
life	n+m.जीवन@n+f.जिंदगी
know	v.जानना
games	n+m.खेल
way	n+m.रास्ता@n+m.तरीका
days	n+m.दिन
management	n+m.प्रबंधन
part	n+m.भाग@n+m.हिस्सा
could	v.सकता था@v.सकती थी
great	a.महान@a.बड़ा@a.उत्कृष्ट
united	a.संयुक्त
hotel	n+m.होटल
real	a.असली@a.वास्तविक
item	n+f.वस्तु@n+m.आइटम
international	a.अंतरराष्ट्रीय
ebay	n+m.ईबे
must	v.चाहिए@v.होना चाहिए
store	n+m.स्टोर@n+f.दुकान@v.संग्रह करना
travel	n+m.यात्रा@v.यात्रा करना
comments	n+f.टिप्पणियाँ
made	v.बनाया@a.निर्मित
development	n+m.विकास
report	n+f.रिपोर्ट@n+m.प्रतिवेदन@v.रिपोर्ट करना
off	ad.बंद@prep.से दूर
member	n+m.सदस्य
details	n+m.विवरण
line	n+f.रेखा@n+f.पंक्ति@n+f.लाइन
terms	n+f.शर्तें@n+m.पद
before	prep.पहले@conj.से पहले@ad.पहले
hotels	n+m.होटल
did	v.किया@v.की
send	v.भेजना
right	a.सही@a+m.दाहिना@a+f.दाहिनी@n+m.अधिकार@ad.ठीक
type	n+m.प्रकार@n+f.टाइप@v.टाइप करना
because	conj.क्योंकि
local	a.स्थानीय
those	pron+m.वे@pron+f.वे@a.उन
using	v.उपयोग करते हुए
results	n+m.परिणाम@n+m.नतीजे
office	n+m.कार्यालय@n+m.दफ्तर
education	n+f.शिक्षा
national	a.राष्ट्रीय
car	n+f.कार@n+f.गाड़ी
design	n+m.डिजाइन@n+f.रचना@v.डिजाइन करना
take	v.लेना
posted	v.पोस्ट किया@a.तैनात
internet	n+m.इंटरनेट
address	n+m.पता@v.संबोधित करना
community	n+m.समुदाय
within	prep.के भीतर@prep.के अंदर
states	n+m.राज्य
area	n+m.क्षेत्र@n+m.इलाका
want	v.चाहना
phone	n+m.फोन@n+m.टेलीफोन
shipping	n+f.शिपिंग@n+m.परिवहन
reserved	a.आरक्षित
subject	n+m.विषय@a.अधीन
between	prep.बीच में@prep.के बीच
forum	n+m.मंच@n+m.फोरम
family	n+m.परिवार
long	a+m.लंबा@a+f.लंबी@ad.लंबे समय तक
based	a.आधारित
code	n+m.कोड@n+f.संहिता
show	v.दिखाना@n+m.शो@n+m.प्रदर्शन
even	ad.भी@a.सम@a.बराबर
black	a+m.काला@a+f.काली@n+m.काला रंग
check	v.जाँचना@n+m.चेक@n+f.जाँच
special	a.विशेष
prices	n+m.मूल्य@n+f.कीमतें
website	n+f.वेबसाइट
index	n+m.सूचकांक@n+f.अनुक्रमणिका
being	v.होना@n+m.अस्तित्व
women	n+f.महिलाएँ@n+f.औरतें
much	a.बहुत@ad.बहुत
sign	n+m.चिह्न@n+f.निशानी@v.हस्ताक्षर करना
file	n+f.फाइल@v.दाखिल करना
link	n+m.लिंक@n+f.कड़ी@v.जोड़ना
open	a+m.खुला@a+f.खुली@v.खोलना
today	ad.आज@n+m.आज
technology	n+f.तकनीक@n+f.प्रौद्योगिकी
south	n+m.दक्षिण@a.दक्षिणी
case	n+m.मामला@n+m.केस
project	n+m.परियोजना@n+m.प्रोजेक्ट@v.प्रक्षेपित करना
same	a.समान@a.वही
pages	n+m.पृष्ठ@n+m.पन्ने
version	n+m.संस्करण
section	n+m.अनुभाग@n+m.खंड
own	a+m.अपना@a+f.अपनी@v.स्वामित्व रखना
found	v.पाया@v.स्थापित किया
sports	n+m.खेल
house	n+m.घर@n+m.मकान
related	a.संबंधित
security	n+f.सुरक्षा
both	a.दोनों@pron.दोनों
county	n+m.काउंटी@n+m.जिला
american	a.अमेरिकी@n+m.अमेरिकी
photo	n+f.फोटो@n+m.चित्र
game	n+m.खेल
members	n+m.सदस्य
power	n+f.शक्ति@n+m.बल@n+f.ताकत
while	conj.जबकि@n+m.समय
care	n+f.देखभाल@v.परवाह करना
network	n+m.नेटवर्क@n+m.जाल
down	ad.नीचे@prep.नीचे@a.निराश
computer	n+m.कंप्यूटर
systems	n+m.प्रणालियाँ@n+f.व्यवस्थाएँ
three	n+m.तीन@a.तीन
total	a.कुल@n+m.कुल योग
place	n+m.स्थान@n+f.जगह@v.रखना
end	n+m.अंत@n+m.समापन@v.समाप्त करना
following	a.निम्नलिखित@n+m.अनुसरण
download	v.डाउनलोड करना@n+m.डाउनलोड
him	pron.उसे@pron.उसको
without	prep.बिना@prep.के बिना
per	prep.प्रति
access	n+m.पहुँच@n+f.पहुँच@v.पहुँचना
think	v.सोचना
north	n+m.उत्तर@a.उत्तरी
resources	n+m.संसाधन
current	a.वर्तमान@a.मौजूदा@n+f.धारा
posts	n+m.पद@n+f.पोस्ट
big	a+m.बड़ा@a+f.बड़ी
media	n+m.मीडिया@n+m.माध्यम
law	n+m.कानून@n+m.नियम
control	n+m.नियंत्रण@v.नियंत्रित करना
water	n+m.पानी@n+m.जल
history	n+m.इतिहास
pictures	n+f.तस्वीरें@n+m.चित्र
size	n+m.आकार
art	n+f.कला
personal	a.व्यक्तिगत@a.निजी
since	prep.से@conj.क्योंकि
including	prep.सहित@v.शामिल करते हुए
guide	n+m.मार्गदर्शक@n+f.गाइड@v.मार्गदर्शन करना
shop	n+f.दुकान@v.खरीदारी करना
directory	n+f.निर्देशिका
board	n+m.बोर्ड@n+m.मंडल
location	n+m.स्थान@n+f.जगह
change	n+m.परिवर्तन@n+m.बदलाव@v.बदलना
white	a+m.सफेद@a+f.सफेद@n+m.सफेद रंग
text	n+m.पाठ@n+m.टेक्स्ट
small	a+m.छोटा@a+f.छोटी
rating	n+f.रेटिंग@n+m.मूल्यांकन
rate	n+f.दर@n+m.मूल्य@v.मूल्यांकन करना
government	n+m.सरकार@n+f.सरकार
children	n+m.बच्चे
during	prep.के दौरान
return	v.लौटना@v.वापस करना@n+f.वापसी
students	n+m.छात्र@n+f.छात्राएँ
shopping	n+f.खरीदारी
account	n+m.खाता@n+m.लेखा
times	n+m.समय@n+f.बार
sites	n+m.स्थान@n+f.साइटें
level	n+m.स्तर@a.समतल
digital	a.डिजिटल
profile	n+m.प्रोफाइल@n+f.रूपरेखा
previous	a.पिछला@a.पूर्व
form	n+m.फॉर्म@n+m.रूप@v.बनाना
events	n+f.घटनाएँ@n+m.कार्यक्रम
love	n+m.प्यार@n+m.प्रेम@v.प्यार करना
old	a+m.पुराना@a+f.पुरानी@a+m.बूढ़ा@a+f.बूढ़ी
john	n+m.जॉन
main	a.मुख्य@a.प्रमुख
call	v.बुलाना@v.फोन करना@n+f.कॉल@n+m.पुकार
hours	n+m.घंटे
image	n+f.छवि@n+m.चित्र
department	n+m.विभाग
title	n+m.शीर्षक@n+f.उपाधि
description	n+m.विवरण@n+f.व्याख्या
non	a.गैर
insurance	n+m.बीमा
another	a.एक और@pron.कोई और
why	ad.क्यों
shall	v.होगा@v.चाहिए
property	n+f.संपत्ति
class	n+f.कक्षा@n+m.वर्ग
cd	n+f.सीडी
still	ad.अभी भी@a.शांत@a.स्थिर
money	n+m.पैसा@n+f.धनराशि
quality	n+f.गुणवत्ता
every	a.हर@a.प्रत्येक
listing	n+f.सूची@n+f.लिस्टिंग
content	n+m.सामग्री@n+f.विषय वस्तु@a.संतुष्ट
country	n+m.देश
private	a.निजी@a.व्यक्तिगत
little	a+m.छोटा@a+f.छोटी@ad.थोड़ा
visit	v.भेंट करना@n+f.यात्रा@n+f.भेंट
save	v.बचाना@v.सहेजना
tools	n+m.उपकरण
low	a+m.नीचा@a+f.नीची@a.कम
reply	v.जवाब देना@n+m.जवाब@n+m.उत्तर
customer	n+m.ग्राहक
december	n+m.दिसंबर
compare	v.तुलना करना
movies	n+f.फिल्में
include	v.शामिल करना
college	n+m.कॉलेज@n+m.महाविद्यालय
value	n+m.मूल्य@n+f.कीमत@v.महत्व देना
article	n+m.लेख@n+f.वस्तु
york	n+m.यॉर्क
man	n+m.आदमी@n+m.पुरुष
card	n+m.कार्ड@n+m.पत्ता
jobs	n+f.नौकरियाँ@n+m.काम
provide	v.प्रदान करना@v.देना
food	n+m.भोजन@n+m.खाना
source	n+m.स्रोत
author	n+m.लेखक@n+f.लेखिका
different	a.अलग@a.भिन्न
press	n+m.प्रेस@v.दबाना@n+f.प्रेस
learn	v.सीखना
sale	n+f.बिक्री
around	prep.के आसपास@ad.लगभग
print	v.छापना@n+m.प्रिंट@n+f.छपाई
course	n+m.पाठ्यक्रम@n+m.कोर्स@ad.निश्चित रूप से
job	n+f.नौकरी@n+m.काम
canada	n+m.कनाडा
process	n+f.प्रक्रिया@v.प्रक्रिया करना
teen	n+m.किशोर@n+f.किशोरी@a.किशोर
room	n+m.कमरा
stock	n+m.स्टॉक@n+m.भंडार@n+m.शेयर
training	n+m.प्रशिक्षण
too	ad.भी@ad.बहुत
credit	n+m.क्रेडिट@n+m.श्रेय
point	n+m.बिंदु@n+m.अंक@v.इशारा करना
join	v.जुड़ना@v.शामिल होना
science	n+m.विज्ञान
men	n+m.पुरुष@n+m.आदमी
categories	n+f.श्रेणियाँ
advanced	a.उन्नत@a.प्रगत
west	n+m.पश्चिम@a.पश्चिमी
sales	n+f.बिक्री
look	v.देखना@n+f.नज़र
english	n+f.अंग्रेज़ी@a.अंग्रेज़ी
left	a+m.बायाँ@a+f.बाईं@v.छोड़ा@n+m.बायाँ
team	n+f.टीम@n+m.दल
estate	n+f.संपत्ति@n+f.जायदाद
box	n+m.डिब्बा@n+m.बक्सा
conditions	n+f.शर्तें@n+f.स्थितियाँ
select	v.चुनना@a.चुनिंदा
windows	n+f.खिड़कियाँ
photos	n+f.तस्वीरें@n+m.फोटो
gay	a.समलैंगिक@n+m.समलैंगिक
thread	n+m.धागा@n+m.थ्रेड
week	n+m.सप्ताह@n+m.हफ्ता
category	n+f.श्रेणी
note	n+m.नोट@n+f.टिप्पणी@v.नोट करना
live	v.रहना@a.जीवित@a.लाइव
large	a+m.बड़ा@a+f.बड़ी
gallery	n+f.गैलरी
table	n+m.टेबल@n+f.मेज@n+f.तालिका
register	v.पंजीकृत करना@n+m.रजिस्टर
however	ad.हालाँकि@conj.फिर भी
june	n+m.जून
october	n+m.अक्टूबर
november	n+m.नवंबर
market	n+m.बाजार
library	n+m.पुस्तकालय
really	ad.वास्तव में@ad.सचमुच
action	n+f.कार्रवाई@n+m.क्रिया
start	v.शुरू करना@n+f.शुरुआत
series	n+f.श्रृंखला
model	n+m.मॉडल@n+m.नमूना@v.मॉडल बनाना
features	n+f.विशेषताएँ@n+m.फीचर
air	n+f.हवा@n+m.वायु
industry	n+m.उद्योग
plan	n+f.योजना@v.योजना बनाना
human	a.मानव@n+m.मानव@a.मानवीय
provided	v.प्रदान किया@conj.बशर्ते
yes	ad.हाँ@int.हाँ
required	a.आवश्यक@v.आवश्यक था
second	a+m.दूसरा@a+f.दूसरी@n+m.सेकंड@n+m.क्षण
hot	a+m.गर्म@a+f.गर्म@a.तेज
accessories	n+m.सामान@n+f.सहायक वस्तुएँ
cost	n+m.लागत@n+f.कीमत@v.लागत होना
movie	n+f.फिल्म
forums	n+m.मंच
march	n+m.मार्च@v.मार्च करना
la	n+m.एलए
september	n+m.सितंबर
better	a.बेहतर@ad.बेहतर तरीके से
say	v.कहना
questions	n+m.प्रश्न@n+m.सवाल
july	n+m.जुलाई
yahoo	n+m.याहू
going	v.जा रहा@a.मौजूदा
medical	a.चिकित्सा@a.चिकित्सीय
test	n+m.परीक्षण@n+f.परीक्षा@v.परीक्षण करना
friend	n+m.मित्र@n+m.दोस्त@n+f.सहेली
come	v.आना
dec	n+m.दिसंबर
server	n+m.सर्वर
pc	n+m.पीसी@n+m.कंप्यूटर
study	n+m.अध्ययन@n+f.पढ़ाई@v.पढ़ना
application	n+m.आवेदन@n+f.एप्लीकेशन
cart	n+f.गाड़ी@n+m.ठेला
staff	n+m.कर्मचारी@n+m.स्टाफ
articles	n+m.लेख
san	n+m.सैन
feedback	n+m.प्रतिक्रिया@n+f.राय
again	ad.फिर से@ad.दोबारा
play	v.खेलना@n+m.खेल@n+m.नाटक
looking	v.देख रहा
issues	n+m.मुद्दे@n+f.समस्याएँ
april	n+m.अप्रैल
never	ad.कभी नहीं
users	n+m.उपयोगकर्ता
complete	a.पूर्ण@a.संपूर्ण@v.पूरा करना
street	n+f.सड़क@n+m.गली
topic	n+m.विषय
comment	n+f.टिप्पणी@v.टिप्पणी करना
financial	a.वित्तीय
things	n+f.चीज़ें@n+m.वस्तुएँ
working	v.काम कर रहा@a.कार्यरत
against	prep.के खिलाफ@prep.के विरुद्ध
standard	n+m.मानक@a.मानक
tax	n+m.कर
person	n+m.व्यक्ति
below	prep.नीचे@ad.नीचे
mobile	a.मोबाइल@n+m.मोबाइल
less	a.कम@ad.कम
got	v.मिला@v.प्राप्त किया
blog	n+m.ब्लॉग
party	n+f.पार्टी@n+m.दल
payment	n+m.भुगतान
equipment	n+m.उपकरण@n+m.सामान
login	n+m.लॉगिन@v.लॉगिन करना
student	n+m.छात्र@n+f.छात्रा
let	v.देना@v.अनुमति देना
programs	n+m.कार्यक्रम
offers	n+m.प्रस्ताव@v.प्रस्तुत करता है
legal	a.कानूनी@a.वैध
above	prep.ऊपर@ad.ऊपर
recent	a.हालिया@a.हाल का
park	n+m.पार्क@n+m.उद्यान@v.पार्क करना
stores	n+f.दुकानें@n+m.भंडार
side	n+m.पक्ष@n+f.तरफ
act	n+m.अधिनियम@n+m.कार्य@v.कार्य करना
problem	n+f.समस्या
red	a+m.लाल@a+f.लाल@n+m.लाल रंग
give	v.देना
memory	n+f.याददाश्त@n+f.स्मृति@n+f.मेमोरी
performance	n+m.प्रदर्शन
social	a.सामाजिक
august	n+m.अगस्त
quote	n+m.उद्धरण@v.उद्धृत करना
language	n+f.भाषा
story	n+f.कहानी
sell	v.बेचना
options	n+m.विकल्प
experience	n+m.अनुभव@v.अनुभव करना
rates	n+f.दरें
create	v.बनाना@v.निर्माण करना
key	n+f.चाबी@n+f.कुंजी@a.महत्वपूर्ण
body	n+m.शरीर@n+f.देह
young	a+m.युवा@a+f.युवा@a+m.जवान@a+f.जवान
america	n+m.अमेरिका
important	a.महत्वपूर्ण
field	n+m.क्षेत्र@n+m.मैदान
few	a.कुछ@a.थोड़े
east	n+m.पूर्व@a.पूर्वी
paper	n+m.कागज@n+m.पेपर
single	a.एकल@a+m.अकेला@a+f.अकेली
ii	n+m.द्वितीय
age	n+f.उम्र@n+m.युग
activities	n+f.गतिविधियाँ
club	n+m.क्लब
example	n+m.उदाहरण
girls	n+f.लड़कियाँ
additional	a.अतिरिक्त
password	n+m.पासवर्ड
latest	a.नवीनतम@a.सबसे नया
something	pron.कुछ
road	n+f.सड़क@n+m.रास्ता
gift	n+m.उपहार@n+f.भेंट
question	n+m.प्रश्न@n+m.सवाल@v.पूछना
changes	n+m.परिवर्तन@n+m.बदलाव
night	n+f.रात
hard	a+m.कठिन@a+f.कठिन@a+m.कड़ा@a+f.कड़ी@ad.कठिनाई से
texas	n+m.टेक्सास
oct	n+m.अक्टूबर
pay	v.भुगतान करना@n+m.वेतन
four	n+m.चार@a.चार
poker	n+m.पोकर
status	n+m.स्थिति@n+f.स्थिति
browse	v.ब्राउज़ करना
issue	n+m.मुद्दा@n+f.समस्या@v.जारी करना
range	n+f.श्रेणी@n+m.रेंज@v.फैलना
building	n+f.इमारत@n+m.भवन
seller	n+m.विक्रेता
court	n+m.अदालत@n+f.कोर्ट
february	n+m.फरवरी
always	ad.हमेशा
result	n+m.परिणाम@n+m.नतीजा
audio	n+m.ऑडियो@a.ऑडियो
light	n+m.प्रकाश@n+f.रोशनी@a+m.हल्का@a+f.हल्की
write	v.लिखना
war	n+m.युद्ध@n+f.लड़ाई
nov	n+m.नवंबर
offer	v.प्रस्ताव देना@n+m.प्रस्ताव
blue	a+m.नीला@a+f.नीली@n+m.नीला रंग
groups	n+m.समूह
al	n+m.अल
easy	a.आसान@a.सरल
given	v.दिया@a.दिया हुआ
files	n+f.फाइलें
event	n+f.घटना@n+m.कार्यक्रम
release	v.जारी करना@n+f.रिलीज
analysis	n+m.विश्लेषण
request	n+m.अनुरोध@v.अनुरोध करना
fax	n+m.फैक्स@v.फैक्स करना
china	n+m.चीन@n+m.चीनी मिट्टी
making	v.बना रहा@n+m.निर्माण
picture	n+f.तस्वीर@n+m.चित्र
needs	n+f.जरूरतें@v.चाहिए
possible	a.संभव
might	v.सकता था@n+m.शक्ति
professional	a.पेशेवर@n+m.पेशेवर
yet	ad.अभी तक@conj.फिर भी
month	n+m.महीना
major	a.प्रमुख@a.बड़ा@n+m.मेजर
star	n+m.तारा@n+m.सितारा
areas	n+m.क्षेत्र
future	n+m.भविष्य@a.भविष्य का
space	n+m.अंतरिक्ष@n+f.जगह
committee	n+f.समिति
hand	n+m.हाथ@v.देना
sun	n+m.सूर्य@n+m.सूरज
cards	n+m.कार्ड@n+m.पत्ते
problems	n+f.समस्याएँ
london	n+m.लंदन
washington	n+m.वाशिंगटन
meeting	n+f.बैठक@n+f.मीटिंग
become	v.बनना@v.हो जाना
interest	n+f.रुचि@n+m.ब्याज@v.रुचि लेना
id	n+f.पहचान@n+m.आईडी
child	n+m.बच्चा@n+f.बच्ची
keep	v.रखना
enter	v.प्रवेश करना@v.दर्ज करना
california	n+m.कैलिफोर्निया
porn	n+m.अश्लील
share	v.साझा करना@n+m.शेयर@n+m.हिस्सा
similar	a.समान
garden	n+m.बगीचा@n+f.बाग
schools	n+m.विद्यालय@n+m.स्कूल
million	n+m.मिलियन@n+m.दस लाख
added	v.जोड़ा@a.अतिरिक्त
reference	n+m.संदर्भ@n+m.हवाला
companies	n+f.कंपनियाँ
listed	v.सूचीबद्ध किया@a.सूचीबद्ध
baby	n+m.बच्चा@n+f.बच्ची@n+m.शिशु
learning	n+f.सीखना@n+m.शिक्षण
energy	n+f.ऊर्जा@n+f.शक्ति
run	v.दौड़ना@v.चलाना@n+f.दौड़
delivery	n+f.डिलीवरी@n+f.वितरण
net	n+m.जाल@n+m.नेट@a.शुद्ध
popular	a.लोकप्रिय
term	n+m.शब्द@n+f.अवधि
film	n+f.फिल्म@v.फिल्माना
stories	n+f.कहानियाँ
put	v.रखना@v.डालना
computers	n+m.कंप्यूटर
journal	n+f.पत्रिका@n+m.जर्नल
reports	n+f.रिपोर्टें@n+m.प्रतिवेदन
co	n+f.कंपनी
try	v.कोशिश करना@v.प्रयास करना
welcome	v.स्वागत करना@n+m.स्वागत@int.स्वागत है
central	a.केंद्रीय@a.मध्य
images	n+f.छवियाँ@n+m.चित्र
president	n+m.राष्ट्रपति@n+m.अध्यक्ष
notice	n+m.नोटिस@n+f.सूचना@v.ध्यान देना
god	n+m.भगवान@n+m.ईश्वर
original	a.मूल@a.असली
head	n+m.सिर@n+m.प्रमुख@v.नेतृत्व करना
radio	n+m.रेडियो
until	prep.तक@conj.जब तक
cell	n+m.कोशिका@n+m.सेल
self	n+m.स्वयं@pron.खुद
council	n+f.परिषद
away	ad.दूर
includes	v.शामिल है
track	n+m.ट्रैक@n+m.रास्ता@v.ट्रैक करना
australia	n+m.ऑस्ट्रेलिया
discussion	n+f.चर्चा
archive	n+m.संग्रह@v.संग्रहीत करना
once	ad.एक बार@conj.जब
others	pron.दूसरे@pron.अन्य
entertainment	n+m.मनोरंजन
agreement	n+m.समझौता@n+f.सहमति
format	n+m.प्रारूप@v.फॉर्मेट करना
least	a.कम से कम@ad.कम से कम
society	n+m.समाज@n+f.सोसाइटी
months	n+m.महीने
log	n+m.लॉग@n+f.लकड़ी@v.लॉग करना
safety	n+f.सुरक्षा
friends	n+m.दोस्त@n+m.मित्र
sure	a.निश्चित@ad.ज़रूर
trade	n+m.व्यापार@v.व्यापार करना
edition	n+m.संस्करण
cars	n+f.कारें
messages	n+m.संदेश
marketing	n+m.विपणन@n+f.मार्केटिंग
tell	v.बताना
further	a.आगे@ad.और अधिक
updated	a.अपडेट किया हुआ@v.अपडेट किया
association	n+m.संघ@n+f.एसोसिएशन
able	a.सक्षम@a.योग्य
having	v.रखते हुए
provides	v.प्रदान करता है
david	n+m.डेविड
fun	n+m.मज़ा@a.मज़ेदार
already	ad.पहले से
green	a+m.हरा@a+f.हरी@n+m.हरा रंग
studies	n+m.अध्ययन@v.पढ़ता है
close	v.बंद करना@a+m.निकट@a+f.निकट@a.पास
common	a.सामान्य@a.आम
drive	v.चलाना@n+f.ड्राइव
specific	a.विशिष्ट
several	a.कई
gold	n+m.सोना@a.सुनहरा
feb	n+m.फरवरी
living	a.जीवित@n+m.जीवन@v.रह रहा
sep	n+m.सितंबर
collection	n+m.संग्रह
called	v.बुलाया@a.कहलाया
short	a+m.छोटा@a+f.छोटी@a.संक्षिप्त
arts	n+f.कलाएँ
lot	n+m.बहुत@n+m.भाग्य
ask	v.पूछना@v.माँगना
