ABS	n+m.abs
pl.Багамы	n+f.bahamas
pl.Бейлисы	n+m.baileys
pl.Бенджамины	n+m.benjamins
pl.Беркширы	n+m.berkshires
pl.Бермуды	n+f.bermuda
pl.Битлз	n+m.beatles
pl.Брэды	n+m.brads
pl.Веды	n+f.vedas
pl.Гавайи	n+m.hawaii
pl.Гебриды	n+m.hebrides
pl.Гималаи	n+m.himalaya
pl.Индии	n+f.indies
pl.КПК	n+m.handhelds
pl.Каролины	n+f.carolinas
pl.Катскиллс	n+m.catskills
pl.Киклады	n+m.cyclades
pl.Котсуолдс	n+m.cotswolds
pl.Мальдивы	n+f.maldives
pl.Марианские острова	n+f.marianas
pl.Мэтты	n+m.matts
pl.Нидерланды	n+m.netherlands
pl.Озарк	n+m.ozarks
pl.Олимпийские игры	n+f.olympics
pl.ПК	n+m.pcs
pl.Паруса	n+m.vela
pl.Помпеи	n+f.pompeii
pl.Рэйзорбэкс	n+m.razorbacks
pl.Сейшелы	n+f.seychelles
pl.Симпсоны	n+m.simpsons
pl.Фиджи	n+m.fiji
pl.Филиппины	n+f.philippines
pl.Флинтстоуны	n+m.flintstones
pl.ЧАВО	n+m.faqs
pl.Шейсы	n+m.shays
pl.ЭЛТ	n+m.crts
pl.аберрации	n+f.aberrations
pl.абзацы	n+m.paragraphs
pl.абоненты	n+m.subscribers
pl.аборигены	n+m.aborigines
pl.абрикосы	n+m.apricots
pl.абсолюты	n+n.absolutes
pl.аванпосты	n+m.outposts
pl.авансы	n+m.advances
pl.аварии	n+f.accidents
pl.авиакомпании	n+f.airlines
pl.авиалайнеры	n+m.airliners
pl.авиалинии	n+f.airways
pl.авиаторы	n+m.aviators
pl.авокадо	n+n.avocados
pl.автобусы	n+m.coaches@n+m.buses@n+m.busses
pl.автокары	n+m.forklifts
pl.автомагистрали	n+f.highways@n+f.motorways
pl.автомобили	n+m.autos@n+m.automobiles
pl.автопроизводители	n+m.automakers
pl.авторские права	n+n.copyrights
pl.авторы	n+m.authors@n+m.writers
pl.авторы предложений	n+m.proposers
pl.автостопщики	n+m.hitchhikers
pl.автострады	n+f.freeways
pl.агентства	n+n.agencies
pl.агенты	n+m.agents
pl.агония	n+f.throes
pl.адаптеры	n+m.adapters
pl.адвокаты	n+m.lawyers@n+m.attorneys@n+m.counsels
pl.администраторы	n+m.administrators
pl.адмиралы	n+m.admirals
pl.адреса	n+m.addresses
pl.ады	n+m.hells
pl.ажио	n+m.agios
pl.азбуки	n+f.abcs
pl.акварели	n+f.watercolours
pl.аккаунты	n+m.accounts
pl.аккомпанементы	n+m.accompaniments
pl.аккумуляторы	n+m.batteries
pl.акриловые краски	n+f.acrylics
pl.акрилы	n+m.acrylics
pl.акробаты	n+m.tumblers
pl.акры	n+m.acres
pl.аксоны	n+m.axons
pl.активаторы	n+m.activators@n+m.enablers
pl.активисты	n+m.activists@n+m.campaigners@n+m.actives
pl.активы	n+m.assets@n+m.actives
pl.актуарии	n+m.actuaries
pl.акты	n+m.acts
pl.актёры	n+m.actors
pl.акушеры	n+m.obstetricians
pl.акценты	n+m.emphases
pl.акцепты	n+n.acceptances
pl.акции	n+f.shares@n+m.stocks@n+f.promotions
pl.акционеры	n+m.shareholders
pl.алгоритмы	n+m.algorithms
pl.алкалоиды	n+m.alkaloids
pl.аллигаторы	n+m.alligators
pl.аллюзии	n+f.allusions
pl.алмазы	n+m.diamonds
pl.алтари	n+m.altars
pl.алфавиты	n+m.alphabets
pl.альбомы	n+m.albums
pl.альпаки	n+f.alpacas
pl.альтернативы	n+f.alternatives
pl.амазонки	n+f.amazons
pl.амбулаторные пациенты	n+m.outpatients
pl.американцы	n+m.americans
pl.амины	n+m.amines
pl.амулеты	n+m.amulets
pl.амфетамины	n+m.amphetamines
pl.анаграммы	n+f.anagrams
pl.анализаторы	n+m.parsers@n+m.analysers
pl.анализы	n+m.analyses
pl.аналитики	n+m.analysts
pl.аналоги	n+m.analogues
pl.аналогии	n+f.analogies
pl.анальгетики	n+n.analgesics
pl.анархисты	n+m.anarchists
pl.ангелочки	n+m.cherubs
pl.ангелы	n+m.angels
pl.англичане	n+m.poms@n+m.englishmen
pl.аневризмы	n+f.aneurysms
pl.анекдоты	n+m.jokes
pl.аниматоры	n+m.animators
pl.анимы	n+f.animas
pl.анионы	n+m.anions
pl.анклавы	n+m.enclaves
pl.аномалии	n+m.outliers
pl.антациды	n+m.antacids
pl.анте	n+m.antes
pl.антенны	n+f.antennae
pl.антигистаминные	n+m.antihistamines
pl.антиквариат	n+m.antiques
pl.антитела	n+n.antibodies
pl.антонимы	n+m.antonyms
pl.антропологи	n+m.anthropologists
pl.апелляции	n+f.appeals
pl.апертуры	n+f.apertures
pl.апологеты	n+m.apologists
pl.аппендиксы	n+m.appendixes
pl.аппетиты	n+m.appetites
pl.аппликаторы	n+m.applicators
pl.аппликации	n+f.appliques
pl.аптеки	n+f.pharmacies@n+f.drugstores
pl.аргументы	n+m.arguments
pl.арендаторы	n+m.tenants
pl.арендодатели	n+m.lessors
pl.аренды	n+f.rentals@n+f.tenancies
pl.аркады	n+f.arcades
pl.арканы	n+n.arcana
pl.арматура	n+f.fittings
pl.армяне	n+m.armenians
pl.ароматические вещества	n+m.aromatics
pl.ароматы	n+m.fragrances
pl.артиллеристы	n+m.gunners
pl.артисты	n+m.artists
pl.артишоки	n+m.artichokes
pl.арфисты	n+m.harpers
pl.арфы	n+f.harps
pl.архетипы	n+m.archetypes
pl.архивисты	n+m.archivists
pl.архитекторы	n+m.architects
pl.асимметрии	n+f.asymmetries
pl.аспекты	n+m.aspects
pl.аспиды	n+f.asps
pl.аспиранты	n+m.postgraduates
pl.ассамбляжи	n+m.assemblages
pl.ассемблеры	n+m.assemblers
pl.ассигнования	n+f.appropriations
pl.ассистенты	n+m.assistants
pl.ассортименты	n+m.assortments
pl.ассоциации	n+f.associations
pl.астрологи	n+m.astrologers
pl.атаки	n+f.attacks
pl.атлеты	n+m.athletes
pl.атрибуты	n+m.attributes@n+m.trappings
pl.атрибуции	n+f.attributions
pl.атриумы	n+m.atria
pl.аттенюаторы	n+m.attenuators
pl.аттракционы	n+m.attractions@n+m.rides
pl.аудиозаписи	n+n.audios
pl.аудиологи	n+m.audiologists
pl.аудитории	n+f.audiences
pl.аукционы	n+m.auctions
pl.аутсайдеры	n+m.underdogs
pl.афиши	n+f.placards
pl.аффирмации	n+f.affirmations
pl.аэродромы	n+m.airfields
pl.аэропорты	n+m.airports
pl.бабушки	n+f.grandmothers@n+f.grandmas
pl.багги	n+m.buggies
pl.базовые линии	n+f.baselines
pl.базы	n+f.bases
pl.базы данных	n+f.databases
pl.байты	n+m.bytes
pl.бакалейщики	n+m.grocers
pl.бакенбарды	n+f.whiskers
pl.баксы	n+m.bucks
pl.бактерии	n+f.bacteria
pl.балеты	n+m.ballets
pl.балки	n+f.joists
pl.балласты	n+m.ballasts
pl.балы	n+m.proms
pl.бальзамы	n+m.balms
pl.банальности	n+f.generalities
pl.бандажи	n+m.jockstraps
pl.банданы	n+f.bandanas
pl.банджо	n+m.banjos
pl.бандиты	n+m.goons
pl.бани	n+f.baths
pl.банки	n+m.banks
pl.баннеры	n+m.banners
pl.банши	n+f.banshees
pl.барабаны	n+f.drums
pl.барбитураты	n+m.barbiturates
pl.барды	n+m.bards
pl.баржи	n+f.barges
pl.бармены	n+m.bartenders
pl.барометры	n+m.barometers
pl.баррикады	n+f.barricades
pl.барриос	n+m.barrios
pl.барристеры	n+m.barristers
pl.бархатцы	n+m.marigold
pl.бары	n+m.bars
pl.барьеры	n+m.barriers
pl.баски	n+m.basques
pl.бассейны	n+m.pools
pl.батальоны	n+m.battalions
pl.батареи	n+f.batteries
pl.батат	n+m.yams
pl.батоны	n+m.loaves
pl.бахрома	n+f.tassels
pl.башенки	n+f.turrets
pl.башни	n+f.towers@n+f.silos
pl.беглецы	n+m.fugitives@n+m.runaways
pl.бегуны трусцой	n+m.joggers
pl.бегущие строки	n+m.tickers
pl.бедленды	n+m.badlands
pl.бедствия	n+n.disasters@n+n.calamities
pl.беды	n+f.misfortunes
pl.беженцы	n+m.refugees
pl.безбожники	n+m.infidels
pl.безделушки	n+f.trinkets
pl.бездельники	n+m.loafers@n+m.slackers
pl.бездомные	n+m.homeless
pl.бездомные животные	n+m.strays
pl.безумцы	n+m.lunatics
pl.бейсбольные мячи	n+m.baseballs
pl.бекасы	n+m.snipes
pl.белки	n+m.proteins
pl.белые доски	n+f.whiteboards
pl.бемоли	n+m.flats
pl.бены	n+m.bens
pl.берди	n+m.birdies
pl.берега	n+m.banks
pl.береговые линии	n+f.coastlines@n+f.shorelines
pl.берлоги	n+m.dens
pl.беседки	n+f.gazebos
pl.беседы	n+f.conversations
pl.бесенята	n+m.imps
pl.беспорядки	n+m.messes
pl.бессмертные	n+m.immortals
pl.бестселлеры	n+m.bestsellers
pl.беты	n+f.betas
pl.библиотеки	n+f.libraries
pl.бизнесы	n+m.businesses
pl.билетёры	n+m.ushers
pl.бинтуронги	n+m.bearcats
pl.биографии	n+f.bios@n+f.biographies
pl.биопсии	n+f.biopsies
pl.биржи	n+f.exchanges
pl.бисексуалы	n+m.bisexuals
pl.бисер	n+f.beads
pl.битвы	n+f.battles
pl.биты	n+m.bits@n+m.beats
pl.благодетели	n+m.benefactors
pl.благотворительные организации	n+f.charities
pl.бланки	n+m.forms
pl.бластеры	n+m.blasters
pl.близнецы	n+m.twins
pl.блины	n+m.crepes
pl.блогеры	n+m.bloggers
pl.блоги	n+m.blogs@n+m.weblogs
pl.блок-схемы	n+f.flowcharts
pl.блокбастеры	n+m.blockbusters
pl.блоки	n+m.units@n+m.blocks@n+m.pulleys@n+m.blocs
pl.блокпосты	n+m.roadblocks
pl.блуждания	n+f.wanderings
pl.блунты	n+m.blunts
pl.блюда	n+n.courses@n+f.meals@n+f.dishes
pl.блёстки	n+f.sequins
pl.боа	n+n.boas
pl.бобины	n+f.spools
pl.бобовые	n+m.legumes
pl.бобы	n+m.beans
pl.боги	n+m.gods
pl.боеголовки	n+f.warheads
pl.бозоны	n+m.bosons
pl.бойкоты	n+m.boycotts
pl.бойфренды	n+m.boyfriends
pl.бойцовые петухи	n+m.gamecocks
pl.бойцы	n+m.fighters@n+m.warriors
pl.бока	n+m.flanks
pl.бокалы	n+m.goblets
pl.боковые панели	n+f.sidebars
pl.болезни	n+f.diseases@n+f.maladies
pl.болельщики	n+m.supporters
pl.болота	n+n.bogs
pl.болотные сапоги	n+m.waders
pl.больницы	n+f.hospitals
pl.большие пальцы	n+m.thumbs
pl.большинства	n+n.majorities
pl.бонги	n+m.bongs
pl.бондари	n+m.coopers
pl.бордели	n+m.brothels
pl.бордеры	n+m.boarders
pl.бордюры	n+m.curbs
pl.борзые	n+f.greyhounds
pl.бороды	n+f.beards
pl.ботинки	n+m.boots
pl.боулеры	n+m.bowlers
pl.бразильцы	n+m.brazilians
pl.браслеты	n+m.bracelets
pl.браслеты на ногу	n+m.anklets
pl.братвурсты	n+f.brats
pl.братства	n+n.fraternities
pl.братья	n+m.brothers@n+m.friars
pl.браузеры	n+m.browsers
pl.бред	n+m.ravings
pl.бредни	n+f.rantings@n+m.ravings
pl.брезенты	n+m.tarps
pl.бренды	n+m.brands
pl.бриджи	n+m.breeches
pl.бриллианты	n+m.diamonds
pl.бритвы	n+f.razors
pl.брови	n+f.brows
pl.броды	n+m.fords
pl.бродяги	n+m.bums@n+m.ramblers@n+m.drifters@n+m.tramps
pl.брокерские фирмы	n+f.brokerages
pl.брокеры	n+m.brokers
pl.бронирования	n+f.reservations@n+n.bookings
pl.броски	n+m.throws@n+m.tosses
pl.брошюры	n+f.brochures
pl.брызги	n+f.spray
pl.брюквы	n+f.swedes
pl.брюки	n+f.pants@n+m.slacks
pl.брёвна	n+n.logs
pl.бугры	n+m.knolls
pl.буддисты	n+m.buddhists
pl.будды	n+m.buddhas
pl.будущее	n+n.futures
pl.буйволы	n+m.buffaloes
pl.буквы	n+f.letters
pl.буксиры	n+m.tugs
pl.булавки	n+f.pins
pl.булочки	n+f.rolls
pl.бульвары	n+m.boulevards
pl.бульдозеры	n+m.bulldozers
pl.бумаги	n+f.papers
pl.бумы	n+m.booms
pl.бункеры	n+m.bunkers@n+m.hoppers
pl.буррито	n+n.burritos
pl.бусы	n+f.beads
pl.бутлеги	n+m.bootlegs
pl.бутсы	n+m.kickers
pl.бутылки	n+f.bottles
pl.буфеты	n+m.cupboards@n+m.buffets@n+m.hutches
pl.буханки	n+f.loaves
pl.бухгалтерские книги	n+f.ledgers
pl.бухты	n+f.coves
pl.бушели	n+m.bushels
pl.бытовая техника	n+f.appliances
pl.бюджеты	n+m.budgets
pl.бюрократии	n+f.bureaucracies
pl.бюстгальтеры	n+m.bras
pl.бюстье	n+m.bustiers
pl.важные персоны	n+f.vips
pl.вакансии	n+f.vacancies@n+f.openings
pl.валентинки	n+f.valentines
pl.валики	n+m.bolsters
pl.валлаби	n+m.wallabies
pl.валюты	n+f.currencies
pl.ванны	n+f.baths@n+f.bathtubs
pl.ванные комнаты	n+f.bathrooms
pl.варианты	n+m.choices
pl.вариации	n+f.variations
pl.ватты	n+m.watts
pl.ваучеры	n+m.vouchers
pl.вахтёры	n+m.watchmen
pl.вводы	n+n.inputs
pl.вдохи	n+n.breaths
pl.веб-камеры	n+f.webcams
pl.веб-мастера	n+m.webmasters
pl.веб-сайты	n+m.websites
pl.веблоги	n+m.weblogs
pl.веганы	n+m.vegans
pl.ведущие	n+m.announcers
pl.вейвлеты	n+f.wavelets
pl.века	n+n.centuries
pl.великаны	n+m.giants
pl.великолепия	n+f.glories
pl.велосипедисты	n+m.bicyclists
pl.велосипеды	n+m.bikes@n+m.cycles
pl.веники	n+m.brooms
pl.венки	n+m.garlands
pl.вентиляторы	n+m.fans
pl.венчики	n+m.beaters
pl.веранды	n+f.porches
pl.вердикты	n+m.verdicts
pl.веретёна	n+f.spindles
pl.верности	n+f.loyalties
pl.верования	n+f.beliefs@n+f.creeds
pl.вероятность	n+f.odds
pl.вероятные кандидаты	n+m.probables
pl.версии	n+f.versions
pl.вертелы	n+m.spits
pl.вертикали	n+f.verticals
pl.вертлюги	n+m.swivels
pl.верующие	n+m.worshippers
pl.верфи	n+f.shipyards
pl.верховья	n+m.headwaters
pl.вершины	n+f.tops@n+f.pinnacles
pl.веса	n+m.weights
pl.веселье	n+m.revels
pl.веснушки	n+f.freckles
pl.вести	n+f.tidings
pl.вестибюли	n+m.lobbies
pl.вестники	n+m.heralds
pl.весы	n+f.scales
pl.ветви	n+f.branches
pl.ветераны	n+m.veterans
pl.веточки	n+f.twigs
pl.ветры	n+m.winds
pl.ветчины	n+f.hams
pl.вечеринки	n+f.parties@n+m.socials
pl.вещества	n+n.substances
pl.взаимодействия	n+n.interactions
pl.взаимосвязи	n+f.interconnections@n+f.interrelationships
pl.взвешенные вещества	n+m.particulates
pl.взгляды	n+m.views@n+m.looks@n+m.glances@n+m.outlooks@n+m.peeks
pl.взломщики	n+m.burglars
pl.взлётные полосы	n+f.runways
pl.взносы	n+f.contributions@n+m.instalments
pl.взрослые	n+m.adults
pl.взрыватели	n+m.blasters
pl.взрывы	n+m.outbursts
pl.взятки	n+f.payoffs
pl.вибраторы	n+m.vibrators
pl.видеокамеры	n+f.camcorders
pl.видеорегистраторы	n+m.dvrs
pl.виды	n+m.views@n+m.types@n+m.species@n+m.kinds@n+m.sorts
pl.визиты	n+m.visits
pl.визуализации	n+f.renderings@n+f.visualizations
pl.викторианцы	n+m.victorians
pl.викторины	n+f.quizzes
pl.виллы	n+f.villas
pl.вилы	n+m.pitchfork
pl.вина	n+n.wines
pl.винилы	n+m.vinyls
pl.виновники	n+m.culprits
pl.виноделы	n+m.winemakers
pl.винокуры	n+m.distillers
pl.винтажи	n+m.vintages
pl.винты	n+m.propellers
pl.виньетки	n+f.vignettes
pl.вирусы	n+m.viruses
pl.витамины	n+m.vitamins
pl.витрины	n+f.storefronts
pl.вкладки	n+f.tabs
pl.вкладчики	n+m.contributors@n+m.depositors
pl.вклады	n+m.contributions@n+m.deposits
pl.владельцы	n+m.owners@n+m.holders
pl.владельцы гостиниц	n+m.hoteliers
pl.владения	n+n.holdings@n+n.dominions
pl.власти	n+f.authorities
pl.влияния	n+f.influences
pl.вложения	n+n.investments@n+n.attachments
pl.влюблённости	n+f.crushes
pl.вмешательства	n+f.interventions
pl.вмятины	n+m.dings
pl.внешние признаки	n+f.trappings
pl.внешние эффекты	n+f.externalities
pl.внутренности	n+m.bowels@n+n.insides
pl.водители	n+m.drivers
pl.водители грузовиков	n+m.teamsters
pl.водно-болотные угодья	n+n.wetlands
pl.водовороты	n+m.whirlpools@n+m.eddies
pl.водопады	n+m.falls@n+m.cataracts
pl.водопроводные сооружения	n+m.waterworks
pl.водопропускные трубы	n+m.culverts
pl.водосборы	n+m.catchments
pl.водотоки	n+m.watercourses
pl.воды	n+f.waters
pl.водяные знаки	n+m.watermarks
pl.военачальники	n+m.warlords
pl.военнослужащие	n+m.servicemen
pl.военные	n+n.military
pl.военные корабли	n+m.warships
pl.вожди	n+m.chieftains
pl.возбуждения	n+n.excitations
pl.возвраты	n+m.returns@n+m.rebates
pl.возвращенцы	n+m.returnees
pl.возвышенности	n+n.uplands
pl.воздействия	n+n.impacts
pl.воздержания	n+n.abstentions
pl.воздушные шары	n+m.balloons
pl.возлюбленные	n+m.sweethearts
pl.возможности	n+f.opportunities@n+f.capabilities@n+f.possibilities@n+f.chances
pl.вознаграждения	n+f.gratuities
pl.возражающие	n+m.objectors
pl.возрасты	n+m.ages
pl.воины	n+m.warriors
pl.войны	n+f.wars
pl.войска	n+f.forces@n+f.troops
pl.вокал	n+m.vocals
pl.волнения	n+f.anxieties
pl.волноводы	n+m.waveguides
pl.волночки	n+f.wavelets
pl.волны	n+f.waves@n+f.swells
pl.волонтёры	n+m.volunteers
pl.волосы	n+m.hair
pl.волхвы	n+m.magi
pl.волшебные существа	n+f.faeries
pl.волы	n+m.oxen
pl.волынки	n+f.bagpipes
pl.волынщики	n+m.pipers
pl.вонь	n+f.stinks
pl.вооружения	n+n.armaments
pl.воплощения	n+f.incarnations
pl.вопросы	n+f.matters@n+m.ques
pl.воробьи	n+m.sparrows
pl.воронки	n+f.funnels
pl.ворота	n+f.gate@n+m.gates
pl.ворчание	n+m.grunts
pl.восклицания	n+n.ejaculations
pl.воспитатели	n+m.educators
pl.воспоминания	n+n.memories@n+m.flashbacks@n+n.reminiscences@n+n.remembrances
pl.восприимчивость	n+f.sensibilities
pl.воссоздания	n+f.recreations
pl.восстановления	n+f.restorations
pl.вояжёры	n+m.voyageurs
pl.впадины	n+f.depressions@n+f.troughs
pl.впечатления	n+n.impressions@n+m.impresses
pl.впуски	n+m.inlets
pl.враги	n+m.enemies
pl.вратари	n+m.goalies
pl.врачи	n+m.doctors@n+m.physicians
pl.вредители	n+m.vermin
pl.врезки	n+f.sidebars
pl.времена	n+n.tenses
pl.времена года	n+n.seasons
pl.временные жители	n+m.transients@n+m.sojourners
pl.временные работники	n+m.casuals
pl.временные рамки	n+f.timescales
pl.времяпрепровождения	n+n.pastimes
pl.всадники	n+m.riders
pl.вселенные	n+f.universes
pl.всплески	n+m.splashes
pl.вспомогательные средства	n+m.auxiliaries
pl.вспышки	n+f.outbursts
pl.вставки	n+f.inlays
pl.встречи	n+n.meetings@n+f.appointments
pl.вступления	n+n.preludes
pl.вторжения	n+m.inroads@n+f.intrusions@n+f.incursions
pl.второкурсники	n+m.sophomores
pl.вторсырьё	n+n.recyclables
pl.втулки	n+f.grommets
pl.вуайеристы	n+m.voyeurs
pl.вурдалаки	n+m.ghouls
pl.вуферы	n+m.woofers
pl.входы	n+m.entries@n+m.inputs@n+m.gateways
pl.вчерашние дни	n+n.yesterdays
pl.вы	pron.yous
pl.выбоины	n+f.potholes
pl.выборные представители	n+m.selectmen
pl.выборы	n+f.election@n+f.polls@n+m.choices@n+f.elections@n+m.picks@n+m.selections
pl.выбросы	n+m.emissions@n+m.outliers@n+m.blowouts
pl.выбывшие	n+m.dropouts
pl.выведения	n+n.derivations
pl.вывески	n+f.signs
pl.вывихи	n+m.dislocations
pl.выводы	n+m.finding@n+m.findings@n+f.implications@n+m.conclusions@n+m.takeaways
pl.выгодные покупки	n+f.bargains
pl.выгоды	n+f.benefits
pl.выдавливания	n+f.extrusions
pl.выделения	n+n.secretions
pl.выдры	n+f.otters
pl.выдумки	n+f.fabrications
pl.выжившие	n+m.survivors
pl.вызовы	n+m.calls@n+m.challenges
pl.выигравшие	n+m.gainers
pl.выключатели	n+m.switches
pl.вылазки	n+f.forays
pl.вымпелы	n+m.pennants
pl.вымыслы	n+f.fictions
pl.выписки	n+f.statements
pl.выплаты	n+f.payments@n+f.payoffs
pl.выпрямители	n+m.straighteners@n+m.rectifiers
pl.выпуклости	n+f.bulges
pl.выпуски	n+m.releases@n+f.graduations
pl.выпускники	n+m.alumni@n+m.graduates@n+m.alums
pl.выпускные	n+m.proms
pl.выражения	n+n.expressions
pl.вырезки	n+f.cutouts
pl.вырезы	n+m.cutouts
pl.выручка	n+f.proceeds
pl.выручки	n+f.takings
pl.выселения	n+n.evictions
pl.высказывания	n+n.remarks@n+n.utterances@n+n.pronouncements
pl.высокогорья	n+m.highlands
pl.высокопоставленные лица	n+m.dignitaries
pl.высокочастотные динамики	n+m.tweeters
pl.высоты	n+f.heights@n+f.altitudes
pl.выставки	n+f.exhibitions@n+f.expositions
pl.выстрелы	n+m.shots
pl.выступления	n+f.performances@n+n.speeches
pl.выступы	n+m.ledges
pl.высыпания	n+f.rashes
pl.вытяжки	n+m.extractors
pl.выходные	n+m.weekend@n+m.weekends
pl.выходные данные	n+f.outputs
pl.выходы	n+m.outputs
pl.выходы на пенсию	n+m.retirements
pl.вычисления	n+n.calculations
pl.вышибалы	n+m.bouncers
pl.вьюрки	n+m.finches
pl.вязальщики	n+m.knitters
pl.вязы	n+m.elms
pl.вёдра	n+n.pails
pl.гавайские гирлянды	n+f.leis
pl.гавайцы	n+m.hawaiians
pl.гавани	n+m.harbours
pl.гаджеты	n+m.gadgets
pl.гадюки	n+f.vipers
pl.газетные киоски	n+m.newsagents@n+m.newsstands
pl.газеты	n+f.newspapers
pl.газировки	n+f.sodas
pl.газонокосилки	n+f.lawnmowers
pl.газы	n+m.farts@n+m.gasses
pl.гайки	n+f.nuts
pl.галереи	n+f.galleries
pl.галлы	n+f.galls
pl.гало	n+m.halos
pl.галстуки	n+m.ties@n+m.neckties
pl.гамаши	n+f.gaiters
pl.ганглии	n+m.ganglia
pl.гандикапы	n+m.handicaps
pl.гантели	n+f.dumbbells
pl.гарантии	n+f.warranties@n+f.guarantees
pl.гаргульи	n+f.gargoyles
pl.гардемарины	n+m.midshipmen
pl.гардеробы	n+m.wardrobes
pl.гарнитуры	n+f.headsets
pl.гарнитуры шрифтов	n+m.typefaces
pl.гастрономы	n+m.delicatessens@n+m.delis
pl.гвозди	n+m.nails
pl.гвоздики	n+f.pinks@n+m.brads
pl.геи	n+m.gays
pl.геймеры	n+m.gamers
pl.гейнеры	n+m.gainers
pl.гендеры	n+m.genders
pl.генеалоги	n+m.genealogists
pl.генераторы	n+m.generators
pl.генераторы переменного тока	n+m.alternators
pl.гении	n+m.geniuses
pl.гениталии	n+n.genitalia
pl.гены	n+m.genes@n+f.gens
pl.географии	n+f.geographies
pl.географы	n+m.geographers
pl.геометрии	n+f.geometries
pl.гепатоциты	n+m.hepatocytes
pl.гербы	n+m.crests
pl.герметики	n+m.sealers
pl.герои	n+m.heroes
pl.героини	n+f.heroines
pl.гетры	n+f.leggings@n+f.gaiters
pl.гибочные машины	n+m.benders
pl.гигабайты	n+m.gigabytes
pl.гиганты	n+m.giants
pl.гигиенисты	n+m.hygienists
pl.гиды	n+m.guides
pl.гилли	n+m.gillies
pl.гимнасты	n+m.turners@n+m.gymnasts
pl.гинеи	n+f.guineas
pl.гипотезы	n+f.conjectures
pl.гири	n+f.weights
pl.гирлянды	n+f.garlands
pl.гистограммы	n+f.histograms
pl.гитары	n+f.guitars
pl.главари	n+m.chieftains
pl.главные герои	n+m.protagonists
pl.главы	n+f.chapters
pl.гладиаторы	n+m.gladiators
pl.глаза	n+m.eyes
pl.глазные яблоки	n+n.eyeballs
pl.глазури	n+f.glazes
pl.гликопротеины	n+m.glycoproteins
pl.глины	n+f.clays
pl.глифы	n+m.glyphs
pl.глотки	n+m.nips@n+m.mouthfuls
pl.глухие	n+m.deaf
pl.глухие места	n+f.backwaters
pl.глушители	n+m.suppressors
pl.глушь	n+f.wilds@n+f.backwoods@n+f.boondocks
pl.гниды	n+f.nits
pl.гнили	n+f.rots
pl.гномы	n+m.gnomes
pl.гоблины	n+m.goblins
pl.говоруны	n+m.talkers
pl.говорящие	n+m.sayers
pl.года	n+m.yrs
pl.голени	n+f.shins
pl.головоломки	n+f.puzzles@n+f.jigsaws
pl.головорезы	n+m.goons
pl.головы	n+f.heads
pl.голограммы	n+f.holograms
pl.голоса	n+m.votes@n+m.voices
pl.голы	n+m.goals
pl.гольяны	n+f.minnows
pl.гонки	n+f.racing@n+f.races
pl.гордости	n+f.prides
pl.гориллы	n+f.gorillas
pl.горки	n+f.slides
pl.города	n+m.cities@n+m.towns
pl.городки	n+m.towns
pl.горох	n+m.peas
pl.горцы	n+m.highlanders
