the	art+m.o@art+f.a
programs	n+m.programas
offers	n+f.ofertas@v.oferece
legal	a+m.legal@a+f.legal@a+m.jurídico@a+f.jurídica
above	prep.acima de@ad.acima
recent	a+m.recente@a+f.recente
park	n+m.parque@v.estacionar
stores	n+f.lojas
side	n+m.lado
act	n+m.ato@n+f.lei@v.agir@v.atuar
problem	n+m.problema
red	a+m.vermelho@a+f.vermelha@n+m.vermelho
give	v.dar
memory	n+f.memória
performance	n+m.desempenho@n+f.performance
social	a+m.social@a+f.social
august	n+m.agosto
quote	n+f.citação@n+m.orçamento@v.citar
language	n+f.língua@n+f.linguagem@n+m.idioma
story	n+f.história@n+m.conto
sell	v.vender
options	n+f.opções
experience	n+f.experiência@v.experimentar
rates	n+f.taxas@n+m.índices
create	v.criar
key	n+f.chave@a+m.chave@a+f.chave
body	n+m.corpo
young	a+m.jovem@a+f.jovem
america	n+f.América
important	a+m.importante@a+f.importante
field	n+m.campo
few	a+m.poucos@a+f.poucas
east	n+m.leste@a+m.leste
paper	n+m.papel@n+m.artigo
single	a+m.único@a+f.única@a+m.solteiro@a+f.solteira
ii	n+m.II
age	n+f.idade@n+f.era
activities	n+f.atividades
club	n+m.clube
example	n+m.exemplo
girls	n+f.meninas@n+f.garotas
additional	a+m.adicional@a+f.adicional
password	n+f.senha
latest	a+m.mais recente@a+f.mais recente@a+m.último@a+f.última
something	pron.algo@pron.alguma coisa
road	n+f.estrada@n+f.rua
gift	n+m.presente
question	n+f.pergunta@n+f.questão@v.questionar
changes	n+f.mudanças@v.muda
night	n+f.noite
hard	a+m.difícil@a+f.difícil@a+m.duro@a+f.dura@ad.muito
texas	n+m.Texas
oct	n+m.out
pay	v.pagar@n+m.pagamento
four	n+m.quatro@a+m.quatro@a+f.quatro
poker	n+m.pôquer
status	n+m.status@n+f.situação
browse	v.navegar@v.explorar
issue	n+f.questão@n+m.problema@n+f.edição
range	n+f.faixa@n+m.alcance@n+f.gama
building	n+m.edifício@n+m.prédio@v.construindo
seller	n+m.vendedor@n+f.vendedora
court	n+m.tribunal@n+f.corte@n+f.quadra
february	n+m.fevereiro
always	ad.sempre
result	n+m.resultado@v.resultar
audio	n+m.áudio
light	n+f.luz@a+m.leve@a+f.leve@a+m.claro@a+f.clara
write	v.escrever
war	n+f.guerra
nov	n+m.nov
offer	n+f.oferta@v.oferecer
blue	a+m.azul@a+f.azul@n+m.azul
groups	n+m.grupos
al	art+m.al
easy	a+m.fácil@a+f.fácil
given	a+m.dado@a+f.dada@v.dado
files	n+m.arquivos
event	n+m.evento
release	n+m.lançamento@n+f.liberação@v.lançar@v.liberar
analysis	n+f.análise
request	n+m.pedido@n+f.solicitação@v.solicitar
fax	n+m.fax@v.enviar por fax
china	n+f.China@n+f.porcelana
making	v.fazendo@n+f.fabricação
picture	n+f.foto@n+f.imagem@n+m.quadro
needs	n+f.necessidades@v.precisa
possible	a+m.possível@a+f.possível
might	v.poderia@n+f.força@n+m.poder
professional	a+m.profissional@a+f.profissional@n+m.profissional@n+f.profissional
yet	ad.ainda@conj.porém
month	n+m.mês
major	a+m.maior@a+f.maior@a+m.principal@a+f.principal@n+m.major
star	n+f.estrela
areas	n+f.áreas
future	n+m.futuro@a+m.futuro@a+f.futura
space	n+m.espaço
committee	n+m.comitê@n+f.comissão
hand	n+f.mão@v.entregar
sun	n+m.sol
cards	n+m.cartões
problems	n+m.problemas
london	n+f.Londres
washington	n+f.Washington
meeting	n+f.reunião@n+m.encontro@v.encontrando
become	v.tornar se@v.virar
interest	n+m.interesse@n+m.juro@v.interessar
id	n+m.ID@n+f.identificação
child	n+f.criança@n+m.filho@n+f.filha
keep	v.manter@v.guardar
enter	v.entrar@v.inserir
california	n+f.Califórnia
porn	n+f.pornografia
share	v.compartilhar@n+f.parte@n+f.ação
similar	a+m.similar@a+f.similar@a+m.semelhante@a+f.semelhante
garden	n+m.jardim
schools	n+f.escolas
million	n+m.milhão
added	v.adicionou@a+m.adicionado@a+f.adicionada
reference	n+f.referência
companies	n+f.empresas
listed	a+m.listado@a+f.listada@v.listou
baby	n+m.bebê
learning	n+f.aprendizagem@v.aprendendo
energy	n+f.energia
run	v.correr@v.executar@n+f.corrida
delivery	n+f.entrega
net	n+f.rede@a+m.líquido@a+f.líquida
popular	a+m.popular@a+f.popular
term	n+m.termo@n+m.prazo
film	n+m.filme@v.filmar
stories	n+f.histórias@n+m.contos
put	v.colocar@v.pôr
computers	n+m.computadores
journal	n+m.jornal@n+f.revista
reports	n+m.relatórios@v.relata
co	n+f.empresa@n+f.companhia
try	v.tentar@v.experimentar
welcome	a+m.bem vindo@a+f.bem vinda@int.bem vindo@v.dar as boas vindas
central	a+m.central@a+f.central
images	n+f.imagens
president	n+m.presidente@n+f.presidente
notice	n+m.aviso@v.notar@v.perceber
god	n+m.deus
original	a+m.original@a+f.original@n+m.original
head	n+f.cabeça@n+m.chefe@v.liderar
radio	n+m.rádio
until	prep.até@conj.até que
cell	n+f.célula@n+m.celular
self	n+m.eu@pron.si mesmo
council	n+m.conselho
away	ad.longe@ad.fora
includes	v.inclui
track	n+f.pista@n+f.faixa@v.rastrear
australia	n+f.Austrália
discussion	n+f.discussão
archive	n+m.arquivo@v.arquivar
once	ad.uma vez@conj.assim que
others	pron+m.outros@pron+f.outras
entertainment	n+m.entretenimento
agreement	n+m.acordo@n+m.contrato
format	n+m.formato@v.formatar
least	ad.menos@a+m.mínimo@a+f.mínima
society	n+f.sociedade
months	n+m.meses
log	n+m.registro@n+m.log@v.registrar
safety	n+f.segurança
friends	n+m.amigos@n+f.amigas
sure	a+m.certo@a+f.certa@a+m.seguro@a+f.segura@ad.com certeza
trade	n+m.comércio@v.comerciar@v.trocar
edition	n+f.edição
cars	n+m.carros
messages	n+f.mensagens
marketing	n+m.marketing
tell	v.dizer@v.contar
further	a+m.adicional@a+f.adicional@ad.mais longe
updated	a+m.atualizado@a+f.atualizada@v.atualizou
association	n+f.associação
able	a+m.capaz@a+f.capaz
having	v.tendo
provides	v.fornece@v.provê
david	n+m.David
fun	n+f.diversão@a+m.divertido@a+f.divertida
already	ad.já
green	a+m.verde@a+f.verde@n+m.verde
studies	n+m.estudos@v.estuda
close	a+m.perto@a+f.perto@v.fechar@a+m.próximo@a+f.próxima
common	a+m.comum@a+f.comum
drive	v.dirigir@n+m.disco@n+f.unidade
specific	a+m.específico@a+f.específica
several	a+m.vários@a+f.várias
gold	n+m.ouro@a+m.dourado@a+f.dourada
feb	n+m.fev
living	a+m.vivo@a+f.viva@n+f.vida@v.vivendo
sep	n+m.set
collection	n+f.coleção@n+f.cobrança
called	v.chamou@a+m.chamado@a+f.chamada
short	a+m.curto@a+f.curta@a+m.baixo@a+f.baixa
arts	n+f.artes
lot	n+m.lote@ad.muito
ask	v.perguntar@v.pedir
display	n+f.exibição@n+m.display@v.exibir
limited	a+m.limitado@a+f.limitada
powered	a+m.alimentado@a+f.alimentada@v.alimentou
solutions	n+f.soluções
means	n+m.meio@n+f.maneira@v.significa
director	n+m.diretor@n+f.diretora
daily	a+m.diário@a+f.diária@ad.diariamente
beach	n+f.praia
past	n+m.passado@a+m.passado@a+f.passada@prep.além de
natural	a+m.natural@a+f.natural
whether	conj.se
due	a+m.devido@a+f.devida@prep.devido a
electronics	n+f.eletrônica
five	n+m.cinco@a+m.cinco@a+f.cinco
upon	prep.sobre@prep.em cima de
period	n+m.período
planning	n+m.planejamento@v.planejando
database	n+m.banco de dados
says	v.diz
official	a+m.oficial@a+f.oficial@n+m.oficial
weather	n+m.tempo@n+m.clima
mar	n+m.mar
land	n+f.terra@n+m.terreno@v.aterrissar
average	n+f.média@a+m.médio@a+f.média
done	a+m.feito@a+f.feita@v.feito
technical	a+m.técnico@a+f.técnica
window	n+f.janela
france	n+f.França
pro	a+m.profissional@n+m.profissional@prep.a favor de
region	n+f.região
island	n+f.ilha
record	n+m.registro@n+m.recorde@v.gravar
direct	a+m.direto@a+f.direta@v.dirigir
microsoft	n+f.Microsoft
conference	n+f.conferência
environment	n+m.ambiente@n+m.meio ambiente
records	n+m.registros@n+m.recordes@v.grava
st	n+m.são@n+f.santa
district	n+m.distrito
calendar	n+m.calendário
costs	n+m.custos@v.custa
style	n+m.estilo
front	n+f.frente@a+m.frontal@a+f.frontal
statement	n+f.declaração@n+m.comunicado
update	n+f.atualização@v.atualizar
parts	n+f.partes@n+f.peças
aug	n+m.ago
ever	ad.sempre@ad.alguma vez
downloads	n+m.downloads@v.baixa
early	a+m.cedo@a+f.cedo@ad.cedo
miles	n+f.milhas
sound	n+m.som@v.soar@a+m.sólido@a+f.sólida
resource	n+m.recurso
present	a+m.presente@a+f.presente@n+m.presente@v.apresentar
applications	n+f.aplicações@n+m.aplicativos
either	conj.ou@pron+m.qualquer um@pron+f.qualquer uma
ago	ad.atrás
document	n+m.documento@v.documentar
word	n+f.palavra
works	n+f.obras@v.funciona@v.trabalha
material	n+m.material@a+m.material@a+f.material
bill	n+f.conta@n+m.projeto de lei
apr	n+m.abr
written	a+m.escrito@a+f.escrita@v.escrito
talk	v.falar@n+f.conversa@n+f.palestra
federal	a+m.federal@a+f.federal
hosting	n+f.hospedagem@v.hospedando
rules	n+f.regras@v.governa
final	a+m.final@a+f.final@n+f.final
adult	n+m.adulto@n+f.adulta@a+m.adulto@a+f.adulta
tickets	n+m.ingressos@n+m.bilhetes
thing	n+f.coisa
centre	n+m.centro
requirements	n+m.requisitos
via	prep.via@prep.através de
cheap	a+m.barato@a+f.barata
nude	a+m.nu@a+f.nua@n+m.nu
kids	n+f.crianças
finance	n+f.finanças@v.financiar
true	a+m.verdadeiro@a+f.verdadeira
minutes	n+m.minutos@n+f.ata
else	ad.mais@conj.senão
mark	n+f.marca@n+m.sinal@v.marcar
third	a+m.terceiro@a+f.terceira@n+m.terço
rock	n+f.rocha@n+m.rock
gifts	n+m.presentes
europe	n+f.Europa
reading	n+f.leitura@v.lendo
topics	n+m.tópicos@n+m.assuntos
bad	a+m.mau@a+f.má@a+m.ruim@a+f.ruim
individual	a+m.individual@a+f.individual@n+m.indivíduo
tips	n+f.dicas@n+f.gorjetas
plus	prep.mais@conj.além disso@n+m.mais
auto	n+m.carro@a+m.automático@a+f.automática
cover	n+f.capa@n+f.cobertura@v.cobrir
usually	ad.geralmente@ad.normalmente
edit	v.editar@n+f.edição
together	ad.juntos@ad.junto
videos	n+m.vídeos
percent	n+m.por cento
fast	a+m.rápido@a+f.rápida@ad.rápido
function	n+f.função@v.funcionar
fact	n+m.fato
unit	n+f.unidade
getting	v.obtendo@v.conseguindo
global	a+m.global@a+f.global
tech	n+f.tecnologia
meet	v.encontrar@v.conhecer
far	ad.longe@a+m.distante@a+f.distante
economic	a+m.econômico@a+f.econômica
player	n+m.jogador@n+f.jogadora@n+m.reprodutor
projects	n+m.projetos@v.projeta
lyrics	n+f.letras@n+f.letra
often	ad.frequentemente@ad.muitas vezes
subscribe	v.inscrever se@v.assinar
submit	v.enviar@v.submeter
germany	n+f.Alemanha
amount	n+f.quantia@n+m.montante@n+f.quantidade
