ABA	n.aba
Astor	n.astor
Astrid	n.astrid
Astúrias	n.asturias
Atacama	n.atacama
Atari	n.atari
Atenas	n.athens
Athabasca	n.athabasca
Atkins	n.atkins
Atkinson	n.atkinson
Atlanta	n+f.atlanta
Atlântico	n+m.atlantic
Atlântida	n.atlantis
Aton	n.aten
Atwood	n.atwood
Aubrey	n.aubrey
Auburn	n.auburn
Auckland	n.auckland
Audi	n.audi
Audra	n.audra
Audrey	n.audrey
Augsburg	n.augsburg
Augusta	n.augusta
Aurangabad	n.aurangabad
Aurora	n.aurora
Aurélia	n.aurelia
Aurélio	n.aurelius
Auschwitz	n.auschwitz
Austin	n+f.austin
Australásia	n.australasia
Austrália	n+f.australia@n.aus
Auvergne	n.auvergne
Avalon	n.avalon
Avery	n.avery
Avinhão	n.avignon
Avis	n.avis
Avon	n.avon
Ayala	n.ayala
Ayer	n.ayer
Ayers	n.ayers
Aylesbury	n.aylesbury
Ayr	n.ayr
Azerbaijão	n.azerbaijan
Açores	n.azores
BIM	n.bim
BIOS	n+f.bios
Baal	n.baal
Babbitt	n.babbitt
Babel	n.babel
Babilônia	n.babylon
Bacardi	n.bacardi
Bach	n.bach
Backus	n.backus
Baco	n.bacchus
Baez	n.baez
Baffin	n.baffin
Bagdá	n.baghdad
Bahama	n.bahama
Bahamas	n.bahamas
Bahia	n.bahia
Bahrein	n.bahrain
Baikal	n.baikal
Bailey	n.bailey
Baileys	n.baileys
Baixa Saxônia	n.niedersachsen
Bakersfield	n.bakersfield
Baku	n.baku
Bala	n.bala
Balboa	n.balboa
Baldwin	n.baldwin
Bale	n.bale
Balenciaga	n.balenciaga
Balfour	n.balfour
Bali	n.bali
Ballarat	n.ballarat
Ballard	n.ballard
Ballymena	n.ballymena
Balmoral	n.balmoral
Baltimore	n+f.baltimore
Balzac	n.balzac
Bamako	n.bamako
Bamberg	n.bamberg
Bambi	n.bambi
Banach	n.banach
Banbury	n.banbury
Bancroft	n.bancroft
Banda	n.banda
Bandung	n.bandung
Banff	n.banff
Bangalore	n.bangalore
Bangkok	n.bangkok
Bangladesh	n.bangladesh
Bangor	n.bangor
Bannister	n.bannister
Baptiste	n.baptiste
Barack	n.barack
Barb	n.barb
Barbados	n.barbados
Barbera	n.barbera
Barbie	n.barbie
Barbour	n.barbour
Barbra	n.barbra
Barbuda	n.barbuda
Barbária	n.barbary
Barcelona	n.barcelona
Barclay	n.barclay
Barclays	n.barclays
Bareilly	n.bareilly
Barents	n.barents
Bari	n.bari
Baring	n.baring
Barker	n.barker
Barkley	n.barkley
Barnaby	n.barnaby
Barnabé	n.barnabas
Barnard	n.barnard
Barnes	n.barnes
Barnet	n.barnet
Barnett	n.barnett
Barney	n.barney
Barnsley	n.barnsley
Barnum	n.barnum
Baroda	n.baroda
Barr	n.barr
Barrera	n.barrera
Barrett	n.barrett
Barros	n.barros
Barrow	n.barrow
Barry	n+m.barry
Barrymore	n.barrymore
Bart	n.bart
Barth	n.barth
Bartlett	n.bartlett
Bartolomeu	n.bartholomew
Barton	n.barton
Baruch	n.baruch
Barça	n.barca
Basie	n.basie
Basil	n.basil
Basildon	n.basildon
Basileia	n.basel
Baskerville	n.baskerville
Basra	n.basra
Bastilha	n.bastille
Bates	n.bates
Bathurst	n.bathurst
Batista	n.batista
Batman	n.batman
Batty	n.batty
Batávia	n.batavia
Baudelaire	n.baudelaire
Bauer	n.bauer
Bauhaus	n.bauhaus
Baum	n.baum
Baviera	n.bavaria
Bax	n.bax
Baxter	n.baxter
Bayard	n.bayard
Bayern	n.bayern
Bayes	n.bayes
Baylor	n.baylor
Bayonne	n.bayonne
Baywatch	n.baywatch
Beaconsfield	n.beaconsfield
Beardsley	n.beardsley
Beasley	n.beasley
Beatles	n.beatles
Beatriz	n.beatrix@n.beatriz
Beatty	n.beatty
Beaumont	n.beaumont
Beauregard	n.beauregard
Beaverton	n.beaverton
Bechtel	n.bechtel
Beck	n.beck
Becker	n.becker
Becket	n.becket
Becky	n.becky
Beda	n.bede
Bedford	n.bedford
Beebe	n.beebe
Beecher	n.beecher
Beethoven	n.beethoven
Beirute	n.beirut
Bel	n.bel
Bela	n.bela
Belfast	n.belfast
Belgravia	n.belgravia
Belinda	n.belinda
Belize	n.belize
Bella	n.bella
Bellamy	n.bellamy
Belle	n.belle
Bellevue	n.bellevue
Bellini	n.bellini
Belmont	n.belmont
Belushi	n.belushi
Belém	n.bethlehem
Ben	n+m.ben
Bendigo	n.bendigo
Bendix	n.bendix
Benelux	n.benelux
Benet	n.benet
Benetton	n.benetton
Beng	n.beng
Bengala	n.bengal
Beni	n.beni
Benin	n.benin
Benito	n.benito
Benjamin	n.benjamin
Bennet	n.bennet
Bennett	n.bennett
Bennie	n.bennie
Bennington	n.bennington
Benny	n.benny
Benson	n.benson
Bentley	n.bentley
Bento	n.benedict
Benton	n.benton
Benz	n.benz
Beowulf	n.beowulf
Berchtesgaden	n.berchtesgaden
Beretta	n.beretta
Berg	n.berg
Bergen	n.bergen
Berger	n.berger
Bergerac	n.bergerac
Bergman	n.bergman
Bering	n.bering
Berkeley	n.berkeley
Berks	n.berks
Berkshire	n.berkshire
Berkshires	n.berkshires
Berlim	n+f.berlin
Berlioz	n.berlioz
Berlitz	n.berlitz
Bermudas	n.bermuda
Bernadete	n.bernadette
Bernanke	n.bernanke
Bernard	n.bernard
Bernardo	n.bernardo
Bernhardt	n.bernhardt
Bernice	n.bernice
Bernoulli	n.bernoulli
Bernstein	n.bernstein
Berra	n.berra
Bert	n.bert
Bertha	n.bertha
Bertie	n.bertie
Bertram	n.bertram
Berwick	n.berwick
Beryl	n.beryl
Bes	n.bes
Bess	n.bess
Bessel	n.bessel
Bessemer	n.bessemer
Bessie	n.bessie
Beth	n.beth
Bethel	n.bethel
Bethesda	n.bethesda
Bethune	n.bethune
Betsey	n.betsey
Betsy	n.betsy
Bette	n.bette
Bettie	n.bettie
Betty	n.betty
Beulah	n.beulah
Bevan	n.bevan
Beveridge	n.beveridge
Beverley	n.beverley
Beverly	n.beverly
Bexley	n.bexley
Bharat	n.bharat
Bhopal	n.bhopal
Biafra	n.biafra
Bianca	n.bianca
Biarritz	n.biarritz
Bibb	n.bibb
Biblos	n.byblos
Bic	n.bic
Biddle	n.biddle
Biden	n.biden
Biel	n.biel
Bielefeld	n.bielefeld
Bielorrússia	n.belarus
Biff	n.biff
Bihar	n.bihar
Bikaner	n.bikaner
Bilbao	n.bilbao
Bilbo	n.bilbo
Billboard	n.billboard
Billings	n.billings
Billiton	n.billiton
Billy	n+m.billy
Bimini	n.bimini
Bingham	n.bingham
Birch	n.birch
Birkenhead	n.birkenhead
Birkenstock	n.birkenstock
Birmingham	n+f.birmingham
Birmânia	n.burma
Biscayne	n.biscayne
Bisqueque	n.bishkek
Bissau	n.bissau
BitTorrent	n.bittorrent
Bizet	n.bizet
Bizâncio	n.byzantium
Björk	n.bjork
BlackBerry	n.blackberry
Blackburn	n.blackburn
Blackfoot	n.blackfoot
Blackpool	n.blackpool
Blackstone	n.blackstone
Blackwell	n.blackwell
Blackwood	n.blackwood
Blair	n.blair
Blake	n.blake
Blanc	n.blanc
Blanca	n.blanca
Blanche	n.blanche
Blankenship	n.blankenship
Blenheim	n.blenheim
Blevins	n.blevins
Bligh	n.bligh
Blizzard	n.blizzard
Bloch	n.bloch
Bloemfontein	n.bloemfontein
Blok	n.blok
Blondie	n.blondie
Bloom	n.bloom
Bloomingdale	n.bloomingdale
Bloomington	n.bloomington
Bloomsbury	n.bloomsbury
Blu-ray	n+m.blu
Bluetooth	n+m.bluetooth
Blum	n.blum
Blythe	n.blythe
Boaventura	n.bonaventure
Boaz	n.boaz
Bob	n+m.bob
Bobbi	n.bobbi
Bobbie	n.bobbie
Bobby	n.bobby
Bochum	n.bochum
Bock	n.bock
Boeing	n.boeing
Bogart	n.bogart
Bogle	n.bogle
Bogotá	n.bogota
Bohr	n.bohr
Boise	n.boise
Bol	n.bol
Bollywood	n.bollywood
Bolonha	n.bologna@n.boulogne
Bolton	n.bolton
Boltzmann	n.boltzmann
Bolzano	n.bolzano
Bolívar	n.bolivar
Bolívia	n.bolivia
Bombaim	n.bombay
Bon	n.bon
Bonaire	n.bonaire
Bonaparte	n.bonaparte
Bonifácio	n.boniface
Bonner	n.bonner
Bonneville	n.bonneville
Bonnie	n.bonnie
Bonny	n.bonny
Bono	n.bono
Boone	n.boone
Bora	n.bora
Bordeaux	n.bordeaux
Borden	n.borden
Borg	n.borg
Borges	n.borges
Borghese	n.borghese
Borgonha	n.bourgogne
Boris	n.boris
Bork	n.bork
Bornéu	n.borneo
Bosch	n.bosch
Bose	n.bose
Boston	n+f.boston
Boswell	n.boswell
Botha	n.botha
Botswana	n.botswana
Bott	n.bott
Boucher	n.boucher
Boulder	n.boulder
Bournemouth	n.bournemouth
Bowen	n.bowen
Bowers	n.bowers
Bowery	n.bowery
Bowie	n.bowie
Bowman	n.bowman
Boyd	n.boyd
Boyer	n.boyer
Boyne	n.boyne
Boz	n.boz
Boêmia	n.bohemia
Brabante	n.brabant
Bracknell	n.bracknell
Brad	n.brad
Bradbury	n.bradbury
Braddock	n.braddock
Bradford	n.bradford
Bradley	n.bradley
Bradshaw	n.bradshaw
Bradstreet	n.bradstreet
Brady	n.brady
Braga	n.braga
Brahma	n.brahma
Brahms	n.brahms
Brampton	n.brampton
Brandeis	n.brandeis
Brandemburgo	n.brandenburg
Branden	n.branden
Brandi	n.brandi
Brando	n.brando
Brandon	n.brandon
Brant	n.brant
Brantford	n.brantford
Brasil	n+m.brazil@n.brasil
Brasília	n.brasilia
Bratislava	n.bratislava
Braun	n.braun
Braunschweig	n.braunschweig
Bravo	n.bravo
Brazos	n.brazos
Brazzaville	n.brazzaville
Brecht	n.brecht
Breda	n.breda
Bree	n.bree
Brenda	n.brenda
Brendan	n.brendan
Brennan	n.brennan
Brenner	n.brenner
Brent	n.brent
Brenton	n.brenton
Brentwood	n.brentwood
Brescia	n.brescia
Breslávia	n.wroclaw
Brest	n.brest
Bret	n.bret
Bretanha	n.brittany@n.bretagne
Brett	n.brett
Breuer	n.breuer
Breyer	n.breyer
Brian	n+m.brian
Briana	n.briana
Brianna	n.brianna
Brice	n.brice
Bridger	n.bridger
Bridget	n.bridget
Bridgetown	n.bridgetown
Bridgette	n.bridgette
Briggs	n.briggs
Brighton	n.brighton
Brigitte	n.brigitte
Brinkley	n.brinkley
Brisbane	n.brisbane
Bristol	n+f.bristol
Britannica	n.britannica
Britney	n.britney
Britt	n.britt
Brittany	n.brittany
Britten	n.britten
Brittney	n.brittney
Brno	n.brno
Broadway	n+f.broadway
Brock	n.brock
Brockton	n.brockton
Brodsky	n.brodsky
Brokaw	n.brokaw
Bromley	n.bromley
Broncos	n.broncos
Bronson	n.bronson
Brontë	n.bronte
Bronx	n.bronx
Brook	n.brook
Brooke	n.brooke
Brookes	n.brookes
Brooklyn	n.brooklyn
Brooks	n.brooks
Browning	n.browning
Browns	n.browns
Brubeck	n.brubeck
Bruce	n+m.bruce
Bruckner	n.bruckner
Bruges	n.bruges
Brunei	n.brunei
Brunel	n.brunel
Bruno	n.bruno
Brunswick	n.brunswick
Brutus	n.brutus
Bruxelas	n.brussels@n.bruxelles
Bryan	n.bryan
Bryant	n.bryant
Brígida	n.brigid
Bubba	n.bubba
Buchan	n.buchan
Buchanan	n.buchanan
Buckeye	n.buckeye
Buckeyes	n.buckeyes
Buckley	n.buckley
Buckner	n.buckner
Buda	n.buddha
Budapeste	n.budapest
Budweiser	n.budweiser
Bueno	n.bueno
Buffalo	n+f.buffalo
Buffy	n.buffy
Buford	n.buford
Bugatti	n.bugatti
Buick	n.buick
Bulfinch	n.bulfinch
Bulgari	n.bulgari
Bulgária	n+f.bulgaria
Buncombe	n.buncombe
Bunyan	n.bunyan
Burch	n.burch
Burgas	n.burgas
Burgess	n.burgess
Burgos	n.burgos
Burke	n.burke
Burks	n.burks
Burleigh	n.burleigh
Burley	n.burley
Burlington	n.burlington
Burnaby	n.burnaby
Burnet	n.burnet
Burney	n.burney
Burnley	n.burnley
Burns	n.burns
Burnside	n.burnside
Burris	n.burris
Burroughs	n.burroughs
Burrows	n.burrows
Bursa	n.bursa
Burt	n.burt
Burton	n.burton
Burundi	n.burundi
Bury	n.bury
Busby	n.busby
Busch	n.busch
Bush	n+m.bush
Buster	n.buster
Butch	n.butch
Bute	n.bute
Butler	n.butler
Butte	n.butte
Butão	n.bhutan
Byers	n.byers
Byrd	n.byrd
Byron	n.byron
Báltico	n.baltic
Bárbara	n+f.barbara
Bélgica	n+f.belgium
Bérgamo	n.bergamo
Bíblia	n+f.bible
Bósnia	n.bosnia
CAD	n+m.cad
CD	n+m.cd
CDR	n+m.cdr
CEP	n+m.zip
COBOL	n+m.cobol
COD	n+m.cod
CPS	n+m.cps
CRTs	n+m+pl.crts
CSC	n.csc
CTS	n+m.cts
Caballero	n.caballero
Cablevision	n.cablevision
Cabot	n.cabot
Cabrera	n.cabrera
Cabul	n.kabul
Cade	n.cade
Cadillac	n.cadillac
Caen	n.caen
Caerphilly	n.caerphilly
Caesars	n.caesars
Cagliari	n.cagliari
Cagney	n.cagney
Caim	n.cain
Caine	n.caine
Cairns	n.cairns
Cairo	n.cairo
Caithness	n.caithness
Caitlin	n.caitlin
Calais	n.calais
Calder	n.calder
Calderón	n.calderon
Caldwell	n.caldwell
Caleb	n.caleb
Caledônia	n.caledonia
Calgary	n.calgary
Calhoun	n.calhoun
Calicute	n.calicut
Califórnia	n+f.california
Calisto	n.callisto
Callaghan	n.callaghan
Callahan	n.callahan
Callas	n.callas
Callie	n.callie
Calumet	n.calumet
Calvin	n.calvin
Calvário	n.calvary
Calábria	n.calabria
Calígula	n.caligula
Camacho	n.camacho
Camarões	n.cameroon
Camboja	n.cambodia
Cambridge	n+f.cambridge
Cambridgeshire	n.cambridgeshire
Camden	n.camden
Cameron	n.cameron
Camila	n.camilla
Camille	n.camille
Campbell	n+m.campbell
Campion	n.campion
Campos	n.campos
Campânia	n.campania
Camry	n.camry
Camus	n.camus
Canadá	n+m.canada
Canaveral	n.canaveral
Canaã	n.canaan
Canberra	n.canberra
Cancún	n.cancun
Candace	n.candace
Candice	n.candice
Candlewood	n.candlewood
Canfield	n.canfield
Cannes	n.cannes
Cannon	n.cannon
Canon	n+f.canon
Canopus	n.canopus
Canterbury	n.canterbury
Canton	n.canton
Cantor	n.cantor
Cantrell	n.cantrell
Canucks	n.canucks
Caná	n.cana
Capadócia	n.cappadocia
Capela	n.capella
Capistrano	n.capistrano
Capone	n.capone
Capote	n.capote
Capra	n.capra
Capri	n.capri
Capricórnio	n.capricorn
Carcassonne	n.carcassonne
Cardiff	n.cardiff
Cardin	n.cardin
Carew	n.carew
Carey	n.carey
Caribe	n+m.caribbean
Carina	n.carina
Caritas	n.caritas
Carl	n+m.carl
Carla	n.carla
Carlin	n.carlin
Carling	n.carling
Carlisle	n.carlisle
Carlo	n.carlo
Carlos	n+m.charles@n.carlos
Carlos Magno	n.charlemagne
Carlow	n.carlow
Carlson	n.carlson
Carlton	n.carlton
Carly	n.carly
Carlyle	n.carlyle
Carman	n.carman
Carmarthen	n.carmarthen
Carmarthenshire	n.carmarthenshire
Carmel	n.carmel
Carmelo	n.carmelo
Carmen	n.carmen
Carmichael	n.carmichael
Carnarvon	n.carnarvon
Carnegie	n.carnegie
Carney	n.carney
Carol	n.carol
Carolina	n+f.carolina
Carolinas	n.carolinas
Caroline	n.caroline
Carolyn	n.carolyn
Caronte	n.charon
Carpenter	n.carpenter
Carr	n.carr
Carrara	n.carrara
Carrefour	n.carrefour
Carreras	n.carreras
Carrie	n.carrie
Carrillo	n.carrillo
Carroll	n.carroll
Carson	n.carson
Cartagena	n.cartagena
Cartago	n.carthage
Carter	n+m.carter
Carteret	n.carteret
Cartier	n.cartier
Cartum	n.khartoum
Cartwright	n.cartwright
Caruso	n.caruso
Cary	n.cary
Casanova	n.casanova
Casey	n.casey
Casio	n.casio
Cassandra	n.cassandra
Cassel	n.cassel
Cassie	n.cassie
Cassiopeia	n.cassiopeia
Castela	n.castilla@n.castile
Castillo	n.castillo
Castor	n.castor
Castro	n.castro
Catalunha	n.catalonia
Catar	n.qatar
Catarina	n.catharine
Catawba	n.catawba
Cate	n.cate
Cath	n.cath
Cathay	n.cathay
Catherine	n.catherine
Cathie	n.cathie
Cathy	n.cathy
Catskill	n.catskill
Catskills	n.catskills
Catânia	n.catania
Cauchy	n.cauchy
Cavan	n.cavan
Cavendish	n.cavendish
Caxemira	n.kashmir
Cayenne	n.cayenne
Cayman	n.cayman
Cayuga	n.cayuga
Cazaquistão	n.kazakhstan
Cebu	n.cebu
Cecelia	n.cecelia
Cecil	n.cecil
Cecile	n.cecile
Cecília	n.cecilia
Cedric	n.cedric
Ceilão	n.ceylon
Celeste	n.celeste
Celina	n.celina
Cellini	n.cellini
Celsius	n.celsius
Celtic	n.celtic
Celtics	n.celtics
Centralia	n.centralia
Centro-Oeste	n+m.midwest
Ceres	n.ceres
Cerf	n.cerf
Cervantes	n.cervantes
Chaco	n.chaco
Chad	n.chad
Chadwick	n.chadwick
Chagall	n.chagall
Challenger	n.challenger
Chalmers	n.chalmers
Cham	n.cham
Chamonix	n.chamonix
Champaign	n.champaign
Champlain	n.champlain
Chan	n.chan
Chandler	n.chandler
Chandra	n.chandra
Chanel	n.chanel
Chaney	n.chaney
Chang	n.chang
Chantilly	n.chantilly
Chaplin	n.chaplin
Chapman	n.chapman
Charlene	n.charlene
Charleroi	n.charleroi
Charleston	n.charleston
Charley	n.charley
Charlie	n+m.charlie
Charlotte	n+f.charlotte
Charlottetown	n.charlottetown
Charmaine	n.charmaine
Chartres	n.chartres
Chase	n.chase
Chatham	n.chatham
Chattahoochee	n.chattahoochee
Chattanooga	n.chattanooga
Chaucer	n.chaucer
Chauncey	n.chauncey
Chautauqua	n.chautauqua
Chavez	n.chavez
Che	n.che
Chelsea	n.chelsea
Chen	n.chen
Cheney	n.cheney
Chengdu	n.chengdu
Chennai	n.chennai
Cherbourg	n.cherbourg
Cheri	n.cheri
Cherie	n.cherie
Chernobyl	n.chernobyl
Cherokee	n.cherokee
Cheryl	n.cheryl
Chesapeake	n.chesapeake
Cheshire	n.cheshire
Chester	n.chester
Chesterfield	n.chesterfield
Chesterton	n.chesterton
Chevalier	n.chevalier
Chevrolet	n+f.chevrolet
Chevy	n.chevy
Cheyenne	n.cheyenne
Chiapas	n.chiapas
Chiba	n.chiba
Chicago	n+f.chicago
Chichester	n.chichester
Chickasaw	n.chickasaw
Chico	n.chico
Chile	n+m.chile
China	n+f.china
Chino	n.chino
Chippendale	n.chippendale
Chippewa	n.chippewa
Chipre	n+m.cyprus
Chirac	n.chirac
Chisholm	n.chisholm
Chittagong	n.chittagong
Chivas	n.chivas
Chloe	n.chloe
Choctaw	n.choctaw
Chomsky	n.chomsky
Chongqing	n.chongqing
Chopin	n.chopin
Chopra	n.chopra
Chou	n.chou
Chris	n+m.chris
Christa	n.christa
Christchurch	n.christchurch
Christi	n.christi
Christie	n.christie
Christina	n.christina
Christine	n.christine
Christophe	n.christophe
Chrome	n.chrome
Chrysler	n.chrysler
Chrétien	n.chretien
Chubb	n.chubb
Chuck	n.chuck
Chung	n.chung
Chur	n.chur
Churchill	n.churchill
Cidade do Cabo	n.capetown
Cincinnati	n+f.cincinnati
Cinderela	n.cinderella
Cindy	n.cindy
Cipro	n.cipro
Cirilo	n.cyril
Cisco	n+f.cisco
Citibank	n.citibank
Citigroup	n.citigroup
Citroën	n.citroen
Citéria	n.cytherea
Claddagh	n.claddagh
Clair	n.clair
Claire	n.claire
Clara	n.clara
Clare	n.clare
Clarence	n.clarence
Clarice	n.clarice
Clarion	n.clarion
Clarissa	n.clarissa
Clark	n+m.clark
Clarke	n.clarke
Clary	n.clary
Claude	n.claude
Claudette	n.claudette
Claudine	n.claudine
Claus	n.claus
Clayton	n.clayton
Clearwater	n.clearwater
Clem	n.clem
Clementina	n.clementine
Clements	n.clements
Clemons	n.clemons
Clemson	n.clemson
Cleo	n.cleo
Cleveland	n+f.cleveland
Cleópatra	n.cleopatra
Cliff	n.cliff
