آب	n+m.abe
أجمل	a.nicer@a.nicest@a.fairer@a.prettiest@a.fairest@a.prettier
أجمير	n+f.ajmer
أجناس	n+f.races@n+f.genera@n+m.genders
أجنبي	a+m.foreign@a.alien@n+m.foreigner@n+m.gringo@n+m.outlander
أجنبيات	n+f.exotics
أجنبية	a+f.foreign
أجنة	n+m.embryos@n+f.fetuses
أجنحة	n+f.suites@n+f.wings@n+f.wards@n+f.pavilions
أجهد	v.strained
أجهزة	n+f.hardware@n+f.devices@n+f.appliances
أجهزة أخذ عينات	n+m.samplers
أجهزة ألعاب	n+f.consoles
أجهزة إرسال	n+f.transmitters
أجهزة إرسال واستقبال	n+f.transceivers@n+f.transponders
أجهزة إزالة الرجفان	n+f.defibrillators
أجهزة استدعاء	n+f.pagers
أجهزة استقبال	n+f.receivers
أجهزة تتبع	n+f.trackers
أجهزة تحكم	n+f.controllers
أجهزة تحكم عن بعد	n+f.remotes
أجهزة تحليل	n+f.analysers
أجهزة تسلسل	n+f.sequencers
أجهزة تقويمية	n+f.orthotics
أجهزة تنظيم ضربات القلب	n+f.pacemakers
أجهزة تنفس	n+f.respirators
أجهزة راديو	n+f.radios
أجهزة ستيريو	n+f.stereos
أجهزة طرد مركزي	n+f.centrifuges
أجهزة طرفية	n+f.peripherals
أجهزة عرض	n+f.projectors
أجهزة غسل	n+f.scrubbers
أجهزة قياس	n+f.instrumentation
أجهزة ماك	n+m.macs
أجهزة محمولة	n+f.handhelds@n+f.portables
أجهزة مشي	n+f.treadmills
أجهزة مودم	n+m.modems
أجهض	v.aborted
أجواء	n+f.atmosphere@n+f.vibe@n+f.ambience@n+f.ambiance@n+f.vibes@n+f.atmospheres
أجود	a.finest
أجور	n+f.wages@n+f.fares
أجوف	a.hollow
أجيال	n+f.generations
أحاجي	n+f.jigsaws
أحادي	a.mono
أحادي الاتجاه	a.unidirectional
أحادي الجانب	a.unilateral
أحادي الصوت	a.monophonic
أحادي العين	a.monocular
أحادي القرن	n+f.unicorns
أحادي اللون	a.monochrome@a.monochromatic
أحادي النواة	a.mononuclear
أحاسيس	n+f.sensations@n+f.sentiments
أحاط	v.encompassed@v.flanked@v.encircled
أحافير	n+f.fossils
أحال	v.referred@v.remanded
أحب	v.loved
أحباء	n+m.sweethearts@n+m.darlings
أحبار	n+m.inks@n+f.toners
أحبال تعليق	n+f.lanyards
أحبط	v.thwarted@v.disillusioned@v.foiled@v.bummed
أحجار أوبال	n+m.opals
أحجار الميلاد	n+f.birthstones
أحجار زاوية	n+f.cornerstones
أحجار كريمة	n+f.gems@n+f.gemstones
أحجار لامعة	n+f.rhinestones
أحجام	n+f.sizes@n+f.volumes@n+f.magnitudes
أحجية	n+f.puzzle@n+m.jigsaw
أحد	n+m.sunday@a.sharper
أحد عشر	n+m.eleven
أحداث	n+f.events@n+f.happenings@n+m.juveniles@n+m.goings
أحدب	n+m.hunchback
أحدث	a.latest@a.newest@a.newer
أحدث ثورة	v.revolutionized
أحذية	n+f.shoes@n+f.footwear
أحذية أكسفورد	n+f.oxfords
أحذية بدون رباط	n+f.loafers
أحذية ثلجية	n+f.snowshoes
أحذية خوض	n+f.waders
أحذية رياضية	n+f.trainers@n+f.sneakers@n+f.cleats
أحذية طويلة	n+f.boots
أحذية مطاطية	n+f.rubbers
أحذية موكاسين	n+f.moccasins
أحراش	n+f.groves@n+m.chaparral
أحرز تقدماً	v.progressed
أحرف	n+f.characters@n+m.chars
أحرف بدل	n+f.wildcards
أحرف صغيرة	n+f.lowercase
أحرف كبيرة	n+f.uppercase
أحزاب	n+f.parties@n+f.factions
أحزان	n+f.sorrows
أحزمة	n+f.belts@n+f.straps@n+f.harnesses
أحزن	v.saddened@a.saddest
أحس	v.sensed
أحشاء	n+f.guts@n+f.bowels@n+f.insides
أحصى	v.tallied
أحضر	v.brought@v.fetched
أحفاد	n+m.grandchildren@n+m.descendants
أحفورة	n+f.fossil
أحفوري	a.fossil
أحكام	n+f.provisions@n+f.sentences@n+m.judgments@n+f.rulings@n+f.judgements@n+f.verdicts
أحكام مسبقة	n+f.prejudices
أحكم	a.wiser
أحلام	n+f.dreams@n+m.dreaming
أحلى	a.sweetest@a.sweeter
أحماض	n+f.acids
أحمال	n+f.loads
أحمد	n+m.ahmed@n+m.ahmad
أحمدي نجاد	n+m.ahmadinejad
أحمر	a+m.red@n+m.red@a.rouge
أحمر الشعر	n+m.redhead
أحمر شفاه	n+m.rouge@n+m.lipstick
أحمر صدئ	a.rufous
أحمق	n+m.fool@n+m.idiot@n+m.jerk@a.foolish@n+m.git@n+m.twat@a.goofy@a.daft@n+m.moron@n+m.jackass@n+m.dork@a.idiotic@n+m.gawk@n+m.booby@n+m.wack@n+m.berk@n+m.chump@a.daffy@n+m.prat@n+m.bozo@n+m.wanker@n+m.twit
أحواض	n+f.sinks@n+f.tubs@n+f.basins@n+f.troughs
أحواض استحمام	n+f.bathtubs
أحواض زراعة	n+f.planters
أحواض سفن	n+f.shipyards
أحواض سمك	n+f.aquariums
أحوال جوية	n+f.weathers
أحيا	v.revived
أحياء	n+f.districts@n+f.biol@n+f.quarters@n+f.hoods@n+f.neighbourhoods@n+f.boroughs
أحياء أموات	n+m.undead
أحياء فقيرة	n+f.slums
أحياء لاتينية	n+f.barrios
أحياناً	ad.sometimes@ad.occasionally
أخ	n+m.brother@n+m.fra@n+m.bro
أخآب	n+m.ahab
أخاديد	n+f.grooves@n+m.canyons@n+f.gorges
أخاف	v.frightened@v.intimidated
أخبار	n+f.news@n+f.chronicles@n+f.tidings
أخبار محبطة	n+f.downers
أخبر	v.told
أخت	n+f.sister@n+f.sis
أختام	n+f.seals
أخجل	v.shamed
أخدود	n+m.groove@n+m.rut@n+f.furrow
أخذ	v.took
أخذ عينات	n+m.sampling
أخذ عينة	v.sampled
أخرج	v.ejected
أخرس	a.mute@n+m.mute
أخرق	a.awkward@a.clumsy@a.inept@a.gauche@a.fumbling
أخرى	a+f.other@a+f.another
أخشاب	n+m.lumber@n+f.timbers
أخشاب صلبة	n+f.hardwoods
أخصائي	n+m.specialist
أخصائي أشعة	n+m.radiologist
أخصائي أمراض	n+m.pathologist
أخصائي بصريات	n+m.optometrist@n+m.optician
أخصائي تغذية	n+m.dietitian@n+m.nutritionist
أخصائي صحة	n+m.hygienist
أخصائي علاج طبيعي	n+m.physiotherapist
أخصائية	n+f.specialist
أخصائيو أشعة	n+m.radiologists
أخصائيو أمراض	n+m.pathologists
أخصائيو بصريات	n+m.optometrists
أخصائيو تغذية	n+m.nutritionists@n+m.dietitians
أخصائيو سمع	n+m.audiologists
أخصائيو صحة	n+m.hygienists
أخصائيو علاج طبيعي	n+m.physiotherapists
أخضر	a+m.green@n+m.green@n+m.vert@a.vert@a.verdant
أخضر أكثر	a.greener
أخضر مُصفَرّ	a.chartreuse
أخضع	v.subdued@v.subordinated
أخطأ	v.erred@v.sinned@v.boobed
أخطأ في الإملاء	v.misspelled
أخطاء	n+f.errors@n+f.mistakes@n+f.inaccuracies@n+f.faults@n+f.fouls@n+f.wrongs@n+f.goofs@n+f.fumbles
أخطاء إملائية	n+f.misspellings
أخطاء برمجية	n+f.bugs
أخطاء فادحة	n+f.blunders
أخطاء مضحكة	n+f.bloopers
أخطاء مطبعية	n+f.typos@n+m.errata
أخطار	n+f.dangers
أخطبوط	n+m.octopus
أخف	a.lighter@a.lightest@a.milder
أخفت	a.fainter@a.dimmer
أخفى	v.concealed@v.hid@v.secreted@v.cloaked
أخلاق	n+f.ethics@n+f.morality@n+f.manners@n+f.morals
أخلاقي	a.moral@a.ethical
أخلاقيات	n+f.ethos
أخلاقيات حيوية	n+f.bioethics
أخلاقياً	ad.morally@ad.ethically
أخلاقية	n+f.ethic
أخلى	v.evacuated@v.vacated
أخماس	n+f.fifths
أخمصي	a.plantar
أخوات	n+f.sisters
أخوال	n+m.uncles
أخوة	n+f.brotherhood
أخوة نسائية	n+f.sisterhood
أخوي	a.fraternal@a.brotherly
أخويات	n+f.fraternities@n+f.sororities
أخوية	n+f.fraternity
أخوية جامعية	n+f.frat
أخوية نسائية	n+f.sorority
أخير	a+m.last@a.latter@a.ult
أخيراً	ad.finally@ad.lastly
أخيرة	a+f.last
أخيل	n+m.achilles
أداء	n+m.performance@n+m.rendition
أداءات	n+f.performances
أداة	n+f.tool@n+f.implement@n+f.instrument@n+f.widget@n+m.gadget@n+f.instr@n+f.gizmo@n+f.utensil
أداة إقصاء	n+f.eliminator
أداة اختيار	n+f.picker
أداة تحسين	n+f.enhancer
أداة تطبيق	n+f.applicator
أداة تقدير	n+f.estimator
أداة تكامل	n+f.integrator
أداة تمديد	n+f.extender
أداة تنظيم	n+f.organiser
أداة توقع	n+f.predictor
أداة شم	n+f.sniffer
أداة فرز	n+f.screener
أداة قبض	n+f.grabber
أداجيو	n+m.adagio
أدار	v.managed@v.ran
أدار بالذراع	v.cranked
أدام	v.perpetuated
أدان	v.condemned
أدب	n+m.literature@n+f.politeness
أدب إباحي	n+f.erotica
أدب واقعي	n+m.nonfiction
أدبي	a.literary
أدخل	v.keyed@v.indented@v.inducted
أدخنة	n+f.fumes
أدراج	n+f.drawers
أدرج بالقائمة السوداء	v.blacklisted
أدرك	v.apprehended@v.dawned@v.discerned
أدرياتيكي	a.adriatic
أدريان	n+m.adrian@n+f.adrienne
أدريانا	n+f.adriana
أدرينالي	a.adrenergic
أدرينالين	n+m.adrenaline@n+m.adrenalin
أدغال	n+f.scrub@n+f.bushes@n+f.jungles
أدفأ	a.warmest
أدفيل	n+m.advil
أدق	a.finer
أدكينز	n+m.adkins
أدلة	n+f.guides@n+f.directories@n+f.manuals@n+f.clues@n+f.evidences
أدلة فرعية	n+f.subdirectories
أدلر	n+m.adler
أدمة	n+f.derma
أدمغة	n+m.brains
أدناه	ad.below@ad.hereunder
أدنى	a.lower@a.min@a+m.minimum@a.lowest@a.minimal@a.inferior@a.slightest
أدنى رتبة	n+m.inferior
أدهش	v.astonished
أدوات	n+f.tools@n+f.instruments@n+f.gadgets@n+f.implements@n+f.widgets@n+f.tooling@n+f.gizmos@n+f.paraphernalia
أدوات المائدة	n+f.tableware
أدوات بحث	n+f.finders
أدوات تجميل	n+f.toiletries
أدوات تحكم	n+f.controls
أدوات تطبيق	n+f.applicators
أدوات تقليم	n+f.trimmers
أدوات زينة	n+f.toiletry
أدوات طعام	n+m.dinnerware
أدوات فضية	n+f.silverware
أدوات مائدة	n+f.cutlery@n+f.flatware
أدوات مطبخ	n+f.kitchenware
أدوات معدنية	n+f.metalware
أدوات منزلية	n+f.housewares
أدوار	n+f.turns@n+f.roles
أدوار علوية	n+m.lofts
أدوبي	n+m.adobe
أدولف	n+m.adolf@n+m.adolph
أدولفو	n+m.adolfo
أدوم	n+m.edom
أدونيس	n+m.adonis
أدوية	n+f.drugs@n+f.medication@n+f.medications@n+f.pharmaceuticals@n+f.medicines
أدوية عامة	n+f.generics
أدى	v.performed
أدى وظيفته	v.functioned
أديان	n+f.religions@n+f.faiths
أديجي	n+m.adige
أديداس	n+f.adidas
أديرة	n+f.monasteries
أديرونداك	n+m.adirondack
أديرونداكس	n+f.adirondacks
أديسون	n+m.addison
أديل	n+f.adele
أديلايد	n+f.adelaide
أديلين	n+f.adeline
أدينغتون	n+m.addington
أدينوسين	n+m.adenosine
أدينين	n+m.adenine
أذربيجان	n+f.azerbaijan
أذربيجاني	a.azerbaijani@n+m.azerbaijani
أذرع	n+f.arms@n+f.levers
أذكى	a.smarter@a.brightest@a.smartest
أذلّ	v.humiliated@v.humbled
أذن	n+f.ear
أذن البحر	n+m.abalone
أذنب	v.sinned
أذهل	v.rocked@v.appalled@v.astounded@v.awed
أذواق	n+f.tastes
أذونات	n+f.permissions
أذى	n+m.mischief
أذين	n+m.atrium
أذينات	n+f.atria
أذيني	a.atrial
أرائك	n+f.sofas@n+f.couches@n+f.ottomans
أرابيسك	n+f.arabesque
أرابيلا	n+f.arabella
أراجيح	n+f.swings
أراجيح شبكية	n+f.hammocks
أراخني	n+f.arachne
أراد	v.wanted@n+m.arad
أرارات	n+m.ararat
أراضٍ	n+f.lands@n+f.grounds@n+f.earths
أراضٍ بور	n+f.moors
أراضٍ حرجية	n+f.woodlands
أراضٍ رطبة	n+f.wetlands
أراضٍ زراعية	n+f.farmland
أراضٍ منخفضة	n+f.lowlands
أراضٍ وعرة	n+f.badlands
أراغون	n+m.aragon
أرامل	n+f.widows
أرانب	n+m.rabbits@n+m.bunnies
أرانب برية	n+m.hares
أرباب أسر	n+m.householders
أرباح	n+f.earnings@n+f.profits@n+f.winnings
أرباح موزَّعة	n+m.dividends
أرباع	n+f.quarters@n+f.fourths@n+f.quadrants
أربانت	n+f.arpanet
أربطة	n+f.laces@n+f.ligaments
أربطة جوارب	n+f.garters
أربعاء	n+m.wednesday@n+m.wed
أربعات	n+m.fours
أربعة	n+m.four@a.four@n+m.quatre
أربعة عشر	a.fourteen
أربعة وعشرون	n+m.xxiv
أربعون	n+m.forty
أربك	v.baffled@v.bewildered@v.confounded
أربية	n+m.groin
أرتميس	n+f.artemis
أرتورو	n+m.arturo
أرثوذكسي	a.orthodox
أرثوذكسية	n+f.orthodoxy
أرجل	n+f.legs
أرجل خنزير	n+f.trotters
أرجنتيني	a.argentine@n+m.argentine@a.argentinian@n+m.argentinian@a.argentinean@n+m.argentinean
أرجواني	n+m.magenta@a.magenta
أرجوحة	n+f.swing
أرجوحة بهلوانية	n+m.trapeze
أرجوحة شبكية	n+f.hammock
أرجونا	n+m.arjuna
أرجينين	n+m.arginine
أرخبيل	n+m.archipelago
أرخص	a.cheapest@a.cheaper
أرخميدس	n+m.archimedes
أرخى	a.looser@v.payed@v.loosened
أرد	n+m.ard
أرداف	n+f.buttocks
أردن	n+m.arden
أردني	a.jordanian@n+m.jordanian
أردية	n+f.gowns@n+f.robes
أرز	n+m.rice@n+m.cedar@n+m.paddy@n+m.cedars
أرستقراطي	a.aristocratic@n+m.aristocrat
أرستقراطية	n+f.aristocracy
أرستقراطيون	n+m.aristocrats
أرسطو	n+m.aristotle
أرسل	v.sent@v.despatched@v.relayed
أرسل فاكساً	v.faxed
أرشد	v.mentored
أرشفة	n+f.filing@n+m.archiving
أرشيبالد	n+m.archibald
أرشيف	n+m.archive
أرشيفات	n+f.archives
أرشيفي	a.archival
أرصادي	a.meteorological
أرصدة	n+f.credits@n+f.balances
أرصفة	n+f.docks@n+f.sidewalks@n+f.piers@n+f.pavements@n+f.quays
أرض	n+f.land@n+f.earth@n+f.ground@n+f.terra
أرض الأحلام	n+f.dreamland
أرض الصومال	n+f.somaliland
أرض العجائب	n+f.wonderland
أرض بور	n+f.heath@n+f.moor@n+f.fallow@n+f.moorland
أرض حديقة	n+f.parkland
أرض حرجية	n+f.timberland
أرض رطبة	n+f.wetland
أرض زراعية	n+f.cropland
أرض عشبية	n+f.grassland
أرض قاحلة	n+f.wasteland
أرض مستصلحة	n+m.brownfield
أرض معارض	n+f.fairgrounds
أرض معرض	n+f.fairground
أرض منخفضة	n+f.lowland
أرضة	n+f.termites
أرضى	v.gratified
أرضي	a+m.ground@a.terrestrial@a.earthly@a.earthy@a.terran@n+m.terran
أرضيات	n+f.floors@n+f.flooring
أرضية	a+f.ground@n+f.floor
أرضية خشبية	n+f.decking
أرطال	n+f.lbs
أرعب	v.freaked@v.petrified
أرغايل	n+m.argyll
أرغفة	n+f.loaves
أرغو	n+m.argo
أرغوس	n+m.argus@n+m.argos
أرغون	n+m.argon@n+f.argonne
أرفق	v.attached
أرق	n+m.insomnia@a.gentler
أرقام	n+f.numbers@n+f.figures@n+m.nos@n+m.digits@n+f.numerals
أرقى	a.finer
أرقي	a.insomniac
أركاديا	n+f.arcadia
أركنساس	n+f.arkansas
أرلو	n+m.arlo
أرلين	n+f.arlene@n+m.arlen
أرلينغتون	n+f.arlington
أرماديلو	n+m.armadillo
أرماغ	n+f.armagh
أرماند	n+m.armand
أرماندو	n+m.armando
أرماني	n+m.armani
أرمسترونغ	n+m.armstrong
أرمل	a.widowed@n+m.widower
أرملة	n+f.widow
أرمن	n+m.armenians
أرمني	a.armenian
أرمينيا	n+f.armenia
أرنب	n+m.rabbit@n+m.bunny@n+m.coney
أرنب بري	n+m.hare
أرنهم	n+f.arnhem
أرنو	n+m.arno
أرنولد	n+m.arnold
أرهق	v.overworked@v.fatigued
أرواب حمام	n+f.bathrobes
أرواح	n+f.spirits@n+f.souls@n+f.sprites
أرواح صارخة	n+f.banshees
أروبا	n+f.aruba
أروع	a.coolest
أروقة	n+f.hallways@n+f.arcades
أرونديل	n+m.arundel
أرويو	n+m.arroyo
أريادني	n+f.ariadne
أريتسو	n+f.arezzo
أريج	n+m.fragrance
أريحا	n+f.jericho
أريزونا	n+f.arizona@n+f.ariz
أريكة	n+f.sofa@n+f.couch@n+f.ottoman@n+f.divan
أريكة صغيرة	n+f.loveseat
أريكة طويلة	n+f.chaise
أريكيبا	n+f.arequipa
أريل	n+m.aryl
أزال	v.removed@v.uninstalled
أزال العظم	v.boned
أزاليا	n+f.azalea
أزاميل	n+f.chisels
أزتيك	n+m.aztecs
أزتيكي	a.aztec@n+m.aztec
أزرار	n+f.buttons
أزرار تبديل	n+f.toggles
أزرق	a+m.blue@n+m.blue@a.blu
أزرق سماوي	a.azure
أزرق فاتح	n+m.bice
أزرق مخضر	a.aquamarine
