Java语言	n.java
专家的	a.expert
专心	v.concentrating
专心的	a.intent@a.attentive
专攻	v.specializing@v.specializes@v.specialising@v.specialize@v.specializing@v.specializes@v.specialize@v.specialising@v.specialise
专政	n.dictatorship
专政者	n.dictator
专有的	a.proprietary@a.exclusives
专栏	n.column@n.columns
专栏作家	n.columnists@n.columnist
专栏记者	n.columnist
专注	n.fixation@v.concentrating
专注的	a.focussed
专用的	a.dedicated
专科医生	n.specialist
专营权	n.monopoly
专著	n.monograph@n.monographs
专论	n.monograph@n.monographs
专辑	n.album@n.albums
专长	n.expertise
专门从事	v.specializing@v.specializes@v.specialising@v.specialize@v.specializing@v.specializes@v.specialised@v.specialising@v.specialise
专门化	n.specialization
专门地	ad.exclusively@ad.specially@ad.specially
专门用语	n.terminology@n.terminology
专门研究	v.specialized@v.specialize
专题的	a.thematic
世代	n.generations
世俗的	a.secular@a.secular@a.earthly@a.mundane@a.worldly
世嘉	n.sega@n.sega
世故的	a.worldly
世界	n.world@n.universe@n.worlds@n.monde@n.monde
世界性的	n.cosmopolitan
世界性的人	n.cosmopolitan
世界末日	n.apocalypse@n.armageddon
世界语	n.esperanto
世系	n.lineage
世纪	n.century@n.centuries@n.centuries
世袭的	a.hereditary
世间	n.world
丘吉尔	n.churchill@n.churchill
丘陵	n.hills@n.downs
丘陵地	n.downs
丘陵地带	n.foothills
丙烯酸	n.acrylic@n.acrylic
丙烯酸的	a.acrylic@a.acrylic
丙烷	n.propane
业	n.karma
业主	n.owners@n.owner@n.homeowners@n.homeowner@n.homeowners@n.homeowner@n.proprietor
业余爱好者	n.amateur@n.amateurs@n.amateurs
业余的	a.amateur@a.amateurs
丛林	n.jungle
丛生	v.bushes
东京	n.tokyo
东北	n.northeast
东北的	a.northeast@a.northeastern
东北部的	a.northeastern
东南	n.southeast
东南的	a.southeast@a.southeastern@a.southeastern
东南部的	a.southeastern
东山再起	n.comeback@n.comeback
东方	n.east@n.orient
东方人	n.oriental
东方的	a.east@a.eastern@a.oriental
东芝	n.toshiba
东西	n.things@n.thing@n.stuff
东部标准时间	n.est
东部的	a.eastern
丝带	n.ribbon@n.ribbons
丝柏	n.cypress
丝氨酸	n.ser@n.serine
丝绸	n.silk
丝绸的	a.silk
丝绸般的	a.silky
丝质的	a.silky
丢失	n.loss
丢弃	v.trash@v.discard@v.discarded@v.discard
两个	num.two
两倍	ad.twice
两厢车	n.hatchback
两年一次的	a.biennial
两年生植物	n.biennial
两极分化	n.polarization@n.polarization@n.polarity
两极化	v.polarized
两极的	a.polar@a.bipolar
两次	ad.twice
两者	pron.both
两者的	a.both
两者都	ad.both
两者都不	ad.neither
两难	n.dilemma
严厉	n.severity@n.severity
严厉地	ad.severely@ad.severely
严厉的	a.strict@a.stern@a.harsh@a.stern@a.harsh
严密的	a.rigorous
严峻的	a.severe@a.stark@a.grim
严格地	ad.strictly
严格地说	ad.technically@ad.technically
严格的	a.tight@a.strict@a.rigid@a.rigid@a.rigorous
严格管制	v.regiment
严格素食的	a.vegan
严肃的	a.serious@a.solemn
严酷的	a.stark
严重地	ad.seriously@ad.badly@ad.severely@ad.badly@ad.severely@ad.critically
严重性	n.gravity@n.severity@n.severity@n.seriousness
严重的	a.serious@a.severe@a.grave@a.dire
丧失	n.deprivation@n.deprivation@n.forfeiture
丧失抵押品赎回权	n.foreclosures@n.foreclosure@n.foreclosures@n.foreclosure
个人	n.individual@n.individuals
个人化	v.personalize
个人化的	a.personalised
个人广告	n.personals
个人电脑	n.pc@n.pcs
个人的	a.personal
个人退休账户	n.ira@n.ira
个体	n.individuals
个别地	ad.individually
个别的	a.individual
个性	n.personality@n.personalities@n.personalities
个性化	v.personalized@v.personalised@n.personalization
个性化的	a.personalized@a.individualized@a.individualized
中世纪的	a.medieval
中东	n.mideast
中介	n.mediator@n.intermediary@n.mediator
中介的	a.mediated
中位数	n.median
中午	n.noon
中国	n.china
中国人	n.chinese
中国的	a.chinese
中士	n.sgt@n.sgt@n.sergeant
中央	n.cen
中央的	a.central
中子	n.neutron
中尉	n.lieutenant@n.lieutenant
中庭	n.atrium
中微子	n.neutrino
中心	n.centre@n.centres@n.hub@n.hubs@n.hubs
中心地区	n.heartland
中心地带	n.heartland
中心的	a.central@a.focal@a.centric@a.centred@a.focal@a.centric
中性的	a.neutral@a.unisex
中提琴	n.viola
中文	n.chinese
中断	n.interrupt@n.interruption@v.discontinued@v.interrupt@n.interrupt@n.disruption@n.interruption@v.disrupt@v.discontinue@n.interrupts
中断的	a.interrupted
中枢的	a.pivotal
中止	v.discontinued@v.abort@n.cessation@v.abort
中毒	n.poisoning
中毒的	a.toxic
中洛锡安	n.midlothian
中立的	a.neutral
中等地	ad.moderately
中等的	a.medium@a.secondary@a.mediocre
中级者	n.intermediate
中继器	n.repeater
中肯的	a.pertinent@a.pertinent
中西部	n.midwest
中途	n.midway@ad.midway@ad.midway@ad.halfway
中途的	a.halfway
中部地区	n.midlands@n.midland
中间	n.middle@n.midst
中间人	n.intermediary
中间的	a.middle@a.mid@a.intermediate@a.median@a.intermediary@a.midway@a.intermediary
中队	n.squadron
中音	n.alto@n.alto@n.altos
中音的	a.alto@a.alto
中风	n.stroke@n.strokes@n.strokes
丰富	n.abundance@n.abundance@n.enrichment@v.enriched@ad.galore@v.enrich@n.richness
丰富多彩的	a.colourful@a.colourful
丰富的	a.rich@a.prolific@a.abundant@a.bumper@a.abundant@a.ample@a.prolific
丰满的	a.chubby@a.plump
丰田	n.toyota
丰盛的	a.bumper@a.hearty
串	n.bunch
串珠	v.beaded
串联	n.tandem
临床上	ad.clinically@ad.clinically
临床医生	n.clinicians@n.clinicians
临床的	a.clinical
临时地	ad.temporarily@ad.temporarily
临时工	n.temp@n.temps
临时工作	n.gig@n.gigs
临时演员	n.extras
临时的	a.temporary@a.temp@a.interim@a.provisional@n.prov@a.provisional
临时看护	n.sitter
临终关怀	n.hospice
临街房	n.storefront
丹	n.dan
丹佛	n.denver
丹妮尔	n.danielle
丹尼	n.danny@n.denny@n.denny
丹尼丝	n.denise
丹尼尔	n.daniel
丹尼尔斯	n.daniels@n.daniels
丹尼斯	n.dennis@n.denise@n.denis
丹麦	n.denmark
丹麦人	n.dane
丹麦的	a.danish
丹麦语	n.danish
为	prep.for
为…加冕	v.crowns
为…配备人员	v.mans
为了	prep.para@prep.fer
为什么	ad.why@conj.why
主	n.lord@n.lords
主义	n.doctrine@n.ism@n.doctrine@n.ism
主人	n.master@n.host@n.hosts
主任	n.director
主体	n.body
主修	v.major
主力产品	n.flagship
主办	v.hosted@v.hosts@v.sponsoring
主办方	n.organizers@n.organiser@n.organizers@n.organisers
主办者	n.organiser
主动地	ad.actively
主动性	n.initiative@n.initiatives
主动提供的	a.unsolicited
主动的	a.proactive
主动脉的	a.aortic
主厨	n.chef@n.chefs
主宰	v.dominate
主导	v.dominates
主席	n.president@n.chair@n.chairman@n.presidents@n.chairperson@n.pres@n.presidents@n.chairperson@n.pres
主席的	a.presidential
主席职位	n.presidency@n.presidency
主干	n.mains
主张	v.argues@v.asserts@v.contend@v.contends@v.advocating@v.argues@v.assert@n.assertion@v.asserted@v.contends@n.propositions@v.advocating@n.assertions
主意	n.ideas@n.idea
主持	v.hosting@v.host@v.chair@v.chairs@v.presiding@v.chaired@v.presiding@v.chaired
主持人	n.moderator@n.anchor@n.moderators@n.presenters@n.moderators@n.presenter@n.presenters
主持的	a.presiding
主教	n.bishop@n.bishops
主教的	a.episcopal
主旨	n.keynote
主旨演讲	n.keynote
主机	n.host@n.mainframe@n.mainframe
主权	n.sovereignty
主权的	a.sovereign@a.sovereign
主板	n.motherboard@n.motherboards@n.motherboard@n.motherboards
主流	n.mainstream
主流的	a.mainstream
主演	v.star@v.featuring@v.starring@v.starred
主演的	a.starring
主管	n.director@n.executive@n.supervisor@n.exec@n.superintendent@n.supervisors@n.mgr@n.exec@n.superintendent@n.supervisors
主考人	n.examiner
主考官	n.examiners
主要产品	n.staple
主要地	ad.mostly@ad.primarily@ad.mainly@ad.largely@ad.principally@ad.predominantly@ad.principally@ad.chiefly
主要的	a.main@a.major@a.primary@a.master@a.chief@a.principal@a.cardinal@a.cardinal@n.cardinals@a.predominant
主要部分	n.main
主观上的	a.subjective
主观的	a.subjective@a.subjective
主计长	n.comptroller@n.comptroller
主页	n.homepage@n.homepages@n.homepages
主题	n.subject@n.topic@n.topics@n.subjects@n.theme@n.themes@n.motifs@n.motif@n.motifs@n.subj
主题的	a.keynote@a.themed@a.thematic
主食	n.staples@n.staple@n.staples
丽兹	n.ritz
丽塔	n.rita@n.rita
丽莎	n.lisa
丽都	n.lido
举办	v.stage@v.staging
举止	n.behaviour@v.behave@n.manners@n.behaviours
举行	v.held@v.hold
举起	v.lift@v.lifting@v.lifts@v.lifted@v.lifting@v.lifts@v.lifted
举重	n.lifting
义务	n.duty@n.obligation@n.obligations@n.commitments@n.commitments
义务的	a.compulsory@a.compulsory@a.obligatory
义卖市场	n.bazaar
之后	ad.after@ad.afterwards@ad.afterwards@ad.thereafter
乌克兰	n.ukraine
乌克兰人	n.ukrainian@n.ukrainian
乌克兰的	a.ukrainian@a.ukrainian
乌兹别克斯坦	n.uzbekistan@n.uzbekistan
乌娜	n.una
乌尔都语	n.urdu@n.urdu
乌尔都语的	a.urdu
乌干达	n.uganda
乌得勒支	n.utrecht@n.utrecht
乌托邦	n.utopia@n.utopia
乌拉圭	n.uruguay
乌木	n.ebony
乌班图	n.ubuntu
乌贼	n.squid
乌鸦	n.raven@n.crow@n.ravens@n.crow@n.ravens@n.crows
乌黑的	a.ebony@a.raven
乌龟	n.turtle@n.turtle@n.turtles
乍得	n.chad
乏味的	a.tedious@a.blah@a.bland
乐于助人的	a.forthcoming@a.forthcoming
乐器	n.instruments@n.instrument@n.instr
乐园	n.paradise@n.eden
乐师	n.musician
乐意	n.readiness
乐意地	ad.readily@ad.gladly
乐意的	a.willing@a.glad
乐曲	n.opus
乐观	n.optimism@n.optimism
乐观主义	n.optimism@n.optimism
乐观主义的	a.optimistic
乐观的	a.optimistic@a.upbeat
乐谱	n.score
乐趣	n.fun@n.enjoyment@n.delights@n.enjoyment@n.pleasures
乐透	n.lotto
乐队	n.band@n.bands
乐高	n.lego@n.lego
乒	n.ping@n.ping
乒乓	n.pong
乒乓声	n.pings
乒乓球	n.pong
乔	n.joe
乔丹	n.jordan
乔伊	n.joey@n.joey
乔伊斯	n.joyce@n.joyce
乔克	n.jock@n.jock
乔姆斯基	n.chomsky
乔安妮	n.joanne
乔安娜	n.joanna
乔尔	n.joel
乔希	n.josh
乔恩	n.jon
乔斯	n.joss
乔普林	n.joplin
乔治	n.george@n.georges
乔治敦	n.georgetown@n.georgetown
乔瓦尼	n.giovanni
乔纳	n.jonah
乔纳斯	n.jonas@n.jonas
乔纳森	n.jonathan
乔迪	n.jody@n.jody@n.jodi
乘	prep.times@v.multiplied@v.multiply@v.rode@v.multiplied@v.multiplying
乘出租车	v.taxi
乘务员	n.steward
乘坐	n.ride
乘客	n.passenger@n.passengers@n.riders
乘数	n.multiplier
乘法	n.multiplication@n.multiplication
乘独木舟	v.canoeing
乘筏	v.raft@v.raft
乘船	v.boating
乘雪地车	v.snowmobile
乘雪橇	v.sled
乙基	n.ethyl
乙基的	a.ethyl
乙烯	n.ethylene
乙烯基	n.vinyl
乙醇	n.ethanol
乙醚	n.ether@n.ether
九	num.nine
九分之一	n.ninth@n.ninth
九十	num.ninety
九月	n.september@n.sep@n.sept
乞求	v.beg@v.begging
乞讨	v.begging@v.bum@n.begging@v.bum
也	ad.also@ad.too@ad.either@ad.likewise@ad.likewise
也不	conj.nor@conj.neither
也就是	ad.namely@ad.viz@ad.namely
也许	ad.maybe@ad.perhaps@ad.possibly
也门	n.yemen@n.yemen
习俗	n.custom
习性	n.habit@n.habits@n.habit
习惯	n.habits@n.habit@v.wont@n.wont@n.habits@n.habit@n.wont
习惯上	ad.traditionally@ad.traditionally
习惯于	a.wont
习惯性动作	n.tic
习惯的	a.used@a.customary@a.accustomed@a.customary@a.accustomed
习语	n.idioms
乡	n.township@n.twp
乡下人	n.peasant@n.redneck@n.peasants
乡巴佬	n.peasant
乡愁	n.nostalgia
乡愁的	a.nostalgic
乡村	n.country@n.countryside@n.countryside
乡村的	a.rural@a.rustic
书	n.books@n.book
书写	v.write@v.writes
书呆子	n.geek@n.nerd@n.nerd
书商	n.booksellers@n.bookseller@n.booksellers@n.bookseller
书店	n.bookstore@n.bookshop@n.booksellers@n.bookseller@n.bookshop@n.bookstores@n.booksellers
书房	n.study
书斋	n.den
书架	n.bookshelf@n.bookcase
书柜	n.bookcase
书桌	n.desks
书法	n.handwriting@n.calligraphy
书目的	a.bibliographic@a.bibliographic
书签	n.bookmark@n.bookmarks
书脊	n.spine
书记	n.secretaries
书记员	n.clerk
书记的	a.secretarial
书面工作	n.paperwork
书面的	a.written
书面陈述	n.affidavit
买	v.buy@v.buying@v.bought
买主	n.purchasers@n.purchaser@n.purchasers
买家	n.buyer@n.buyers
买方	n.buyer
买进	n.buys
乱伦	n.incest
乱写	v.scrabble
乱扔	v.litter@v.litter
乱涂	v.scrabble
乳品	n.dairy
乳头	n.nipples@n.tit@n.nipple
乳头状瘤	n.pap
乳房	n.breast@n.tits@n.boobs@n.breasts@n.boob@n.titties
乳木果	n.shea
乳沟	n.cleavage
乳液	n.lotion@n.lotion
乳清	n.whey@n.whey
乳白色的	a.milky@a.milky
乳胶	n.latex
乳脂状的	a.creamy
乳霜	n.cream@n.creme@n.creme
了不起的	a.terrific@a.terrific
了望	n.lookout
了解	v.know@v.knows
争吵	n.row@n.tiff
争夺	v.vie@v.scramble@n.scramble
争议	n.dispute@n.disputes@n.controversy@n.disputes@n.controversy@v.disputed
争论	n.argument@n.arguments@v.dispute@v.argue@v.argued@v.disputes@n.controversy@v.argues@v.disputed@n.disagreement@v.debated@n.debating@v.disputes@n.controversy@v.argues@v.arguing@n.contention@n.disagreement@v.debated
争论者	n.wrangler@n.wrangler
事业	n.cause@n.enterprise@n.undertaking@n.undertaking@n.undertakings
事件	n.events@n.event@n.affairs@n.episode@n.incident@n.happening@n.episodes@n.incidents@n.occurrence@n.affair@n.incidents@n.affair@n.happenings@n.occurrences
