अँधेरा कमरा	n+m.darkroom
अंतर्प्रजनन किया	v.inbred
अंतर्प्रवाह	n+m.inflow
अंतर्राष्ट्रीय	n+m.internationales
अंतर्राष्ट्रीयकरण	n+f.internationalization@n+f.internationalisation
अंतर्वर्ती	a.inboard
अंतर्वस्त्र	n+m.underwear
अंतर्विभागीय	a.interdepartmental
अंतर्वेशन	n+f.interpolation
अंतर्संबंध	n+m.interconnects@n+f.interconnections
अंतर्स्फोट	n+f.implosion
अंतर्हृद्शोथ	n+f.endocarditis
अंतहीन	a.endless
अंतहीन रूप से	ad.endlessly
अंताकिया	n+m.antioch
अंताल्या	n+f.antalya
अंतिम	a+m.last@a+f.last@a.final@a.ultimate@a.terminal@a.definitive@n+m.lasts@a.eventual@a.nth@a.ult
अंतिम उपयोगकर्ता लाइसेंस समझौता	n+f.eula
अंतिम चरण	n+m.endgame
अंतिम चेतावनी	n+f.ultimatum
अंतिम रूप	n+f.finalization
अंतिम रूप दिया	v.finalized@v.finalised
अंतिम रूप देना	v.finalize@v.finalizing@v.finalise
अंतिम रूप से	ad.terminally
अंतिम संस्कार	n+m.funeral@n+m.funerals
अंतिम सीमा	a.cutoff
अंतिम से पहले का	a.penultimate
अंतिम स्टेशन	n+m.terminus
अंतिमता	n+f.finality
अंत्येष्टि	n+f.burial
अंत्येष्टि कर्ता	n+m.undertaker
अंदर	prep.inside
अंदर का भाग	n+m.inside
अंदर की ओर	ad.inward@ad.inboard@ad.inwards
अंदर की ओर धंसाव	n+f.indentation
अंदर धंसाया	v.indented
अंदर निकाला	v.gutted
अंदर बढ़ा हुआ	a.ingrown
अंदर लाता है	v.ushers
अंदर लाया	v.ushered
अंदर से	ad.inwardly
अंदरूनी तलवा	n+m.insole
अंदरूनी भाग	n+m.insides
अंदरूनी लोग	n+m.insiders
अंदरूनी व्यक्ति	n+m.insider
अंदरूनी सिलाई	n+m.inseam
अंदांते	n+m.andante
अंदाज़ा	n+m.guesswork
अंधकार	n+m.gloom
अंधकारमय	a.darkened
अंधविश्वास	n+f.superstition@n+f.superstitions
अंधविश्वासी	a.superstitious
अंधा	a+m.blind@a.blinded
अंधा कर दिया	v.blinded
अंधा करना	v.blinds@v.blinding
अंधाधुंध	ad.blindly@a.indiscriminate@ad.indiscriminately
अंधापन	n+f.blindness
अंधी	a+f.blind
अंधेरा	a+m.dark@n+m.dark@n+m.darkness@n+m.blackout
अंधेरा करना	v.darken
अंधेरा करने वाले पर्दे	n+m.blinds
अंधेरा किया	v.darkened
अंधेरा होना	v.darkening
अंधेरी	a+f.dark
अंधेरे में	ad.darkly
अंपायर	n+m.umpire@n+m.umpires@n+m.ump
अंपायर करना	v.umpire
अंबर	n+f.amber@n+m.umber
अंश	n+m.degree@n+m.degrees@n+m.excerpt@n+m.passage@n+f.fraction@n+m.excerpts@n+f.passages@n+m.numerator
अंश निकाला	v.excerpted
अंशतः	ad.piecewise
अंशांकक	n+m.calibrator
अंशांकन	n+f.calibration@n+f.calibrations
अंशांकन करना	v.calibrating
अंशांकित करना	v.calibrate
अंशांकित किया	v.calibrated
अकड़	n+m.strut
अकड़कर चलता है	v.struts
अकड़कर चलना	v.strut
अकड़न	n+m.clasp@n+f.stiffness
अकड़ा हुआ	a.stiff
अकड़ू	a.cocky
अकथनीय	a.inexplicable@a.unspeakable
अकथनीय रूप से	ad.inexplicably
अकबर	n+m.akbar
अकर्मक	a.passive@a.intr
अकल्पनीय	a.inconceivable@a.unimaginable
अकशेरुकी	n+m.invertebrates@n+m.invertebrate@a.invertebrate
अकाडियन	a.acadian@n+m.acadian
अकाडिया	n+f.acadia
अकादमियाँ	n+f.academies
अकादमी	n+f.academy
अकापुल्को	n+m.acapulco
अकार्बनिक	a.inorganic
अकार्यशील	a.inoperative
अकाल	n+f.famine
अकिता	n+m.akita
अकिलीज़	n+m.achilles
अकीक	n+m.carnelian
अकुशल	a.inefficient@a.unskilled
अकेला	a+m.single@a+m.alone@a.lonely@a.lone@a.lonesome@a.unaccompanied@a.forlorn
अकेला व्यक्ति	n+m.loner
अकेलापन	n+f.loneliness
अकेली	a+f.single@a+f.alone
अकेले	ad.alone@ad.solo@ad.singly@ad.singularly
अकॉर्डियन	n+m.accordion
अकोस्टा	n+m.acosta
अक्टूबर	n+m.october@n+m.oct
अक्रा	n+m.accra
अक्रियाशील	a.inoperable
अक्ष	n+m.axis@n+f.axes
अक्षत	a.unscathed@a.unharmed
अक्षतिग्रस्त	a.undamaged
अक्षम	a.inefficient@a.incompetent
अक्षम करता है	v.disables
अक्षम करना	v.disable@v.disabling
अक्षम किया	v.disabled
अक्षम बनाया	v.incapacitated
अक्षमता	n+f.inability@n+f.incompetence@n+f.incapacity@n+f.inefficiency@n+f.invalidity
अक्षमताएँ	n+f.inefficiencies
अक्षम्य	a.unforgiven
अक्षर	n+m.letter@n+m.letters@n+m.characters@n+m.char@n+m.syllable@n+m.syllables
अक्षरांकन	n+f.lettering
अक्षरांकित	a.lettered@a.monogrammed
अक्षरांकीय	a.alphanumerical
अक्षांश	n+m.lat@n+m.latitude@n+f.latitudes
अक्षीय	a.axial
अक्षुण्ण	a.unabated
अक्सर	ad.often@ad.frequently@ad.oft@ad.oftentimes
अक्सर जाता था	v.frequented
अक्सर जाना	v.frequent
अक्सर पूछे जाने वाले प्रश्न	n+m.faqs
अखंड	a.monolithic
अखंडता	n+f.integrity
अखबार	n+m.newspaper@n+m.newspapers
अखबार विक्रेता	n+m.newsagents
अखबार स्टैंड	n+m.newsstand@n+m.newsstands
अखबारी कागज	n+m.newsprint
अखरोट	n+m.nut@n+m.walnut@n+m.chestnut@n+m.walnuts
अखरोट का छिलका	n+m.nutshell
अखरोट जैसा	a.nutty
अखरोट तोड़ने वाला	n+m.nutcracker
अखाड़े	n+m.arenas
अगणित	a.untold
अगर	conj.if@n+m.ifs@n+m.agar
अगला	a+m.next@a.succeeding
अगला भाग	n+m.sequel
अगली	a+f.next
अगस्त	n+m.august@n+m.aug
अगस्तिन	n+m.agustin
अगाथा	n+f.agatha
अगादिर	n+m.agadir
अगासी	n+m.agassi
अगिनत	a.unnumbered
अगिरे	n+m.aguirre
अगिलार	n+m.aguilar
अगोरा	n+f.agora
अग्नाशय संबंधी	a.pancreatic
अग्नाशयशोथ	n+f.pancreatitis
अग्नि	n+m.agni
अग्निकक्ष	n+m.firebox
अग्निरोधी	a.fireproof
अग्निशमन	n+m.firefighting
अग्निशमन केंद्र	n+m.firehouse
अग्निशामक	n+m.firefighters@n+m.firefighter@n+m.fireman@n+m.extinguisher@n+m.extinguishers@n+m.firemen
अग्न्याशय	n+m.pancreas
अग्रगामी	a.onward
अग्रणी	a.leading@a.pioneering
अग्रणी था	v.pioneered
अग्रणी दल	n+m.vanguard
अग्रणी होना	v.pioneer@v.pioneering
अग्रत्वचा	n+f.foreskin
अग्रदूत	n+m.pioneer@n+m.herald@n+m.pioneers@n+m.forerunner@n+m.harbinger@n+m.heralds
अग्रपाद	n+m.forefoot
अग्रभाग	n+m.forefront@n+m.facade@n+m.fronting@n+m.facades@n+m.obverse
अग्रभुजा	n+m.forearm
अग्रभूमि	n+m.foreground
अग्रिप्पा	n+m.agrippa
अग्रिम	a.advance@a.frontline@ad.upfront@a.preemptive
अग्रिम पंक्ति	n+f.frontline
अग्रिम भुगतान	n+m.prepayment@n+m.prepayments
अग्रिम भुगतान करना	v.prepay
अग्रेषक	n+m.forwarders@n+m.forwarder
अग्रेषण	n+m.forwarding
अग्रेषित	a.forward@a.fwd@a.forwarded@n+m.carryover
अग्रेषित करता है	v.forwards
अग्रेषित करना	v.forward
अघुलनशील	a.insoluble
अचंभित होना	v.marvels
अचक्रीय	a.acyclic
अचयनित करना	v.deselect
अचयनित किया	v.deselected
अचर	n+m.invariants
अचल	a.immovable
अचानक	ad.suddenly@a.sudden@ad.abruptly@a.abrupt
अचानक हमला करना	v.blindside
अचार	n+m.pickle@n+m.pickles
अचार बनाता है	v.pickles
अचार बनाना	v.pickle
अचार बनाया	v.pickled
अचार में डाला	v.marinated
अचारयुक्त	a.pickled
अचूक	a.infallible@a.foolproof
अचेतन	n+m.unconscious
अचेतन रूप से	ad.unconsciously
अच्छा	a+m.good@a.nice@a.bon@a.bueno
अच्छाई	n+f.goodness
अच्छी	a+f.good@a.bonne
अच्छी चीज़	n+f.goodie
अच्छी चीज़ें	n+f.goodies
अच्छी तरह	ad.well
अच्छी तरह से	ad.nicely
अछूत	a.untouchable@n+m.untouchable@n+m.untouchables
अछूता	a.untouched@a.unspoiled
अजगर	n+m.python@n+m.dragon@n+m.dragons@n+m.pythons
अजनबी	n+m.stranger@n+m.strangers
अजन्मा	a.unborn
अजमेर	n+m.ajmer
अजमोद	n+m.parsley
अजवाइन	n+f.celery
अजवायन	n+m.thyme
अज़रबैजान	n+m.azerbaijan
अज़रबैजानी	a.azerbaijani
अज़रबैजानी व्यक्ति	n+m.azerbaijani
अज़ेलिया	n+f.azalea
अज़ोरेस	n+m.azores
अजीब	a.strange@a.odd@a.weird@a.bizarre@a.stranger@a.funky@a.peculiar@a.awkward@a.freaky@a.fey@a.freaking@a.uncanny@a.spacey@a.outlandish@a.rummy
अजीब आदमी	n+m.weirdo
अजीब तरह से	ad.strangely@ad.awkwardly
अजीब तरीके से	ad.oddly
अजीब व्यक्ति	n+m.oddity@n+m.oddball
अजीबता	n+f.strangeness
अजीबपन	n+f.weirdness
अजेय	a.unbeatable@a.invincible@a.unstoppable
अजैक्स	n+m.ajax
अजैविक	a.abiotic
अज्ञात	a.unknown@a.unidentified@a.undisclosed@a.unheard@n+m.unknowns@a.unexplored@a.uncharted@a.unaccounted
अज्ञातहेतुक	a.idiopathic
अज्ञानता	n+f.ignorance
अज्ञानी	a.ignorant
अज्ञेय	a.undetectable
अज्ञेयवाद	n+m.agnosticism
अज्ञेयवादी	n+m.agnostic@a.agnostic
अटकल	n+f.conjecture
अटकलें	n+f.speculation@n+f.speculations
अटल	a.steadfast@a.unwavering
अटलांटा	n+m.atlanta
अटलांटिक	n+m.atlantic@a.atlantic
अटलांटिक पार	a.transatlantic
अटलांटिस	n+m.atlantis
अटाकामा	n+m.atacama
अटारी	n+m.atari@n+f.attic@n+m.loft@n+m.garret
अटूट	a.unbroken@a.unbreakable
अटैशी	n+m.attache
अट्ठाईस	n+m.xxviii
अठारह	a.eighteen
अठारहवाँ	a.eighteenth@a.xviii
अड़चन	n+f.hitch
अडिग	a.adamant@a.uncompromising
अडेल	n+f.adele
अडोनिस	n+m.adonis
अड्डा	n+m.den@n+m.haunt@n+m.hangout@n+m.haunts@n+m.perches@n+m.hotbed
अणु	n+m.molecules@n+m.molecule
अतार्किक	a.illogical
अतालता	n+f.arrhythmia
अति	a.ultra@a.hyper
अति खाना	v.binge
अति प्रयुक्त	a.overused
अति मधुर	a.twee
अति सक्रिय	a.overactive
अति-अनुमानित	a.overestimated
अतिक्रमण	n+m.overrun@n+m.trespass@n+m.encroachment@n+m.overruns@n+f.transgressions
अतिक्रमण करना	v.overrun@v.trespass@v.trespassing
अतिगलग्रंथिता	n+m.hyperthyroidism
अतिचालक	a.superconducting@n+m.superconductors@n+m.superconductor
अतिचालकता	n+f.superconductivity
अतितापता	n+f.hyperthermia
अतिथि	n+m.guest@n+m.guests@a.visiting
अतिथि कक्ष	n+m.guestrooms
अतिथि गृह	n+m.guesthouse@n+m.guesthouses
अतिथि पुस्तिका	n+f.guestbook@n+m.guestbooks
अतिदाब	a.hyperbaric
अतिप्रवाह	n+m.overflow@n+m.overflows@n+m.spillovers
अतिबड़ा	a.supersized
अतिभरा	a.overfull
अतिभारित	a.overloaded
अतिभारित किया	v.overloaded
अतिभोज	n+f.binge
अतियथार्थवाद	n+m.surrealism
अतियथार्थवादी	n+m.surrealist
अतिरंजित किया	v.overstated
अतिरिक्त	a.additional@a.added@a.extra@n+m.extra@a.excess@n+m.extras@a.spare@a.surplus@a.redundant
अतिरिक्त पुर्जे	n+m.spares
अतिरिक्त वजन	n+m.overweight
अतिरिक्त समय में	ad.overtime
अतिरिक्त स्टॉक	n+m.overstock
अतिरेक	n+f.redundancy@n+m.overkill@n+m.excesses@n+f.redundancies
अतिवृद्धि	n+f.hyperplasia@n+f.hypertrophy@a.hypertrophic
अतिव्यापन	n+m.overlaps
अतिव्यापी	a.overlapping
अतिशयोक्ति	n+f.exaggeration@n+f.hyperbole
अतिशयोक्ति करना	v.exaggerating
अतिशयोक्ति की	v.hyped
अतिशयोक्तिपूर्ण	a.exaggerated@a.hyperbolic@a.campy
अतिशीत	a.cryogenic
अतिशीतलित करना	v.supercool
अतिसंवेदनशील	a.susceptible
अतिसंवेदनशीलता	n+f.hypersensitivity
अतिसक्रिय	a.hyperactive
अतिसक्रियता	n+f.hyperactivity
अतिसरलीकृत	a.simplistic
अतिसूक्ष्म संरचना	n+f.ultrastructure
अतींद्रिय	a.transcendent
अतीत	n+m.past@n+m.bygone
अतीन्द्रियता	n+f.transcendence
अतुलनीय	a.incomparable
अतृप्त	a.insatiable
अत्तिला	n+m.attila
अत्यंत	ad.extremely@ad.bloody@a.drastic@ad.vitally@ad.eminently@ad.supremely
अत्यंत दयनीय	a.abject
अत्यंत प्रसन्न	a.overjoyed
अत्यंत बुरा	a.egregious@a.abysmal
अत्यंत मज़ेदार	a.hilarious
अत्यंत सुंदर ढंग से	ad.exquisitely
अत्यंत सूक्ष्म	a.infinitesimal
अत्यंत हल्का	a.ultralight@a.gossamer
अत्यधिक	ad.highly@a.extreme@a.excessive@a.exceeding@a.overwhelming@ad.overly@a.utmost@a.undue@ad.vastly@ad.immensely@ad.enormously@ad.exceedingly@ad.dearly@ad.grossly@a.extravagant@a.exorbitant@a.inordinate@a.unconscionable
अत्यधिक उपयोग	n+m.overuse
अत्यधिक उपयोग करना	v.overuse
अत्यधिक जनसंख्या	n+f.overpopulation
अत्यधिक बढ़ा	a.overgrown
अत्यधिक रूप से	ad.overwhelmingly@ad.excessively@ad.outrageously
अत्याचार	n+f.tyranny@n+f.atrocities@n+f.atrocity
अत्याचारी	n+m.tyrants@a.tyrannical
अत्यावश्यक	a.urgent@a.pressing
अथक	a.tireless
अथक रूप से	ad.tirelessly
अथाबास्का	n+m.athabasca
अथाह	a.bottomless
अदन	n+m.aden
अदम्य	a.untamed
अदरक	n+f.ginger
अदरक की रोटी	n+m.gingerbread
अदला-बदली	n+m.swap@n+f.swapping@n+m.swaps@a.swapped
अदला-बदली करता है	v.swaps
अदालत	n+m.court
अदालतें	n+f.courts
अदिश	a.scalar
अदिश राशि	n+m.scalar
अदृश्य	a.invisible
अदृश्यता	n+f.invisibility
अदेखा	a.unseen
अदेय	a.inalienable
अद्भुत	a.wonderful@a.amazing@a.fantastic@a.awesome@a.incredible@a.spectacular@a.stunning@a.fabulous@a.dazzling@a.marvellous@a.wondrous@a.stupendous@a.prodigious
अद्भुत तरीके से	ad.wonderfully
अद्भुत भूमि	n+m.wonderland
अद्भुत रूप से	ad.fantastically
अद्वितीय	a.unique@a.singular@a.unparalleled@a.unmatched@a.unsurpassed@a.unrivalled@a.inimitable
अद्वितीयता	n+m.singularities
अधर्मी	a.sinful@a.ungodly
अधात्विक	a.nonmetallic
अधिक	a.more@a.higher@a.greater
अधिक अमीर	a.richer
अधिक आंकना	v.overestimate@v.overestimated
अधिक उत्सुक	a.keener
अधिक कठोर	a.harsher
अधिक कड़ा	a.stiffer
अधिक क़ीमत वाला	a.overpriced
अधिक काम किया	a.overworked
अधिक काला	a.blacker
अधिक कोण	a.obtuse
अधिक कोमल	a.tenderer
अधिक खड़ी	a.steeper
अधिक खुराक	n+f.overdose
अधिक खुश	a.happier
अधिक गंदा	a.messier
अधिक गंभीर	a.graver
अधिक गरम होना	n+m.overheating
अधिक गीला	a.wetter
अधिक गोरा	a.fairer
अधिक गोल	a.rounder
अधिक घना	a.denser
अधिक चतुर	a.smarter
अधिक चमकीला	a.brighter
अधिक छोटा	a.weer
अधिक ठोस	a.sounder
अधिक ढीला	a.looser
अधिक ताज़ा	a.fresher
अधिक तेज	a.sharper
अधिक दबंग	a.bossier
अधिक दुबला	a.leaner
अधिक दुर्लभ	a.rarer
अधिक धनी	a.wealthier
अधिक धुंधला	a.fainter
अधिक नरम	a.gentler
अधिक निष्पक्ष	a.fairer
अधिक पतला	a.slimmer
अधिक पहाड़ी	a.hillier
अधिक फ़िट	a.fitter
अधिक बुद्धिमान	a.wiser
अधिक बोझ डालना	v.overload
अधिक भुगतान	n+m.overpayment
अधिक भुगतान किया	v.overpaid
अधिक मज़बूत	a.firmer
अधिक मजेदार	a.funnier
अधिक महत्वपूर्ण था	v.outweighed
अधिक महत्वपूर्ण है	v.outweighs
अधिक महत्वपूर्ण होना	v.outweigh
अधिक मात्रा लेना	v.overdose
अधिक मित्रवत	a.friendlier
अधिक मीठा	a.sweeter
अधिक मूर्ख	a.dumber
अधिक मोटा	a.fatter
अधिक वजनी	a.overweight
अधिक व्यस्त	a.busier
अधिक शांत	a.quieter@a.tamer@a.calmer
अधिक सख़्त	a.stricter
अधिक सच्चा	a.truer
अधिक सपाट	a.flatter
अधिक सफेद	a.whiter
अधिक समय तक	ad.longer
अधिक साहसी	a.bolder
अधिक सुंदर	a.prettier
अधिक सुरक्षित	a.safer
अधिक सूखा	a.drier
अधिक स्वतंत्र	a.freer
अधिक स्वस्थ	a.healthier
अधिक हरा	a.greener
अधिक हल्का	a.milder
अधिक होना	v.exceed@v.exceeds@v.exceeding@v.exceeded
अधिकतम	a.maximum@n+m.maximum@n+m.max@a.max@n+m.optimum@a.maximal
अधिकतम करता है	v.maximizes
अधिकतम करना	v.maximize@v.maximizing@v.maximise@v.maximising
अधिकतम किया	v.maximized
अधिकतम रूप से	ad.maximally
अधिकतमीकरण	n+f.maximization
अधिकता	n+m.excess@n+f.plethora@n+f.glut
अधिकार	n+m.rights@n+m.right@n+m.entitlement@n+m.droit
अधिकार क्षेत्र	n+m.jurisdiction@n+f.jurisdictions@n+m.remit
अधिकार में होना	v.possess@v.possessing
अधिकारवाची	a.possessive
अधिकारिता	n+f.authority
अधिकारी	n+m.official@n+m.officer@n+m.officials@n+m.officers@n+m.authorities@n+m.executives@n+m.occupant@n+m.execs@n+m.officiants
अधिकृत	a.authorized@a.authorised
अधिकृत करता है	v.authorizes@v.occupies
अधिकृत करना	v.authorised@v.authorize@v.authorizing@v.authorise@v.authorising
अधिकृत किया	v.authorized
अधिक्रमण करता है	v.supersedes
अधिक्रमण करना	v.supersede
अधिग्रहण	n+f.acquisition@n+f.acquisitions@n+m.takeover@n+f.buyout@n+m.takeovers@n+f.expropriation
अधिग्रहण करना	v.acquire
अधिग्रहणकर्ता	n+m.acquirer
अधिग्रहित किया	v.foreclosed
अधिग्रहीत	a.acquired
अधिदेशित	a.mandated
अधिनायकवाद	n+m.totalitarianism
अधिनायकवादी	a.authoritarian@n+m.authoritarian@a.totalitarian
अधिनियम	n+m.act@n+m.enactments
अधिनियमन	n+m.enactment
अधिनियमित करना	v.enacted@v.enact@v.enacting@v.enacts
अधिभार	n+m.overload@n+m.surcharge@n+m.surcharges@n+m.overburden
अधिभार देना	v.overburden
अधिभार लगाना	v.surcharge
अधिभारित करना	v.overloading
अधिभावी	v.overriding
अधिभोग	n+f.occupancy
अधिमानतः	ad.preferably
अधिमान्य	a.preferential
अधिमान्य रूप से	ad.preferentially
अधिमूल्यित	a.overrated
अधिरचना	n+m.superstructure
अधिरोहित करना	v.override
अधिलेखित करना	v.overwrite
अधिवृक्क	a.adrenal
अधिशेष	n+m.surplus@n+m.surpluses
अधिशोषण	n+f.adsorption
अधिशोषित	a.adsorbed
अधिशोषित किया	v.adsorbed
अधिसूचनीय	a.notifiable
अधिसूचित	a.notified
अधीक्षक	n+m.superintendent@n+m.warden@n+m.superintendents@n+m.supt@n+m.overseer
अधीन	a.subject@a.subjected@a.subservient
अधीन करता है	v.subordinates
अधीन करना	v.subjected@v.subordinate@v.subjecting
अधीन किया	v.subordinated
अधीनता	n+f.subordination@n+f.subjection
अधीनस्थ	n+m.inferior@a.subordinate@n+m.subordinate@a.subordinated@n+m.subordinates
अधीर	a.impatient
अधीरता	n+f.impatience
अधीरता से	ad.impatiently
अधूरा	a.incomplete@a.unfinished@a.undone@a.sketchy
अधोगमन	n+f.subduction
अधोबिंदु	n+m.nadir
अधोमुखी	a.downward
अधोलिखित	a.subscript
अधोलेख	n+m.subscripts
अधोसंरचना	a.infra
अधोहस्ताक्षरी	n+m.undersigned
अध्यक्ष	n+m.president@n+m.chairman@n+m.chairperson@n+m.chairmen@n+m.chairpersons
अध्यक्षता	n+f.presidency@n+f.chairmanship
अध्यक्षता करना	v.presiding@v.preside@v.chairing
अध्यक्षता की	v.chaired@v.presided
अध्यक्षा	n+f.chairwoman
अध्यक्षीय	a.presiding
अध्ययन	n+m.study@n+m.studies
अध्ययन करना	v.studying
अध्ययन किया	v.studied
अध्ययनशील	a.studied
अध्यादेश	n+m.ordinance@n+f.ordinances
अध्याय	n+m.chapter@n+m.chapters
अध्यारोपण	n+f.superposition
अध्यारोपित	a.superimposed
अनंत	a.infinite@a.endless@a.limitless@a.unending
अनंत काल	n+f.perpetuity
अनंत काल तक	ad.eternally
अनंत रूप से	ad.infinitely
अनंतता	n+f.infinity@n+f.eternity
अनंतस्पर्शी	a.asymptotic
अनंतस्पर्शी रूप से	ad.asymptotically
अनइंस्टॉल करना	v.uninstall@v.uninstalling
अनइंस्टॉल किया	v.uninstalled
अनइंस्टॉलर	n+m.uninstaller
अनकहा	a.untold@a.unspoken
अनखोजा	a.uncharted
अनगिनत	a.countless@n+m.zillion
अनचाहा	a.unsolicited
अनज़िप करना	v.unzip
