12	n.twelve
Akron	n.akron
Aladdin	n.aladdin
Alameda	n.alameda
Alamo	n.alamo
Alamogordo	n.alamogordo
Alan	n.alan
Alana	n.alana
Alba	n.alba
Alban	n.alban
Albania	n.albania@a.albanian
Albany	n.albany
Albee	n.albee
Albemarle	n.albemarle
Albert	n.albert
Alberta	n.alberta
Alberto	n.alberto
Albion	n.albion
Albright	n.albright
Albuquerque	n.albuquerque
Alcatraz	n.alcatraz
Alcoa	n.alcoa
Alcott	n.alcott
Alden	n.alden
Aldershot	n.aldershot
Aldo	n.aldo
Alec	n.alec
Alejandro	n.alejandro
Aleutian	a.aleutian
Alexandra	n.alexandra
Alexandria	n.alexandria
Alexei	n.alexei
Alexia	n.alexia
Alexis	n.alexis
Alfonso	n.alfonso
Alford	n.alford
Alfred	n.alfred
Alfredo	n.alfredo
Alger	n.alger
Algeria	n.algeria
Algiers	n.algiers
Algonquin	n.algonquin
Alhambra	n.alhambra
Ali	n.ali
Alicante	n.alicante
Alice	n.alice
Alicia	n.alicia
Aline	n.aline
Alisa	n.alisa
Alisha	n.alisha
Alison	n.alison
Alissa	n.alissa
Alistair	n.alistair
Allah	n.allah
Allahabad	n.allahabad
Allan	n.allan
Allegheny	n.allegheny
Allegra	n.allegra
Allen	n.allen
Allende	n.allende
Allentown	n.allentown
Allie	n.allie
Allison	n.allison
Allstate	n.allstate
Allyn	n.allyn
Allyson	n.allyson
Alma	n.alma
Almaty	n.almaty
Alonzo	n.alonzo
Alpert	n.alpert
Alphonse	n.alphonse
Alps	n.alps
Alsace	n.alsace
Alston	n.alston
Alta	n.alta
Altair	n.altair
Altman	n.altman
Alton	n.alton
Altona	n.altona
Altoona	n.altoona
Alva	n.alva
Alvarado	n.alvarado
Alvarez	n.alvarez
Alvaro	n.alvaro
Alvin	n.alvin
Alyson	n.alyson
Alyssa	n.alyssa
Alzheimer	n.alzheimer
Amadeus	n.amadeus
Amanda	n.amanda
Amarillo	n.amarillo
Amazon	n.amazons
Amber	n.amber
Ambler	n.ambler
Ambrose	n.ambrose
Amelia	n.amelia
Amer	n.amer
Americana	n.americana
Amherst	n.amherst
Ami	n.ami
Amie	n.amie
Amiga	n.amiga
Amin	n.amin
Amir	n.amir
Amis	n.amis
Amish	n.amish
Amman	n.amman
Ammon	n.ammon
Amoco	n.amoco
Amon	n.amon
Amor	n.amor
Amos	n.amos
Amritsar	n.amritsar
Amsterdam	n.amsterdam
Amtrak	n.amtrak
Amway	n.amway
Amy	n.amy
Ana	n.ana
Anaheim	n.anaheim
Anas	n.anas
Anastasia	n.anastasia
Anatole	n.anatole
Anatolia	n.anatolia@a.anatolian
Anchorage	n.anchorage
Ancona	n.ancona
Andalusia	n.andalusia
Andaman	n.andaman
Andersen	n.andersen
Andes	n.andes@a.andean
Andorra	n.andorra@a.andorran
Andre	n.andre
Andrea	n.andrea
Andrei	n.andrei
Andres	n.andres
Andretti	n.andretti
Andrews	n.andrews
Android	n.android
Andromeda	n.andromeda
Andros	n.andros
Ane	n.ane
Angela	n.angela
Angelica	n.angelica
Angelina	n.angelina
Angeline	n.angeline
Angelique	n.angelique
Angell	n.angell
Angelo	n.angelo
Angelou	n.angelou
Angie	n.angie
Angkor	n.angkor
Anglesey	n.anglesey
Anglia	n.anglia
Anglo	a.anglo
Angola	a.angolan@n.angola
Anguilla	n.anguilla
Angus	n.angus
Anh	a.brit@a.anglian@n.britain
Anh giáo	a.anglican@n.anglican
Anil	n.anil
Animas	n.animas
Anita	n.anita
Anjou	n.anjou
Ankara	n.ankara
Anna	n.anna
Annabel	n.annabel
Annabelle	n.annabelle
Annapolis	n.annapolis
Annecy	n.annecy
Annenberg	n.annenberg
Annette	n.annette
Annie	n.annie
Anselm	n.anselm
Anselmo	n.anselmo
Antalya	n.antalya
Antares	n.antares
Antibes	n.antibes
Antigone	n.antigone
Antigua	n.antigua
Antilles	n.antilles
Antioch	n.antioch
Antoine	n.antoine
Antoinette	n.antoinette
Anton	n.anton
Antonia	n.antonia
Antonio	n.antonio
Antony	n.antony
Antrim	n.antrim
Antwerp	n.antwerp
Anu	n.anu
Anubis	n.anubis
Aphrodite	n.aphrodite
Apis	n.apis
Apollo	n.apollo
Appalachia	n.appalachia
Appel	n.appel
Appleseed	n.appleseed
Appleton	n.appleton
Aquarius	n.aquarius
Aquila	n.aquila
Aquinas	n.aquinas
Aquino	n.aquino
Aquitaine	n.aquitaine
Ara	n.ara
Arabella	n.arabella
Arachne	n.arachne
Arad	n.arad
Arafat	n.arafat
Aragon	n.aragon
Aram	n.aram
Ararat	n.ararat
Arcadia	n.arcadia
Archibald	n.archibald
Archie	n.archie
Archimedes	n.archimedes
Ard	n.ard
Arden	n.arden
Ards	n.ards
Arequipa	n.arequipa
Ares	n.ares
Arezzo	n.arezzo
Argent	n.argent
Argentina	a.argentinian@a.argentinean
Argo	n.argo
Argonne	n.argonne
Argos	n.argos
Argosy	n.argosy
Argus	n.argus
Argyle	n.argyle
Argyll	n.argyll
Ariadne	n.ariadne
Arian	a.arian
Ariel	n.ariel
Aries	n.aries
Arista	n.arista
Aristotle	n.aristotle
Arizona	n.ariz
Arjuna	n.arjuna
Ark	n.ark
Arkansas	n.arkansas
Arlen	n.arlen
Arlene	n.arlene
Arles	n.arles
Arlington	n.arlington
Arlo	n.arlo
Armageddon	n.armageddon
Armagh	n.armagh
Armand	n.armand
Armando	n.armando
Armani	n.armani
Armeni	a.armenian
Armenia	n.armenia
Armstrong	n.armstrong
Arne	n.arne
Arnhem	n.arnhem
Arno	n.arno
Arnold	n.arnold
Aron	n.aron
Arpanet	n.arpanet
Arran	n.arran
Arroyo	n.arroyo
Arsenal	n.arsenal
Artemis	n.artemis
Arthur	n.arthur
Artie	n.artie
Arturo	n.arturo
Aruba	n.aruba
Arundel	n.arundel
Aryan	a.aryan
Ascot	n.ascot
Ashanti	n.ashanti
Ashcroft	n.ashcroft
Ashe	n.ashe
Asher	n.asher
Ashford	n.ashford
Ashkenazi	a.ashkenazi
Ashlee	n.ashlee
Ashley	n.ashley
Ashton	n.ashton
Asimov	n.asimov
Aspell	n.aspell
Aspen	n.aspen
Asperger	n.asperger
Assad	n.assad
Assam	n.assam
Assisi	n.assisi
Assyria	a.assyrian@n.assyria
Astaire	n.astaire
Asti	n.asti
Aston	n.aston
Astor	n.astor
Astoria	n.astoria
Astrid	n.astrid
Asturias	n.asturias
Aswan	n.aswan
Atacama	n.atacama
Atari	n.atari
Aten	n.aten
Athabasca	n.athabasca
Athena	n.athena
Athens	n.athens@a.athenian
Atkins	n.atkins
Atkinson	n.atkinson
Atlantis	n.atlantis
Atlas	n.atlas
Attica	n.attica
Attila	n.attila
Atty	n.atty
Atwood	n.atwood
Aubrey	n.aubrey
Auburn	n.auburn
Auckland	n.auckland
Audi	n.audi
Audra	n.audra
Audrey	n.audrey
Audubon	n.audubon
Auger	n.auger
Augsburg	n.augsburg
Augusta	n.augusta
Augustine	n.augustine
Augustus	n.augustus
Aurangabad	n.aurangabad
Aurelia	n.aurelia
Aurelius	n.aurelius
Aureus	n.aureus
Aurora	n.aurora
Auschwitz	n.auschwitz
Austen	n.austen
Australasia	n.australasia
Auvergne	n.auvergne
Ava	n.ava
Avalon	n.avalon
Avengers	n.avengers
Avery	n.avery
Aves	n.aves
Avignon	n.avignon
Avila	n.avila
Avis	n.avis
Avon	n.avon
Ayala	n.ayala
Ayer	n.ayer
Ayers	n.ayers
Aylesbury	n.aylesbury
Ayr	n.ayr
Ayrshire	n.ayrshire
Ayurveda	n.ayurveda
Azerbaijan	a.azerbaijani@n.azerbaijan
Azores	n.azores
Aztec	n.aztec
BBL	n.bbl
BIOS	n.bios
BOD	n.bod
BOL	n.bol
BPM	n.bpm
BPS	n.bps
BTU	n.btu
Ba Lan	a.polish
Ba Tư	n.persia@a.persian
Baal	n.baal
Baba	n.baba
Babbitt	n.babbitt
Babel	n.babel
Babylon	a.babylonian@n.babylon
Bacardi	n.bacardi
Bacchus	n.bacchus
Bach	n.bach
Backstreet	n.backstreet
Backus	n.backus
Baden	n.baden
Baez	n.baez
Baffin	n.baffin
Baghdad	n.baghdad
Bahama	n.bahama
Bahamas	n.bahamas@a.bahamian
Bahia	n.bahia
Bahrain	a.bahraini@n.bahrain
Baikal	n.baikal
Bailey	n.bailey
Baileys	n.baileys
Baird	n.baird
Baker	n.baker
Bakersfield	n.bakersfield
Baku	n.baku
Bal	n.bal
Bala	n.bala
Balboa	n.balboa
Baldwin	n.baldwin
Balearic	a.balearic
Balenciaga	n.balenciaga
Balfour	n.balfour
Bali	a.balinese@n.bali
Balkan	a.balkan
Balkans	n.balkans
Ballarat	n.ballarat
Ballard	n.ballard
Ballymena	n.ballymena
Balmoral	n.balmoral
Baltic	a.baltic
Baltimore	n.baltimore
Balzac	n.balzac
Bamako	n.bamako
Bamberg	n.bamberg
Bambi	n.bambi
Banach	n.banach
Banbury	n.banbury
Banc	n.banc
Bancroft	n.bancroft
Banda	n.banda
Bandung	n.bandung
Banff	n.banff
Bangalore	n.bangalore
Bangkok	n.bangkok
Bangladesh	n.bangladesh@a.bangladeshi
Bangor	n.bangor
Bannister	n.bannister
Baptist	n.baptist@a.baptist
Baptiste	n.baptiste
Barack	n.barack
Barb	n.barb
Barbados	n.barbados
Barbary	n.barbary
Barbera	n.barbera
Barbie	n.barbie
Barbour	n.barbour
Barbra	n.barbra
Barbuda	n.barbuda
Barca	n.barca
Barcelona	n.barcelona
Barclay	n.barclay
Barclays	n.barclays
Bareilly	n.bareilly
Barents	n.barents
Bari	n.bari
Barker	n.barker
Barkley	n.barkley
Barlow	n.barlow
Barnabas	n.barnabas
Barnaby	n.barnaby
Barnard	n.barnard
Barnes	n.barnes
Barnet	n.barnet
Barnett	n.barnett
Barney	n.barney
Barnsley	n.barnsley
Barnum	n.barnum
Baroda	n.baroda
Barr	n.barr
Barre	n.barre
Barrera	n.barrera
Barrett	n.barrett
Barrie	n.barrie
Barron	n.barron
Barros	n.barros
Barrow	n.barrow
Barry	n.barry
Barrymore	n.barrymore
Bart	n.bart
Barth	n.barth
Bartholomew	n.bartholomew
Bartlett	n.bartlett
Barton	n.barton
Baruch	n.baruch
Basel	n.basel
Bash	n.bash
Basie	n.basie
Basildon	n.basildon
Baskerville	n.baskerville
Basra	n.basra
Bastille	n.bastille
Batavia	n.batavia
Bates	n.bates
Bathurst	n.bathurst
Batista	n.batista
Batman	n.batman
Baudelaire	n.baudelaire
Bauer	n.bauer
Bauhaus	n.bauhaus
Baum	n.baum
Bavaria	n.bavaria@a.bavarian
Bax	n.bax
Baxter	n.baxter
Bayard	n.bayard
Bayer	n.bayer
Bayern	n.bayern
Bayes	n.bayes
Bayesian	a.bayesian
Baylor	n.baylor
Bayonne	n.bayonne
Baywatch	n.baywatch
Beaconsfield	n.beaconsfield
Beardsley	n.beardsley
Beasley	n.beasley
Beatles	n.beatles
Beatrice	n.beatrice
Beatrix	n.beatrix
Beatriz	n.beatriz
Beatty	n.beatty
Beaufort	n.beaufort
Beaumont	n.beaumont
Beauregard	n.beauregard
Beaverton	n.beaverton
Bechtel	n.bechtel
Beck	n.beck
Becker	n.becker
Becket	n.becket
Beckett	n.beckett
Becky	n.becky
Bede	n.bede
Bedford	n.bedford
Bedfordshire	n.bedfordshire
Beebe	n.beebe
Beecher	n.beecher
Beethoven	n.beethoven
Beirut	n.beirut
Bela	n.bela
Belarus	n.belarus
Belfast	n.belfast
Belgrade	n.belgrade
Belgravia	n.belgravia
Belinda	n.belinda
Belize	n.belize
Bella	n.bella
Bellamy	n.bellamy
Bellevue	n.bellevue
Bellini	n.bellini
Bellman	n.bellman
Belmont	n.belmont
Belushi	n.belushi
Belvedere	n.belvedere
Ben	n.bens
Bender	n.bender
Bendigo	n.bendigo
Bendix	n.bendix
Benedict	n.benedict
Benelux	n.benelux
Benet	n.benet
Benetton	n.benetton
Beng	n.beng
Bengal	n.bengal
Bengals	n.bengals
Beni	n.beni
Benin	n.benin
Benito	n.benito
Benjamin	n.benjamin@n.benjamins
Bennet	n.bennet
Bennett	n.bennett
Bennie	n.bennie
Bennington	n.bennington
Benny	n.benny
Benson	n.benson
Bentley	n.bentley
Benton	n.benton
Benz	n.benz
Beowulf	n.beowulf
Berchtesgaden	n.berchtesgaden
Beretta	n.beretta
Berg	n.berg
Bergamo	n.bergamo
Bergen	n.bergen
Berger	n.berger
Bergerac	n.bergerac
Bergman	n.bergman
Bering	n.bering
Berkeley	n.berkeley
Berks	n.berks
Berkshire	n.berkshire
Berkshires	n.berkshires
Berlioz	n.berlioz
Berlitz	n.berlitz
Bermuda	n.bermuda@a.bermudian
Bern	n.bern
Bernadette	n.bernadette
Bernanke	n.bernanke
Bernard	n.bernard
Bernardo	n.bernardo
Berne	a.bernese
Bernhard	n.bernhard
Bernhardt	n.bernhardt
Bernice	n.bernice
Bernie	n.bernie
Bernoulli	n.bernoulli
Bernstein	n.bernstein
Berra	n.berra
Berry	n.berry
Bert	n.bert
Bertha	n.bertha
Bertie	n.bertie
Bertram	n.bertram
Bertrand	n.bertrand
Berwick	n.berwick
Beryl	n.beryl
Bess	n.bess
Bessel	n.bessel
Bessemer	n.bessemer
Bessie	n.bessie
Beth	n.beth
Bethany	n.bethany
Bethel	n.bethel
Bethesda	n.bethesda
Bethlehem	n.bethlehem
Bethune	n.bethune
Betsey	n.betsey
Betsy	n.betsy
Bette	n.bette
Bettie	n.bettie
Betty	n.betty
Beulah	n.beulah
Bevan	n.bevan
Beveridge	n.beveridge
Beverley	n.beverley
Beverly	n.beverly
Bexley	n.bexley
Bharat	n.bharat
Bhopal	n.bhopal
Bhutan	n.bhutan
Biafra	n.biafra
Bianca	n.bianca
Biarritz	n.biarritz
Bibb	n.bibb
Bic	n.bic
Biddle	n.biddle
Biden	n.biden
Biel	n.biel
Bielefeld	n.bielefeld
Bigfoot	n.bigfoot
Bihar	n.bihar
Bikaner	n.bikaner
Bilbao	n.bilbao
Bilbo	n.bilbo
Billie	n.billie
Billings	n.billings
Billiton	n.billiton
Billy	n.billy
Biloxi	n.biloxi
Bimini	n.bimini
Bingham	n.bingham
Birkenhead	n.birkenhead
Birkenstock	n.birkenstock
Biscayne	n.biscayne
Bishkek	n.bishkek
Bismarck	n.bismarck
Bissau	n.bissau
BitTorrent	n.bittorrent
Bizet	n.bizet
Bjork	n.bjork
BlackBerry	n.blackberry
Blackburn	n.blackburn
Blackfoot	n.blackfoot
Blackpool	n.blackpool
Blackstone	n.blackstone
Blackwell	n.blackwell
Blackwood	n.blackwood
Blaine	n.blaine
Blair	n.blair
Blake	n.blake
Blanc	n.blanc
Blanca	n.blanca
Blanchard	n.blanchard
Blanche	n.blanche
Blankenship	n.blankenship
Blenheim	n.blenheim
Blevins	n.blevins
Bligh	n.bligh
Bloch	n.bloch
Bloemfontein	n.bloemfontein
Blok	n.blok
Blondie	n.blondie
Bloodhound	n.bloodhound
Bloomfield	n.bloomfield
Bloomingdale	n.bloomingdale
Bloomington	n.bloomington
Bloomsbury	n.bloomsbury
Blu	n.blu
Blum	n.blum
Blythe	n.blythe
Boaz	n.boaz
Bobbi	n.bobbi
Bobbie	n.bobbie
Bobby	n.bobby
Bochum	n.bochum
Bock	n.bock
Bode	n.bode
Bodoni	n.bodoni
Boeing	n.boeing
Boer	n.boer
Bogart	n.bogart
Bogle	n.bogle
Bogotá	n.bogota
Bohemia	n.bohemia
Bohr	n.bohr
Boise	n.boise
Bolivar	n.bolivar
Bolivia	n.bolivia
Bollywood	n.bollywood
Bologna	n.bologna
Bolshevik	n.bolshevik
Bolton	n.bolton
Boltzmann	n.boltzmann
Bolzano	n.bolzano
Bombay	n.bombay
Bonaire	n.bonaire
Bonaparte	n.bonaparte
Bonaventure	n.bonaventure
Boniface	n.boniface
Bonita	n.bonita
Bonn	n.bonn
Bonne	n.bonne
Bonner	n.bonner
Bonneville	n.bonneville
Bonnie	n.bonnie
Bono	n.bono
Booker	n.booker
Bookman	n.bookman
Boone	n.boone
Bora	n.bora
Bordeaux	n.bordeaux
Borden	n.borden
Borg	n.borg
Borges	n.borges
Borghese	n.borghese
Boris	n.boris
Bork	n.bork
Borneo	n.borneo
Bosch	n.bosch
Bose	n.bose
Bosnia	n.bosnia
Boswell	n.boswell
Botha	n.botha
Botswana	n.botswana
Bott	n.bott
Boucher	n.boucher
Boulder	n.boulder
Boulogne	n.boulogne
Bourgogne	n.bourgogne
Bourne	n.bourne
Bournemouth	n.bournemouth
Bowen	n.bowen
Bowers	n.bowers
Bowery	n.bowery
Bowie	n.bowie
Bowman	n.bowman
Boyd	n.boyd
Boyer	n.boyer
Boyle	n.boyle
Boyne	n.boyne
Boz	n.boz
Brabant	n.brabant
Bracknell	n.bracknell
Brad	n.brad
Bradbury	n.bradbury
Braddock	n.braddock
Bradford	n.bradford
Bradley	n.bradley
Bradshaw	n.bradshaw
Bradstreet	n.bradstreet
Brady	n.brady
Braga	n.braga
Bragg	n.bragg
Brahma	n.brahma
Brahms	n.brahms
Brampton	n.brampton
Brandeis	n.brandeis
Branden	n.branden
Brandenburg	n.brandenburg
Brandi	n.brandi
Brando	n.brando
Brandon	n.brandon
Brandt	n.brandt
Brant	n.brant
Brantford	n.brantford
Brasil	n.brasil
Brasilia	n.brasilia
Bratislava	n.bratislava
Braun	n.braun
Braunschweig	n.braunschweig
Braves	n.braves
Bray	n.bray
Brazil	a.brazilian
Brazos	n.brazos
Brazzaville	n.brazzaville
Brecht	n.brecht
Breckenridge	n.breckenridge
Breda	n.breda
Bree	n.bree
Bremen	n.bremen
Brenda	n.brenda
Brendan	n.brendan
Brennan	n.brennan
Brenner	n.brenner
Brent	n.brent
Brenton	n.brenton
Brentwood	n.brentwood
Brescia	n.brescia
Brest	n.brest
Bret	n.bret
Bretagne	n.bretagne
Breton	n.breton
Brett	n.brett
Breuer	n.breuer
Brewster	n.brewster
Breyer	n.breyer
Briana	n.briana
Brianna	n.brianna
Brice	n.brice
Bridgeport	n.bridgeport
Bridger	n.bridger
Bridget	n.bridget
Bridgetown	n.bridgetown
Bridgette	n.bridgette
Briggs	n.briggs
Brigham	n.brigham
Brighton	n.brighton
Brigid	n.brigid
Brigitte	n.brigitte
Brill	n.brill
Brinkley	n.brinkley
Brisbane	n.brisbane
Bristol	n.bristol
Britannia	n.britannia
Britannica	n.britannica
Britney	n.britney
Britt	n.britt
Brittany	n.brittany
Britten	n.britten
Brittney	n.brittney
Brno	n.brno
Broadway	n.broadway
Brock	n.brock
Brockton	n.brockton
Brodsky	n.brodsky
Brogan	n.brogan
Brokaw	n.brokaw
Bromley	n.bromley
Broncos	n.broncos
Bronson	n.bronson
Bronte	n.bronte
Bronx	n.bronx
Brooke	n.brooke
Brookes	n.brookes
Brooklyn	n.brooklyn
Brooks	n.brooks
Bros	n.bros
Brougham	n.brougham
Brown	a.brownian
Browne	n.browne
Browning	n.browning
Browns	n.browns
Brownsville	n.brownsville
Brubeck	n.brubeck
Bruce	n.bruce
Bruckner	n.bruckner
Bruges	n.bruges
Bruins	n.bruins
Brunei	n.brunei
Brunel	n.brunel
Bruno	n.bruno
Brunswick	n.brunswick
Brussels	n.brussels
Brutus	n.brutus
Bruxelles	n.bruxelles
Bryan	n.bryan
Bryant	n.bryant
Bryce	n.bryce
Bubba	n.bubba
Buccaneers	n.buccaneers
Buchan	n.buchan
Buchanan	n.buchanan
Bucharest	n.bucharest
Buckeyes	n.buckeyes
Buckingham	n.buckingham
Buckinghamshire	n.buckinghamshire
Buckley	n.buckley
Buckner	n.buckner
Bud	n.bud
Budapest	n.budapest
Budweiser	n.budweiser
Buffy	n.buffy
Buford	n.buford
Bugatti	n.bugatti
Bugzilla	n.bugzilla
Buhl	n.buhl
Buick	n.buick
Bulfinch	n.bulfinch
Bulgari	n.bulgari
Bulgaria	n.bulgaria@a.bulgarian
Bullock	n.bullock
Buncombe	n.buncombe
Bungari	n.bulgaria
Bunyan	n.bunyan
Burbank	n.burbank
Burberry	n.burberry
Burch	n.burch
Burgas	n.burgas
Burgess	n.burgess
Burgos	n.burgos
Burke	n.burke
Burks	n.burks
Burleigh	n.burleigh
Burley	n.burley
Burlington	n.burlington
Burma	n.burma
Burnaby	n.burnaby
Burnet	n.burnet
Burnett	n.burnett
Burney	n.burney
Burnley	n.burnley
Burns	n.burns
Burnside	n.burnside
Burr	n.burr
Burris	n.burris
Burroughs	n.burroughs
Bursa	n.bursa
Burt	n.burt
Burton	n.burton
Burundi	n.burundi
Busch	n.busch
Bushnell	n.bushnell
Buster	n.buster
Butch	n.butch
Bute	n.bute
Butler	n.butler
Byblos	n.byblos
Byers	n.byers
Byrd	n.byrd
Byron	n.byron
Byzantine	a.byzantine
Byzantium	n.byzantium
Bà La Môn	n.brahman
Bình Nhưỡng	n.pyongyang
Bảo Bình	a.aquarian
Bắc Cực	a.arctic@n.arctic
Bắc Kinh	n.peking@n.beijing
Bắc Âu	a.nordic
Bỉ	a.belgian
Bồ Đào Nha	a.portuguese
CAD	n.cad
CAV	n.cav
CDR	n.cdr
CEN	n.cen
CESS	n.cess
CHG	n.chg
CHM	n.chm
CHS	n.chs
CID	n.cid
CIT	n.cit
CIV	n.civ
CML	n.cml
COBOL	n.cobol
COD	n.cod
COMPS	n.comps
CONC	n.conc
CPD	n.cpd
CPL	n.cpl
CPS	n.cps
CRIT	n.crit
CSC	n.csc
CTS	n.cts
CWT	n.cwt
Cablevision	n.cablevision
Cabot	n.cabot
Cabrera	n.cabrera
Cade	n.cade
Cadillac	n.cadillac
Cadiz	n.cadiz
Caen	n.caen
Caerphilly	n.caerphilly
Caesar	n.caesars@n.caesar
Cagliari	n.cagliari
Cagney	n.cagney
Cain	n.cain
Caine	n.caine
Cairns	n.cairns
Cairo	n.cairo
Caithness	n.caithness
Caitlin	n.caitlin
Cajun	a.cajun
Cal	n.cal
Calabria	n.calabria
Calais	n.calais
Calcutta	n.calcutta
Calder	n.calder
Calderon	n.calderon
Caldwell	n.caldwell
Caleb	n.caleb
Caledonia	n.caledonia
Caledonian	a.caledonian
Calgary	n.calgary
Calhoun	n.calhoun
Cali	n.cali
Calicut	n.calicut
Calif	n.calif
Caligula	n.caligula
Callaghan	n.callaghan
Callahan	n.callahan
Callas	n.callas
Callie	n.callie
Calliope	n.calliope
Callisto	n.callisto
Calvary	n.calvary
Calvert	n.calvert
Calvin	n.calvin
Calypso	n.calypso
Camacho	n.camacho
Cambri	n.cambrian
Cambria	n.cambria
Cambridge	n.cambridge
Cambridgeshire	n.cambridgeshire
Camden	n.camden
Camelot	n.camelot
Cameron	n.cameron
Cameroon	n.cameroon
Camilla	n.camilla
Camille	n.camille
Campania	n.campania
Campbell	n.campbell
Campion	n.campion
Campo	n.campo
Campos	n.campos
Campuchia	n.cambodia
Camry	n.camry
Camus	n.camus
Cana	n.cana
Canaan	n.canaan
Canaveral	n.canaveral
Canberra	n.canberra
Cancun	n.cancun
Candace	n.candace
Candice	n.candice
Candida	n.candida
Candler	n.candler
Candlewood	n.candlewood
Canfield	n.canfield
Cannes	n.cannes
Canopus	n.canopus
Canterbury	n.canterbury
Canton	n.canton
Cantor	n.cantor
Cantrell	n.cantrell
Canucks	n.canucks
Cape Town	n.capetown
Capella	n.capella
Capistrano	n.capistrano
Capone	n.capone
Capote	n.capote
Cappadocia	n.cappadocia
Capra	n.capra
Capri	n.capri
Capt	n.capt
Cara	n.cara
Caracas	n.caracas
Carcassonne	n.carcassonne
Cardenas	n.cardenas
Cardiff	n.cardiff
Cardin	n.cardin
Carew	n.carew
Carey	n.carey
Caribbean	a.caribbean
Carina	n.carina
Caritas	n.caritas
Carl	n.carl
Carla	n.carla
Carleton	n.carleton
Carlin	n.carlin
Carling	n.carling
Carlisle	n.carlisle
Carlo	n.carlo
Carlos	n.carlos
Carlow	n.carlow
Carlsbad	n.carlsbad
Carlson	n.carlson
Carlton	n.carlton
Carly	n.carly
Carlyle	n.carlyle
Carman	n.carman
Carmarthen	n.carmarthen
Carmarthenshire	n.carmarthenshire
Carmel	n.carmel
Carmelo	n.carmelo
Carmen	n.carmen
Carmichael	n.carmichael
Carnarvon	n.carnarvon
Carnegie	n.carnegie
Carney	n.carney
Carol	n.carol
Carole	n.carole
Carolinas	n.carolinas
Caroline	n.caroline
Carolyn	n.carolyn
Carr	n.carr
Carrara	n.carrara
Carrefour	n.carrefour
Carreras	n.carreras
Carrie	n.carrie
Carrillo	n.carrillo
Carroll	n.carroll
Carson	n.carson
Cartagena	n.cartagena
Carter	n.carters@n.carter
Carteret	n.carteret
Cartes	n.cartes
Carthage	n.carthage
Cartier	n.cartier
Cartwright	n.cartwright
Caruso	n.caruso
Carver	n.carver
Cary	n.cary
Casablanca	n.casablanca
Casanova	n.casanova
Casey	n.casey
Casio	n.casio
Caspar	n.caspar
Casper	n.casper
Caspian	n.caspian
Cassandra	n.cassandra
Cassel	n.cassel
Cassidy	n.cassidy
Cassie	n.cassie
Cassiopeia	n.cassiopeia
Cassius	n.cassius
Castile	n.castile
Castilla	n.castilla
Castillo	n.castillo
