অ	a.non
অক্ষম	a.unable@a.incapable@a.incompetent@a.unfit@a.powerless@a.incapacitated@a.impotent
অক্ষম করা	v.disable@v.crippling
অক্ষম করা হয়েছিল	v.incapacitated
অক্ষম করা হয়েছে	v.disabled
অক্ষম করে	vt.disables
অক্ষম করেছিল	v.crippled
অক্ষম হওয়া	vi.defaults
অক্ষমকারী	a.disabling
অক্ষমতা	n+f.disability@n+f.disabilities@n+f.inability@n+f.handicap@n+f.impotence@n+m.impairments@n+m.incompetence@n+f.incapacity@n+f.invalidity
অক্ষমাযোগ্য	a.unexcused
অক্ষর	n+m.letter@n+m.character@n+m.letters@n+m.characters@n+m.char@n+m.chars@n+m.syllable@n.syllables
অক্ষর অনুযায়ী	a.literal
অক্ষরাঙ্কন	n+m.lettering
অক্ষরাঙ্কিত	a.lettered
অক্ষরে অক্ষরে	ad.verbatim
অক্ষরের ধরন	n+f.typefaces
অক্ষরের শেষ রেখা	n+f.serif
অক্ষাংশ	n+m.lat@n+f.latitude@n.latitudes
অক্ষিগোলক	n+f.eyeball
অক্ষিপট	n+f.retina
অক্ষিপট সংক্রান্ত	a.retinal
অক্ষীয়	a.axial
অক্ষুব্ধ	a.undisturbed
অক্সনার্ড	n+m.oxnard
অক্সফোর্ড	n+m.oxford
অক্সফোর্ড জুতা	n+m.oxfords
অক্সফোর্ডশায়ার	n+m.oxfordshire
অক্সবো	n+m.oxbow
অক্সব্রিজ	n+m.oxbridge
অক্সাইড	n+m.oxide@n+m.oxides
অক্সিকন্টিন	n+m.oxycontin
অক্সিজেন	n+m.oxygen
অক্সিজেন সরবরাহ	n+m.oxygenation
অক্সিজেন স্বল্পতা	n+f.hypoxia
অক্সিজেনবিহীন	a.anaerobic
অক্সিজেনযুক্ত করা হয়েছে	v.oxygenated
অক্সিজেনসমৃদ্ধ	a.oxygenated
অক্সিজেনেশন	n+f.oxygenation
অক্সিটোসিন	n+m.oxytocin
অক্সিডাইজড হল	v.oxidized
অক্সিডেজ	n+m.oxidase
অক্সিডেটিভ	a.oxidative
অক্সিডেশন	n+m.oxidation
অক্সিড্যান্ট	n+m.oxidants
অক্সিমোরন	n+m.oxymoron
অখণ্ড	a.indivisible
অখণ্ড অংশ	n.integrals
অখণ্ডতা	n+m.integrity@n+f.wholeness
অখণ্ডনীয়	a.indisputable
অখাদ্য খাওয়ার প্রবণতা	n+f.pica
অখ্যাতি	n+f.obscurity
অগণতান্ত্রিক	a.undemocratic
অগণিত	a.countless@a.myriad@a.untold@n+m.zillion@a.innumerable@a.unnumbered@a.unaccounted
অগভীর	a.shallow@a.superficial@a.facile
অগভীর জল	n.shoals@n+m.shoal
অগভীর জায়গা	n+m.fords
অগভীরভাবে	ad.superficially
অগম্য	a.inaccessible
অগসবার্গ	n+m.augsburg
অগার	n+m.auger
অগাস্টা	n+f.augusta
অগাস্টাস	n+m.augustus
অগাস্টিন	n+m.augustine@n+m.agustin
অগীত	a.unsung
অগোচর	a.invisible
অগোছালো	a.messy@a.sloppy@a.messed@a.disorderly@a.unordered
অগোছালো করা	vt.clutter
অগ্নি	n+f.flame@n+m.agni
অগ্নি নির্বাপক	a.firefighting
অগ্নিকাণ্ড	n+m.inferno
অগ্নিকুণ্ড	n+m.fireplace@n+f.fireplaces@n+m.bonfire@n+m.ingle
অগ্নিকৌশল	n+f.pyrotechnics
অগ্নিঝড়	n+m.firestorm
অগ্নিনির্বাপক	n+m.firefighters@n+m.firefighter@n+m.fireman@n+m.extinguisher@n+m.firemen
অগ্নিনির্বাপক যন্ত্র	n+m.extinguishers
অগ্নিনির্বাপণ	n+m.firefighting
অগ্নিময়	a.fiery
অগ্নিরোধক	a.fireproof
অগ্নিশক্তি	n+m.firepower
অগ্নিসংযোগ	n+m.arson
অগ্নিসংযোগকারী	a.incendiary@n+m.incendiary
অগ্নিসংস্কারকৃত	a.cremated
অগ্ন্যাশয়	n+m.pancreas
অগ্ন্যাশয় সম্বন্ধীয়	a.pancreatic
অগ্ন্যাশয়ের প্রদাহ	n+f.pancreatitis
অগ্ন্যুদ্গার মুখ	n+f.crater
অগ্ন্যুৎপাত	n+f.eruption@n+f.eruptions
অগ্ন্যুৎপাত সংক্রান্ত	a.volcanic
অগ্ন্যুৎপাত হওয়া	v.erupt
অগ্ন্যুৎপাত হয়	v.erupts
অগ্ন্যুৎপাত হয়েছিল	v.erupted
অগ্রক্রয়	n+f.preemption
অগ্রগতি	n+m.progress@n+f.developments@n+f.advances@n+f.advancement@n+f.progression@n+m.progresses@n.breakthroughs@n.advancements@n+m.headway@n+f.furtherance@n+m.inroads@n+f.progressions
অগ্রগামী বাহিনী	n+m.vanguard
অগ্রণী	a.frontline@a.pioneering@a.groundbreaking@a.preeminent
অগ্রণী ছিল	v.pioneered@v.spearheaded
অগ্রত্বক	n+m.foreskin
অগ্রদূত	n+m.pioneer@n+m.precursor@n+m.pioneers@n.precursors@n+m.trailblazer@n+m.forerunner@n+m.harbinger@n+m.trailblazers
অগ্রবর্তী	a.onward
অগ্রভাগ	n+m.forefront
অগ্রভূমি	n+m.foreground
অগ্রসক্রিয়	a.proactive
অগ্রসর	a.advanced@a.edgy
অগ্রসর করছে	v.furthering
অগ্রসর হওয়া	v.progress@v.advance@v.proceed@v.heading@v.headed@v.advances@v.proceeded
অগ্রসর হচ্ছে	v.progressing
অগ্রসর হয়	vi.progresses
অগ্রসর হয়েছে	v.progressed
অগ্রসরমান	ad.underway@a.advancing
অগ্রসেনা	n+f.vanguard
অগ্রহণযোগ্য	a.objectionable@a.unacceptable@a.inadmissible
অগ্রাধিকার	n+f.priority@n+m.preferences@n+f.priorities@n+m.preference@n+f.precedence@n+m.overrides
অগ্রাধিকার দিচ্ছে	v.prioritizing
অগ্রাধিকার দিল	v.prioritized
অগ্রাধিকার দেওয়া	v.prefer@vt.prioritize@v.prioritise
অগ্রাধিকার নির্ধারণ	n+f.triage@n+f.prioritization
অগ্রাধিকারপ্রাপ্ত	a.prioritized
অগ্রাধিকারমূলক	a.preferential@a.overriding
অগ্রাধিকারমূলকভাবে	ad.preferentially
অগ্রাহ্য করা	v.ignore@v.ignoring
অগ্রাহ্য করে	vt.ignores@vt.overrides
অগ্রিম	n+m.advance@a+m.advance@a+f.advance@a.upfront@a.preemptive
অগ্রিম পরিশোধ	n+m.prepayment@n+m.prepayments
অগ্রিম পরিশোধ করা	vt.prepay
অগ্রিম পরিশোধিত	a.prepaid
অঘোষিত	a.undeclared@a.unannounced
অঙ্ক	n+m.digit@n+m.digits@n+m.maths@n+f.sums@n.numerals
অঙ্কন	n+m.drawing@n+m.drawings
অঙ্কশাস্ত্র	n+f.numerology
অঙ্কশাস্ত্রীয়	a.mathematical
অঙ্কিত করা	v.imprinted
অঙ্কুর	n+m.shoot@n+m.shoots@n+m.germ@n.sprouts@n+m.sprout
অঙ্কুরিত গাছ	n+f.seedling
অঙ্কুরিত শস্য	n+m.malt
অঙ্কুরিত হওয়া	vi.sprout@v.sprouted
অঙ্কুরিত হচ্ছে	v.sprouting
অঙ্কুরিত হয়	vi.sprouts
অঙ্কুরোদগম	n+f.germination@n+m.sprouting
অঙ্কের দিক দিয়ে	ad.mathematically
অঙ্গ	n+m.organ@n+m.organs@n+m.limb
অঙ্গ প্রতিস্থাপন	n+f.transplantation
অঙ্গ স্খলন	n+f.prolapse
অঙ্গচ্ছেদ	n+f.mutilation@n+f.amputation@n+m.dismemberment
অঙ্গন	n+f.arena@n+f.arenas
অঙ্গপ্রত্যঙ্গ	n+m.limbs@n.extremities
অঙ্গবিহীন ব্যক্তি	n+m.amputee
অঙ্গভঙ্গি	n+m.gesture@n+m.gestures@n+m.gest
অঙ্গভঙ্গি করা	v.mime
অঙ্গসংস্থান বিদ্যা	n+f.morphology
অঙ্গসংস্থান সংক্রান্ত	a.morphological@a.anatomic
অঙ্গসংস্থানিক	a.anatomical
অঙ্গার	n+m.embers
অঙ্গীকার	n+f.covenant@n+f.pact@n+f.covenants
অঙ্গীকার করছে	v.pledging
অঙ্গীকার করে	vt.pledges
অঙ্গীকারপত্র সংক্রান্ত	a.promissory
অঙ্গীকারবদ্ধ	a.pledged
অচক্রীয়	a.acyclic
অচল	a.stationary@a.stalled@a.immovable@a.immobile
অচল করেছে	v.immobilized
অচলাবস্থা	n+m.deadlock@n+m.standoff@n+f.stagnation@n+f.impasse@n+m.standstill@n+f.gridlock@n+m.stalemate@n+f.immobilization@n+f.stasis
অচিকিৎসাযোগ্য	a.inoperable
অচিকিৎসিত	a.untreated
অচিত্রিত	a.unpainted
অচিন্তনীয়	a.unthinkable@a.unimaginable
অচিহ্নিত	a.unbranded@a.unmarked
অচেতন	a.unconscious@a.oblivious
অচেতনতা	n+m.anaesthesia@n+f.unconsciousness
অচৈতন্য অবস্থা	n+f.coma
অছি	n+m.trustees@n+m.trustee
অছিয়তকারী	n+m.testator
অজগর	n+m.python@n+m.dragon@n+m.dragons@n+m.pythons
অজনপ্রিয়	a.unpopular
অজনা	n+m.strangers
অজস্র	ad.profusely
অজাচার	n+m.incest
অজাত	a.unborn
অজানা	a+m.unknown@a+f.unknown@a.unfamiliar@n+m.unknowns@a.unsung@a.uncharted
অজানা উড়ন্ত বস্তু	n.ufos
অজান্তে	ad.unwittingly@ad.involuntarily
অজি	n+m.ozzie
অজীর্ণ	n+f.indigestion
অজুহাত	n+f.excuse@n+m.excuses@n+m.pretext@n+f.alibi
অজেয়	a.invincible@a.insurmountable
অজৈব	a.inorganic@a.abiotic
অজৈবিক	a.inorganic
অজ্ঞ	a.ignorant@a.clueless
অজ্ঞতা	n+f.ignorance
অজ্ঞাত	a.unaware@a.unnoticed@a.nameless@a.uninformed
অজ্ঞাত কারণযুক্ত	a.idiopathic
অজ্ঞাত বিষয়	n+m.unknowns
অজ্ঞাতনামে	ad.anonymously
অজ্ঞাতপরিচয়	a.unidentified
অজ্ঞাতসারে	ad.unknowingly
অজ্ঞান	a.unconscious@a.senseless
অজ্ঞান হওয়া	vi.faint
অজ্ঞানতা	n+f.unconsciousness
অজ্ঞানভাবে	ad.unconsciously
অজ্ঞেয়বাদ	n+m.agnosticism
অজ্ঞেয়বাদী	n+m.agnostic
অঞ্চল	n+m.area@n+m.areas@n+m.region@n+m.zone@n+m.regions@n+m.territory@n+m.territories@n+m.zones@n+f.locale@n+m.tract@n+f.localities@n+m.locales@n+m.terr
অঞ্চল বিভক্ত	a.zoned
অঞ্চল বিভাজন	n+f.zoning
অঞ্চলভিত্তিক	a.zonal
অঞ্চলে ভাগ করা	v.zoned
অটল	a.resolute@a.unwavering
অটল থাকছে	v.persisting
অটল থেকেছিল	v.persisted
অটার	n+m.auteur
অটিজম	n+m.autism
অটিজম সংক্রান্ত	a.autistic
অটিস্টিক	a.autistic
অটুট	a.intact
অটো	n+m.auto@n+m.autos@n+m.otto
অটোইমিউন	a.autoimmune
অটোক্লেভ	n+m.autoclave
অটোপাইলট	n+m.autopilot
অটোবান	n+m.autobahn
অটোমান	a.ottoman
অটোমেট করে	vt.automates
অটোমেশন	n+m.automation
অটোমোবাইল	n+m.automobile
অটোম্যান	n+m.ottomans
অটোয়া	n+m.ottawa
অটোল্যারিঙ্গোলজি	n+f.otolaryngology
অট্টহাস্য	n+f.laughter
অট্টালিকা	n+f.mansion@n.mansions@n+m.edifice
অডস	n.ods
অডিও	n+m.audio@n+m.audios
অডিওটেপ	n+m.audiotape
অডিওপ্রেমী	n+m.audiophile
অডিওভিজ্যুয়াল	a.audiovisual
অডিওলজি	n+f.audiology
অডিট	n+m.audit
অডিট করা	v.audit
অডিটর	n+m.auditor@n+m.auditors
অডিটোরিয়াম	n+m.auditorium
অডিশন	n+f.audition@n+f.auditions@n+f.tryouts@n+m.tryout
অডিশন দেওয়া	vi.audition@vi.auditions
অডুবন	n+m.audubon
অড্রা	n+f.audra
অড্রে	n+f.audrey
অণু	n+m.particles@n+f.particle@n+f.molecules@n+f.molecule
অণুগঠন	n+f.microstructure
অণুচক্রিকা	n+m.platelet@n.platelets
অণুচিপ	n+m.microchip
অণুজীব	n+m.microorganisms@n.microbes@n+m.microbe
অণুজীববিজ্ঞান সম্পর্কিত	a.microbiological
অণুজীববিদ্যা	n+f.microbiology
অণুজীবীয়	a.microbial
অণুতরঙ্গ	n+f.microwaves
অণুপ্রক্রিয়াকারী	n.microprocessors
অণুবীক্ষণ যন্ত্র	n+m.microscope@n+m.microscopes
অণুবীক্ষণবিদ্যা	n+f.microscopy
অণুবীক্ষণিক	a.microscopic
অণ্ডকোষ	n+m.balls@n.testicles@n+m.testis@n+m.testes@n+m.testicle
অণ্ডকোষ থলি	n+m.scrotum
অণ্ডকোষ সম্পর্কিত	a.testicular
অতঃপর	ad.thereafter@ad.thereupon
অতএব	ad.therefore@conj.thus@ad.hence@ad.thence@ad.ergo
অতর্কিত আক্রমণ করা হয়েছে	v.ambushed
অতল গহ্বর	n+m.abyss
অতলস্পর্শী	a.abysmal
অতলান্ত	a.bottomless
অতি	ad.fucking@a.ultra
অতি আনন্দিত	a.overjoyed
অতি উচ্চ কম্পাঙ্ক	n+m.uhf
অতি উত্তেজিত	a.hysterical
অতি ক্ষুদ্র একক	n.microns
অতি দরিদ্র	a.destitute
অতি দুষ্ট	a.nefarious
অতি মিষ্টি	a.twee
অতি শক্তিশালী	a.supercharged
অতি শীতল করা	v.supercool
অতি সক্রিয়	a.hyperactive
অতি সক্রিয়তা	n+f.hyperactivity
অতি সতর্ক	a.meticulous
অতি সতর্কতার সাথে	ad.meticulously
অতি সূক্ষ্ম	a.slightest@a.pedantic
অতি হালকা	a.ultralight
অতিকায়	a.whopping
অতিক্রম	prep.trans@n+m.traversal@n+f.transcendence
অতিক্রম করছে	v.surpassing
অতিক্রম করল	v.overcame
অতিক্রম করা	v.pass@v.exceed@v.crossing@v.exceeding@v.exceeded@vt.traverse@v.overcoming@vt.transcend@vt.surpass@v.overtake@v.traversing
অতিক্রম করে	v.exceeds@vt.undergoes@v.transcends@v.surpasses@v.intersects@v.traverses@v.transits
অতিক্রম করেছিল	v.surpassed@v.infringed@v.traversed
অতিক্রম করেছে	v.undergone@v.underwent@v.overtaken
অতিক্রমকারী	a.passing@a.exceeding@a.transcending
অতিক্রমণ	n+f.encroachment@n+f.infringements
অতিক্রান্ত	a.exceeded
অতিক্ষুদ্র	a.infinitesimal
অতিক্ষুদ্রতম	a.tiniest
অতিচঞ্চলতা	n+m.hyperactivity
অতিতাপ	n+f.hyperthermia
অতিথাইরয়েড	n+m.hyperthyroidism
অতিথি	n+m.guest@n+f.guest@n+m.guests@n+m.visitor
অতিথি কক্ষ	n+m.guestrooms
অতিথি বই	n+m.guestbook@n+m.guestbooks
অতিথি ভবন	n.guesthouses
অতিথিপরায়ণ	a.hospitable
অতিথিপরায়ণতা	n+m.hospitality
অতিথিশালা	n+m.guesthouse
অতিনাটকীয় ঘটনা	n+f.melodrama
অতিপরিবাহিতা	n+f.superconductivity
অতিপরিবাহী	a.superconducting@n+m.superconductors@n+m.superconductor
অতিপূর্ণ	a.overfull
অতিপ্রবাহ	n+m.overflows
অতিপ্রাকৃত	a.supernatural@a.paranormal
অতিপ্রাচুর্য	n+m.glut
অতিবাহিত হওয়া	v.elapsed
অতিবৃদ্ধ	a.overgrown@a.outgrown
অতিবৃদ্ধি	n+f.hyperplasia@n+f.hypertrophy
অতিবৃদ্ধিজনিত	a.hypertrophic
অতিবৃহৎ	a.astronomical@a.supersized@a.supersize
অতিবেগুনি	a.ultraviolet
অতিবেগুনি আলো	n+m.blacklight
অতিবেগুনি রশ্মি	n+m.ultraviolet
অতিবৈষয়িক	a.transcendental
অতিব্যবহৃত	a.overused
অতিভোজন রোগ	n+f.bulimia
অতিমাত্রিক স্থান	n+m.hyperspace
অতিমানব	n+m.superman
অতিমানবিক	a.superhuman
অতিমূল্যায়ন করা	v.overestimate@v.overestimated
অতিমূল্যায়িত	a.overrated
অতিরঞ্জন	n+f.exaggeration@n+f.hyperbole
অতিরঞ্জন করা	v.exaggerating
অতিরঞ্জিত	a.exaggerated@a.campy
অতিরঞ্জিত করা	vt.magnify@v.exaggerate
অতিরঞ্জিত করেছে	v.overstated
অতিরঞ্জিত প্রচার	n+f.hype
অতিরিক্ত	a.over@ad.too@a+m.additional@a+f.additional@a+m.further@a+f.further@a+m.extra@a+f.extra@n+m.extra@n+m.excess@a.excess@n+m.extras@a.spare@a.surplus@a.excessive@a.supplemental@a.supplementary@a.redundant@a.steep@a.undue@n+m.overs@n+m.plethora@ad.overboard@a.extravagant@a.superfluous@n+m.excesses@n+f.surpluses@a.inordinate
অতিরিক্ত উত্তোলন	n+m.overdraft
অতিরিক্ত ওজন	n+m.overweight
অতিরিক্ত ওজনের	a.overweight
অতিরিক্ত কার্যক্রম	a.extracurricular
অতিরিক্ত খরচ	n+m.overrun
অতিরিক্ত খাওয়া	vi.binge
অতিরিক্ত গতি	n+m.speeding@n+m.overdrive
অতিরিক্ত গরম	n+m.overheating
অতিরিক্ত গরম হচ্ছে	v.overheating
অতিরিক্ত চাপ দিচ্ছে	v.overloading
অতিরিক্ত চাপ দেওয়া	vt.overload
অতিরিক্ত চার্জ	n.surcharges
অতিরিক্ত চার্জ করা	vt.surcharge
অতিরিক্ত জনসংখ্যা	n+f.overpopulation
অতিরিক্ত দামি	a.overpriced
অতিরিক্ত পরিশোধ	n+m.overpayment
অতিরিক্ত পরিশ্রমী	a.overworked
অতিরিক্ত পুরস্কার	n+m.bonuses
অতিরিক্ত প্রচারিত	a.hyped
অতিরিক্ত বড়	a.oversized@a.oversize
অতিরিক্ত বেতন প্রাপ্ত	a.overpaid
অতিরিক্ত বোঝা	n+m.overload@n+m.overloading@n+m.overburden
অতিরিক্ত বোঝাই	a.overloaded
অতিরিক্ত ব্যবহার	n+m.overuse
অতিরিক্ত ব্যয়	n+m.overruns
অতিরিক্ত ভার দেওয়া	v.overloaded@v.overburden
অতিরিক্ত ভিড়যুক্ত	a.overcrowded
অতিরিক্ত মজুদ	n+m.overstock
অতিরিক্ত মজুদ করা	vt.overstock
অতিরিক্ত মাত্রা	n+m.overdose
অতিরিক্ত মাশুল	n+m.surcharge
অতিরিক্ত যত্নশীল	a.fussy
অতিরিক্ত সময়	n+m.overtime
অতিরিক্ত সরবরাহ করা	vt.glut
অতিরিক্ত হত্যা	n+m.overkill
অতিরিক্ততা	n+f.redundancy
অতিরিক্তভাবে	ad.additionally@ad.excessively
অতিশব্দ	n+m.ultrasound@a.ultrasonic@a.supersonic
অতিশব্দ বিজ্ঞান	n+f.supersonics
অতিশয়	ad.exceedingly
অতিশয় নিষ্ঠুর	a.diabolical
অতিশয়োক্তিমূলক	a.hyperbolic
অতিসংবেদনশীলতা	n+f.hypersensitivity
অতিসক্রিয়	a.hyper@a.overactive
অতিসরলীকৃত	a.simplistic
অতীত	n+m.past@a+m.past@a+f.past@a+m.passed@a+f.passed@a.elapsed@a.bygone
অতীত কাল	n+m.yesteryear
অতীত দিন	n+f.yesterdays
অতীত দৃশ্য	n+m.flashback
অতীত প্রীতি	n+m.nostalgia
অতীত মাসে	ad.ult
অতীত স্মরণ	n+m.retrospect
অতীত স্মরণ করা	v.reminisce
অতীত স্মরণে	ad.retrospectively
অতীতকাল	n+m.yore
অতীতের	a.foregone
অতীতের স্মৃতি	n+f.flashbacks
অতীন্দ্রিয়	a.mystical@a.metaphysical@a.transcendental@a.transcendent
অতীন্দ্রিয় উপলব্ধি	n+f.esp
অতীন্দ্রিয় মনোবিজ্ঞান	n+f.parapsychology
অতীন্দ্রিয়তা	n+f.transcendence
অতুলনীয়	a.unparalleled@a.priceless@a.unbeatable@a.unmatched@a.peerless@a.unsurpassed@a.incomparable@a.unrivalled@a.surpassing@a.inimitable
অতুলনীয়ভাবে	ad.superbly
অতৃপ্ত	a.dissatisfied@a.insatiable@a.unsatisfied@a.unfulfilled
অতৃপ্তি	n+m.dissatisfaction
অত্যধিক	a.excessive@a.overwhelming@ad.overly@ad.excessively@ad.unduly@a.exorbitant@a.inordinate
অত্যধিক ব্যয়বহুল	a.prohibitive
অত্যধিক ভিড়	n+f.overcrowding
অত্যন্ত	ad.very@ad.highly@ad.extremely@ad.bloody@ad.badly@ad.incredibly@ad.damned@ad.tres@ad.vastly@ad.profoundly@ad.hugely@ad.immensely@ad.exceedingly@ad.flipping@ad.extraordinarily@ad.dearly@ad.grossly@ad.awfully@ad.sorely@ad.eminently
অত্যন্ত অশোভন	a.outrageous
অত্যন্ত আকর্ষণীয়ভাবে	ad.stunningly
অত্যন্ত উচ্চ	a.stratospheric
অত্যন্ত খারাপ	a.abysmal
অত্যন্ত খারাপভাবে	ad.horribly
অত্যন্ত গুরুত্বপূর্ণভাবে	ad.vitally@ad.crucially
অত্যন্ত ছোট	a.weer
অত্যন্ত বড়	a.humongous
অত্যন্ত বিরল	a.recherche
অত্যন্ত ব্যস্ত	a.frenetic
অত্যন্ত মজার	a.hilarious
অত্যন্ত মূল্যবান	a.invaluable
অত্যন্ত শান্ত	a.supercool
অত্যন্ত শীতল	a.cryogenic
অত্যাচার	n+m.persecution@n+m.oppression@n+m.tyranny@n+m.atrocities@n+f.torturing
অত্যাচার করা হয়েছে	v.oppressed
অত্যাচারী	a.oppressive@n+m.tyrant@a.tyrannical
অত্যাচারী শাসক	n+m.tyrants
অত্যানন্দিত	a.euphoric
অত্যাবশ্যক	a.vital@a.crucial@a.indispensable
অত্যাবশ্যক বস্তু	n+m.essentials
অত্যাশ্চর্য	a.stunning
অথচ	conj.whereas@conj.whilst
অথবা	conj.or
অথেনটিকেশন	n+m.authentication
অদক্ষ	a.inefficient@a.unskilled@a.inept@a.gauche
অদক্ষতা	n+f.inefficiency@n+f.inefficiencies
অদক্ষভাবে ধরা	vt.fumble
অদমিত	a.untamed
অদলবদল	n+m.swapping
অদলবদল করল	v.swapped
অদলবদল করা	a.transposed
অদলবদল করে	vt.swaps
অদীক্ষিত	a.uninitiated
অদূরদর্শী	a.myopic
অদৃশ্য	a.invisible@a.unseen@a.undetectable
অদৃশ্য হওয়া	n+f.disappearance@vi.vanish@n+f.disappearances
অদৃশ্য হচ্ছে	v.disappearing@v.vanishing
অদৃশ্য হয়	vi.disappears
অদৃশ্য হয়ে গেছে	v.vanished
অদৃশ্য হয়ে যাওয়া	v.disappeared@vi.disappear
অদৃশ্য হয়ে যায়	v.vanishes
অদৃশ্যতা	n+f.invisibility
অদেখা	a.unseen@a.unobserved
অদ্বিতীয়	a.singular@a.unparalleled@a.peerless@a.incomparable@a.unrivalled@a.irreplaceable
অদ্বিতীয়তা	n+m.singularity
অদ্বিতীয়ভাবে	ad.uniquely
অদ্ভুত	a.strange@a.odd@a.weird@a.exotic@a.curious@a.bizarre@a.funky@a.mysterious@a.ridiculous@a.queer@a.peculiar@a.quirky@a.freaky@a.eccentric@a.fey@a.quaint@a.miraculous@a.eerie@a.uncanny@a.idiosyncratic@a.outlandish@a.rummy@a.queers
অদ্ভুত অভ্যাস	n+f.quirks@n+m.quirk
অদ্ভুত আচরণ	n+f.eccentricity
অদ্ভুত জিনিস	n.oddities
অদ্ভুত ব্যক্তি	n+m.freak@n+m.dork@n+m.oddball
অদ্ভুততা	n+f.weirdness@n+f.peculiarities@n+f.oddity@n+f.strangeness
অদ্ভুতভাবে	ad.strangely@ad.oddly@ad.mysteriously@ad.fantastically@ad.peculiarly
অদ্রবণীয়	a.insoluble
অধঃপতন	n+m.degeneration
অধঃপতিত	a.decadent@a.depraved
অধঃপতিত হওয়া	vi.degenerate
অধঃবিভাগ	n+m.subdivisions
অধরা	a.intangible
অধস্তন	n+m.subordinate@a.subordinated@n+m.subordinates
অধাতব	a.nonmetallic
অধার্মিক	a.ungodly
অধার্মিক ব্যক্তিরা	n+m.laity
অধিক	ad.more
অধিক অন্ধকার	a.blacker
অধিক ওজনের	a.heavier
অধিক গুরুত্বপূর্ণ	v.outweighs
অধিক গুরুত্বপূর্ণ ছিল	v.outweighed
অধিক পছন্দসই	a.preferable
অধিক যথার্থ	a.truer
অধিক স্থূল	a.fatter
অধিকতর দূরবর্তী	a.farther
অধিকতর পছন্দনীয়ভাবে	ad.preferably
অধিকন্তু	ad.moreover
অধিকাংশ	a.most@n+m.majorities
অধিকাংশই	ad.predominantly
অধিকাংশে	ad.largely
অধিকার	n+m.rights@n+m.right@n+m.eligibility@n+f.possession@n+f.dominion@n+f.lien@n+m.entitlement@n+m.liens@n+f.possessions@n+m.jus@n+m.entitlements@n.easements@n+m.droit
অধিকার করছে	v.possessing
অধিকার করা	v.possess@v.possessed@vt.occupy@v.possesses
