the	art+m.der@art+f.die@art+n.das
through	prep.durch
each	pron.jeder@pron.jede@pron.jedes
links	n+m.Links@n+f.Verbindungen
she	pron+f.sie
review	n+f.Rezension@n+f.Überprüfung@v.überprüfen
years	n+n.Jahre
order	n+f.Bestellung@n+f.Ordnung@n+m.Befehl@v.bestellen
very	ad.sehr
privacy	n+f.Privatsphäre@n+m.Datenschutz
book	n+n.Buch@v.buchen
items	n+m.Gegenstände@n+n.Artikel
company	n+f.Firma@n+n.Unternehmen@n+f.Gesellschaft
read	v.lesen
group	n+f.Gruppe
sex	n+m.Sex@n+n.Geschlecht
need	n+n.Bedürfnis@n+f.Not@v.brauchen
many	a.viele
user	n+m.Benutzer@n+m.Nutzer
said	v.sagte
de	prep.von
does	v.tut@v.macht
set	n+n.Set@n+m.Satz@v.setzen@v.einstellen
under	prep.unter
general	a.allgemein@n+m.General
research	n+f.Forschung@v.forschen
university	n+f.Universität
january	n+m.Januar
mail	n+f.Post@n+f.Mail@v.schicken
full	a+m.voller@a+f.volle@a+n.volles
map	n+f.Karte@n+m.Plan@v.kartieren
reviews	n+f.Rezensionen@n+f.Bewertungen
program	n+n.Programm@v.programmieren
life	n+n.Leben
know	v.wissen@v.kennen
games	n+n.Spiele
way	n+m.Weg@n+f.Art@n+f.Weise
days	n+m.Tage
management	n+n.Management@n+f.Verwaltung@n+f.Leitung
part	n+m.Teil@n+f.Rolle@v.trennen
could	v.konnte@v.könnte
great	a+m.großer@a+f.große@a+n.großes@a+m.großartiger@a+f.großartige@a+n.großartiges
united	a.vereinigt@a.vereint
hotel	n+n.Hotel
real	a+m.echter@a+f.echte@a+n.echtes@a+m.realer@a+f.reale@a+n.reales
item	n+m.Gegenstand@n+n.Artikel@n+m.Punkt
international	a.international
ebay	n+n.eBay
must	v.müssen@n+m.Most
store	n+m.Laden@n+n.Geschäft@v.speichern@v.lagern
travel	n+f.Reise@v.reisen
comments	n+m.Kommentare@n+f.Bemerkungen
made	v.machte@a.gemacht
development	n+f.Entwicklung
report	n+m.Bericht@n+f.Meldung@v.berichten
off	ad.aus@prep.von
member	n+n.Mitglied
details	n+n.Details@n+f.Einzelheiten
line	n+f.Linie@n+f.Zeile@n+f.Leitung
terms	n+m.Begriffe@n+f.Bedingungen
before	prep.vor@conj.bevor
hotels	n+n.Hotels
did	v.tat@v.machte
send	v.senden@v.schicken
right	n+n.Recht@a+m.rechter@a+f.rechte@a+n.rechtes@a+m.richtiger@a+f.richtige@a+n.richtiges@ad.rechts
type	n+m.Typ@n+f.Art@v.tippen
because	conj.weil
local	a.lokal@a+m.örtlicher@a+f.örtliche@a+n.örtliches
those	pron.jene@pron.die
using	v.benutzend@v.verwendend
results	n+n.Ergebnisse@n+n.Resultate
office	n+n.Büro@n+n.Amt
education	n+f.Bildung@n+f.Erziehung@n+f.Ausbildung
national	a.national
car	n+n.Auto@n+m.Wagen
design	n+n.Design@n+m.Entwurf@n+f.Gestaltung@v.entwerfen@v.gestalten
take	v.nehmen@n+f.Aufnahme
posted	v.gepostet@a.veröffentlicht
internet	n+n.Internet
address	n+f.Adresse@n+f.Anschrift@v.adressieren
community	n+f.Gemeinschaft@n+f.Gemeinde@n+f.Community
within	prep.innerhalb
states	n+m.Staaten
area	n+n.Gebiet@n+f.Fläche@n+m.Bereich
want	v.wollen@n+m.Mangel
phone	n+n.Telefon@v.telefonieren
shipping	n+m.Versand@n+f.Lieferung
reserved	a.reserviert@v.reservierte
subject	n+n.Thema@n+n.Fach@n+n.Subjekt@a.unterworfen
between	prep.zwischen
forum	n+n.Forum
family	n+f.Familie
long	a+m.langer@a+f.lange@a+n.langes@ad.lang
based	a.basiert@v.basierte
code	n+m.Code@n+f.Kodierung@v.codieren
show	n+f.Show@n+f.Sendung@v.zeigen
even	ad.sogar@a+m.ebener@a+f.ebene@a+n.ebenes@a+m.gerader@a+f.gerade@a+n.gerades
black	a+m.schwarzer@a+f.schwarze@a+n.schwarzes@n+n.Schwarz
check	n+f.Prüfung@n+m.Scheck@v.prüfen@v.kontrollieren
special	a.speziell@a+m.besonderer@a+f.besondere@a+n.besonderes
prices	n+m.Preise
website	n+f.Webseite@n+f.Website
index	n+m.Index@n+n.Verzeichnis@v.indexieren
being	n+n.Sein@n+n.Wesen@v.seiend
women	n+f.Frauen
much	ad.viel@a.viel
sign	n+n.Zeichen@n+n.Schild@v.unterschreiben
file	n+f.Datei@n+f.Akte@v.ablegen
link	n+m.Link@n+f.Verbindung@v.verknüpfen
open	a+m.offener@a+f.offene@a+n.offenes@v.öffnen
today	ad.heute@n+m.heute
technology	n+f.Technologie
south	n+m.Süden@a+m.südlicher@a+f.südliche@a+n.südliches
case	n+m.Fall@n+f.Kiste@n+n.Gehäuse
project	n+n.Projekt@v.projizieren
same	a+m.gleicher@a+f.gleiche@a+n.gleiches@a+m.selber@a+f.selbe@a+n.selbes
pages	n+f.Seiten
version	n+f.Version
section	n+m.Abschnitt@n+f.Sektion@n+m.Teil
own	a+m.eigener@a+f.eigene@a+n.eigenes@v.besitzen
found	v.fand@v.gründen
sports	n+m.Sport
house	n+n.Haus
related	a.verwandt@a.bezogen
security	n+f.Sicherheit
both	pron.beide
county	n+m.Landkreis@n+f.Grafschaft
american	a.amerikanisch@n+m.Amerikaner
photo	n+n.Foto@n+f.Aufnahme
game	n+n.Spiel
members	n+n.Mitglieder
power	n+f.Macht@n+f.Kraft@n+m.Strom@v.antreiben
while	conj.während@n+f.Weile
care	n+f.Pflege@n+f.Fürsorge@v.sorgen@v.kümmern
network	n+n.Netzwerk@n+n.Netz
down	ad.unten@ad.hinunter@prep.hinab
computer	n+m.Computer@n+m.Rechner
systems	n+n.Systeme
three	n+f.Drei@a.drei
total	n+n.Gesamt@n+f.Summe@a.gesamt@a.total
place	n+m.Ort@n+m.Platz@n+f.Stelle@v.platzieren
end	n+n.Ende@n+m.Schluss@v.beenden
following	a.folgend@n+f.Anhängerschaft@prep.nach
download	n+m.Download@v.herunterladen
him	pron.ihn@pron.ihm
without	prep.ohne
per	prep.pro@prep.je
access	n+m.Zugang@n+m.Zugriff@v.zugreifen
think	v.denken@v.glauben
north	n+m.Norden@a+m.nördlicher@a+f.nördliche@a+n.nördliches
resources	n+f.Ressourcen@n+n.Mittel
current	a+m.aktueller@a+f.aktuelle@a+n.aktuelles@n+f.Strömung@n+m.Strom
posts	n+m.Beiträge@n+m.Posten
big	a+m.großer@a+f.große@a+n.großes
media	n+f.Medien
law	n+n.Gesetz@n+n.Recht@n+f.Jura
control	n+f.Kontrolle@n+f.Steuerung@v.kontrollieren@v.steuern
water	n+n.Wasser
history	n+f.Geschichte@n+f.Historie
pictures	n+n.Bilder@n+f.Fotos
size	n+f.Größe@n+n.Format
art	n+f.Kunst
personal	a.persönlich@a+m.persönlicher@a+f.persönliche@a+n.persönliches
since	prep.seit@conj.da
including	prep.einschließlich@v.einschließend
guide	n+m.Führer@n+m.Ratgeber@n+m.Guide@v.führen
shop	n+m.Laden@n+n.Geschäft@v.einkaufen
directory	n+n.Verzeichnis@n+m.Ordner
board	n+n.Brett@n+m.Vorstand@n+f.Tafel
location	n+m.Ort@n+f.Lage@n+m.Standort
change	n+f.Änderung@n+m.Wechsel@n+n.Kleingeld@v.ändern@v.wechseln
white	a+m.weißer@a+f.weiße@a+n.weißes@n+n.Weiß
text	n+m.Text@v.texten
small	a+m.kleiner@a+f.kleine@a+n.kleines
rating	n+f.Bewertung@n+n.Rating
rate	n+f.Rate@n+m.Tarif@n+m.Kurs@v.bewerten
government	n+f.Regierung@n+m.Staat
children	n+n.Kinder
during	prep.während
return	n+f.Rückkehr@n+f.Rückgabe@v.zurückkehren@v.zurückgeben
students	n+m.Studenten@n+m.Schüler
shopping	n+n.Einkaufen@n+m.Einkauf
account	n+n.Konto@n+m.Account@n+f.Rechnung
times	n+f.Zeiten@n+n.Mal
sites	n+f.Seiten@n+m.Orte@n+f.Stätten
level	n+n.Level@n+n.Niveau@n+f.Ebene@n+m.Pegel
digital	a.digital
profile	n+n.Profil
previous	a+m.vorheriger@a+f.vorherige@a+n.vorheriges
form	n+n.Formular@n+f.Form@v.bilden@v.formen
events	n+n.Ereignisse@n+f.Veranstaltungen
love	n+f.Liebe@v.lieben
old	a+m.alter@a+f.alte@a+n.altes
john	n+m.John@n+n.Klo
main	a.haupt@a+m.hauptsächlicher@a+f.hauptsächliche@a+n.hauptsächliches
call	n+m.Anruf@n+m.Ruf@v.rufen@v.anrufen
hours	n+f.Stunden
image	n+n.Bild@n+n.Image
department	n+f.Abteilung@n+n.Ministerium
title	n+m.Titel
description	n+f.Beschreibung
non	a.nicht@pref.nicht
insurance	n+f.Versicherung
another	pron.ein anderer@a+m.anderer@a+f.andere@a+n.anderes
why	ad.warum@ad.weshalb
shall	v.sollen@v.werden
property	n+n.Eigentum@n+f.Immobilie@n+f.Eigenschaft
class	n+f.Klasse@n+m.Kurs@n+f.Schicht
cd	n+f.CD
still	ad.noch@ad.immer noch@a+m.stiller@a+f.stille@a+n.stilles
money	n+n.Geld
quality	n+f.Qualität
every	a.jeder@a.jede@a.jedes
listing	n+f.Liste@n+m.Eintrag@n+n.Listing
content	n+m.Inhalt@a.zufrieden
country	n+n.Land@n+f.Landschaft
private	a.privat@n+m.Gefreiter
little	a+m.kleiner@a+f.kleine@a+n.kleines@ad.wenig
visit	n+m.Besuch@v.besuchen
save	v.speichern@v.retten@v.sparen
tools	n+n.Werkzeuge@n+n.Tools
low	a+m.niedriger@a+f.niedrige@a+n.niedriges@a+m.tiefer@a+f.tiefe@a+n.tiefes
reply	n+f.Antwort@v.antworten
customer	n+m.Kunde@n+f.Kundin
december	n+m.Dezember
compare	v.vergleichen
movies	n+m.Filme
include	v.einschließen@v.enthalten@v.beinhalten
college	n+n.College@n+f.Hochschule
value	n+m.Wert@v.schätzen@v.bewerten
article	n+m.Artikel
york	n+n.York
man	n+m.Mann@n+m.Mensch
card	n+f.Karte
jobs	n+m.Jobs@n+f.Stellen@n+f.Arbeitsplätze
provide	v.bereitstellen@v.liefern@v.bieten
food	n+n.Essen@n+f.Nahrung@n+n.Lebensmittel
source	n+f.Quelle
author	n+m.Autor@n+f.Autorin@n+m.Verfasser
different	a.verschieden@a+m.anderer@a+f.andere@a+n.anderes
press	n+f.Presse@v.drücken@v.pressen
learn	v.lernen@v.erfahren
sale	n+m.Verkauf@n+m.Ausverkauf
around	prep.um@ad.herum@ad.ungefähr
print	n+m.Druck@v.drucken
course	n+m.Kurs@n+m.Lauf@n+n.Gericht
job	n+m.Job@n+f.Arbeit@n+f.Stelle
canada	n+n.Kanada
process	n+m.Prozess@n+m.Vorgang@v.verarbeiten
teen	n+m.Teenager
room	n+n.Zimmer@n+m.Raum
stock	n+m.Bestand@n+m.Vorrat@n+f.Aktie@v.lagern
training	n+n.Training@n+f.Ausbildung@n+f.Schulung
too	ad.auch@ad.zu
credit	n+m.Kredit@n+f.Gutschrift@n+n.Guthaben
point	n+m.Punkt@n+f.Spitze@v.zeigen
join	v.beitreten@v.verbinden@v.mitmachen
science	n+f.Wissenschaft
men	n+m.Männer
categories	n+f.Kategorien
advanced	a.fortgeschritten@a+m.fortschrittlicher@a+f.fortschrittliche@a+n.fortschrittliches
west	n+m.Westen@a+m.westlicher@a+f.westliche@a+n.westliches
sales	n+m.Verkauf@n+m.Vertrieb@n+m.Umsatz
look	n+m.Blick@n+n.Aussehen@v.schauen@v.aussehen
english	a.englisch@n+n.Englisch
left	a+m.linker@a+f.linke@a+n.linkes@v.verließ@ad.links
team	n+n.Team@n+f.Mannschaft
estate	n+n.Anwesen@n+m.Besitz@n+n.Gut
box	n+f.Schachtel@n+f.Kiste@n+m.Kasten
conditions	n+f.Bedingungen@n+m.Zustände
select	v.auswählen@a.ausgewählt
windows	n+n.Windows@n+n.Fenster
photos	n+n.Fotos
gay	a.schwul@a.homosexuell@a+m.fröhlicher@a+f.fröhliche@a+n.fröhliches
thread	n+m.Faden@n+m.Thread
week	n+f.Woche
category	n+f.Kategorie
note	n+f.Notiz@n+f.Anmerkung@n+f.Note@v.notieren
live	v.leben@a+m.lebendiger@a+f.lebendige@a+n.lebendiges@a.live
large	a+m.großer@a+f.große@a+n.großes
gallery	n+f.Galerie
table	n+m.Tisch@n+f.Tabelle
register	n+n.Register@n+f.Kasse@v.registrieren@v.anmelden
however	ad.jedoch@conj.wie auch immer
june	n+m.Juni
october	n+m.Oktober
november	n+m.November
market	n+m.Markt@v.vermarkten
library	n+f.Bibliothek@n+f.Bücherei
really	ad.wirklich@ad.echt
action	n+f.Aktion@n+f.Handlung@n+f.Tat
start	n+m.Start@n+m.Anfang@v.starten@v.beginnen
series	n+f.Serie@n+f.Reihe
model	n+n.Modell@n+m.Typ@v.modellieren
features	n+f.Funktionen@n+n.Merkmale@n+f.Eigenschaften
air	n+f.Luft@v.lüften
industry	n+f.Industrie@n+f.Branche
plan	n+m.Plan@v.planen
human	a.menschlich@n+m.Mensch
provided	v.bereitgestellt@conj.vorausgesetzt
yes	ad.ja@int.ja
required	a.erforderlich@a.notwendig@v.erforderte
second	a+m.zweiter@a+f.zweite@a+n.zweites@n+f.Sekunde
hot	a+m.heißer@a+f.heiße@a+n.heißes
accessories	n+n.Zubehör@n+n.Accessoires
cost	n+f.Kosten@n+m.Preis@v.kosten
movie	n+m.Film
forums	n+n.Foren
march	n+m.März@n+m.Marsch@v.marschieren
la	n+n.LA
september	n+m.September
better	a+m.besserer@a+f.bessere@a+n.besseres@ad.besser
say	v.sagen
questions	n+f.Fragen
july	n+m.Juli
yahoo	n+n.Yahoo
going	v.gehend@a.aktuell
medical	a.medizinisch
test	n+m.Test@n+f.Prüfung@v.testen@v.prüfen
friend	n+m.Freund@n+f.Freundin
come	v.kommen
dec	n+m.Dez@n+m.Dezember
server	n+m.Server
pc	n+m.PC@n+m.Computer
study	n+f.Studie@n+n.Studium@v.studieren@v.lernen
application	n+f.Anwendung@n+f.Bewerbung@n+f.Applikation
cart	n+m.Wagen@n+m.Einkaufswagen@n+f.Karre
staff	n+n.Personal@n+m.Stab@n+m.Mitarbeiter
articles	n+m.Artikel
san	n+n.San
feedback	n+n.Feedback@n+f.Rückmeldung
again	ad.wieder@ad.erneut
play	n+n.Spiel@n+n.Theaterstück@v.spielen
looking	v.schauend@v.suchend
issues	n+f.Probleme@n+f.Ausgaben@n+n.Themen
april	n+m.April
never	ad.nie@ad.niemals
users	n+m.Benutzer@n+m.Nutzer
complete	a.vollständig@a+m.kompletter@a+f.komplette@a+n.komplettes@v.abschließen
street	n+f.Straße
topic	n+n.Thema@n+m.Gegenstand
comment	n+m.Kommentar@n+f.Bemerkung@v.kommentieren
financial	a.finanziell
things	n+f.Dinge@n+f.Sachen
working	a.arbeitend@v.arbeitend@a+m.funktionierender@a+f.funktionierende@a+n.funktionierendes
against	prep.gegen
standard	n+m.Standard@a.standard
tax	n+f.Steuer@v.besteuern
person	n+f.Person@n+m.Mensch
below	prep.unter@ad.unten
mobile	a.mobil@n+n.Handy@n+n.Mobiltelefon
less	ad.weniger@a.weniger
got	v.bekam@v.erhielt
blog	n+m.Blog@v.bloggen
party	n+f.Party@n+f.Partei@n+f.Feier
payment	n+f.Zahlung@n+f.Bezahlung
equipment	n+f.Ausrüstung@n+n.Gerät@n+f.Ausstattung
login	n+m.Login@n+f.Anmeldung@v.einloggen
student	n+m.Student@n+m.Schüler@n+f.Studentin@n+f.Schülerin
let	v.lassen
programs	n+n.Programme
offers	n+n.Angebote@v.bietet
legal	a.legal@a.rechtlich@a.juristisch
above	prep.über@ad.oben
recent	a+m.jüngster@a+f.jüngste@a+n.jüngstes@a+m.kürzlicher@a+f.kürzliche@a+n.kürzliches
park	n+m.Park@v.parken
stores	n+m.Läden@n+n.Geschäfte
side	n+f.Seite
act	n+m.Akt@n+f.Tat@n+n.Gesetz@v.handeln@v.spielen
problem	n+n.Problem
red	a+m.roter@a+f.rote@a+n.rotes@n+n.Rot
give	v.geben
memory	n+n.Gedächtnis@n+f.Erinnerung@n+m.Speicher
performance	n+f.Leistung@n+f.Aufführung@n+f.Performance
social	a.sozial@a.gesellschaftlich
august	n+m.August@a+m.erhobener@a+f.erhobene@a+n.erhobenes
quote	n+n.Zitat@n+m.Kurs@v.zitieren
language	n+f.Sprache
story	n+f.Geschichte@n+f.Story
sell	v.verkaufen
options	n+f.Optionen@n+f.Möglichkeiten
experience	n+f.Erfahrung@n+n.Erlebnis@v.erleben
rates	n+f.Raten@n+m.Tarife@n+m.Kurse
create	v.erstellen@v.schaffen@v.kreieren
key	n+m.Schlüssel@n+f.Taste@a+m.wichtiger@a+f.wichtige@a+n.wichtiges
body	n+m.Körper@n+f.Leiche@n+n.Gremium
young	a+m.junger@a+f.junge@a+n.junges
america	n+n.Amerika
important	a.wichtig
field	n+n.Feld@n+m.Bereich@n+f.Wiese
few	a.wenige@pron.einige
east	n+m.Osten@a+m.östlicher@a+f.östliche@a+n.östliches
paper	n+n.Papier@n+f.Zeitung@n+f.Arbeit
single	a+m.einzelner@a+f.einzelne@a+n.einzelnes@a.ledig@n+f.Single
ii	n.II
age	n+n.Alter@n+f.Epoche@v.altern
activities	n+f.Aktivitäten@n+f.Tätigkeiten
club	n+m.Club@n+m.Verein@n+f.Keule
example	n+n.Beispiel
girls	n+f.Mädchen
additional	a.zusätzlich
password	n+n.Passwort@n+n.Kennwort
latest	a+m.neuester@a+f.neueste@a+n.neuestes@a+m.aktuellster@a+f.aktuellste@a+n.aktuellstes
something	pron.etwas
road	n+f.Straße@n+m.Weg
gift	n+n.Geschenk@n+f.Gabe
question	n+f.Frage@v.fragen@v.hinterfragen
changes	n+f.Änderungen@n+m.Wechsel
night	n+f.Nacht
hard	a+m.harter@a+f.harte@a+n.hartes@a+m.schwieriger@a+f.schwierige@a+n.schwieriges@ad.hart
texas	n+n.Texas
oct	n+m.Okt@n+m.Oktober
pay	n+m.Lohn@n+f.Bezahlung@v.bezahlen@v.zahlen
four	n+f.Vier@a.vier
poker	n+m.Poker
status	n+m.Status
browse	v.durchsuchen@v.stöbern
issue	n+f.Ausgabe@n+n.Problem@n+n.Thema@v.herausgeben
range	n+f.Reichweite@n+m.Bereich@n+f.Palette@v.reichen
building	n+n.Gebäude@n+m.Bau@v.bauend
seller	n+m.Verkäufer@n+f.Verkäuferin
court	n+n.Gericht@n+m.Hof@n+m.Platz
february	n+m.Februar
always	ad.immer@ad.stets
result	n+n.Ergebnis@n+n.Resultat@v.resultieren
audio	n+n.Audio@n+m.Ton
light	n+n.Licht@a+m.leichter@a+f.leichte@a+n.leichtes@a+m.heller@a+f.helle@a+n.helles
write	v.schreiben
war	n+m.Krieg
nov	n+m.Nov@n+m.November
offer	n+n.Angebot@v.anbieten
blue	a+m.blauer@a+f.blaue@a+n.blaues@n+n.Blau
groups	n+f.Gruppen
al	n+m.Al
easy	a+m.leichter@a+f.leichte@a+n.leichtes@a+m.einfacher@a+f.einfache@a+n.einfaches
given	a.gegeben@v.gegeben
files	n+f.Dateien@n+f.Akten
event	n+n.Ereignis@n+f.Veranstaltung@n+n.Event
release	n+f.Veröffentlichung@n+f.Freigabe@v.veröffentlichen@v.freigeben
analysis	n+f.Analyse
request	n+f.Anfrage@n+f.Bitte@v.anfordern@v.bitten
fax	n+n.Fax@v.faxen
china	n+n.China@n+n.Porzellan
making	n+f.Herstellung@v.machend
picture	n+n.Bild@n+f.Aufnahme@n+n.Foto
needs	n+n.Bedürfnisse@v.braucht
possible	a.möglich
might	v.könnte@n+f.Macht
professional	a.professionell@n+m.Profi@n+m.Fachmann
yet	ad.noch@conj.jedoch
month	n+m.Monat
major	a+m.großer@a+f.große@a+n.großes@a.wichtig@n+m.Major
star	n+m.Stern@n+m.Star@v.spielen
areas	n+n.Gebiete@n+m.Bereiche
future	n+f.Zukunft@a+m.zukünftiger@a+f.zukünftige@a+n.zukünftiges
space	n+m.Raum@n+n.Weltall@n+m.Platz
committee	n+n.Komitee@n+m.Ausschuss
hand	n+f.Hand@v.übergeben
sun	n+f.Sonne
cards	n+f.Karten
problems	n+n.Probleme
london	n+n.London
washington	n+n.Washington
meeting	n+n.Treffen@n+f.Sitzung@n+f.Besprechung@v.treffend
become	v.werden
interest	n+n.Interesse@n+f.Zinsen@v.interessieren
id	n+f.ID@n+m.Ausweis
child	n+n.Kind
keep	v.behalten@v.halten
enter	v.betreten@v.eingeben@v.eintreten
california	n+n.Kalifornien
porn	n+f.Pornografie@n+m.Porno
share	n+m.Anteil@n+f.Aktie@v.teilen
similar	a.ähnlich
garden	n+m.Garten
schools	n+f.Schulen
million	n+f.Million
added	v.hinzugefügt@a.zusätzlich
reference	n+f.Referenz@n+m.Verweis@n+f.Bezugnahme
companies	n+f.Firmen@n+n.Unternehmen
listed	a.gelistet@v.aufgelistet
baby	n+n.Baby@n+m.Säugling
learning	n+n.Lernen@v.lernend
energy	n+f.Energie
run	v.laufen@v.rennen@n+m.Lauf
delivery	n+f.Lieferung@n+f.Zustellung
net	n+n.Netz@a.netto
popular	a.beliebt@a.populär
term	n+m.Begriff@n+f.Frist@n+n.Semester
film	n+m.Film@v.filmen
stories	n+f.Geschichten
put	v.setzen@v.legen@v.stellen
computers	n+m.Computer@n+m.Rechner
journal	n+f.Zeitschrift@n+n.Journal@n+n.Tagebuch
reports	n+m.Berichte@v.berichtet
co	n+f.Firma@n+f.Co
try	v.versuchen@n+m.Versuch
welcome	n+n.Willkommen@v.willkommen heißen@int.willkommen
central	a.zentral@a+m.zentraler@a+f.zentrale@a+n.zentrales
images	n+n.Bilder
president	n+m.Präsident@n+f.Präsidentin
notice	n+f.Mitteilung@n+m.Hinweis@v.bemerken
god	n+m.Gott
original	a.original@a+m.ursprünglicher@a+f.ursprüngliche@a+n.ursprüngliches@n+n.Original
head	n+m.Kopf@n+m.Leiter@n+f.Spitze@v.leiten
radio	n+n.Radio
until	prep.bis@conj.bis
cell	n+f.Zelle
self	n+n.Selbst@pron.selbst
council	n+m.Rat@n+n.Gremium
away	ad.weg@ad.entfernt
includes	v.enthält@v.beinhaltet
track	n+f.Spur@n+m.Track@n+f.Strecke@v.verfolgen
australia	n+n.Australien
discussion	n+f.Diskussion@n+f.Besprechung
archive	n+n.Archiv@v.archivieren
once	ad.einmal@conj.sobald
others	pron.andere
