29	n.xxix
آبی بنایا	v.hydrated
آبی حدود	n+m.watershed
آبی حرارتی	a.hydrothermal
آبی ذخیرہ	n+m.reservoir
آبی راستہ	n+m.waterway@n+m.watercourse
آبی رنگ	n+m.watercolour@n+m.watercolours
آبی علاج	n+f.hydrotherapy
آبی علم سے متعلق	a.hydrological
آبی لکیر	n+f.waterline
آبی نظام	n+m.waterworks
آبی نقشہ نگاری کا	a.hydrographic
آبی و خشکی	a.amphibian@a.amphibious
آبی پرندے	n+m.waterfowl
آبی ڈھلوان	n+m.watersheds
آبی کاشت	n+f.hydroponics
آبی کاشت کاری	n+f.aquaculture
آبی کشتی	n+f.watercraft
آبی کھیل	n+m.aquatics
آبی گزرگاہ	n+m.watercourses
آبی گزرگاہیں	n+f.waterways
آبیات	n+f.hydrology
آبیاتی	a.hydrologic
آبیدہ	n+m.hydrate
آتا ہوا	a.looming
آتا ہے	v.comes
آتش بازی	n+f.fireworks@n+f.pyrotechnics
آتش دان	n+m.firebox
آتش دانیں	n+f.fireplaces
آتش زنی	n+f.arson
آتش فشانی	a.volcanic@a.igneous
آتش فشانی مادہ	n+f.magma
آتش فشانی گڑھا	n+f.caldera
آتش فشاں	n+m.volcano@n+m.volcanoes
آتش مزاج	n+m.spitfire
آتش پناہ	a.refractory
آتش گیر	a.flammable@a.combustible@a.incendiary
آتش گیر بم	n+m.incendiary
آتش گیری	n+f.flammability
آتشک	n+f.syphilis
آتشی شیشہ	n+m.obsidian
آتشی پتھر	n+m.tuff
آتشی ہتھیار	n+f.firearm
آتشیں اسلحہ	n+f.firearms
آثار	n+f.relic
آثار قدیمہ	n+f.archaeology@n+f.antiquities
آثار قدیمہ کا	a.archaeological
آج	n+m.today@ad.today
آج رات	n+f.tonight@ad.tonight
آج کل	ad.nowadays
آجر	n+m.employer@n+m.employers
آخر میں	ad.last@ad.lastly
آخر کار	ad.finally@ad.eventually@ad.ultimately
آخرت	n+f.hereafter
آخری	a+m.last@a+f.last@a.final@a.ultimate@a.terminal@a.latter@a.concluding@a.ult
آخری اسٹیشن	n+m.termini
آخری باتیں	n+f.conclusions
آخری تاریخ	n+f.deadline
آخری تاریخیں	n+f.deadlines
آخری جنگ	n+m.armageddon
آخری حصہ	n+m.finale@n+m.epilogue
آخری سٹیشن	n+m.terminus
آخری سے پہلا	a.penultimate
آخری مرحلہ	n+m.endgame
آخری مقابلہ	n+m.showdown
آخری پیشکش	n+f.finale
آخن	n+m.aachen
آداب	n+f.etiquette@n+m.manners
آدرش	n+m.ideals
آدم	n+m.adam
آدم خور	n+m.cannibal@n+m.cannibals
آدم خوری	n+f.cannibalism
آدمی	n+m.man@n+m.men@n+m.guy@n+m.chap@n+m.mans@n+m.bloke@n+m.hombre@n+m.fella@n+m.blokes
آدمیوں والا	a.manned
آدھا	n+m.half@a.half@a.halfway
آدھا کرنا	v.halves@v.halve
آدھا کیا	v.halved
آدھی رات	n+f.midnight
آدھے	n+f.halves
آدھے راستے پر	ad.halfway
آذربائیجان	n+m.azerbaijan
آذربائیجانی	a.azerbaijani
آذربائیجانی شخص	n+m.azerbaijani
آر ایف سی	n+f.rfcs
آر ایم ایس	n+m.rms
آر سی ڈی	n+m.rcd
آر وی	n+m.rvs
آر پار	ad.across
آر پی ایس	n+m.rps
آر پی ایم	n+m.rpm
آر ڈبلیو وائی	n.rwy
آرا	n+m.jigsaw
آرا جمع کرنا	v.canvassing@vt.canvass
آرائش	n+f.decor@n+f.deco@n+f.toilette
آرائشی	a.cosmetic@a.decorative@a.ornamental
آرارات	n+m.ararat
آرام	n+m.rest@n+m.comfort@n+m.ease@n+m.convenience@n+f.relaxation@n+m.rests@n+f.comforts@n+f.repose@n+m.aram
آرام دہ	a.comfortable@a.resting@a.comfy@a.cosy@a.snug@a.restful
آرام دہ دوا	n+m.relaxant
آرام دہ دوائیں	n+m.relaxants
آرام دیتا ہے	vt.relieves
آرام دینا	v.relieve@v.relieving
آرام دینے والا	n+m.reliever
آرام سے	ad.comfortably@a.leisurely@ad.snugly
آرام سے بیٹھا	v.nestled
آرام سے بیٹھنا	v.nestle
آرام شدہ	a.rested
آرام کرتا ہے	v.rests@vt.relaxes
آرام کرسی	n+f.armchair@n+m.lounger
آرام کرسیاں	n+f.recliners
آرام کرنا	v.rest@v.lounge@v.relax@v.relaxing@v.resting@v.lounges@v.unwind@vi.repose@v.lounging
آرام کیا	v.relaxed@v.rested
آرامی	a.aramaic
آرامی زبان	n+f.aramaic
آران	n+m.arran
آراگون	n+m.aragon
آربیسن	n+m.orbison
آرتورو	n+m.arturo
آرتھ	n+m.orth
آرتھر	n+m.arthur
آرتھری	a.arthurian
آرتھوٹک	a.orthotic
آرتھوپیڈک	a.orthopaedic
آرتھوڈوکس	a.orthodox
آرجینین	n+f.arginine
آرزو مند	a.wishful
آرزو کرنا	v.aspires
آرزومند	a.aspiring@a.longing
آرسن	n+m.orson
آرفیئس	n+m.orpheus
آرلن	n+m.arlen
آرلنگٹن	n+m.arlington
آرلو	n.arlo
آرلین	n+f.arlene
آرلے	n+m.arles
آرماڈیلو	n+m.armadillo
آرماگ	n+m.armagh
آرمسٹرانگ	n+m.armstrong
آرمینڈ	n+m.armand
آرمینڈو	n+m.armando
آرمینیا	n+m.armenia
آرمینیائی	a.armenian@n+m.armenian@n+m.armenians
آرمیچر	n+m.armature
آرنلڈ	n+m.arnold
آرنو	n+m.arno
آرنہم	n+m.arnhem
آرنیتھین	n+m.ornithine
آرنے	n+m.arne
آرویل	n+m.orwell@n+m.orville
آروین	n+m.irvine
آرٹ	n+f.art@n+f.artwork
آرٹ کا	a.artistic
آرٹس	n+f.arts
آرٹی	n+m.artie
آرٹی چوک	n+m.artichoke@n+m.artichokes
آرٹیز	n+m.ortiz
آرٹیمس	n+f.artemis
آرٹیمیسیا	n+f.artemisia
آرپانیٹ	n+m.arpanet
آرچ بشپ	n+m.archbishop
آرچی	n+m.archie
آرچیبالڈ	n+m.archibald
آرڈر کر رہا ہے	v.ordering
آرڈر کیا	v.ordered
آرڈرز	n+m.orders
آرڈز	n+m.ards
آرڈن	n+m.arden
آرڈوارک	n+m.aardvark
آرڈیننس	n+m.ordinance
آرکائیو کیا	v.archived
آرکسٹرا	n+m.orchestra@n+m.orch@n+m.orchestras
آرکسٹرا کا	a.orchestral
آرکنساس	n+m.arkansas
آرکنی	n+m.orkney
آرکڈ	n+m.orchid@n+f.orchids
آرکیمیڈیز	n+m.archimedes
آرکیٹیکٹ	n+m.architect
آرکیڈ	n+m.arcade
آرکیڈیا	n+f.arcadia
آرگائل	n+m.argyle
آرگس	n+m.argus
آرگن	n+m.organ
آرگن بجانے والا	n+m.organist
آرگنائزر	n+f.organizer
آرگو	n+m.argo
آرگوس	n+m.argos
آرگون	n+m.argon@n+m.argonne
آرگینزا	n+f.organza
آرگیومنٹ	n+m.arg
آرہ مل	n+f.sawmills
آرہس	n+m.aarhus
آری	n+f.saw@n+f.jigsaws
آری دندانہ	n+m.sawtooth
آری چلانا	v.sawing
آری کی مل	n+f.sawmill
آریا	n+f.aria
آریائی	a.aryan@n+m.aryan@a.arian
آریادنی	n+f.ariadne
آریاس	n+f.arias
آریاں	n+f.saws
آریستا	n+f.arista
آریل	n+m.aryl
آریوس	n+m.aureus
آریوسی	n+m.arian
آریکیپا	n+f.arequipa
آزاد	a.free@a.independent@a.rid@a.indie@a.freelance@a.freestyle@a.unleashed@a.liberated@a.unfettered@a.footloose
آزاد آدمی	n+m.freeman
آزاد امیدوار	n+m.independents
آزاد خیال	a.liberal@n+m.liberal@n+m.maverick@a.maverick@n+m.mavericks@n+m.libertines@n+m.libertine
آزاد شدہ	a.freed@n+m.freedman
آزاد شکل	a.freeform
آزاد ملکیت	a.freehold
آزاد منش	a.libertine
آزاد پیشہ ور	n+m.freelancers@n+m.freelancer
آزاد کاری	n+f.liberalization
آزاد کام	n+f.freelancing
آزاد کرنا	v.freeing@v.frees@v.unleash@vt.liberate@v.liberating@v.unleashes
آزاد کرنے والا	n+m.liberator
آزاد کھڑا	a.freestanding
آزاد کیا	v.freed@v.liberated
آزاد ہاتھ	a.freehand
آزادانہ	ad.freely@ad.freehand
آزادانہ طور پر	ad.independently
آزادی	n+f.freedom@n+f.liberty@n+f.independence@n+f.liberation@n+f.freeing@n+f.emancipation@n+f.liberalisation
آزادی سے	ad.liberally
آزادی پسند	n+m.libertarian@a.libertarian@n+m.libertarians
آزادی پسندی	n+f.libertarianism
آزادیاں	n+f.liberties@n+f.freedoms
آزبورن	n+m.osborne@n+m.osborn
آزمائش	n+f.temptation@n+m.ordeal@n+m.tryout
آزمائش میں ڈالنا	vt.tempt
آزمائشی	a.piloted
آزمائشی امتحان	n+m.tryouts
آزمائشی دور	n+m.probation
آزمائشیں	n+f.trials@n+f.temptations@n+f.tribulations
آزمایا ہوا	a.tried
آزمودہ	a.tested
آزی	n+m.ozzie
آس پاس	n+m.vicinity@n+f.surroundings
آسا	n+m.asa
آسام	n+m.assam
آسامی	n+f.vacancy
آسامیاں	n+f.vacancies
آسان	a.easy@a.simple@a.convenient@a.simplified@a.straightforward@a.facile
آسان بات	n+f.cinch
آسان بنانا	v.facilitate@v.simplifying@v.streamlines
آسان بنایا	a.facilitated
آسان تر	a.easier@a.simpler
آسان سازی	n+f.simplifying
آسان کام	n+f.cakewalk
آسان کرتا ہے	vt.eases
آسان کرنا	v.ease@v.simplify@v.simplifies@v.easing@v.eased
آسانی	n+f.ease@n+f.easiness
آسانی سے	ad.easily@ad.readily@ad.conveniently@ad.smoothly
آستی	n.asti
آستین	n+f.sleeve
آستین دار	a.sleeved
آستین کا کنارا	n+f.cuffs
آستینیں	n+f.sleeves
آسمان	n+m.sky@n+m.heaven@n+m.skies@n+m.heavens
آسمان سے چھلانگ	n+m.skydiving
آسمان کو چھونا	v.skyrocket
آسمانی	a.heavenly@a.ethereal@a.celestial@a.celeste@a.azure
آسمانی بجلی	n+m.lightning
آسمانی چڑیا	n+f.skylark
آسٹریا	n+m.austria
آسٹریائی	a.austrian@n+m.austrian
آسٹریلوی	a.australian@n+m.australian@n+m.aussie@a.aussie@n+m.australians
آسٹریلیا	n+m.australia@n+m.aus@n+m.aust
آسٹریلیشیا	n+f.australasia
آسٹریلیشین	a.australasian
آسٹریلین	n+m.aussies
آسٹن	n+m.austin@n+m.austen
آسٹوریا	n+f.astoria
آسٹومی	n+f.ostomy
آسکر	n+m.oscar@n+m.oscars
آسگڈ	n+m.osgood
آسیلوسکوپ	n+m.oscilloscopes
آسیموف	n+m.asimov
آشر	n+m.asher
آشرم	n+m.ashram
آشوب چشم	n+m.conjunctivitis
آشوری	a.assyrian@n+m.assyrian
آشوریہ	n+f.assyria
آشوٹز	n+m.auschwitz
آغا	n+m.aga
آغاز	n+m.genesis@n+f.openings@n+f.commencement@n+f.advent@n+m.onset@n+f.initiation@n+m.inception@n+f.origination
آغاز کرنا	v.launching
آغاز کرنے والا	n+m.initiator
آغاز کیا	a.initiated
آف	n+m.offs
آف سائیڈ	n+m.offside
آف لائن	a.offline@ad.offline
آفات	n+f.disasters@n+f.catastrophes@n+f.calamities
آفاقی	a.universal
آفاقی پسند	n+m.universalist
آفاقیت	n+f.universality
آفت	n+f.pest@n+f.blight@n+m.bane@n+f.calamity
آفس	n+f.office
آفس میکس	n+m.officemax
آفسیٹ	n+m.offset@n+m.offsets
آفنباخ	n+m.offenbach
آفٹر مارکیٹ	n+m.aftermarket
آفٹرشیو	n+m.aftershave@n+m.aftershaves
آل سٹیٹ	n+m.allstate
آلات	n+f.equipment@n+m.instruments@n+m.devices@n+m.appliances@n+f.mechanisms@n+m.machinery@n+m.gadgets@n+m.gizmos
آلات سازی	n+f.instrumentation
آلات سے لیس	a.instrumented
آلات طبی	n+f.orthotics
آلات فروش	n+m.outfitters
آلاتی	a.instrumental
آلاتی موسیقی	n+m.instrumentals
آلبورگ	n+m.aalborg
آلو	n+m.potato@n+m.potatoes@n+m.spud
آلو بخارا	n+m.plum@n+f.prunes
آلوبخارہ	n+m.prune
آلوبخارے	n+m.plums
آلودگی	n+f.pollution@n+f.contamination@n+m.pollutants@n+m.contaminants@n+m.contaminant@n+f.infestation
آلودگی دور کرنا	n+f.decontamination
آلودگی پھیلانے والے	n+m.polluters
آلودہ	a.contaminated@a.polluted
آلودہ کرنا	v.polluting@vt.taint@vt.contaminate@vt.pollute@v.contaminating
آلودہ کرنے والا	n+m.pollutant
آلودہ کیا	v.contaminated@v.polluted
آلوچہ	n+m.cherry
آلٹ	n+m.alt
آلٹمین	n+m.altman
آلٹن	n+m.alton
آلٹو	n+m.alto
آلڈن	n+m.alden
آلڈو	n+m.aldo
آلہ	n+m.tool@n+m.device@n+m.implement@n+m.instrument@n+m.appliance@n+m.apparatus@n+m.gadget@n+m.instr@n+m.gizmo
آلیل	n+m.alleles
آلے پڑنا	v.hailing
آم	n+m.mango
آمادگی	n+f.willingness
آمادہ کرنا	v.induces@v.inducing
آمبرے	n+m.ombre
آمد	n+f.arrival@n+f.incoming@n+f.arrivals@n+f.arriving@n+m.advent@n+m.influx@n+m.inflow@n+f.inflows
آمد و رفت	n+m.traffic
آمد و رفت کا سفر	n+m.roundtrip
آمد و رفت کرنا	v.commutes
آمدنی	n+f.income@n+f.revenue@n+f.earnings@n+f.revenues@n+f.profits@n+m.proceeds@n+f.takings
آمدنیاں	n+f.incomes
آمدورفت	n+f.commute@n+f.commuting
آمر	n+m.dictator@n+m.authoritarian@n+m.dictators
آمرانہ	a.authoritarian@a.dictatorial
آمریت	n+f.dictatorship@n+m.totalitarianism
آملیٹ	n+m.omelette
آمنیوٹک	a.amniotic
آموس	n+m.amos
آمون	n+m.amon
آمیزش	n+f.mixes@n+f.infusion@n+f.blending@n+f.crossovers
آمیزہ	n+m.blend@n+m.mixture
آمیلا	n+m.mistletoe
آمین	int.amen
آن لائن	a.online@ad.online
آنا	v.come@v.arrive@v.haunting
آنا جانا	v.shuttle@v.commute@v.commuting@vi.shuttles@n+f.goings
آنت	n+f.gut@n+f.bowel@n+f.intestine
آنتوں کا	a.intestinal@a.enteric@a.enteral
آنتیں	n+f.intestines
آندرے	n+m.andre@n+m.andrei
آندھی	n+f.gale@n+f.thunderstorms@n+f.squall
آندھیاں	n+f.gales
آنسو	n+m.tears@n+m.tear
آنسو کا قطرہ	n+f.teardrop
آنکھ	n+f.eye@n+f.optic
آنکھ جھپکنا	v.blinking@v.blinks@v.blinked
آنکھ مارنا	v.wink@n+f.wink@v.winks@n+f.winks
آنکھ پر پٹی باندھنا	v.blindfolded
آنکھ کا	a.ocular
آنکھ کا عدسہ	n+m.eyepiece
آنکھ کا ڈھیلا	n+f.eyeball
آنکھ کی پتلی	n+f.pupil@n+f.irises
آنکھ کی پتلی کا	a.corneal
آنکھ کی پتلیاں	n+f.eyeballs
آنکھ کے اندر	a.intraocular
آنکھ کے شیشے	n+m.eyepieces
آنکھوں والا	a.eyed
آنکھوں پر پٹی	n+f.blindfold
آنکھوں پر پٹی باندھنا	v.blindfold
آنکھوں پر پٹی باندھے	a.blindfolded
آنکھوں کا	a.ophthalmic
آنکھیں	n+f.eyes
آنکھیں پھاڑنا	v.goggle
آنے والا	a.coming@a.upcoming@a.incoming@a.forthcoming@a.inbound@a.succeeding@a.impending@a.unborn@n+m.comer@a.oncoming
آنے والا کل	n+m.morrow
آنے والی نسلیں	n+f.posterity
آنے والے	n+m.arrivals@n+m.comers
آنے والے کل	n+m.tomorrows
آوا	n+f.ava
آوارہ	a.wandering@a.stray@n+m.stray@n+m.bum@n+m.rovers@n+m.hobo@n+m.tramp@n+m.wanderers@n+m.wanderer@n+m.vagabond@n+m.loafers@n+m.drifter@n+m.derelict@a.promiscuous@a.errant@n+m.loafer@n+m.drifters@n+m.vagrant
آوارہ بچہ	n+m.urchin
آوارہ جانور	n+m.strays
آوارہ لوگ	n+m.bums
آوارہ پھرنا	v.loaf@v.bum
آوارہ کتا	n+m.cur@n+m.mutt
آوارہ گرد	n+m.tramps
آوارہ گردی	n+f.wandering
آوارہ گردی کرنا	vi.gad@vi.ramble
آواز	n+f.sound@n+f.voice@n+f.tone@n+f.sounding@n+f.toot
آواز آئی	v.sounded
آواز دہی	n+f.voicing
آواز دی	v.voiced
آواز دینا	v.voice@v.voicing
آواز نکالنا	v.sounding@vi.hoot
آواز نکالنے والا	n+m.sounder
آواز والا	a.voiced
آواز ڈالنا	v.dubbing
آواز کا	a.audio
آواز کا تختہ	n+m.soundboard
آواز کا کانپنا	n+m.vibrato
آواز کی رنگت	n+f.timbre
آواز کی ریکارڈنگ	n+m.voiceover
آواز کے مناظر	n+m.soundscapes
آوازی	a.acoustic@a.vocal@a.sonic
آوازیں	n+f.sounds@n+f.tones@n+f.voices@n+f.vocals@n+f.noises
آواگون	n+f.reincarnation
آویرنیا	n.auvergne
آویلا	n+f.avila
آٹا	n+m.flour
آٹا پسائی کا اناج	n+m.grist
آٹزم	n+m.autism
آٹسٹک	a.autistic
آٹو بان	n+f.autobahn
آٹوموبائل	n+m.automobile
آٹومیشن	n+f.automation
آٹوکلیو	n+m.autoclave
آٹھ	n+m.eight@a.eight
آٹھ کا	a.octal
آٹھ کونوں والا	a.octagonal
آٹھواں	n+m.viii@a.eighth
آپ	pron.you@pron.yourself
آپ خود	pron.yourselves
آپ کا	pron.your@pron.yours
آپ کی	pron.your
آپریشن	n+m.operation
آپریشن سے پہلے	a.preoperative
آپریشن کوڈ	n+m.opcode
آپریشن کیا	v.operated
آپریشن کے بعد	a.postoperative
آپریشنز	n+m.operations
آپریشنل	a.operational
آپریٹر	n+m.operator
آپریٹرز	n+m.operators
آپریٹنگ	a.operating
آپس میں بنا	a.interwoven
آپس میں جوڑنا	v.interconnect@vt.interlink
آپس میں جڑا	a.interlocking
آپس میں کہنا	v.bandy
آپس میں گندھا	a.intertwined
آپٹوالیکٹرانک	a.optoelectronic
آڈ	n+m.aud
آڈرا	n+f.audra
آڈری	n+f.audrey
آڈوبن	n+m.audubon
آڈٹ	n+m.audit@n+f.audits
آڈٹ شدہ	a.audited
آڈٹ کرتا ہے	v.audits
آڈٹ کرنا	v.audit@v.auditing@v.audited
آڈی	n+m.audi
آڈیشن	n+f.audition
آڈیشن دینا	v.audition
آڈیشنز	n+f.auditions
آڈیو	n+m.audio@n+m.audios
آڈیو شوقین	n+m.audiophile
آڈیو ٹیپ	n+f.audiotape
آڈیٹر	n+m.auditor@n+m.auditors
آڈیٹنگ	n+f.auditing
آڈیٹوریم	n+m.auditorium
آڑا ترچھا	a.crisscross
آڑا ترچھا کرنا	v.crisscross
آڑا کاٹنا	v.crosscut@v.transects
آڑو	n+m.peach@n+f.peaches
آڑو جیسا	a.peachy
آڑی کٹائی	n+m.crosscut
آکسائڈ	n+m.oxide
آکسائیڈ	n+m.oxides
آکسائیڈ بنانا	v.oxidizing
آکسائیڈی	a.oxidative
آکسبرج	n+m.oxbridge
آکسفورڈ	n+m.oxford
آکسفورڈ جوتے	n+m.oxfords
آکسفورڈ شائر	n+m.oxfordshire
آکسنارڈ	n+m.oxnard
آکسیجن	n+f.oxygen
آکسیجن دینا	n+f.oxygenation
آکسیجن ملا	a.oxidized
آکسیجن والا	a.oxygenated
آکسیجن کی کمی	n+f.hypoxia
آکسیٹوسن	n+m.oxytocin
آکسیڈنٹ	n+m.oxidant
آکسیڈیز	n+f.oxidase
آکسیڈینٹ	n+m.oxidants
آکسیکرن	n+f.oxidation
آکسیکونٹین	n+m.oxycontin
آکلینڈ	n+m.auckland
آکٹاویا	n+f.octavia
آکٹوپس	n+m.octopus
آکٹین	n+m.octane
آکٹیو	n+m.octave
آکٹیٹ	n+m.octet@n+m.octets
آگ	n+f.fire@n+f.fires
آگ اٹھانے کی چھڑی	n+m.pokers
آگ بجھانا	n+f.firefighting
آگ بجھانے والا	n+m.firefighter@n+m.fireman@n+m.extinguisher
آگ بجھانے والے	n+m.firefighters@n+m.extinguishers
آگ جیسا	a.fiery
آگ سے محفوظ	a.fireproof
آگ لگانا	v.fire@n+f.ignition@v.ignite@v.ignited
آگ کا طوفان	n+m.firestorm
آگ کا پرندہ	n+m.firebird
آگ کا گولہ	n+m.fireball
آگاتھا	n+f.agatha
آگاسی	n+m.agassi
آگاہ	a.aware@a.notified@a.cognizant
آگاہ کرتا ہے	v.alerts
آگاہ کرنا	v.brief@v.alert@v.informing@v.informs@vt.enlighten
آگاہ کیا	v.enlightened
آگاہی	n+f.awareness
آگرہ	n+m.agra
آگسبرگ	n+m.augsburg
آگسٹا	n+f.augusta
آگسٹس	n+m.augustus
آگسٹین	n+m.augustine
آگوئیرے	n+m.aguirre
آگڈن	n+m.ogden
آگے	ad.forward@ad.beyond@ad.ahead@ad.forth@ad.fore@ad.forwards@ad.onward
آگے بڑھا	v.proceeded
آگے بڑھانا	vt.propel@v.furthering
آگے بڑھتا ہے	v.advances@v.proceeds
آگے بڑھنا	v.progress@v.advance@v.proceed@v.proceeding@v.advancing
آگے بھیجا ہوا	a.forwarded
آگے بھیجنا	n+f.forwarding@v.relays@v.relaying
آگے بھیجنے والا	n+m.forwarder
آگے نکل جانا	vt.overtake@v.outrun
آگے نکلنا	v.surpassed@v.surpass@v.overtaking
آگے پہنچانا	v.relayed
آگے پیچھے چلنے والا	a.reciprocating
آگے کا	a.forward
آگے کرائے پر دینا	vt.sublease
آہ	n+f.sigh@int.aah@int.phew
آہ بھرتا ہے	vi.sighs
آہ بھرنا	v.sigh@v.moans@v.sighing
آہ بھری	v.sighed
آہ و بکا	n+m.moaning
آہا	int.aha
آہستہ	ad.largo@ad.adagio@ad.andante
آہستہ آہستہ	ad.slowly@ad.gradually@ad.leisurely
آہستہ دوڑنا	v.jog
آہستہ دھن	n+m.andante
آہستہ سے	ad.gently
آہستہ منتقل ہونا	v.segue
آہستہ موسیقی	n+m.adagio
آہستہ چلنے والا	n+m.ambler
آہستہ کرنا	v.slowing
آہستہ ہوتا	a.slowing
آہنگ	n+m.rhythm@n+f.cadence
آہنگ موسیقی	n+m.symphony
آہنگی	a.tonal
آہنی	a.ferrous
آہیں	n+f.sighs@n+f.moans
آیا	conj.whether@v.came@n+f.nanny@n+f.sitter
آیائیں	n+f.nannies@n+f.sitters
آیات	n+f.verses
آیت	n+f.verse
آیت اللہ	n+m.ayatollah
آیلیا	n+f.ilia
آیوروید	n+f.ayurveda
آیوڈین	n+m.iodine
ائر	n+m.eyre
ائربڈ	n+m.earbud
ائربڈز	n+m.earbuds
ائرپیس	n+m.earpiece
اب	ad.now
اب تک	ad.hitherto@ad.heretofore
اب نہیں	ad.anymore
ابا	n+m.dad@n+m.daddy@n+m.aba@n+m.abba@n+m.poppa
ابابیل	n+f.swift@n+f.swallow@n+f.swallows
ابال	n+f.overflows
ابالا	v.poached
ابالتا ہے	vi.stews
ابالنا	v.boiling@v.boil@v.boiled@v.poaching
ابتدا	n+f.inception
ابتداء	n+f.origins
ابتدائی	a.early@a.starting@a.primary@a.initial@a.elementary@a.preliminary@n+m.beginners@a.primitive@a.provisional@n+m.init@a.primal@n+f.priming@a.primordial@a.incipient
ابتدائی امتحان	n+m.prelim
ابتدائی امتحانات	n+m.prelims
ابتدائی باتیں	n+f.preliminaries
ابتدائی ترتیب	n+f.initialization@n+f.initialisation
ابتدائی ترین	a.earliest
ابتدائی حروف	n+m.initials
ابتدائی طور پر	ad.initially
ابتدائی چیزیں	n+f.primitives
ابتدائی کتاب	n+f.primer
ابجدی	a.alphabetical
ابدی	a.eternal
ابدی طور پر	ad.eternally
